date,stock_code,open,high,low,close,volume
2023-07-03,sz.002739,12.69,13.29,12.54,13.07,74322449.0
2023-07-04,sz.002739,13.12,13.57,13.0,13.15,68788710.0
2023-07-05,sz.002739,13.15,13.2,12.92,12.95,33105554.0
2023-07-06,sz.002739,12.91,13.11,12.87,12.95,33168197.0
2023-07-07,sz.002739,12.91,13.54,12.72,13.41,59268159.0
2023-07-10,sz.002739,13.79,14.25,13.72,14.06,79111388.0
2023-07-11,sz.002739,13.95,13.95,13.7,13.84,44022614.0
2023-07-12,sz.002739,14.12,14.32,13.82,13.91,51430430.0
2023-07-13,sz.002739,13.95,14.91,13.74,14.64,77423648.0
2023-07-14,sz.002739,14.6,14.77,14.47,14.63,39250914.0
2023-07-17,sz.002739,14.92,15.07,14.46,14.5,47755424.0
2023-07-18,sz.002739,14.53,14.8,14.2,14.68,42282093.0
2023-07-19,sz.002739,14.65,14.67,14.4,14.47,27742705.0
2023-07-20,sz.002739,14.55,14.94,14.48,14.53,37136380.0
2023-07-21,sz.002739,14.33,14.92,14.25,14.54,39607842.0
2023-07-24,sz.002739,14.79,14.98,13.98,14.03,69920810.0
2023-07-25,sz.002739,14.21,14.3,13.81,13.89,50993679.0
2023-07-26,sz.002739,13.87,14.23,13.7,13.92,38738213.0
2023-07-27,sz.002739,13.83,14.0,13.69,13.76,27121246.0
2023-07-28,sz.002739,13.79,14.07,13.71,13.92,36147851.0
2023-07-31,sz.002739,13.99,14.74,13.92,14.46,56790766.0
2023-08-01,sz.002739,14.31,14.4,14.1,14.21,31444521.0
2023-08-02,sz.002739,14.07,14.19,13.85,13.94,24467561.0
2023-08-03,sz.002739,13.9,14.05,13.8,13.93,20670985.0
2023-08-04,sz.002739,14.0,14.28,13.94,14.1,29804194.0
2023-08-07,sz.002739,14.43,14.97,14.25,14.85,80255598.0
2023-08-08,sz.002739,14.8,15.02,14.66,14.76,52558441.0
2023-08-09,sz.002739,14.71,14.89,14.28,14.33,47023086.0
2023-08-10,sz.002739,14.33,14.42,14.21,14.29,21953994.0
2023-08-11,sz.002739,14.29,14.47,13.86,13.94,33362747.0
2023-08-14,sz.002739,13.8,14.02,13.69,13.92,25272244.0
2023-08-15,sz.002739,13.95,13.97,13.36,13.53,35437597.0
2023-08-16,sz.002739,13.55,13.76,13.37,13.56,19546775.0
2023-08-17,sz.002739,13.51,13.75,13.41,13.72,21016015.0
2023-08-18,sz.002739,13.76,13.97,13.48,13.48,22677384.0
