date,stock_code,open,high,low,close,volume
2023-07-03,sh.601198,7.8555081,7.9631178,7.8457254,7.923987,11754234
2023-07-04,sh.601198,7.923987,7.9729005,7.8848562,7.923987,8106897
2023-07-05,sh.601198,7.9142043,7.9631178,7.8946389,7.9044216,6697400
2023-07-06,sh.601198,7.9142043,7.9337697,7.8848562,7.8848562,6652401
2023-07-07,sh.601198,7.9044216,8.0022486,7.8946389,7.9435524,9888398
2023-07-10,sh.601198,7.9631178,7.9924659,7.9337697,7.9729005,9346376
2023-07-11,sh.601198,7.9826832,8.0315967,7.9533351,8.021814,8638409
2023-07-12,sh.601198,8.021814,8.0413794,7.9142043,7.923987,7416283
2023-07-13,sh.601198,7.9631178,8.0805102,7.9631178,8.0609448,14199200
2023-07-14,sh.601198,8.0609448,8.1098583,8.0315967,8.0511621,7745672
2023-07-17,sh.601198,7.9924659,8.0413794,7.9729005,8.021814,7406700
2023-07-18,sh.601198,8.0120313,8.0707275,7.9924659,8.021814,5294800
2023-07-19,sh.601198,8.0413794,8.0805102,8.0022486,8.0609448,6588781
2023-07-20,sh.601198,8.0707275,8.0902929,8.0120313,8.021814,7025415
2023-07-21,sh.601198,8.021814,8.0707275,7.9924659,8.0413794,6970666
2023-07-24,sh.601198,8.0413794,8.0707275,8.0022486,8.0120313,6227024
2023-07-25,sh.601198,8.1685545,8.3446431,8.1489891,8.3250777,34560792
2023-07-26,sh.601198,8.315295,8.3348604,8.2272507,8.2859469,19133908
2023-07-27,sh.601198,8.3055123,8.3446431,8.2272507,8.2370334,15621140
2023-07-28,sh.601198,8.2468161,8.8337781,8.2370334,8.7750819,66194401
2023-07-31,sh.601198,8.8924743,9.1174764,8.8142127,8.902257,71095578
2023-08-01,sh.601198,8.8826916,9.0783456,8.7555165,8.9707359,48896855
2023-08-02,sh.601198,8.9120397,9.2348688,8.9120397,9.0587802,54377224
2023-08-03,sh.601198,9.1174764,9.3131304,8.9316051,9.2544342,62803359
2023-08-04,sh.601198,9.4207401,9.6653076,9.2544342,9.3131304,116456514
2023-08-07,sh.601198,9.1174764,9.4207401,9.097911,9.391392,66067562
2023-08-08,sh.601198,9.3326958,9.3718266,9.0587802,9.2642169,48178907
2023-08-09,sh.601198,9.2446515,9.3229131,9.1566072,9.1859553,30866689
2023-08-10,sh.601198,9.2153034,9.3229131,9.195738,9.3131304,39830023
2023-08-11,sh.601198,9.1663899,9.1663899,8.8924743,8.9316051,59792205
2023-08-14,sh.601198,8.7652992,8.8631262,8.6772549,8.7457338,46039573
2023-08-15,sh.601198,8.7261684,8.8435608,8.6576895,8.7750819,33136215
2023-08-16,sh.601198,8.7163857,9.1076937,8.6283414,8.902257,44931006
2023-08-17,sh.601198,8.9316051,9.000084,8.80443,8.9316051,41848233
2023-08-18,sh.601198,8.93160556,9.07915411,8.66601817,8.68569131,33539353
2023-08-21,sh.601198,8.68569131,8.7545473,8.42010392,8.43977706,31201294
2023-08-22,sh.601198,8.46928677,8.57748904,8.37092107,8.52830619,33174081
2023-08-23,sh.601198,8.46928677,8.47912334,8.29222851,8.31190165,25384523
2023-08-24,sh.601198,8.34141136,8.48895991,8.29222851,8.38075764,24611292
2023-08-25,sh.601198,8.34141136,8.50863305,8.34141136,8.42010392,26503606
2023-08-28,sh.601198,9.21686609,9.26604894,8.49879648,8.52830619,129730698
2023-08-29,sh.601198,8.53814276,8.5578159,8.2627188,8.49879648,77429345
2023-08-30,sh.601198,8.44961363,8.46928677,8.29222851,8.30206508,44337059
2023-08-31,sh.601198,8.32173822,8.3610845,8.15451653,8.15451653,40373890
