date,stock_code,open,high,low,close,volume
2023-07-03,sz.002065,6.86245401,6.86245401,6.66722061,6.80388399,62121036
2023-07-04,sz.002065,6.79412232,6.90150069,6.74531397,6.89173902,43619427
2023-07-05,sz.002065,6.89173902,6.92102403,6.70626729,6.71602896,51692852
2023-07-06,sz.002065,6.71602896,6.88197735,6.64769727,6.75507564,46132557
2023-07-07,sz.002065,6.7845768,6.80424224,6.56825696,6.69608232,46269871
2023-07-10,sz.002065,6.71574776,6.74524592,6.64691872,6.6862496,26369070
2023-07-11,sz.002065,6.70591504,6.79440952,6.6862496,6.74524592,30477547
2023-07-12,sz.002065,6.76491136,6.76491136,6.54859152,6.56825696,42684038
2023-07-13,sz.002065,6.56825696,6.67641688,6.5387588,6.64691872,29525941
2023-07-14,sz.002065,6.64691872,6.87307128,6.64691872,6.79440952,53826731
2023-07-17,sz.002065,6.75507864,6.86323856,6.74524592,6.7845768,29326500
2023-07-18,sz.002065,6.77474408,6.81407496,6.70591504,6.72558048,25851185
2023-07-19,sz.002065,6.7354132,6.79440952,6.70591504,6.7354132,19512815
2023-07-20,sz.002065,6.72558048,6.74524592,6.57808968,6.5879224,30218649
2023-07-21,sz.002065,6.5879224,6.61742056,6.51909336,6.55842424,22487869
2023-07-24,sz.002065,6.5387588,6.66658416,6.50926064,6.59775512,18353224
2023-07-25,sz.002065,6.64691872,6.7354132,6.61742056,6.71574776,26550727
2023-07-26,sz.002065,6.70591504,6.70591504,6.57808968,6.59775512,26881884
2023-07-27,sz.002065,6.5879224,6.62725328,6.51909336,6.52892608,21220829
2023-07-28,sz.002065,6.52892608,6.637086,6.46009704,6.60758784,25805642
2023-07-31,sz.002065,6.61742056,6.72558048,6.5879224,6.6862496,29157198
2023-08-01,sz.002065,6.67641688,6.7354132,6.62725328,6.69608232,23272921
2023-08-02,sz.002065,6.6862496,6.7354132,6.65675144,6.72558048,20954967
2023-08-03,sz.002065,6.71574776,6.76491136,6.69608232,6.75507864,23256020
2023-08-04,sz.002065,6.75507864,6.94190032,6.75507864,6.90256944,49602498
2023-08-07,sz.002065,6.90256944,6.97139848,6.882904,6.9320676,33508042
2023-08-08,sz.002065,6.94190032,6.94190032,6.8337404,6.87307128,26656736
2023-08-09,sz.002065,6.8337404,6.95173304,6.79440952,6.8337404,22747092
2023-08-10,sz.002065,6.82390768,6.91240216,6.81407496,6.89273672,19784814
2023-08-11,sz.002065,6.882904,6.89273672,6.7354132,6.74524592,22752043
2023-08-14,sz.002065,6.6862496,6.85340584,6.66658416,6.84357312,22170649
2023-08-15,sz.002065,6.8337404,6.85340584,6.64691872,6.74524592,23780143
2023-08-16,sz.002065,6.69608232,6.76491136,6.56825696,6.61742056,21466220
2023-08-17,sz.002065,6.59775512,6.66658416,6.50926064,6.64691872,17601089
2023-08-18,sz.002065,6.637086,6.70591504,6.46992976,6.46992976,23360989
2023-08-21,sz.002065,6.46992976,6.59775512,6.4404316,6.46992976,20399546
2023-08-22,sz.002065,6.4895952,6.6862496,6.46992976,6.66658416,28964004
2023-08-23,sz.002065,6.62725328,6.70591504,6.54859152,6.55842424,23740526
2023-08-24,sz.002065,6.56825696,6.6862496,6.51909336,6.5879224,36236533
