date,stock_code,open,high,low,close,volume
2023-07-03,sh.600637,7.46167196,7.48075552,7.36625416,7.43304662,21041723
2023-07-04,sh.600637,7.43304662,7.4902973,7.36625416,7.45213018,26275933
2023-07-05,sh.600637,7.42350484,7.47121374,7.3948795,7.43304662,17130653
2023-07-06,sh.600637,7.40442128,7.46167196,7.28991992,7.2994617,31199300
2023-07-07,sh.600637,7.28037814,7.41396306,7.2040439,7.33762882,22859952
2023-07-10,sh.600637,7.33762882,7.52846442,7.31854526,7.51892264,29073114
2023-07-11,sh.600637,7.50938086,7.5380062,7.38533772,7.48075552,16042879
2023-07-12,sh.600637,7.51892264,7.52846442,7.37579594,7.38533772,14679583
2023-07-13,sh.600637,7.42350484,7.57617332,7.40442128,7.55708976,23195646
2023-07-14,sh.600637,7.55708976,7.64296578,7.52846442,7.5857151,16995469
2023-07-17,sh.600637,7.65250756,7.7765507,7.62388222,7.71930002,22586293
2023-07-18,sh.600637,7.74792536,7.75746714,7.633424,7.64296578,15774060
2023-07-19,sh.600637,7.633424,7.70975824,7.61434044,7.67159112,11067302
2023-07-20,sh.600637,7.66204934,7.70975824,7.4902973,7.57617332,22278303
2023-07-21,sh.600637,7.56663154,7.66204934,7.4902973,7.62388222,20968704
2023-07-24,sh.600637,7.59525688,7.70021646,7.56663154,7.633424,14722786
2023-07-25,sh.600637,7.69067468,7.7765507,7.65250756,7.70975824,23816940
2023-07-26,sh.600637,7.7288418,7.7288418,7.57617332,7.60479866,19761280
2023-07-27,sh.600637,7.5857151,7.65250756,7.54754798,7.5857151,13954107
2023-07-28,sh.600637,7.56663154,7.6811329,7.5380062,7.65250756,19552181
2023-07-31,sh.600637,7.691307,7.778598,7.681608,7.768899,20804999
2023-08-01,sh.600637,7.778598,7.827093,7.730103,7.797996,14989735
2023-08-02,sh.600637,7.797996,7.807695,7.720404,7.749501,11224913
2023-08-03,sh.600637,7.730103,7.7592,7.691307,7.749501,10563328
2023-08-04,sh.600637,7.788297,7.924083,7.778598,7.885287,23746822
2023-08-07,sh.600637,7.933782,7.943481,7.875588,7.914384,18412094
2023-08-08,sh.600637,7.904685,8.001675,7.894986,7.943481,18269617
2023-08-09,sh.600637,7.924083,7.972578,7.817394,7.836792,17759372
2023-08-10,sh.600637,7.827093,7.875588,7.778598,7.797996,10050792
2023-08-11,sh.600637,7.836792,7.914384,7.681608,7.691307,14736322
2023-08-14,sh.600637,7.671909,7.778598,7.604016,7.7592,15598549
2023-08-15,sh.600637,7.807695,7.817394,7.671909,7.739802,12549593
2023-08-16,sh.600637,7.701006,7.730103,7.507026,7.545822,21185665
2023-08-17,sh.600637,7.526424,7.613715,7.487628,7.604016,10351714
2023-08-18,sh.600637,7.594317,7.642812,7.487628,7.487628,12805032
2023-08-21,sh.600637,7.487628,7.584618,7.458531,7.458531,10830903
2023-08-22,sh.600637,7.507026,7.594317,7.458531,7.574919,10801939
2023-08-23,sh.600637,7.574919,7.633113,7.536123,7.536123,12055780
2023-08-24,sh.600637,7.555521,7.710705,7.545822,7.642812,17701822
2023-08-25,sh.600637,7.623414,7.671909,7.448832,7.497327,17359463
2023-08-28,sh.600637,7.788297,7.904685,7.681608,7.710705,36566954
2023-08-29,sh.600637,7.701006,7.817394,7.691307,7.797996,20748463
2023-08-30,sh.600637,7.827093,7.894986,7.788297,7.836792,24153226
2023-08-31,sh.600637,7.836792,7.846491,7.710705,7.730103,40291297
2023-09-01,sh.600637,7.691307,7.730103,7.555521,7.56522,24300228
2023-09-04,sh.600637,7.584618,7.633113,7.545822,7.604016,15544982
2023-09-05,sh.600637,7.584618,7.594317,7.46823,7.487628,18897232
2023-09-06,sh.600637,7.46823,7.487628,7.206357,7.264551,38873451
2023-09-07,sh.600637,7.235454,7.37124,7.167561,7.17726,20983148
2023-09-08,sh.600637,7.138464,7.17726,7.060872,7.070571,18446705
2023-09-11,sh.600637,7.119066,7.245153,7.099668,7.186959,18138936
2023-09-12,sh.600637,7.196658,7.216056,7.148163,7.17726,9378229
2023-09-13,sh.600637,7.17726,7.186959,7.08027,7.119066,13124824
2023-09-14,sh.600637,7.119066,7.157862,7.08027,7.138464,9617343
2023-09-15,sh.600637,7.148163,7.225755,7.109367,7.225755,13757776
2023-09-18,sh.600637,7.206357,7.245153,7.012377,7.128765,23525461
2023-09-19,sh.600637,7.099668,7.167561,7.060872,7.099668,15337137
2023-09-20,sh.600637,7.089969,7.148163,7.08027,7.099668,12802324
2023-09-21,sh.600637,7.109367,7.119066,7.022076,7.022076,12670190
2023-09-22,sh.600637,7.012377,7.206357,7.002678,7.196658,15079046
2023-09-25,sh.600637,7.206357,7.254852,7.167561,7.196658,14635447
2023-09-26,sh.600637,7.196658,7.245153,7.167561,7.196658,10081227
2023-09-27,sh.600637,7.186959,7.245153,7.17726,7.235454,11342185
2023-09-28,sh.600637,7.235454,7.264551,7.206357,7.206357,11236585
2023-10-09,sh.600637,7.225755,7.225755,7.099668,7.119066,13227583
2023-10-10,sh.600637,7.17726,7.186959,7.099668,7.128765,8610393
2023-10-11,sh.600637,7.138464,7.245153,7.089969,7.157862,14728064
2023-10-12,sh.600637,7.186959,7.235454,7.157862,7.167561,12005132
2023-10-13,sh.600637,7.157862,7.186959,7.08027,7.089969,10950902
2023-10-16,sh.600637,7.109367,7.119066,7.012377,7.051173,12248936
2023-10-17,sh.600637,7.051173,7.08027,7.022076,7.031775,7682341
2023-10-18,sh.600637,7.060872,7.060872,6.905688,6.925086,9609293
2023-10-19,sh.600637,6.915387,6.973581,6.905688,6.905688,9557807
2023-10-20,sh.600637,6.895989,6.934785,6.837795,6.857193,11522541
2023-10-23,sh.600637,6.837795,6.925086,6.653514,6.663213,14802710
2023-10-24,sh.600637,6.69231,6.88629,6.682611,6.866892,16762159
2023-10-25,sh.600637,6.915387,6.954183,6.866892,6.866892,11852755
2023-10-26,sh.600637,6.857193,6.973581,6.828096,6.925086,10311393
2023-10-27,sh.600637,6.925086,7.031775,6.925086,7.012377,10049612
2023-10-30,sh.600637,6.992979,7.119066,6.992979,7.089969,12654574
2023-10-31,sh.600637,7.17726,7.206357,7.099668,7.157862,18987776
2023-11-01,sh.600637,7.119066,7.27425,7.119066,7.225755,19388716
2023-11-02,sh.600637,7.206357,7.332444,7.186959,7.283949,21158276
2023-11-03,sh.600637,7.27425,7.342143,7.216056,7.283949,15457693
2023-11-06,sh.600637,7.322745,7.419735,7.313046,7.400337,18610345
2023-11-07,sh.600637,7.448832,7.46823,7.380939,7.429434,16456382
2023-11-08,sh.600637,7.410036,7.623414,7.390638,7.56522,36783202
2023-11-09,sh.600637,7.545822,7.574919,7.448832,7.46823,20714605
2023-11-10,sh.600637,7.46823,7.477929,7.342143,7.380939,17091843
2023-11-13,sh.600637,7.574919,7.633113,7.458531,7.536123,19821551
2023-11-14,sh.600637,7.487628,7.526424,7.439133,7.46823,15472086
2023-11-15,sh.600637,7.526424,7.536123,7.448832,7.458531,13765399
2023-11-16,sh.600637,7.448832,7.545822,7.410036,7.507026,14363228
2023-11-17,sh.600637,7.536123,7.613715,7.497327,7.56522,17835417
2023-11-20,sh.600637,7.604016,7.797996,7.574919,7.691307,27366213
2023-11-21,sh.600637,7.691307,7.827093,7.642812,7.739802,27891149
2023-11-22,sh.600637,7.730103,7.875588,7.701006,7.788297,38207661
2023-11-23,sh.600637,7.7592,7.817394,7.66221,7.788297,24926471
2023-11-24,sh.600637,7.797996,7.894986,7.749501,7.807695,23567042
2023-11-27,sh.600637,7.817394,7.836792,7.691307,7.749501,18383080
2023-11-28,sh.600637,7.788297,7.797996,7.671909,7.778598,15435818
2023-11-29,sh.600637,7.807695,7.846491,7.749501,7.768899,16211328
2023-11-30,sh.600637,7.778598,7.846491,7.749501,7.827093,18174834
2023-12-01,sh.600637,7.817394,7.991976,7.797996,7.991976,31183780
2023-12-04,sh.600637,8.040471,8.176257,8.030772,8.108364,29166868
2023-12-05,sh.600637,8.088966,8.166558,7.972578,7.991976,29496995
2023-12-06,sh.600637,7.95318,8.108364,7.836792,8.059869,24455267
2023-12-07,sh.600637,8.059869,8.166558,8.021073,8.137461,25676285
2023-12-08,sh.600637,8.127762,8.156859,8.021073,8.05017,23902820
2023-12-11,sh.600637,8.011374,8.195655,7.991976,8.176257,25476112
2023-12-12,sh.600637,8.185956,8.24415,8.14716,8.205354,20730543
2023-12-13,sh.600637,8.215053,8.282946,8.14716,8.166558,19733990
2023-12-14,sh.600637,8.195655,8.321742,8.176257,8.215053,20868080
2023-12-15,sh.600637,8.205354,8.282946,8.127762,8.205354,22577553
2023-12-18,sh.600637,8.205354,8.234451,8.069568,8.088966,23050928
2023-12-19,sh.600637,8.098665,8.14716,8.05017,8.137461,21190891
2023-12-20,sh.600637,8.108364,8.137461,7.904685,7.933782,26678235
