date,stock_code,open,high,low,close,volume
2023-07-03,sh.600673,6.93435084,7.0014884,6.88639544,6.89598652,9234900
2023-07-04,sh.600673,6.93435084,7.10699028,6.89598652,7.02067056,13356891
2023-07-05,sh.600673,7.02067056,7.06862596,6.93435084,6.98230624,8055241
2023-07-06,sh.600673,6.98230624,6.98230624,6.87680436,6.93435084,8266501
2023-07-07,sh.600673,6.94394192,6.97271516,6.82884896,6.953533,7858303
2023-07-10,sh.600673,6.953533,7.07821704,6.94394192,6.97271516,7110655
2023-07-11,sh.600673,6.953533,7.03985272,6.91516868,7.03026164,6737480
2023-07-12,sh.600673,7.02067056,7.05903488,6.98230624,7.0014884,4665246
2023-07-13,sh.600673,7.03985272,7.07821704,7.0014884,7.02067056,6313603
2023-07-14,sh.600673,7.0494438,7.05903488,6.75212032,6.78089356,17701729
2023-07-17,sh.600673,6.75212032,6.78089356,6.3301128,6.70416492,18589515
2023-07-18,sh.600673,6.75212032,6.8096668,6.60825412,6.65620952,11245800
2023-07-19,sh.600673,6.65620952,6.6658006,6.53152548,6.64661844,10002741
2023-07-20,sh.600673,6.64661844,6.68498276,6.54111656,6.57948088,9830577
2023-07-21,sh.600673,6.53152548,6.6178452,6.46438792,6.51234332,8989432
2023-07-24,sh.600673,6.51234332,6.51234332,6.40684144,6.4260236,5625444
2023-07-25,sh.600673,6.46438792,6.63702736,6.45479684,6.63702736,8758100
2023-07-26,sh.600673,6.63702736,6.65620952,6.59866304,6.65620952,4403187
2023-07-27,sh.600673,6.65620952,6.70416492,6.63702736,6.67539168,5525020
2023-07-28,sh.600673,6.64661844,6.75212032,6.60825412,6.74252924,6313229
2023-07-31,sh.600673,6.78089356,6.84803112,6.75212032,6.84803112,10147100
2023-08-01,sh.600673,6.84803112,6.9055776,6.8096668,6.9055776,7002614
2023-08-02,sh.600673,6.92475976,7.07821704,6.88639544,6.9055776,7540382
2023-08-03,sh.600673,6.92475976,6.92475976,6.83844004,6.89598652,5560816
2023-08-04,sh.600673,6.93435084,7.0014884,6.91516868,6.94394192,7703285
2023-08-07,sh.600673,6.94394192,6.99189732,6.83844004,6.89598652,7639500
2023-08-08,sh.600673,6.87680436,6.97271516,6.79048464,6.89598652,8642000
2023-08-09,sh.600673,6.89598652,6.96312408,6.80007572,6.82884896,5979300
2023-08-10,sh.600673,6.82884896,6.87680436,6.77130248,6.78089356,4176745
2023-08-11,sh.600673,6.77130248,6.83844004,6.6658006,6.69457384,7604300
2023-08-14,sh.600673,6.67539168,6.713756,6.57948088,6.69457384,6318506
2023-08-15,sh.600673,6.69457384,6.72334708,6.56029872,6.57948088,5745400
2023-08-16,sh.600673,6.5698898,6.57948088,6.46438792,6.48357008,6943700
2023-08-17,sh.600673,6.45479684,6.5219344,6.36847712,6.51234332,6953489
2023-08-18,sh.600673,6.5219344,6.54111656,6.38765928,6.46438792,9330588
2023-08-21,sh.600673,6.3780682,6.5219344,6.33970388,6.46438792,13326867
2023-08-22,sh.600673,6.41643252,6.45479684,6.15747336,6.39725036,18149460
2023-08-23,sh.600673,6.41643252,6.4260236,6.2821574,6.29174848,8394900
2023-08-24,sh.600673,6.30133956,6.35888604,6.22461092,6.22461092,6420346
2023-08-25,sh.600673,6.19583768,6.25338416,6.0423804,6.15747336,12717323
2023-08-28,sh.600673,6.473979,6.59866304,6.33970388,6.49316116,22185644
2023-08-29,sh.600673,6.51234332,6.78089356,6.473979,6.74252924,18667900
2023-08-30,sh.600673,6.7617114,6.82884896,6.6658006,6.74252924,12256090
2023-08-31,sh.600673,6.713756,6.73293816,6.44520576,6.5219344,14445245
2023-09-01,sh.600673,6.53152548,6.59866304,6.35888604,6.473979,9875387
2023-09-04,sh.600673,6.50275224,6.57948088,6.36847712,6.473979,15458758
2023-09-05,sh.600673,6.45479684,6.48357008,6.31093064,6.4260236,13904597
2023-09-06,sh.600673,6.41643252,6.41643252,6.31093064,6.34929496,5756689
2023-09-07,sh.600673,6.3301128,6.3780682,6.17665552,6.2821574,14915360
2023-09-08,sh.600673,6.234202,6.3301128,6.19583768,6.2821574,7421610
2023-09-11,sh.600673,6.2821574,6.50275224,6.24379308,6.46438792,12148321
2023-09-12,sh.600673,6.473979,6.54111656,6.43561468,6.44520576,5695200
2023-09-13,sh.600673,6.473979,6.473979,6.34929496,6.40684144,6035291
2023-09-14,sh.600673,6.3780682,6.473979,6.33970388,6.3780682,6666200
2023-09-15,sh.600673,6.36847712,6.44520576,6.31093064,6.34929496,8094303
2023-09-18,sh.600673,6.35888604,6.46438792,6.30133956,6.43561468,7107500
2023-09-19,sh.600673,6.41643252,6.44520576,6.36847712,6.40684144,5552203
2023-09-20,sh.600673,6.39725036,6.41643252,6.30133956,6.3301128,6695136
2023-09-21,sh.600673,6.3301128,6.34929496,6.22461092,6.29174848,8873000
2023-09-22,sh.600673,6.2821574,6.43561468,6.25338416,6.40684144,8015305
2023-09-25,sh.600673,6.38765928,6.38765928,6.234202,6.27256632,11579738
2023-09-26,sh.600673,6.24379308,6.2821574,6.21501984,6.234202,6574692
2023-09-27,sh.600673,6.234202,6.4260236,6.21501984,6.31093064,10264623
2023-09-28,sh.600673,6.33970388,6.39725036,6.31093064,6.36847712,3896583
2023-10-09,sh.600673,6.32052172,6.35888604,6.1862466,6.26297524,10238890
2023-10-10,sh.600673,6.26297524,6.3301128,6.24379308,6.29174848,6511481
2023-10-11,sh.600673,6.3301128,6.33970388,6.20542876,6.234202,8120339
2023-10-12,sh.600673,6.234202,6.36847712,6.234202,6.3301128,11152862
2023-10-13,sh.600673,6.34929496,6.38765928,6.00401608,6.3780682,18130791
2023-10-16,sh.600673,6.3780682,6.40684144,6.1382912,6.14788228,14312802
2023-10-17,sh.600673,6.1382912,6.16706444,6.05197148,6.06156256,8321300
2023-10-18,sh.600673,6.0903358,6.14788228,5.97524284,6.0903358,9040537
2023-10-19,sh.600673,6.0423804,6.08074472,5.9464696,5.98483392,8688062
2023-10-20,sh.600673,5.96565176,6.0903358,5.9464696,5.98483392,5691160
2023-10-23,sh.600673,5.98483392,6.01360716,5.84096772,5.86974096,6354260
2023-10-24,sh.600673,5.87933204,5.91769636,5.81219448,5.86014988,7636500
2023-10-25,sh.600673,5.84096772,6.02319824,5.84096772,5.97524284,6688104
2023-10-26,sh.600673,5.9464696,6.1382912,5.90810528,6.11910904,7898100
2023-10-27,sh.600673,6.10951796,6.34929496,6.08074472,6.31093064,10058797
2023-10-30,sh.600673,6.29174848,6.79048464,6.29174848,6.74252924,24998852
2023-10-31,sh.600673,6.73293816,6.82884896,6.69457384,6.82884896,13298762
2023-11-01,sh.600673,6.86721328,6.86721328,6.65620952,6.73293816,10705640
2023-11-02,sh.600673,6.72334708,6.77130248,6.64661844,6.6658006,6663060
2023-11-03,sh.600673,6.6658006,6.713756,6.54111656,6.54111656,8406403
2023-11-06,sh.600673,6.53152548,6.62743628,6.45479684,6.48357008,10877900
2023-11-07,sh.600673,6.48357008,6.51234332,6.3780682,6.40684144,7153553
2023-11-08,sh.600673,6.41643252,6.45479684,6.35888604,6.38765928,6838500
2023-11-09,sh.600673,6.40684144,6.46438792,6.3780682,6.38765928,6287371
2023-11-10,sh.600673,6.3780682,6.63702736,6.34929496,6.5219344,15462924
2023-11-13,sh.600673,6.54111656,6.5698898,6.4260236,6.473979,8633374
2023-11-14,sh.600673,6.50275224,6.51234332,6.43561468,6.46438792,5527800
2023-11-15,sh.600673,6.50275224,6.58907196,6.473979,6.48357008,8720038
2023-11-16,sh.600673,6.46438792,6.48357008,6.39725036,6.39725036,5927300
2023-11-17,sh.600673,6.40684144,6.48357008,6.3780682,6.46438792,5814545
2023-11-20,sh.600673,6.48357008,6.5698898,6.43561468,6.5219344,6373529
2023-11-21,sh.600673,6.50275224,6.56029872,6.46438792,6.49316116,5461200
2023-11-22,sh.600673,6.473979,6.51234332,6.41643252,6.43561468,4871731
2023-11-23,sh.600673,6.43561468,6.51234332,6.38765928,6.473979,7002882
2023-11-24,sh.600673,6.48357008,6.50275224,6.38765928,6.43561468,6509700
2023-11-27,sh.600673,6.473979,6.51234332,6.35888604,6.41643252,5800246
2023-11-28,sh.600673,6.40684144,6.473979,6.33970388,6.45479684,5413829
2023-11-29,sh.600673,6.46438792,6.64661844,6.43561468,6.473979,9665900
2023-11-30,sh.600673,6.48357008,6.48357008,6.29174848,6.3780682,9441943
2023-12-01,sh.600673,6.40684144,6.40684144,6.32052172,6.36847712,5315500
2023-12-04,sh.600673,6.34929496,6.5698898,6.32052172,6.50275224,12579553
2023-12-05,sh.600673,6.5219344,6.59866304,6.41643252,6.43561468,9815100
2023-12-06,sh.600673,6.4260236,6.56029872,6.36847712,6.43561468,8742745
2023-12-07,sh.600673,6.44520576,6.45479684,6.3301128,6.35888604,9802400
2023-12-08,sh.600673,6.35888604,6.4260236,6.31093064,6.39725036,8932576
2023-12-11,sh.600673,6.38765928,6.51234332,6.26297524,6.49316116,11242400
2023-12-12,sh.600673,6.50275224,6.5219344,6.44520576,6.49316116,5682152
2023-12-13,sh.600673,6.50275224,6.5698898,6.473979,6.48357008,5804500
2023-12-14,sh.600673,6.48357008,6.59866304,6.48357008,6.51234332,9890514
2023-12-15,sh.600673,6.50275224,6.57948088,6.44520576,6.49316116,7683243
2023-12-18,sh.600673,6.45479684,6.51234332,6.38765928,6.44520576,6480292
2023-12-19,sh.600673,6.44520576,6.54111656,6.3780682,6.53152548,9380903
2023-12-20,sh.600673,6.55070764,6.5698898,6.40684144,6.44520576,6192900
2023-12-21,sh.600673,6.4260236,6.44520576,6.3301128,6.38765928,8753817
2023-12-22,sh.600673,6.3780682,6.46438792,6.25338416,6.45479684,10686500
2023-12-25,sh.600673,6.43561468,6.51234332,6.2821574,6.35888604,8353073
2023-12-26,sh.600673,6.38765928,6.38765928,6.27256632,6.29174848,3512654
2023-12-27,sh.600673,6.35888604,6.48357008,6.24379308,6.45479684,7948006
2023-12-28,sh.600673,6.473979,6.75212032,6.39725036,6.72334708,18947478
2023-12-29,sh.600673,6.713756,7.07821704,6.67539168,7.03026164,23643711
2024-01-02,sh.600673,7.03026164,7.03985272,6.73293816,6.7617114,11682862
2024-01-03,sh.600673,6.7617114,6.8096668,6.68498276,6.72334708,7008700
2024-01-04,sh.600673,6.73293816,6.79048464,6.63702736,6.68498276,6594000
2024-01-05,sh.600673,6.68498276,6.77130248,6.5698898,6.5698898,6436000
2024-01-08,sh.600673,6.5698898,6.6178452,6.43561468,6.46438792,6471296
2024-01-09,sh.600673,6.46438792,6.56029872,6.38765928,6.39725036,5848640
2024-01-10,sh.600673,6.4260236,6.473979,6.32052172,6.36847712,4393528
2024-01-11,sh.600673,6.36847712,6.56029872,6.34929496,6.50275224,6135929
2024-01-12,sh.600673,6.51234332,6.6178452,6.473979,6.5219344,4691730
2024-01-15,sh.600673,6.54111656,6.54111656,6.4260236,6.44520576,3761986
2024-01-16,sh.600673,6.44520576,6.49316116,6.39725036,6.46438792,4454960
2024-01-17,sh.600673,6.46438792,6.50275224,6.33970388,6.33970388,4783952
2024-01-18,sh.600673,6.33970388,6.40684144,6.08074472,6.33970388,12218987
2024-01-19,sh.600673,6.33970388,6.53152548,6.31093064,6.3301128,7919350
2024-01-22,sh.600673,6.31093064,6.3301128,5.96565176,6.234202,14338984
2024-01-23,sh.600673,6.14788228,6.25338416,5.994425,6.24379308,9173385
2024-01-24,sh.600673,6.24379308,6.3301128,6.1382912,6.27256632,9495623
2024-01-25,sh.600673,6.27256632,6.40684144,6.22461092,6.32052172,5887506
2024-01-26,sh.600673,6.31093064,6.34929496,6.21501984,6.22461092,5572611
2024-01-29,sh.600673,6.26297524,6.27256632,6.06156256,6.12870012,5644100
2024-01-30,sh.600673,6.11910904,6.15747336,5.92728744,5.92728744,4776787
2024-01-31,sh.600673,5.92728744,5.994425,5.754648,5.93687852,7673540
2024-02-01,sh.600673,5.86974096,6.1382912,5.82178556,6.00401608,9272236
2024-02-02,sh.600673,5.98483392,6.00401608,5.754648,5.93687852,15125400
