date,stock_code,open,high,low,close,volume
2023-07-03,sh.601608,4.19052564,4.23015236,4.15089892,4.210339,33725138
2023-07-04,sh.601608,4.22024568,4.24005904,4.1608056,4.17071228,25244697
2023-07-05,sh.601608,4.17071228,4.18061896,4.10136552,4.12117888,23262300
2023-07-06,sh.601608,4.14099224,4.18061896,4.1112722,4.13108556,19423450
2023-07-07,sh.601608,4.1112722,4.18061896,4.07164548,4.14099224,18831022
2023-07-10,sh.601608,4.15089892,4.1608056,4.0617388,4.10136552,29490741
2023-07-11,sh.601608,4.09145884,4.1112722,4.0617388,4.08155216,19101000
2023-07-12,sh.601608,4.09145884,4.09145884,3.97257868,3.97257868,24400189
2023-07-13,sh.601608,3.99239204,4.02211208,3.97257868,4.0122054,17783589
2023-07-14,sh.601608,4.0122054,4.05183212,4.00229872,4.0122054,13807050
2023-07-17,sh.601608,3.98248536,4.04192544,3.94285864,4.02211208,20902043
2023-07-18,sh.601608,4.02211208,4.0617388,3.97257868,4.03201876,17093078
2023-07-19,sh.601608,4.03201876,4.04192544,3.97257868,4.0122054,14552900
2023-07-20,sh.601608,4.00229872,4.0122054,3.95276532,3.95276532,16851400
2023-07-21,sh.601608,3.94285864,3.962672,3.9131386,3.92304528,14558404
2023-07-24,sh.601608,3.9131386,4.00229872,3.89332524,3.95276532,13523309
2023-07-25,sh.601608,3.98248536,4.04192544,3.97257868,4.03201876,15735800
2023-07-26,sh.601608,4.03201876,4.05183212,3.99239204,4.0122054,12879038
2023-07-27,sh.601608,4.0122054,4.07164548,3.99239204,4.00229872,15975838
2023-07-28,sh.601608,3.97257868,4.09145884,3.95276532,4.07164548,31226723
2023-07-31,sh.601608,4.08155216,4.12117888,4.07164548,4.10136552,25635534
2023-08-01,sh.601608,4.10136552,4.1112722,4.07164548,4.09145884,16712217
2023-08-02,sh.601608,4.07164548,4.14099224,4.07164548,4.09145884,21426994
2023-08-03,sh.601608,4.09145884,4.13108556,4.05183212,4.12117888,19172574
2023-08-04,sh.601608,4.13108556,4.1608056,4.10136552,4.1112722,20267884
2023-08-07,sh.601608,4.12117888,4.14099224,4.08155216,4.09145884,15334993
2023-08-08,sh.601608,4.1112722,4.1112722,4.04192544,4.07164548,12040917
2023-08-09,sh.601608,4.07164548,4.07164548,4.02211208,4.03201876,15290015
2023-08-10,sh.601608,4.02211208,4.07164548,4.0122054,4.04192544,13870505
