date,stock_code,open,high,low,close,volume
2023-07-03,sh.601061,8.28059313,8.37479783,8.26175219,8.34653642,20640601
2023-07-04,sh.601061,8.41247971,8.62915052,8.39363877,8.44074112,38043177
2023-07-05,sh.601061,8.33711595,9.00596932,8.21464984,8.77045757,63952346
2023-07-06,sh.601061,8.6668324,8.6668324,8.48784347,8.53494582,39859959
2023-07-07,sh.601061,8.48784347,8.61973005,8.40305924,8.54436629,22249122
2023-07-10,sh.601061,8.55378676,8.61030958,8.45958206,8.56320723,18903938
2023-07-11,sh.601061,8.55378676,8.58204817,8.48784347,8.51610488,13999021
2023-07-12,sh.601061,8.50668441,8.54436629,8.25233172,8.26175219,23721817
2023-07-13,sh.601061,8.29943407,8.60088911,8.29943407,8.5726277,36096176
2023-07-14,sh.601061,8.5726277,8.5726277,8.44074112,8.44074112,21799933
2023-07-17,sh.601061,8.40305924,8.41247971,8.30885454,8.35595689,16136999
2023-07-18,sh.601061,8.36537736,8.41247971,8.29943407,8.37479783,13618205
2023-07-19,sh.601061,8.34653642,8.40305924,8.32769548,8.37479783,10214186
2023-07-20,sh.601061,8.37479783,8.42190018,8.26175219,8.27117266,15261700
2023-07-21,sh.601061,8.25233172,8.28059313,8.17696796,8.24291125,10147439
2023-07-24,sh.601061,8.17696796,8.29943407,8.17696796,8.23349078,8054994
2023-07-25,sh.601061,8.29943407,8.43132065,8.27117266,8.3842183,19807959
2023-07-26,sh.601061,8.3842183,8.44074112,8.31827501,8.36537736,14376778
2023-07-27,sh.601061,8.34653642,8.41247971,8.25233172,8.27117266,13666146
2023-07-28,sh.601061,8.26175219,8.41247971,8.17696796,8.40305924,25342873
2023-07-31,sh.601061,8.41247971,8.56320723,8.41247971,8.51610488,26231953
2023-08-01,sh.601061,8.478423,8.9494465,8.478423,8.79871898,66037752
2023-08-02,sh.601061,9.12843543,9.25090154,8.78929851,8.80813945,86742885
2023-08-03,sh.601061,8.5726277,8.73277569,8.54436629,8.63857099,45199804
2023-08-04,sh.601061,8.62915052,8.73277569,8.5726277,8.61973005,33082464
2023-08-07,sh.601061,8.5726277,8.78929851,8.53494582,8.75161663,42689750
2023-08-08,sh.601061,8.74204804,8.75162312,8.58884676,8.617572,23020193
2023-08-09,sh.601061,8.55054644,8.59842184,8.4739458,8.51224612,18944829
2023-08-10,sh.601061,8.49309596,8.54097136,8.48352088,8.54097136,12065519
2023-08-11,sh.601061,8.54097136,8.5696966,8.34946976,8.35904484,17232014
2023-08-14,sh.601061,8.29201928,8.39734516,8.2345688,8.38777008,11825211
2023-08-15,sh.601061,8.36861992,8.44522056,8.3303196,8.41649532,10758494
2023-08-16,sh.601061,8.38777008,8.41649532,8.31116944,8.31116944,10287394
2023-08-17,sh.601061,8.2824442,8.41649532,8.24414388,8.39734516,12850583
2023-08-18,sh.601061,8.38777008,8.56012152,8.35904484,8.53139628,25220965
2023-08-21,sh.601061,8.5696966,8.58884676,8.41649532,8.43564548,15007900
2023-08-22,sh.601061,8.39734516,8.56012152,8.39734516,8.56012152,20629739
2023-08-23,sh.601061,8.53139628,8.67502248,8.43564548,8.45479564,26207839
2023-08-24,sh.601061,8.44522056,8.49309596,8.2345688,8.29201928,23137785
2023-08-25,sh.601061,8.2345688,8.2345688,7.66963908,7.7558148,27808179
2023-08-28,sh.601061,8.2345688,8.2824442,7.79411512,7.82284036,20942194
2023-08-29,sh.601061,7.82284036,8.02391704,7.7079394,7.98561672,16885697
2023-08-30,sh.601061,7.9473164,8.08136752,7.90901608,7.95689148,15631056
2023-08-31,sh.601061,7.9473164,7.96646656,7.88029084,7.899441,9574655
2023-09-01,sh.601061,7.899441,8.0909426,7.88986592,8.01434196,13720860
