date,stock_code,open,high,low,close,volume
2023-07-03,sh.601598,4.27120352,4.35405014,4.24358798,4.31722942,31312524
2023-07-04,sh.601598,4.28961388,4.33563978,4.2343828,4.26199834,24031577
2023-07-05,sh.601598,4.26199834,4.30802424,4.24358798,4.27120352,19080411
2023-07-06,sh.601598,4.27120352,4.28961388,4.1883569,4.20676726,18408181
2023-07-07,sh.601598,4.19756208,4.26199834,4.17915172,4.24358798,15071923
2023-07-10,sh.601598,4.24358798,4.2804087,4.19756208,4.26199834,18086364
2023-07-11,sh.601598,4.25279316,4.26199834,4.19756208,4.19756208,15475800
2023-07-12,sh.601598,4.1883569,4.20676726,4.10551028,4.11471546,17145952
2023-07-13,sh.601598,4.13312582,4.1883569,4.12392064,4.17915172,13841067
2023-07-14,sh.601598,4.16994654,4.24358798,4.15153618,4.20676726,16343377
2023-07-17,sh.601598,4.19756208,4.2343828,4.142331,4.2343828,17191600
2023-07-18,sh.601598,4.20676726,4.24358798,4.17915172,4.20676726,12467408
2023-07-19,sh.601598,4.20676726,4.25279316,4.1883569,4.22517762,13906009
2023-07-20,sh.601598,4.2343828,4.24358798,4.16074136,4.16994654,13759559
2023-07-21,sh.601598,4.17915172,4.20676726,4.142331,4.17915172,10592624
2023-07-24,sh.601598,4.17915172,4.2804087,4.16074136,4.22517762,23522443
2023-07-25,sh.601598,4.26199834,4.31722942,4.25279316,4.30802424,25130358
2023-07-26,sh.601598,4.29881906,4.31722942,4.2343828,4.25279316,16245568
2023-07-27,sh.601598,4.27120352,4.28961388,4.25279316,4.27120352,12528490
2023-07-28,sh.601598,4.25279316,4.42769158,4.24358798,4.40007604,39777178
2023-07-31,sh.601598,4.40928122,4.75907806,4.40007604,4.63941072,83347505
2023-08-01,sh.601598,4.58417964,4.61179518,4.44610194,4.47371748,65623126
2023-08-02,sh.601598,4.4645123,4.47371748,4.3724605,4.39087086,33195073
2023-08-03,sh.601598,4.3724605,4.4184864,4.34484496,4.40007604,22159187
2023-08-04,sh.601598,4.42769158,4.43689676,4.36325532,4.38166568,24483542
2023-08-07,sh.601598,4.36325532,4.3724605,4.29881906,4.33563978,24871393
2023-08-08,sh.601598,4.3264346,4.3724605,4.29881906,4.35405014,19172657
2023-08-09,sh.601598,4.3264346,4.34484496,4.2804087,4.28961388,20120480
2023-08-10,sh.601598,4.28961388,4.33563978,4.27120352,4.3264346,16206337
