date,stock_code,open,high,low,close,volume
2023-07-03,sh.600536,47.09,51.57,46.83,51.57,42526474
2023-07-04,sh.600536,51.7,54.6,51.05,53.91,60910969
2023-07-05,sh.600536,53.9,54.4,52.5,52.98,29308493
2023-07-06,sh.600536,53.5,53.71,52.05,52.35,19705514
2023-07-07,sh.600536,52.21,52.35,49.28,50.6,23262963
2023-07-10,sh.600536,50.69,52.08,50.39,51.2,16755045
2023-07-11,sh.600536,51.21,51.36,50.34,50.73,12364596
2023-07-12,sh.600536,50.36,50.73,48.0,48.11,22460296
2023-07-13,sh.600536,48.21,48.73,47.58,48.36,13101142
2023-07-14,sh.600536,48.3,50.5,48.28,49.7,22210518
2023-07-17,sh.600536,49.64,52.03,49.48,50.79,19405045
2023-07-18,sh.600536,50.65,51.36,49.8,49.94,11690685
2023-07-19,sh.600536,50.1,50.6,48.9,49.29,11089393
2023-07-20,sh.600536,49.1,49.49,48.35,48.35,9550916
2023-07-21,sh.600536,48.11,48.76,47.77,48.16,7603014
2023-07-24,sh.600536,48.08,51.5,48.06,50.54,22844060
2023-07-25,sh.600536,50.68,51.47,49.84,50.73,17254227
2023-07-26,sh.600536,50.76,52.0,50.2,50.82,15967790
2023-07-27,sh.600536,50.25,50.55,49.7,50.28,12891616
2023-07-28,sh.600536,51.6,52.72,50.95,52.66,38100991
2023-07-31,sh.600536,51.9,52.58,51.11,52.05,23119743
2023-08-01,sh.600536,52.72,56.49,51.74,54.84,45375728
2023-08-02,sh.600536,54.01,55.2,53.09,53.8,25043508
2023-08-03,sh.600536,53.0,53.85,52.3,53.65,14555782
2023-08-04,sh.600536,54.3,56.34,53.9,55.33,29737729
2023-08-07,sh.600536,55.05,55.76,53.38,55.15,27412100
2023-08-08,sh.600536,54.9,57.43,54.45,54.61,34393722
2023-08-09,sh.600536,54.43,57.3,53.74,54.25,39020543
2023-08-10,sh.600536,53.6,54.39,52.87,53.2,21279128
2023-08-11,sh.600536,53.62,54.5,52.59,52.65,19515686
2023-08-14,sh.600536,51.95,55.88,51.8,55.0,26481315
2023-08-15,sh.600536,54.79,54.99,52.98,53.7,15889081
2023-08-16,sh.600536,53.87,54.12,51.49,51.5,18985839
2023-08-17,sh.600536,50.99,52.1,50.7,51.7,14709374
