date,stock_code,open,high,low,close,volume
2023-07-03,sh.600737,6.89037437,6.9504399,6.864632,6.92469753,16550519
2023-07-04,sh.600737,6.9504399,7.05340938,6.91611674,6.98476306,18289801
2023-07-05,sh.600737,6.93327832,6.99334385,6.92469753,6.94185911,9706922
2023-07-06,sh.600737,6.95902069,7.0362478,6.9504399,7.00192464,12761570
2023-07-07,sh.600737,6.9504399,7.06199017,6.92469753,6.97618227,11413940
2023-07-10,sh.600737,7.00192464,7.10489412,6.97618227,7.07915175,17338157
2023-07-11,sh.600737,7.05340938,7.06199017,6.97618227,6.99334385,10813662
2023-07-12,sh.600737,7.06424935,7.09970355,7.01106805,7.0376587,13613496
2023-07-13,sh.600737,7.0553858,7.22379325,7.0553858,7.20606615,18645692
2023-07-14,sh.600737,7.1794755,7.29470165,7.1617484,7.22379325,15743095
2023-07-17,sh.600737,7.15288485,7.3212923,7.11743065,7.18833905,15305495
2023-07-18,sh.600737,7.2149297,7.25924745,7.1440213,7.2149297,13812657
2023-07-19,sh.600737,7.1794755,7.27697455,7.1794755,7.24152035,10316400
2023-07-20,sh.600737,7.27697455,7.31242875,7.17061195,7.1972026,15377406
2023-07-21,sh.600737,7.15288485,7.268111,7.15288485,7.1972026,11330101
2023-07-24,sh.600737,7.1972026,7.2858381,7.18833905,7.2326568,12992936
2023-07-25,sh.600737,7.2858381,7.3035652,7.20606615,7.24152035,14317250
2023-07-26,sh.600737,7.2503839,7.268111,7.1972026,7.2326568,9888122
2023-07-27,sh.600737,7.22379325,7.268111,7.1794755,7.20606615,10592218
2023-07-28,sh.600737,7.1794755,7.2503839,7.1440213,7.24152035,13543836
2023-07-31,sh.600737,7.2503839,7.41879135,7.2326568,7.4099278,32994784
2023-08-01,sh.600737,7.38333715,7.4099278,7.29470165,7.3212923,17235375
2023-08-02,sh.600737,7.31242875,7.33015585,7.1794755,7.20606615,17868752
2023-08-03,sh.600737,7.1794755,7.2503839,7.1617484,7.2326568,13694602
2023-08-04,sh.600737,7.268111,7.3035652,7.20606615,7.2326568,17607464
2023-08-07,sh.600737,7.2503839,7.3567465,7.2149297,7.3035652,19777044
2023-08-08,sh.600737,7.3390194,7.50742685,7.31242875,7.47197265,40786890
2023-08-09,sh.600737,7.41879135,7.4276549,7.29470165,7.38333715,25742585
2023-08-10,sh.600737,7.3744736,7.45424555,7.3212923,7.4276549,18503218
2023-08-11,sh.600737,7.43651845,7.48969975,7.24152035,7.25924745,20990853
2023-08-14,sh.600737,7.1972026,7.22379325,7.0553858,7.1440213,19923707
2023-08-15,sh.600737,7.1440213,7.17061195,6.9844774,7.06424935,16009172
2023-08-16,sh.600737,7.0553858,7.11743065,6.99334095,7.0376587,8980800
2023-08-17,sh.600737,7.0199316,7.1972026,6.9667503,7.1794755,15154595
2023-08-18,sh.600737,7.1617484,7.1972026,7.04652225,7.06424935,13267200
2023-08-21,sh.600737,7.04652225,7.1262942,7.02879515,7.0376587,10850600
2023-08-22,sh.600737,7.0376587,7.0731129,6.85152415,6.94015965,19668716
2023-08-23,sh.600737,6.94015965,7.06424935,6.8958419,6.95788675,12709024
2023-08-24,sh.600737,7.1972026,7.43651845,7.13515775,7.268111,47049973
2023-08-25,sh.600737,7.2503839,7.38333715,7.2149297,7.2503839,29873549
2023-08-28,sh.600737,7.622653,7.64924365,7.38333715,7.41879135,58002042
2023-08-29,sh.600737,7.47197265,7.6403801,7.4631091,7.5871988,42226476
2023-08-30,sh.600737,7.6049259,7.6935614,7.50742685,7.56060815,24839650
2023-08-31,sh.600737,7.5517446,7.68469785,7.4631091,7.622653,28613533
2023-09-01,sh.600737,7.59606235,7.68469785,7.5694717,7.6581072,26658220
2023-09-04,sh.600737,7.7112885,7.799924,7.6403801,7.79106045,33890341
2023-09-05,sh.600737,7.7467427,7.77333335,7.59606235,7.61378945,29311345
2023-09-06,sh.600737,7.77333335,7.82651465,7.622653,7.66697075,34816139
2023-09-07,sh.600737,7.6049259,7.622653,7.45424555,7.4631091,23647106
2023-09-08,sh.600737,7.4985633,7.6049259,7.445382,7.52515395,18725100
2023-09-11,sh.600737,7.4985633,7.63151655,7.4808362,7.57833525,22246574
2023-09-12,sh.600737,7.5694717,7.6049259,7.50742685,7.54288105,12455700
2023-09-13,sh.600737,7.56060815,7.59606235,7.445382,7.50742685,13754801
2023-09-14,sh.600737,7.50742685,7.5517446,7.45424555,7.5162904,12251893
2023-09-15,sh.600737,7.54288105,7.68469785,7.52515395,7.66697075,24774638
2023-09-18,sh.600737,7.61378945,7.63151655,7.43651845,7.50742685,23366794
2023-09-19,sh.600737,7.48969975,7.5694717,7.4631091,7.5340175,14720781
2023-09-20,sh.600737,7.5694717,7.57833525,7.4985633,7.4985633,10859400
2023-09-21,sh.600737,7.48969975,7.5162904,7.40106425,7.4099278,14410200
2023-09-22,sh.600737,7.43651845,7.50742685,7.4099278,7.50742685,10185100
2023-09-25,sh.600737,7.5162904,7.5694717,7.43651845,7.48969975,13722345
2023-09-26,sh.600737,7.50794095,7.5170636,7.4258371,7.4440824,13975214
2023-09-27,sh.600737,7.4440824,7.480573,7.41671445,7.4440824,8993002
2023-09-28,sh.600737,7.50794095,7.5353089,7.45320505,7.52618625,11752903
2023-10-09,sh.600737,7.54443155,7.65390335,7.480573,7.5535542,20543916
2023-10-10,sh.600737,7.5535542,7.61741275,7.29812,7.3163653,23057294
2023-10-11,sh.600737,7.30724265,7.39846915,7.2433841,7.2616294,15277944
