date,stock_code,open,high,low,close,volume
2023-07-03,sz.001213,4.28027103,4.32880018,4.2705652,4.30938852,12755664
2023-07-04,sz.001213,4.30938852,4.31909435,4.28027103,4.29968269,9885231
2023-07-05,sz.001213,4.29968269,4.30938852,4.2705652,4.28027103,7331241
2023-07-06,sz.001213,4.2705652,4.28997686,4.25115354,4.2705652,6703900
2023-07-07,sz.001213,4.26085937,4.29968269,4.25115354,4.28997686,6990576
2023-07-10,sz.001213,4.28997686,4.32880018,4.28027103,4.29968269,7858800
2023-07-11,sz.001213,4.29968269,4.30938852,4.28027103,4.30938852,6176386
2023-07-12,sz.001213,4.30938852,4.30938852,4.25115354,4.26085937,10613500
2023-07-13,sz.001213,4.26085937,4.28997686,4.26085937,4.28027103,7501646
2023-07-14,sz.001213,4.28997686,4.28997686,4.2705652,4.28997686,6613637
2023-07-17,sz.001213,4.28027103,4.28997686,4.24144771,4.26085937,8072500
2023-07-18,sz.001213,4.26085937,4.28997686,4.25115354,4.28027103,7048039
2023-07-19,sz.001213,4.28027103,4.29968269,4.2705652,4.29968269,7985300
2023-07-20,sz.001213,4.28997686,4.32880018,4.28997686,4.29968269,15289593
2023-07-21,sz.001213,4.29968269,4.31909435,4.28997686,4.30938852,8794900
2023-07-24,sz.001213,4.30938852,4.33850601,4.29968269,4.32880018,9292991
2023-07-25,sz.001213,4.33850601,4.3676235,4.33850601,4.3676235,13292691
2023-07-26,sz.001213,4.3676235,4.37732933,4.33850601,4.3676235,11692400
2023-07-27,sz.001213,4.3676235,4.37732933,4.35791767,4.3676235,10939390
2023-07-28,sz.001213,4.35791767,4.41615265,4.33850601,4.41615265,20477640
2023-07-31,sz.001213,4.41615265,4.49379929,4.41615265,4.47438763,23630112
2023-08-01,sz.001213,4.4646818,4.48409346,4.44527014,4.4646818,14114307
2023-08-02,sz.001213,4.4646818,4.47438763,4.41615265,4.43556431,13619483
2023-08-03,sz.001213,4.43556431,4.45497597,4.39674099,4.44527014,18277858
2023-08-04,sz.001213,4.45497597,4.47438763,4.42585848,4.43556431,13570900
