date,stock_code,open,high,low,close,volume
2023-07-03,sh.600998,5.33136218,5.33650332,5.10515202,5.25938622,16568029
2023-07-04,sh.600998,5.2439628,5.2439628,4.9869058,4.99718808,18263766
2023-07-05,sh.600998,4.99718808,5.03317606,4.94577668,4.95091782,9755817
2023-07-06,sh.600998,4.95605896,5.02803492,4.93035326,4.96634124,9009886
2023-07-07,sh.600998,4.9354944,4.9869058,4.89436528,4.96634124,7489638
2023-07-10,sh.600998,4.99718808,5.10515202,4.96634124,5.07430518,9654276
2023-07-11,sh.600998,5.08458746,5.12057544,5.01775264,5.0640229,6784240
2023-07-12,sh.600998,5.06916404,5.06916404,4.99718808,5.00232922,4651660
2023-07-13,sh.600998,4.99718808,5.0640229,4.99204694,5.0383172,5829315
2023-07-14,sh.600998,5.03317606,5.07944632,5.01775264,5.0383172,3743280
2023-07-17,sh.600998,5.03317606,5.04859948,4.97148238,5.04345834,5202045
2023-07-18,sh.600998,5.04345834,5.14114,5.0383172,5.07944632,6724730
2023-07-19,sh.600998,5.0640229,5.14114,5.05888176,5.10515202,5160065
2023-07-20,sh.600998,5.12571658,5.14114,5.0640229,5.08458746,4836453
2023-07-21,sh.600998,5.0640229,5.1154343,5.04859948,5.0640229,4099910
2023-07-24,sh.600998,4.9612001,5.13599886,4.9354944,5.12571658,11727442
2023-07-25,sh.600998,5.12571658,5.15142228,5.04345834,5.07430518,8960352
2023-07-26,sh.600998,5.07430518,5.12571658,5.04345834,5.1154343,5632076
2023-07-27,sh.600998,5.1154343,5.1154343,5.05374062,5.07944632,5430236
2023-07-28,sh.600998,5.10001088,5.15142228,5.05888176,5.13599886,8733594
2023-07-31,sh.600998,5.13085772,5.20283368,5.06916404,5.09486974,12263897
2023-08-01,sh.600998,5.07944632,5.08458746,4.94063554,4.9612001,11427295
2023-08-02,sh.600998,4.96634124,4.97662352,4.8583773,4.884083,9184269
2023-08-03,sh.600998,4.86865958,4.99204694,4.86351844,4.9869058,7523801
2023-08-04,sh.600998,5.0126115,5.01775264,4.9612001,4.97662352,6671535
2023-08-07,sh.600998,4.9869058,4.99718808,4.884083,4.91492984,8720434
2023-08-08,sh.600998,4.91492984,5.10515202,4.86865958,5.04859948,13751400
2023-08-09,sh.600998,5.04345834,5.0640229,4.9612001,5.02803492,12573116
2023-08-10,sh.600998,5.02803492,5.0383172,4.93035326,4.97662352,6455539
2023-08-11,sh.600998,4.97662352,5.0126115,4.9097887,4.92521212,6653593
2023-08-14,sh.600998,4.90464756,5.00747036,4.87380072,4.99204694,6671392
2023-08-15,sh.600998,4.97148238,5.1154343,4.9354944,5.05888176,10875098
2023-08-16,sh.600998,5.05888176,5.1154343,5.03317606,5.07430518,9670509
2023-08-17,sh.600998,5.04859948,5.12571658,5.03317606,5.09486974,8368253
2023-08-18,sh.600998,5.11029316,5.1154343,4.91492984,4.92521212,9202473
2023-08-21,sh.600998,4.92521212,4.9612001,4.7812602,4.7812602,8093416
2023-08-22,sh.600998,4.7812602,4.8069659,4.6784374,4.7555545,8320281
2023-08-23,sh.600998,4.77097792,4.89436528,4.7298488,4.8326716,8171556
2023-08-24,sh.600998,4.83781274,4.86865958,4.74527222,4.7555545,7441891
2023-08-25,sh.600998,4.76069564,4.82238932,4.73498994,4.74527222,4192077
2023-08-28,sh.600998,4.9097887,5.00232922,4.8326716,4.85323616,10164287
2023-08-29,sh.600998,4.82753046,5.17198684,4.79668362,5.14114,19942289
2023-08-30,sh.600998,5.14114,5.20283368,5.03317606,5.1668457,12293929
2023-08-31,sh.600998,5.18741026,5.31593876,5.1668457,5.31079762,14080719
2023-09-01,sh.600998,5.25424508,5.31079762,5.1154343,5.1668457,10961533
2023-09-04,sh.600998,5.1925514,5.30051534,5.17712798,5.22339824,12890370
2023-09-05,sh.600998,5.22339824,5.3467856,5.19769254,5.26452736,9822147
2023-09-06,sh.600998,5.24910394,5.31593876,5.1925514,5.22339824,6569420
2023-09-07,sh.600998,5.22339824,5.25424508,5.1668457,5.2182571,7694121
2023-09-08,sh.600998,5.1925514,5.26452736,5.1668457,5.1925514,4029776
2023-09-11,sh.600998,5.20797482,5.3724913,5.20283368,5.31079762,13036535
2023-09-12,sh.600998,5.3210799,5.36735016,5.25938622,5.30565648,6886921
2023-09-13,sh.600998,5.30565648,5.42904384,5.27995078,5.33136218,8206487
2023-09-14,sh.600998,5.30565648,5.3724913,5.29023306,5.32622104,9526910
2023-09-15,sh.600998,5.32622104,5.398197,5.31593876,5.37763244,8916757
2023-09-18,sh.600998,5.37763244,5.47017296,5.3467856,5.41362042,12290969
2023-09-19,sh.600998,5.41876156,5.53700778,5.41362042,5.44446726,9653854
2023-09-20,sh.600998,5.4496084,5.52158436,5.40333814,5.50616094,10046903
2023-09-21,sh.600998,5.50616094,5.53186664,5.398197,5.44446726,9397860
2023-09-22,sh.600998,5.43932612,5.51130208,5.39305586,5.49587866,7537698
2023-09-25,sh.600998,5.48559638,5.5781369,5.45474954,5.51644322,9049061
2023-09-26,sh.600998,5.51644322,5.55757234,5.48045524,5.51130208,8651526
2023-09-27,sh.600998,5.5267255,5.57299576,5.5010198,5.56271348,8971307
2023-09-28,sh.600998,5.56785462,5.61926602,5.54729006,5.56785462,10890204
