date,stock_code,open,high,low,close,volume
2023-07-03,sh.600578,3.6088543,3.9286262,3.57230894,3.7458994,125558130
2023-07-04,sh.600578,3.71849038,3.72762672,3.61799064,3.67280868,75331246
2023-07-05,sh.600578,3.63626332,3.71849038,3.57230894,3.59058162,66712856
2023-07-06,sh.600578,3.5631726,3.61799064,3.50835456,3.5631726,60565295
2023-07-07,sh.600578,3.54489992,3.71849038,3.5174909,3.654536,96460628
2023-07-10,sh.600578,3.73676306,3.85553548,3.5631726,3.63626332,133642463
2023-07-11,sh.600578,3.64539966,3.654536,3.5174909,3.58144528,73041209
2023-07-12,sh.600578,3.54489992,3.57230894,3.4718092,3.52662724,67331410
2023-07-13,sh.600578,3.53576358,3.54489992,3.48094554,3.52662724,50272680
2023-07-14,sh.600578,3.49008188,3.49008188,3.40785482,3.44440018,53180260
2023-07-17,sh.600578,3.4261275,3.45353652,3.38958214,3.43526384,32559055
2023-07-18,sh.600578,3.41699116,3.4261275,3.34390044,3.37130946,36262270
2023-07-19,sh.600578,3.37130946,3.38958214,3.32562776,3.3347641,34962810
2023-07-20,sh.600578,3.35303678,3.36217312,3.2890824,3.29821874,29631213
2023-07-21,sh.600578,3.29821874,3.31649142,3.27994606,3.29821874,24415848
2023-07-24,sh.600578,3.29821874,3.35303678,3.27080972,3.34390044,29803907
2023-07-25,sh.600578,3.36217312,3.36217312,3.30735508,3.32562776,41674575
2023-07-26,sh.600578,3.31649142,3.34390044,3.2890824,3.32562776,28028617
2023-07-27,sh.600578,3.32562776,3.3804458,3.29821874,3.31649142,25275759
2023-07-28,sh.600578,3.29821874,3.34390044,3.27080972,3.32562776,30732081
2023-07-31,sh.600578,3.32562776,3.35303678,3.31649142,3.34390044,31986466
2023-08-01,sh.600578,3.34390044,3.4261275,3.3347641,3.41699116,50833749
2023-08-02,sh.600578,3.39871848,3.41699116,3.34390044,3.40785482,38528999
2023-08-03,sh.600578,3.38958214,3.41699116,3.37130946,3.40785482,22127731
2023-08-04,sh.600578,3.41699116,3.44440018,3.3804458,3.38958214,26145080
2023-08-07,sh.600578,3.3804458,3.39871848,3.3347641,3.37130946,27384726
2023-08-08,sh.600578,3.3804458,3.40785482,3.31649142,3.34390044,26725622
2023-08-09,sh.600578,3.3347641,3.34390044,3.27994606,3.2890824,26972622
2023-08-10,sh.600578,3.29821874,3.31649142,3.27994606,3.29821874,16039302
2023-08-11,sh.600578,3.2890824,3.2890824,3.197719,3.21599168,33031599
2023-08-14,sh.600578,3.197719,3.26167338,3.16117364,3.26167338,25046779
2023-08-15,sh.600578,3.2434007,3.31649142,3.22512802,3.25253704,28737600
2023-08-16,sh.600578,3.2714473,3.2714473,3.20526195,3.24308215,18719320
2023-08-17,sh.600578,3.214717,3.2336271,3.1579867,3.214717,25794000
2023-08-18,sh.600578,3.14853165,3.14853165,2.97834075,2.97834075,83351428
2023-08-21,sh.600578,2.97834075,2.97834075,2.90270035,2.9121554,43272189
2023-08-22,sh.600578,2.9121554,2.95943065,2.88379025,2.92161045,24681200
2023-08-23,sh.600578,2.90270035,2.9121554,2.8743352,2.8743352,23475760
2023-08-24,sh.600578,2.8743352,2.9121554,2.8554251,2.86488015,19745073
2023-08-25,sh.600578,2.86488015,2.9310655,2.836515,2.88379025,24130451
2023-08-28,sh.600578,2.9877958,3.0067059,2.92161045,2.9310655,37710215
2023-08-29,sh.600578,2.92161045,2.9499756,2.90270035,2.9310655,23596401
2023-08-30,sh.600578,2.9310655,2.95943065,2.8932453,2.8932453,19693176
2023-08-31,sh.600578,2.8932453,2.9310655,2.88379025,2.9121554,20882873
2023-09-01,sh.600578,2.90270035,2.9121554,2.88379025,2.8932453,16957421
2023-09-04,sh.600578,2.90270035,2.9499756,2.8743352,2.9499756,23638315
2023-09-05,sh.600578,2.9310655,3.0067059,2.9310655,2.99725085,37806194
2023-09-06,sh.600578,2.9877958,2.9877958,2.9499756,2.95943065,19291015
2023-09-07,sh.600578,2.9499756,2.9688857,2.9121554,2.9121554,16253000
2023-09-08,sh.600578,2.92161045,2.99725085,2.90270035,2.9688857,28376052
2023-09-11,sh.600578,2.95943065,3.025616,2.9499756,2.99725085,23888094
2023-09-12,sh.600578,2.99725085,3.03507105,2.97834075,2.9877958,19066120
2023-09-13,sh.600578,2.9877958,3.03507105,2.97834075,3.0067059,19951692
2023-09-14,sh.600578,2.9877958,3.025616,2.9877958,3.0067059,14425832
2023-09-15,sh.600578,3.01616095,3.01616095,2.97834075,3.0067059,24804100
2023-09-18,sh.600578,2.99725085,2.99725085,2.94052055,2.95943065,21541500
2023-09-19,sh.600578,2.95943065,2.99725085,2.9499756,2.9877958,19192042
2023-09-20,sh.600578,2.9877958,2.99725085,2.9499756,2.9688857,11431943
2023-09-21,sh.600578,2.9688857,2.97834075,2.94052055,2.94052055,11897741
2023-09-22,sh.600578,2.9499756,2.9688857,2.9310655,2.95943065,14884480
2023-09-25,sh.600578,2.9499756,2.9688857,2.92161045,2.9310655,12932508
2023-09-26,sh.600578,2.9310655,2.95943065,2.9121554,2.9310655,13418210
2023-09-27,sh.600578,2.9310655,2.9499756,2.8932453,2.90270035,17461300
2023-09-28,sh.600578,2.90270035,2.9310655,2.90270035,2.9310655,13139358
2023-10-09,sh.600578,2.92161045,2.92161045,2.86488015,2.8743352,19465500
2023-10-10,sh.600578,2.8743352,2.8932453,2.80814985,2.8176049,25323600
2023-10-11,sh.600578,2.8176049,2.82705995,2.7230544,2.7419645,29239900
2023-10-12,sh.600578,2.7608746,2.8176049,2.75141955,2.7986948,17958400
2023-10-13,sh.600578,2.7986948,2.80814985,2.7608746,2.77032965,8964900
2023-10-16,sh.600578,2.77032965,2.7986948,2.7419645,2.7608746,12367376
2023-10-17,sh.600578,2.77032965,2.7986948,2.7608746,2.77032965,10135800
2023-10-18,sh.600578,2.77032965,2.7797847,2.7041443,2.7041443,19859800
2023-10-19,sh.600578,2.69468925,2.73250945,2.6852342,2.69468925,19501848
2023-10-20,sh.600578,2.69468925,2.73250945,2.65686905,2.7041443,14929600
2023-10-23,sh.600578,2.7041443,2.71359935,2.6095938,2.6285039,17656500
2023-10-24,sh.600578,2.6285039,2.6852342,2.6285039,2.6663241,16756593
2023-10-25,sh.600578,2.67577915,2.71359935,2.67577915,2.69468925,14348700
2023-10-26,sh.600578,2.6852342,2.7419645,2.65686905,2.7230544,17591400
2023-10-27,sh.600578,2.7230544,2.78923975,2.71359935,2.7797847,21417000
2023-10-30,sh.600578,2.8176049,2.88379025,2.7986948,2.82705995,33011902
2023-10-31,sh.600578,2.82705995,2.8554251,2.78923975,2.82705995,15535702
2023-11-01,sh.600578,2.82705995,2.8743352,2.8176049,2.84597005,18412800
2023-11-02,sh.600578,2.836515,2.8743352,2.82705995,2.84597005,14625313
2023-11-03,sh.600578,2.84597005,2.86488015,2.80814985,2.80814985,17661900
2023-11-06,sh.600578,2.82705995,2.84597005,2.7986948,2.8176049,17812900
2023-11-07,sh.600578,2.80814985,2.8176049,2.78923975,2.7986948,12299100
2023-11-08,sh.600578,2.7986948,2.80814985,2.75141955,2.77032965,19413300
2023-11-09,sh.600578,2.7797847,2.80814985,2.7608746,2.7797847,15054966
2023-11-10,sh.600578,2.7797847,2.836515,2.73250945,2.80814985,26234786
2023-11-13,sh.600578,2.8743352,2.9121554,2.80814985,2.86488015,53094936
2023-11-14,sh.600578,2.86488015,2.8932453,2.82705995,2.84597005,26571952
2023-11-15,sh.600578,2.8554251,2.8554251,2.8176049,2.82705995,20143280
2023-11-16,sh.600578,2.82705995,2.84597005,2.7986948,2.82705995,17298245
2023-11-17,sh.600578,2.80814985,2.86488015,2.80814985,2.836515,17615400
2023-11-20,sh.600578,2.84597005,2.86488015,2.82705995,2.86488015,13578700
2023-11-21,sh.600578,2.8554251,2.8743352,2.84597005,2.8554251,14467197
2023-11-22,sh.600578,2.84597005,2.86488015,2.8176049,2.836515,13478500
2023-11-23,sh.600578,2.836515,2.836515,2.80814985,2.82705995,13084131
2023-11-24,sh.600578,2.82705995,2.8554251,2.80814985,2.80814985,15912200
2023-11-27,sh.600578,2.8176049,2.90270035,2.80814985,2.82705995,22203303
2023-11-28,sh.600578,2.82705995,2.84597005,2.7986948,2.82705995,17766132
2023-11-29,sh.600578,2.82705995,2.836515,2.7986948,2.7986948,11008701
2023-11-30,sh.600578,2.8176049,2.836515,2.78923975,2.8176049,14077200
2023-12-01,sh.600578,2.82705995,2.836515,2.80814985,2.836515,11717917
2023-12-04,sh.600578,2.836515,2.84597005,2.80814985,2.836515,15570800
2023-12-05,sh.600578,2.82705995,2.86488015,2.7986948,2.7986948,23334197
2023-12-06,sh.600578,2.7986948,2.82705995,2.7608746,2.8176049,15989981
2023-12-07,sh.600578,2.80814985,2.836515,2.7986948,2.8176049,10979500
2023-12-08,sh.600578,2.82705995,2.86488015,2.8176049,2.84597005,29926954
2023-12-11,sh.600578,2.84597005,2.8554251,2.77032965,2.8554251,22920100
2023-12-12,sh.600578,2.84597005,2.88379025,2.82705995,2.88379025,18254588
2023-12-13,sh.600578,2.86488015,2.9121554,2.86488015,2.90270035,29565700
2023-12-14,sh.600578,2.9121554,2.9499756,2.8743352,2.92161045,32452811
2023-12-15,sh.600578,2.94052055,2.9688857,2.8932453,2.9121554,29004300
2023-12-18,sh.600578,2.88379025,2.8932453,2.82705995,2.84597005,27886300
2023-12-19,sh.600578,2.82705995,2.836515,2.78923975,2.82705995,20659011
2023-12-20,sh.600578,2.80814985,2.86488015,2.7986948,2.7986948,16640500
2023-12-21,sh.600578,2.78923975,2.7986948,2.7419645,2.78923975,18870860
2023-12-22,sh.600578,2.7797847,2.78923975,2.75141955,2.77032965,17070124
2023-12-25,sh.600578,2.7608746,2.77032965,2.7419645,2.75141955,10578787
2023-12-26,sh.600578,2.75141955,2.80814985,2.7419645,2.7419645,12989287
2023-12-27,sh.600578,2.7608746,2.78923975,2.7419645,2.7797847,12162000
2023-12-28,sh.600578,2.77032965,2.80814985,2.7608746,2.7986948,16617402
2023-12-29,sh.600578,2.7986948,2.80814985,2.77032965,2.7986948,12446900
2024-01-02,sh.600578,2.78923975,2.86488015,2.7797847,2.84597005,25378511
2024-01-03,sh.600578,2.836515,2.9121554,2.82705995,2.9121554,30571630
2024-01-04,sh.600578,2.8932453,2.9121554,2.8743352,2.90270035,20439312
2024-01-05,sh.600578,2.90270035,2.9499756,2.8743352,2.8932453,25541708
2024-01-08,sh.600578,2.8932453,2.92161045,2.84597005,2.8554251,19807200
2024-01-09,sh.600578,2.8743352,2.8743352,2.82705995,2.86488015,15536000
2024-01-10,sh.600578,2.8554251,2.8743352,2.8176049,2.84597005,14886445
2024-01-11,sh.600578,2.8554251,2.88379025,2.836515,2.84597005,15603800
2024-01-12,sh.600578,2.836515,2.8932453,2.836515,2.8743352,20991278
2024-01-15,sh.600578,2.8932453,2.90270035,2.8554251,2.88379025,14662388
2024-01-16,sh.600578,2.86488015,2.8743352,2.8176049,2.84597005,17784579
2024-01-17,sh.600578,2.84597005,2.86488015,2.80814985,2.80814985,16947800
2024-01-18,sh.600578,2.7986948,2.80814985,2.6663241,2.75141955,28938645
2024-01-19,sh.600578,2.7419645,2.77032965,2.71359935,2.71359935,16255200
2024-01-22,sh.600578,2.7230544,2.73250945,2.5717736,2.58122865,21234800
2024-01-23,sh.600578,2.58122865,2.647414,2.52449835,2.61904885,22000189
2024-01-24,sh.600578,2.6285039,2.6852342,2.58122865,2.6852342,20650500
2024-01-25,sh.600578,2.7041443,2.86488015,2.69468925,2.84597005,37668011
2024-01-26,sh.600578,2.84597005,2.9121554,2.82705995,2.8932453,35717487
2024-01-29,sh.600578,2.88379025,2.92161045,2.8743352,2.8932453,27321200
2024-01-30,sh.600578,2.8743352,2.9121554,2.836515,2.836515,25428900
2024-01-31,sh.600578,2.836515,2.8932453,2.78923975,2.7986948,26147500
2024-02-01,sh.600578,2.77032965,2.80814985,2.7041443,2.73250945,25385409
2024-02-02,sh.600578,2.73250945,2.7797847,2.60013875,2.65686905,28852400
2024-02-05,sh.600578,2.65686905,2.65686905,2.46776805,2.5528635,41791200
2024-02-06,sh.600578,2.52449835,2.6852342,2.4772231,2.647414,39604312
2024-02-07,sh.600578,2.63795895,2.7419645,2.6095938,2.73250945,48484493
2024-02-08,sh.600578,2.75141955,2.86488015,2.7419645,2.80814985,43652764
2024-02-19,sh.600578,2.836515,2.8743352,2.80814985,2.8554251,35570396
2024-02-20,sh.600578,2.836515,2.8743352,2.8176049,2.84597005,21523507
2024-02-21,sh.600578,2.84597005,2.88379025,2.82705995,2.8554251,31924987
2024-02-22,sh.600578,2.84597005,2.8743352,2.836515,2.8554251,19174787
2024-02-23,sh.600578,2.8554251,2.8932453,2.84597005,2.86488015,25563680
2024-02-26,sh.600578,2.86488015,2.88379025,2.8176049,2.82705995,27175600
2024-02-27,sh.600578,2.8176049,2.84597005,2.80814985,2.84597005,18828532
2024-02-28,sh.600578,2.84597005,2.8932453,2.836515,2.836515,38423289
2024-02-29,sh.600578,2.836515,2.8743352,2.8176049,2.8743352,27048900
2024-03-01,sh.600578,2.8743352,2.90270035,2.8554251,2.8743352,24283985
2024-03-04,sh.600578,2.86488015,2.8743352,2.836515,2.86488015,19012700
2024-03-05,sh.600578,2.8743352,2.9121554,2.8554251,2.90270035,35004753
2024-03-06,sh.600578,2.8932453,2.95943065,2.8932453,2.94052055,34139489
2024-03-07,sh.600578,2.9499756,3.025616,2.94052055,2.97834075,45834586
2024-03-08,sh.600578,2.97834075,3.0634362,2.95943065,3.05398115,49604200
2024-03-11,sh.600578,3.05398115,3.09180135,2.99725085,3.03507105,41351810
2024-03-12,sh.600578,3.025616,3.03507105,2.9121554,2.9310655,44287892
2024-03-13,sh.600578,2.9310655,2.97834075,2.92161045,2.9499756,27964240
2024-03-14,sh.600578,2.9499756,3.03507105,2.94052055,3.0067059,35379660
2024-03-15,sh.600578,2.99725085,3.1958069,2.99725085,3.1201665,82361895
2024-03-18,sh.600578,3.1390766,3.14853165,3.07289125,3.11071145,43276100
2024-03-19,sh.600578,3.1012564,3.1390766,3.0634362,3.07289125,24300049
2024-03-20,sh.600578,3.0634362,3.1012564,3.0445261,3.0823463,22114433
2024-03-21,sh.600578,3.0823463,3.09180135,3.025616,3.0445261,25653300
2024-03-22,sh.600578,3.03507105,3.0634362,2.9877958,3.01616095,27575789
2024-03-25,sh.600578,2.99725085,3.07289125,2.99725085,3.01616095,24245844
2024-03-26,sh.600578,3.0067059,3.07289125,3.0067059,3.05398115,24997221
2024-03-27,sh.600578,3.0634362,3.11071145,3.0445261,3.05398115,35585950
2024-03-28,sh.600578,3.0445261,3.1201665,3.01616095,3.1012564,29934000
2024-03-29,sh.600578,3.0823463,3.18635185,3.0823463,3.1768968,37755000
2024-04-01,sh.600578,3.1768968,3.20526195,3.12962155,3.16744175,28313587
2024-04-02,sh.600578,3.16744175,3.214717,3.1579867,3.20526195,33132997
2024-04-03,sh.600578,3.214717,3.2903574,3.1958069,3.2714473,43246301
2024-04-08,sh.600578,3.24308215,3.35654275,3.24308215,3.33763265,54541185
2024-04-09,sh.600578,3.29981245,3.37545285,3.28090235,3.3281776,33800400
2024-04-10,sh.600578,3.31872255,3.39436295,3.2903574,3.3470877,33251741
2024-04-11,sh.600578,3.3281776,3.39436295,3.28090235,3.3659978,35546246
2024-04-12,sh.600578,3.3659978,3.39436295,3.3092675,3.31872255,33792300
2024-04-15,sh.600578,3.3281776,3.39436295,3.28090235,3.37545285,37825000
2024-04-16,sh.600578,3.37545285,3.403818,3.2714473,3.29981245,40273400
2024-04-17,sh.600578,3.31872255,3.37545285,3.28090235,3.37545285,31369068
2024-04-18,sh.600578,3.35654275,3.403818,3.29981245,3.31872255,31962200
2024-04-19,sh.600578,3.2903574,3.35654275,3.28090235,3.3092675,22890401
2024-04-22,sh.600578,3.29981245,3.3470877,3.2525372,3.26199225,24417242
2024-04-23,sh.600578,3.26199225,3.28090235,3.18635185,3.20526195,20925900
2024-04-24,sh.600578,3.20526195,3.2714473,3.20526195,3.2336271,22252100
2024-04-25,sh.600578,3.24308215,3.2903574,3.20526195,3.26199225,20678271
2024-04-26,sh.600578,3.2714473,3.28090235,3.18635185,3.2336271,29981860
2024-04-29,sh.600578,3.214717,3.214717,3.14853165,3.1958069,37400508
2024-04-30,sh.600578,3.20526195,3.26199225,3.18635185,3.22417205,28198300
2024-05-06,sh.600578,3.2525372,3.3281776,3.20526195,3.31872255,42423000
2024-05-07,sh.600578,3.3092675,3.31872255,3.18635185,3.22417205,40066800
2024-05-08,sh.600578,3.22417205,3.2714473,3.1958069,3.1958069,28621600
2024-05-09,sh.600578,3.18635185,3.2525372,3.1768968,3.2336271,27775900
2024-05-10,sh.600578,3.2336271,3.2903574,3.214717,3.28090235,41375000
2024-05-13,sh.600578,3.3092675,3.3470877,3.24308215,3.3281776,39537902
2024-05-14,sh.600578,3.3092675,3.3659978,3.28090235,3.3281776,36337350
2024-05-15,sh.600578,3.3281776,3.3470877,3.214717,3.2336271,29748100
2024-05-16,sh.600578,3.2336271,3.24308215,3.14853165,3.16744175,40770600
2024-05-17,sh.600578,3.16744175,3.214717,3.14853165,3.18635185,26013516
2024-05-20,sh.600578,3.18635185,3.26199225,3.16744175,3.2525372,34666720
2024-05-21,sh.600578,3.2525372,3.26199225,3.16744175,3.20526195,30300400
2024-05-22,sh.600578,3.1958069,3.2336271,3.18635185,3.1958069,21757920
2024-05-23,sh.600578,3.20526195,3.20526195,3.1201665,3.12962155,30291900
2024-05-24,sh.600578,3.12962155,3.2525372,3.1201665,3.214717,50986102
2024-05-27,sh.600578,3.2336271,3.28090235,3.20526195,3.28090235,39868475
2024-05-28,sh.600578,3.2714473,3.33763265,3.2525372,3.2903574,45063629
2024-05-29,sh.600578,3.2903574,3.3281776,3.214717,3.29981245,38604000
2024-05-30,sh.600578,3.29981245,3.3281776,3.16744175,3.1768968,41631400
2024-05-31,sh.600578,3.18635185,3.214717,3.12962155,3.16744175,30304831
2024-06-03,sh.600578,3.1768968,3.18635185,3.1012564,3.12962155,38608824
2024-06-04,sh.600578,3.14853165,3.24308215,3.1201665,3.2336271,37933300
2024-06-05,sh.600578,3.2336271,3.26199225,3.1768968,3.18635185,30035700
2024-06-06,sh.600578,3.1958069,3.26199225,3.16744175,3.1958069,36560900
2024-06-07,sh.600578,3.20526195,3.31872255,3.16744175,3.29981245,41191164
2024-06-11,sh.600578,3.2714473,3.29981245,3.1958069,3.22417205,40675308
2024-06-12,sh.600578,3.214717,3.22417205,3.14853165,3.1958069,38911600
2024-06-13,sh.600578,3.16744175,3.214717,3.1579867,3.1768968,32311315
2024-06-14,sh.600578,3.1768968,3.2525372,3.07289125,3.14853165,96594367
2024-06-17,sh.600578,3.1012564,3.1012564,2.9877958,2.99725085,74566291
2024-06-18,sh.600578,2.99725085,3.025616,2.9499756,3.01616095,42914166
2024-06-19,sh.600578,3.0067059,3.07289125,2.99725085,3.01616095,28043130
2024-06-20,sh.600578,3.01616095,3.03507105,2.97834075,2.99725085,28739876
2024-06-21,sh.600578,2.9877958,3.03507105,2.9688857,3.01616095,31806095
2024-06-24,sh.600578,3.0067059,3.0445261,2.95943065,2.9877958,33676400
2024-06-25,sh.600578,2.9877958,3.025616,2.97834075,2.99725085,26186540
2024-06-26,sh.600578,2.99725085,3.025616,2.95943065,3.0067059,26241468
2024-06-27,sh.600578,2.99725085,3.025616,2.9688857,2.97834075,24316200
2024-06-28,sh.600578,2.9688857,3.09180135,2.9310655,3.0634362,48057278
2024-07-01,sh.600578,3.05398115,3.1958069,3.0445261,3.18635185,44328760
2024-07-02,sh.600578,3.20526195,3.214717,3.14853165,3.214717,34668402
2024-07-03,sh.600578,3.20526195,3.24308215,3.18635185,3.20526195,26440701
2024-07-04,sh.600578,3.18635185,3.2525372,3.16744175,3.18635185,27118659
2024-07-05,sh.600578,3.1768968,3.18635185,3.1390766,3.1768968,23428289
2024-07-08,sh.600578,3.18635185,3.24308215,3.1579867,3.20526195,26096000
2024-07-09,sh.600578,3.2525372,3.3849079,3.24308215,3.35654275,62993536
2024-07-10,sh.600578,3.35654275,3.3659978,3.20526195,3.20526195,42813000
2024-07-11,sh.600578,3.24308215,3.2525372,3.1579867,3.22417205,40212500
2024-07-12,sh.600578,3.214717,3.2903574,3.214717,3.2336271,26929294
2024-07-15,sh.600578,3.20526195,3.24308215,3.1768968,3.22417205,22179400
2024-07-16,sh.600578,3.20526195,3.2525372,3.1958069,3.22417205,20292966
2024-07-17,sh.600578,3.22417205,3.24308215,3.1579867,3.16744175,23307881
2024-07-18,sh.600578,3.16744175,3.20526195,3.12962155,3.20526195,18793202
2024-07-19,sh.600578,3.1958069,3.214717,3.12962155,3.14853165,26760365
2024-07-22,sh.600578,3.14853165,3.1768968,3.1012564,3.1201665,21749600
