date,stock_code,open,high,low,close,volume
2023-07-03,sh.688525,79.0,81.44,77.36,79.5,5001250
2023-07-04,sh.688525,78.72,82.88,78.0,81.22,6299574
2023-07-05,sh.688525,81.31,86.18,79.56,82.91,8053458
2023-07-06,sh.688525,81.99,89.47,81.44,87.98,10415282
2023-07-07,sh.688525,87.76,88.6,83.88,84.0,7120482
2023-07-10,sh.688525,85.0,85.33,78.88,79.17,6050478
2023-07-11,sh.688525,78.36,84.35,78.36,82.57,6537834
2023-07-12,sh.688525,81.83,84.3,78.81,79.41,5906222
2023-07-13,sh.688525,78.88,93.98,78.28,92.0,14313029
2023-07-14,sh.688525,90.99,94.99,89.9,92.8,12917690
2023-07-17,sh.688525,91.99,95.5,90.06,94.1,9335583
2023-07-18,sh.688525,94.1,102.77,91.38,91.38,13624345
2023-07-19,sh.688525,89.53,93.53,88.5,89.98,7560657
2023-07-20,sh.688525,87.5,87.5,80.01,80.01,9863005
2023-07-21,sh.688525,81.9,82.0,77.0,77.02,5519183
2023-07-24,sh.688525,76.65,78.67,74.91,77.91,3375688
2023-07-25,sh.688525,79.55,84.15,77.5,82.32,7116513
2023-07-26,sh.688525,82.0,83.64,80.03,82.19,4285596
2023-07-27,sh.688525,82.33,83.3,80.08,80.5,4396191
2023-07-28,sh.688525,80.99,82.38,78.45,78.55,4529124
2023-07-31,sh.688525,76.09,79.37,74.13,77.44,4762185
2023-08-01,sh.688525,77.44,79.55,75.5,77.86,4526308
2023-08-02,sh.688525,68.0,73.52,68.0,70.48,6920553
2023-08-03,sh.688525,69.5,70.5,67.38,67.66,5795345
2023-08-04,sh.688525,67.89,69.5,66.6,68.08,4878263
2023-08-07,sh.688525,68.8,69.22,67.66,67.89,3455032
2023-08-08,sh.688525,67.89,70.97,67.89,69.29,5028043
2023-08-09,sh.688525,68.6,69.18,65.7,65.99,4054852
2023-08-10,sh.688525,66.31,67.2,65.72,66.13,2345275
2023-08-11,sh.688525,66.55,66.55,63.84,63.84,3517431
2023-08-14,sh.688525,63.16,64.8,63.0,64.6,2520147
2023-08-15,sh.688525,65.0,65.65,62.51,63.03,2830417
2023-08-16,sh.688525,62.31,63.33,61.3,61.31,3000619
2023-08-17,sh.688525,60.77,63.5,60.0,62.55,3573407
2023-08-18,sh.688525,63.31,65.99,62.37,62.39,4991258
2023-08-21,sh.688525,61.81,63.58,60.6,62.71,3394322
2023-08-22,sh.688525,62.99,64.5,61.4,64.5,4253206
2023-08-23,sh.688525,63.51,63.9,61.75,62.2,3197325
2023-08-24,sh.688525,63.32,63.78,60.99,61.51,4730841
2023-08-25,sh.688525,60.43,61.3,58.47,58.85,4757765
2023-08-28,sh.688525,64.88,64.88,58.52,58.58,3619884
2023-08-29,sh.688525,58.82,62.06,57.87,61.08,4102149
2023-08-30,sh.688525,61.17,73.3,61.17,68.19,12214754
2023-08-31,sh.688525,65.98,69.79,64.1,68.45,8511050
2023-09-01,sh.688525,68.5,72.66,68.5,68.76,7469397
2023-09-04,sh.688525,68.76,70.17,67.45,70.17,5286114
2023-09-05,sh.688525,70.29,73.5,69.12,70.86,8034762
2023-09-06,sh.688525,69.74,74.03,69.3,72.49,7057996
2023-09-07,sh.688525,72.8,74.93,69.0,70.1,8010586
2023-09-08,sh.688525,69.45,72.5,69.35,70.47,5472288
2023-09-11,sh.688525,69.7,70.77,68.57,70.15,3656010
2023-09-12,sh.688525,70.66,71.8,69.6,69.84,2572467
2023-09-13,sh.688525,70.0,74.5,70.0,71.53,6543149
2023-09-14,sh.688525,70.46,72.48,68.02,68.8,3942466
2023-09-15,sh.688525,69.28,71.98,67.2,70.2,3906389
2023-09-18,sh.688525,70.0,70.2,67.6,68.28,3084005
2023-09-19,sh.688525,68.5,71.69,67.5,68.75,4251704
2023-09-20,sh.688525,67.78,70.95,67.5,69.07,3250899
2023-09-21,sh.688525,68.93,69.98,67.6,67.61,2607315
2023-09-22,sh.688525,67.28,67.75,61.52,67.01,4467288
2023-09-25,sh.688525,67.48,67.68,65.35,65.58,2471902
2023-09-26,sh.688525,65.4,68.98,65.0,66.26,3587058
2023-09-27,sh.688525,65.82,67.45,64.44,64.44,3291053
2023-09-28,sh.688525,64.5,65.6,62.9,62.96,3733721
2023-10-09,sh.688525,63.35,65.9,62.53,64.29,3400409
2023-10-10,sh.688525,64.29,68.33,64.11,67.53,6192164
2023-10-11,sh.688525,67.0,67.99,65.8,67.75,4309664
2023-10-12,sh.688525,67.77,67.77,65.4,66.45,3345955
2023-10-13,sh.688525,66.45,68.88,65.6,66.79,3954292
2023-10-16,sh.688525,66.36,66.67,62.47,62.93,3499473
2023-10-17,sh.688525,62.93,64.2,61.91,63.83,2404937
2023-10-18,sh.688525,63.81,65.62,62.99,63.0,2466759
2023-10-19,sh.688525,62.65,66.2,62.02,64.18,3745330
2023-10-20,sh.688525,63.45,64.1,58.01,58.05,4460491
2023-10-23,sh.688525,57.53,58.42,53.53,54.41,3850873
2023-10-24,sh.688525,54.99,57.88,54.12,56.86,3294507
2023-10-25,sh.688525,56.85,58.35,56.4,56.97,2844221
2023-10-26,sh.688525,56.6,57.24,54.22,55.08,2833243
2023-10-27,sh.688525,55.8,57.89,55.14,56.56,3680006
2023-10-30,sh.688525,55.65,58.46,55.0,57.52,3947092
2023-10-31,sh.688525,58.85,60.8,57.01,57.45,3666040
2023-11-01,sh.688525,56.5,58.2,56.11,56.34,2521513
2023-11-02,sh.688525,56.35,57.15,55.4,55.41,2049483
2023-11-03,sh.688525,55.73,58.2,55.5,57.58,3478903
2023-11-06,sh.688525,58.0,61.12,57.53,60.55,4282962
2023-11-07,sh.688525,60.8,62.5,60.03,62.18,3984311
2023-11-08,sh.688525,61.89,64.08,61.63,62.4,4355357
2023-11-09,sh.688525,63.09,63.93,61.8,62.18,3274309
2023-11-10,sh.688525,62.18,71.0,62.1,66.27,9015856
2023-11-13,sh.688525,67.0,70.94,64.69,69.01,8022317
2023-11-14,sh.688525,68.6,70.08,67.22,68.33,5802628
2023-11-15,sh.688525,70.0,71.99,68.01,70.19,6953387
2023-11-16,sh.688525,68.8,70.56,67.5,67.5,4128294
2023-11-17,sh.688525,67.5,68.3,66.52,67.25,3306259
2023-11-20,sh.688525,67.89,68.09,65.7,66.77,3284244
2023-11-21,sh.688525,66.77,67.02,64.7,65.28,2916773
2023-11-22,sh.688525,65.74,66.18,63.45,63.49,3186631
2023-11-23,sh.688525,62.77,64.44,62.08,63.93,2745859
2023-11-24,sh.688525,63.9,63.9,61.2,61.4,2295961
2023-11-27,sh.688525,61.4,62.85,59.55,62.47,2776838
2023-11-28,sh.688525,61.88,71.11,61.56,67.4,7203431
2023-11-29,sh.688525,67.6,70.08,66.56,67.3,4770949
2023-11-30,sh.688525,66.56,67.22,65.06,66.3,2854512
2023-12-01,sh.688525,66.2,75.93,65.52,73.43,10075303
2023-12-04,sh.688525,71.43,88.0,71.43,83.3,11962552
2023-12-05,sh.688525,81.89,83.3,78.61,79.0,7620614
