date,stock_code,open,high,low,close,volume
2023-07-03,sz.300251,7.98628424,8.01571772,7.79006104,7.93722844,41486027
2023-07-04,sz.300251,7.90779496,8.01571772,7.83911684,7.95685076,31807812
2023-07-05,sz.300251,7.91760612,7.98628424,7.76062756,7.79006104,33863817
2023-07-06,sz.300251,7.76062756,7.9470396,7.7508164,7.79006104,29467005
2023-07-07,sz.300251,7.76062756,7.86855032,7.603649,7.82930568,33701932
2023-07-10,sz.300251,7.8979838,8.4866534,7.8979838,8.30024136,105126471
2023-07-11,sz.300251,8.339486,8.34929716,8.1432628,8.1923186,39990973
2023-07-12,sz.300251,8.1923186,8.40816412,7.9960954,8.01571772,37952270
2023-07-13,sz.300251,8.094207,8.39835296,8.0451512,8.3885418,54438028
2023-07-14,sz.300251,8.36891948,8.44740876,8.25118556,8.2904302,47665652
2023-07-17,sz.300251,8.30024136,8.45721992,8.094207,8.18250744,42632148
2023-07-18,sz.300251,8.21194092,8.22175208,7.9960954,8.0451512,32158788
2023-07-19,sz.300251,8.03534004,8.13345164,8.00590656,8.08439584,24454031
2023-07-20,sz.300251,8.0451512,8.23156324,8.00590656,8.0451512,27394104
2023-07-21,sz.300251,8.01571772,8.12364048,7.92741728,8.01571772,21716649
2023-07-24,sz.300251,8.01571772,8.12364048,7.87836148,7.92741728,27752687
2023-07-25,sz.300251,8.00590656,8.17269628,7.90779496,8.07458468,32282606
2023-07-26,sz.300251,8.06477352,8.06477352,7.848928,7.8979838,32411004
2023-07-27,sz.300251,7.87836148,7.90779496,7.77043872,7.78024988,26968789
2023-07-28,sz.300251,7.77043872,7.88817264,7.72138292,7.86855032,35414123
2023-07-31,sz.300251,7.88817264,8.42778644,7.85873916,8.22175208,70417389
2023-08-01,sz.300251,8.21194092,8.25118556,8.10401816,8.18250744,30914883
2023-08-02,sz.300251,8.13345164,8.31986368,8.02552888,8.25118556,43293469
2023-08-03,sz.300251,8.31986368,8.36891948,8.22175208,8.31005252,37634879
2023-08-04,sz.300251,8.31986368,8.584765,8.2904302,8.4866534,51508189
2023-08-07,sz.300251,8.5357092,8.69268776,8.49646456,8.6338208,54885229
2023-08-08,sz.300251,8.584765,8.82023284,8.54552036,8.75155472,53226312
2023-08-09,sz.300251,8.6338208,8.79079936,8.56514268,8.69268776,38152350
2023-08-10,sz.300251,8.67306544,8.7319324,8.61419848,8.71231008,24551302
2023-08-11,sz.300251,8.71231008,8.81042168,8.5357092,8.55533152,30803466
2023-08-14,sz.300251,8.51608688,8.72212124,8.45721992,8.69268776,27127644
2023-08-15,sz.300251,8.69268776,8.69268776,8.4375976,8.55533152,23806176
2023-08-16,sz.300251,8.56514268,8.62400964,8.4375976,8.46703108,23253017
2023-08-17,sz.300251,8.44740876,8.49646456,8.2904302,8.47684224,21518349
2023-08-18,sz.300251,8.41797528,8.65344312,8.339486,8.339486,24468019
2023-08-21,sz.300251,8.31005252,8.6338208,8.26099672,8.31005252,31470583
2023-08-22,sz.300251,8.3885418,8.584765,8.2904302,8.54552036,32085546
2023-08-23,sz.300251,8.55533152,8.56514268,8.31986368,8.32967484,19351800
2023-08-24,sz.300251,8.36891948,9.00664488,8.36891948,8.88891096,74770280
2023-08-25,sz.300251,8.7809882,8.81042168,8.584765,8.65344312,39873796
2023-08-28,sz.300251,9.08513416,9.24211272,8.80061052,8.99683372,68493214
2023-08-29,sz.300251,8.9281556,9.4187136,8.9281556,9.39909128,71416484
2023-08-30,sz.300251,9.320602,9.4187136,9.23230156,9.33041316,37917721
