date,stock_code,open,high,low,close,volume
2023-07-03,sz.000598,5.17944032,5.21752444,5.16039826,5.18896135,10204501
2023-07-04,sz.000598,5.16991929,5.19848238,5.10327208,5.12231414,9406538
2023-07-05,sz.000598,5.11279311,5.1413562,5.10327208,5.11279311,5081248
2023-07-06,sz.000598,5.11279311,5.15087723,5.10327208,5.13183517,5383687
2023-07-07,sz.000598,5.12231414,5.20800341,5.11279311,5.19848238,10083594
2023-07-10,sz.000598,5.20800341,5.22704547,5.16039826,5.19848238,6851700
2023-07-11,sz.000598,5.19848238,5.2365665,5.17944032,5.2365665,7524705
2023-07-12,sz.000598,5.24608753,5.24608753,5.16039826,5.16991929,7479300
2023-07-13,sz.000598,5.18896135,5.22704547,5.17944032,5.21752444,7907594
2023-07-14,sz.000598,5.21752444,5.21752444,5.17944032,5.18896135,4593581
2023-07-17,sz.000598,5.17944032,5.28417165,5.16991929,5.26512959,12571263
2023-07-18,sz.000598,5.27465062,5.28417165,5.21752444,5.26512959,7082337
2023-07-19,sz.000598,5.26512959,5.41746607,5.25560856,5.3317768,24909500
2023-07-20,sz.000598,5.3317768,5.35081886,5.22704547,5.2365665,9266102
2023-07-21,sz.000598,5.2365665,5.27465062,5.2365665,5.25560856,5452500
2023-07-24,sz.000598,5.24608753,5.3317768,5.21752444,5.26512959,7064400
2023-07-25,sz.000598,5.29369268,5.32225577,5.27465062,5.31273474,8695148
2023-07-26,sz.000598,5.30321371,5.38890298,5.29369268,5.36033989,13128567
2023-07-27,sz.000598,5.36033989,5.39842401,5.34129783,5.36033989,7401397
2023-07-28,sz.000598,5.3317768,5.39842401,5.3317768,5.37938195,8186840
2023-07-31,sz.000598,5.36986092,5.41746607,5.36033989,5.37938195,11295000
2023-08-01,sz.000598,5.36986092,5.37938195,5.3317768,5.36033989,10276177
2023-08-02,sz.000598,5.36033989,5.36986092,5.32225577,5.3317768,6410700
2023-08-03,sz.000598,5.3317768,5.34129783,5.30321371,5.32225577,8771971
2023-08-04,sz.000598,5.34129783,5.38890298,5.28417165,5.28417165,10611900
2023-08-07,sz.000598,5.29369268,5.30321371,5.21752444,5.27465062,11673762
2023-08-08,sz.000598,5.26512959,5.28417165,5.22704547,5.2365665,10405200
2023-08-09,sz.000598,5.22704547,5.26512959,5.21752444,5.22704547,8027249
2023-08-10,sz.000598,5.24608753,5.31273474,5.19848238,5.26512959,15731824
2023-08-11,sz.000598,5.28417165,5.28417165,5.16991929,5.16991929,12038335
2023-08-14,sz.000598,5.15087723,5.20800341,5.13183517,5.18896135,11827034
2023-08-15,sz.000598,5.20800341,5.24608753,5.16991929,5.19848238,7884700
2023-08-16,sz.000598,5.18896135,5.20800341,5.16991929,5.17944032,5890675
2023-08-17,sz.000598,5.18896135,5.24608753,5.15087723,5.22704547,11948441
2023-08-18,sz.000598,5.24608753,5.30321371,5.22704547,5.25560856,12413155
2023-08-21,sz.000598,5.25560856,5.34129783,5.22704547,5.30321371,20153511
2023-08-22,sz.000598,5.30321371,5.36986092,5.25560856,5.35081886,18612102
2023-08-23,sz.000598,5.32225577,5.38890298,5.29369268,5.30321371,9808811
2023-08-24,sz.000598,5.26512959,5.29369268,5.01758281,5.05566693,32279844
2023-08-25,sz.000598,5.06518796,5.31273474,5.0461459,5.2365665,30327536
2023-08-28,sz.000598,5.37938195,5.45555019,5.30321371,5.31273474,27948424
2023-08-29,sz.000598,5.34129783,5.36033989,5.20800341,5.20800341,26848110
2023-08-30,sz.000598,5.20800341,5.2365665,5.06518796,5.08423002,21322030
2023-08-31,sz.000598,5.07470899,5.11279311,4.98901972,4.99854075,12563972
