date,stock_code,open,high,low,close,volume
2023-07-03,sz.300573,74.599556,76.71748,72.552112,76.1184,1277792
2023-07-04,sz.300573,76.076112,76.92892,75.152824,76.467276,766974
2023-07-05,sz.300573,75.966868,76.89368,74.76166,75.015388,618400
2023-07-06,sz.300573,74.736992,75.339596,72.96442,73.70446,920206
2023-07-07,sz.300573,73.648076,74.624224,72.5944,73.6516,450200
2023-07-10,sz.300573,73.59874,74.2683,71.931888,72.943276,702600
2023-07-11,sz.300573,73.295676,74.49736,72.696596,73.609312,534796
2023-07-12,sz.300573,73.302724,73.813704,71.81912,72.407628,509500
2023-07-13,sz.300573,72.22438,73.926472,71.85436,72.062276,492888
2023-07-14,sz.300573,72.058752,72.242,70.86764,71.692256,579700
2023-07-17,sz.300573,71.561868,71.96008,70.839448,71.671112,395700
2023-07-18,sz.300573,72.227904,74.419832,72.016464,72.767076,983820
2023-07-19,sz.300573,71.974176,74.229536,71.974176,73.478924,587388
2023-07-20,sz.300573,73.397872,74.969576,73.22872,73.535308,513711
2023-07-21,sz.300573,73.36968,74.705276,61.451512,62.928068,3782324
2023-07-24,sz.300573,64.175564,66.70932,63.153604,65.7226,2320294
2023-07-25,sz.300573,65.8988,66.6036,64.34824,65.289148,1026827
2023-07-26,sz.300573,65.289148,65.630976,59.908,60.85948,2539767
2023-07-27,sz.300573,61.081492,63.002072,59.5556,61.26474,1686568
2023-07-28,sz.300573,61.3176,62.758916,60.299164,62.385372,1020494
2023-07-31,sz.300573,62.9034,65.363152,62.297272,63.6082,1418966
2023-08-01,sz.300573,63.083124,65.5464,62.272604,64.263664,1471444
2023-08-02,sz.300573,64.281284,64.281284,61.24712,61.539612,1548414
2023-08-03,sz.300573,61.67,61.814484,59.559124,61.12378,1598810
2023-08-04,sz.300573,61.3176,61.44094,60.0842,61.28236,905909
2023-08-07,sz.300573,60.616324,60.926436,59.210248,59.992576,1621265
2023-08-08,sz.300573,60.302688,60.640992,59.62608,60.221636,756699
2023-08-09,sz.300573,59.654272,60.36612,58.8508,59.60846,750000
2023-08-10,sz.300573,58.8508,60.679756,58.8508,60.54232,748785
2023-08-11,sz.300573,60.54232,61.909632,59.770564,59.83752,720842
2023-08-14,sz.300573,59.80228,60.789,58.16362,60.655088,992964
2023-08-15,sz.300573,60.789,60.9652,59.41464,60.41898,636506
2023-08-16,sz.300573,60.249828,61.65238,59.53798,59.53798,914999
2023-08-17,sz.300573,59.27368,61.4057,59.093956,61.155496,824695
2023-08-18,sz.300573,61.134352,61.310552,59.830472,59.830472,622020
2023-08-21,sz.300573,59.5556,60.263924,58.70984,59.534456,638257
2023-08-22,sz.300573,59.629604,60.140584,58.53364,59.848092,679967
2023-08-23,sz.300573,59.80228,60.767856,57.504632,57.504632,1230538
2023-08-24,sz.300573,57.77598,59.7318,56.267708,59.351208,1596436
2023-08-25,sz.300573,59.2032,59.2032,57.1769,57.779504,998000
2023-08-28,sz.300573,60.789,60.789,55.372612,55.464236,2042593
2023-08-29,sz.300573,57.751312,62.861112,57.472916,62.0224,2985560
2023-08-30,sz.300573,62.114024,63.823164,61.28236,62.565096,1766636
2023-08-31,sz.300573,62.565096,65.310292,62.25146,64.298904,1651415
2023-09-01,sz.300573,64.305952,64.8416,63.6082,64.20728,604720
2023-09-04,sz.300573,64.210804,65.680312,64.20728,64.8416,1148558
2023-09-05,sz.300573,64.8416,65.257432,63.682204,63.742112,939421
2023-09-06,sz.300573,63.85488,64.27776,62.854064,63.206464,634759
2023-09-07,sz.300573,63.15008,63.53772,62.290224,62.434708,524060
2023-09-08,sz.300573,61.962492,64.601968,61.67,64.10156,945500
2023-09-11,sz.300573,63.7844,65.761364,63.280468,65.542876,1443999
2023-09-12,sz.300573,65.05304,67.657276,65.05304,67.216776,1256073
2023-09-13,sz.300573,66.956,70.26856,66.53312,68.33036,2115410
2023-09-14,sz.300573,72.9468,74.49736,71.39624,71.81912,2884773
2023-09-15,sz.300573,74.722896,77.390564,70.48,76.477848,3404765
2023-09-18,sz.300573,75.766,79.575444,75.0612,76.128972,2648758
2023-09-19,sz.300573,76.125448,76.4708,71.928364,74.458596,2912301
2023-09-20,sz.300573,76.689288,78.7614,74.3564,76.847868,2713476
2023-09-21,sz.300573,75.766,79.29,75.498176,78.134128,1590988
2023-09-22,sz.300573,78.550381,80.18085894,76.13192132,76.2211268,3063166
2023-09-25,sz.300573,75.14074932,77.47991524,74.1396656,76.00306896,4409804
2023-09-26,sz.300573,76.3698026,76.67706592,74.4370172,74.57578128,2660689
2023-09-27,sz.300573,74.72941294,75.23986652,64.77804606,70.26913894,9178887
2023-09-28,sz.300573,72.04829268,75.76518768,71.32473712,74.10993044,6028012
2023-10-09,sz.300573,74.89295632,78.18860322,74.8830446,77.5096504,3644819
2023-10-10,sz.300573,77.58894416,78.7486154,76.11209788,76.9892851,3278976
