date,stock_code,open,high,low,close,volume
2023-07-03,sh.601928,9.9270516,9.98800718,9.59614988,9.89221984,19607995
2023-07-04,sh.601928,9.90092778,9.93575954,9.6658134,9.7528928,12789190
2023-07-05,sh.601928,9.72676898,9.8835119,9.7093531,9.74418486,8550108
2023-07-06,sh.601928,9.74418486,9.89221984,9.61356576,9.63098164,12366273
2023-07-07,sh.601928,9.59614988,9.82255632,9.47423872,9.6658134,14606400
2023-07-10,sh.601928,9.73547692,10.06637864,9.71806104,10.03154688,16093183
2023-07-11,sh.601928,10.03154688,10.03154688,9.6222737,9.84868014,11751256
2023-07-12,sh.601928,9.8399722,10.15345804,9.73547692,9.76160074,13463375
2023-07-13,sh.601928,9.7528928,9.99671512,9.67452134,9.95317542,13594351
2023-07-14,sh.601928,9.95317542,10.1447501,9.85738808,10.03154688,11540717
2023-07-17,sh.601928,9.97929924,10.16216598,9.85738808,9.95317542,13564683
2023-07-18,sh.601928,9.95317542,10.00542306,9.69193722,9.74418486,12838901
2023-07-19,sh.601928,9.83126426,9.95317542,9.71806104,9.89221984,10019306
2023-07-20,sh.601928,9.90963572,9.90963572,9.69193722,9.71806104,10062774
2023-07-21,sh.601928,9.6658134,9.77030868,9.52648636,9.70064516,9266528
2023-07-24,sh.601928,9.74418486,10.00542306,9.6222737,9.83126426,12538578
2023-07-25,sh.601928,9.89221984,9.9705913,9.74418486,9.80514044,12100708
2023-07-26,sh.601928,9.80514044,9.80514044,9.5351943,9.60485782,11136702
2023-07-27,sh.601928,9.64839752,9.76160074,9.4916546,9.51777842,8996490
2023-07-28,sh.601928,9.50036254,9.51777842,9.3610355,9.37845138,18831748
2023-07-31,sh.601928,9.37845103,9.5884845,9.24147268,9.57022072,17938407
2023-08-01,sh.601928,9.5884845,9.68893529,9.4058467,9.60674828,16676498
2023-08-02,sh.601928,9.55195694,9.55195694,9.25973646,9.32365969,14083112
2023-08-03,sh.601928,9.34192347,9.45150615,9.28713213,9.35105536,8739600
2023-08-04,sh.601928,9.32365969,9.51542938,9.3145278,9.46976993,12062640
2023-08-07,sh.601928,9.53369316,9.75285852,9.47890182,9.67067151,12459200
2023-08-08,sh.601928,9.67067151,10.17292546,9.63414395,10.045079,26762000
2023-08-09,sh.601928,10.01768333,10.01768333,9.43324237,9.47890182,15955741
2023-08-10,sh.601928,9.48803371,9.60674828,9.4058467,9.47890182,8622500
2023-08-11,sh.601928,9.50629749,9.65240773,9.36931914,9.38758292,9003566
2023-08-14,sh.601928,9.30539591,9.6798034,9.25060457,9.63414395,12079700
2023-08-15,sh.601928,9.63414395,9.72546285,9.44237426,9.54282505,9322700
2023-08-16,sh.601928,9.46976993,9.53369316,9.29626402,9.37845103,8643498
2023-08-17,sh.601928,9.34192347,9.39671481,9.2232089,9.34192347,7271411
2023-08-18,sh.601928,9.28713213,9.47890182,9.11362622,9.15928567,10187900
2023-08-21,sh.601928,9.08623055,9.28713213,9.05883488,9.10449433,7156300
2023-08-22,sh.601928,9.15015378,9.70719907,9.15015378,9.6798034,23795236
2023-08-23,sh.601928,9.63414395,10.20032113,9.59761639,9.99028766,31614939
2023-08-24,sh.601928,9.99028766,10.38295893,9.98115577,10.12726601,25435381
2023-08-25,sh.601928,10.05421089,10.08160656,9.6798034,9.78025419,17659209
2023-08-28,sh.601928,10.19118924,10.34643137,9.50629749,9.5884845,27433642
2023-08-29,sh.601928,9.8624412,10.30990381,9.8624412,10.1363979,30492027
2023-08-30,sh.601928,10.33729948,10.34643137,10.045079,10.20032113,21506715
2023-08-31,sh.601928,10.15466168,10.16379357,9.98115577,9.98115577,25255045
2023-09-01,sh.601928,9.91723254,9.98115577,9.66153962,9.72546285,15446166
2023-09-04,sh.601928,9.75285852,9.78025419,9.55195694,9.61588017,19923243
2023-09-05,sh.601928,9.69806718,9.69806718,9.24147268,9.26886835,20142607
2023-09-06,sh.601928,9.26886835,9.26886835,9.09536244,9.13189,13853100
2023-09-07,sh.601928,9.08623055,9.21407701,9.04970299,9.05883488,11333200
2023-09-08,sh.601928,9.05883488,9.06796677,8.82140574,8.83966952,13357175
2023-09-11,sh.601928,8.88532897,9.13189,8.87619708,9.06796677,11918941
2023-09-12,sh.601928,9.05883488,9.06796677,8.96751598,8.99491165,5834049
2023-09-13,sh.601928,8.97664787,9.01317543,8.84880141,8.93098842,7287100
2023-09-14,sh.601928,8.88532897,9.00404354,8.84880141,8.98577976,8065900
2023-09-15,sh.601928,9.01317543,9.39671481,8.9492522,9.16841756,24440943
2023-09-18,sh.601928,9.08623055,9.33279158,8.91272464,9.28713213,16190095
2023-09-19,sh.601928,9.25060457,9.37845103,9.13189,9.2232089,11360391
2023-09-20,sh.601928,9.25060457,9.34192347,9.17754945,9.27800024,8766536
2023-09-21,sh.601928,9.2232089,9.37845103,9.21407701,9.28713213,10611506
2023-09-22,sh.601928,9.25973646,9.81678175,9.24147268,9.72546285,21250154
2023-09-25,sh.601928,9.64327584,9.98115577,9.61588017,9.65240773,12711243
2023-09-26,sh.601928,9.66153962,9.80764986,9.59761639,9.65240773,9652431
2023-09-27,sh.601928,9.60674828,9.78025419,9.5884845,9.74372663,11542784
2023-09-28,sh.601928,9.71633096,9.7711223,9.55195694,9.57022072,9144685
2023-10-09,sh.601928,9.52456127,9.52456127,9.38758292,9.44237426,10445668
2023-10-10,sh.601928,9.55195694,9.57935261,9.36931914,9.38758292,7123045
2023-10-11,sh.601928,9.47890182,9.99941955,9.36931914,9.7711223,19287527
2023-10-12,sh.601928,9.80764986,9.85330931,9.5884845,9.67067151,10826110
2023-10-13,sh.601928,9.61588017,9.84417742,9.52456127,9.5884845,9059236
2023-10-16,sh.601928,9.59761639,9.60674828,9.4058467,9.50629749,10146796
2023-10-17,sh.601928,9.50629749,9.50629749,9.32365969,9.41497859,7197700
2023-10-18,sh.601928,9.36931914,9.59761639,9.17754945,9.54282505,15889137
2023-10-19,sh.601928,9.48803371,9.63414395,9.4058467,9.46063804,9477400
2023-10-20,sh.601928,9.44237426,9.46976993,9.21407701,9.25060457,6405406
2023-10-23,sh.601928,9.21407701,9.2232089,9.00404354,9.08623055,7977600
2023-10-24,sh.601928,9.15015378,9.5884845,9.05883488,9.50629749,19367412
2023-10-25,sh.601928,9.57022072,9.62501206,9.30539591,9.47890182,15172060
2023-10-26,sh.601928,9.41497859,9.4971656,9.2232089,9.44237426,11860600
2023-10-27,sh.601928,9.4058467,9.66153962,9.35105536,9.61588017,10327590
2023-10-30,sh.601928,9.4058467,9.44237426,8.66616361,8.81227385,36767221
2023-10-31,sh.601928,8.74835062,8.88532897,8.62050416,8.77574629,17161105
2023-11-01,sh.601928,8.74835062,8.98577976,8.71182306,8.80314196,15507865
2023-11-02,sh.601928,8.81227385,9.29626402,8.78487818,9.08623055,25305598
2023-11-03,sh.601928,8.95838409,9.09536244,8.8579333,8.9492522,15317516
2023-11-06,sh.601928,9.01317543,9.36018725,8.9492522,9.30539591,18968399
2023-11-07,sh.601928,9.28713213,9.66153962,9.0405711,9.36018725,23187871
2023-11-08,sh.601928,9.51542938,10.30077192,9.4971656,10.30077192,101024382
2023-11-09,sh.601928,10.45601405,11.02219123,9.90810065,9.99028766,134221024
2023-11-10,sh.601928,9.6798034,9.75285852,9.15015378,9.18668134,82112170
2023-11-13,sh.601928,9.21407701,9.43324237,9.01317543,9.25973646,55193077
2023-11-14,sh.601928,9.20494512,9.25973646,9.0405711,9.06796677,39840638
2023-11-15,sh.601928,9.09536244,9.28713213,9.08623055,9.14102189,36252662
2023-11-16,sh.601928,9.13189,9.55195694,9.02230732,9.29626402,47363543
2023-11-17,sh.601928,9.2232089,9.36018725,9.15015378,9.28713213,25403686
2023-11-20,sh.601928,9.27800024,9.57935261,9.19581323,9.46976993,39586698
2023-11-21,sh.601928,9.46976993,9.67067151,9.37845103,9.54282505,39176638
2023-11-22,sh.601928,9.47890182,9.83504553,9.45150615,9.65240773,44476107
2023-11-23,sh.601928,9.67067151,9.67067151,9.4058467,9.54282505,28937866
2023-11-24,sh.601928,9.54282505,9.70719907,9.3145278,9.39671481,25033471
2023-11-27,sh.601928,9.3145278,9.37845103,9.15015378,9.23234079,20016699
2023-11-28,sh.601928,9.24147268,9.24147268,8.9492522,9.19581323,24333023
2023-11-29,sh.601928,9.14102189,9.17754945,8.97664787,9.00404354,14727711
2023-11-30,sh.601928,8.98577976,9.18668134,8.96751598,9.18668134,14467520
2023-12-01,sh.601928,9.09536244,9.21407701,9.00404354,9.16841756,32504628
2023-12-04,sh.601928,9.17754945,9.39671481,9.15928567,9.27800024,27348072
2023-12-05,sh.601928,9.24147268,9.27800024,9.06796677,9.07709866,18157617
2023-12-06,sh.601928,9.06796677,9.34192347,8.86706519,9.25973646,22702629
2023-12-07,sh.601928,9.24147268,9.4058467,9.15928567,9.30539591,32257475
