date,stock_code,open,high,low,close,volume
2023-07-03,sz.002821,113.2103335,114.81663135,112.8255915,114.6338789,2611887
2023-07-04,sz.002821,113.9798175,117.33669145,113.21995205,117.33669145,3684893
2023-07-05,sz.002821,117.35592855,117.74067055,115.5380226,117.04813495,2531778
2023-07-06,sz.002821,116.56720745,116.58644455,113.50850855,115.037858,3016366
2023-07-07,sz.002821,114.47036355,115.3264145,113.7874465,114.58578615,1628204
2023-07-10,sz.002821,115.1340435,117.29821725,114.75892005,115.89390895,1995580
2023-07-11,sz.002821,115.9035275,116.384455,113.79706505,115.4226,1973894
2023-07-12,sz.002821,114.95129105,115.89390895,113.52774565,113.5950755,1923260
2023-07-13,sz.002821,114.16256995,119.22192725,113.79706505,118.12541255,5241584
2023-07-14,sz.002821,118.1735053,118.77947395,117.10584625,118.06770125,2440157
2023-07-17,sz.002821,116.6730115,116.8653825,113.31613755,114.08562155,3029269
2023-07-18,sz.002821,114.460745,114.653116,112.8063544,113.8066836,2438881
2023-07-19,sz.002821,113.5950755,114.37417805,112.6716947,113.56621985,1663510
2023-07-20,sz.002821,113.3449932,114.81663135,112.75826165,113.0179625,1533437
2023-07-21,sz.002821,113.02758105,115.037858,112.10420025,113.3834674,3225136
2023-07-24,sz.002821,112.537035,115.230229,112.14267445,113.8643949,2149155
2023-07-25,sz.002821,114.9416725,116.00933155,113.98943605,115.72077505,3212031
2023-07-26,sz.002821,115.4033629,118.2312166,115.1340435,116.18246545,2745713
2023-07-27,sz.002821,116.14399125,116.91347525,115.1917548,115.58611535,2082284
2023-07-28,sz.002821,115.06671365,118.52939165,113.2488077,118.10617545,4009670
2023-07-31,sz.002821,119.24116435,122.6365125,119.1738345,119.847133,4799717
2023-08-01,sz.002821,121.770843,124.9449645,120.3280605,120.99174045,5405931
2023-08-02,sz.002821,120.231875,121.6746575,119.27002,120.6743283,2407394
2023-08-03,sz.002821,120.1164524,127.91709645,120.039504,127.4842617,7387080
2023-08-04,sz.002821,126.95524145,127.4457875,124.656408,125.05076855,3303739
2023-08-07,sz.002821,123.8099756,125.03153145,123.11744,123.5983675,2420899
2023-08-08,sz.002821,123.11744,124.8103048,122.5210899,123.5983675,1780976
2023-08-09,sz.002821,123.11744,127.97480775,122.74231655,125.78177835,5641270
2023-08-10,sz.002821,125.03153145,126.4839325,123.5983675,125.80101545,3238535
2023-08-11,sz.002821,126.01262355,126.93600435,124.10815065,124.33899585,2220159
2023-08-14,sz.002821,123.11744,123.5983675,121.001359,123.0020174,2474786
2023-08-15,sz.002821,122.91545045,123.87730545,119.3662055,123.2328626,3314361
2023-08-16,sz.002821,123.11744,124.1754805,121.3283897,122.155585,1760249
2023-08-17,sz.002821,121.19373,123.06934725,119.5585765,121.3668639,2010157
2023-08-18,sz.002821,121.19373,121.4053381,118.7890925,118.7890925,1795862
2023-08-21,sz.002821,118.115794,119.62590635,117.1924132,117.1924132,1444240
2023-08-22,sz.002821,117.153939,118.308165,114.460745,116.08627995,2521424
2023-08-23,sz.002821,116.08627995,116.8653825,114.25875545,114.48960065,1548118
2023-08-24,sz.002821,114.268374,123.14629565,114.268374,121.4822865,4660086
2023-08-25,sz.002821,121.6746575,123.8484498,120.0010298,122.58841975,3750180
2023-08-28,sz.002821,129.850425,129.850425,124.464037,124.60831525,3755255
2023-08-29,sz.002821,123.58874895,128.0229005,123.2136255,126.96486,4120867
2023-08-30,sz.002821,129.26369345,129.465683,125.1180984,125.9452937,3026497
2023-08-31,sz.002821,126.28194295,129.45606445,125.35856215,127.97480775,3295265
2023-09-01,sz.002821,128.49420945,129.4272088,126.3300357,126.64744785,1325820
2023-09-04,sz.002821,126.97447855,127.84014805,124.9064903,125.1373355,2488742
2023-09-05,sz.002821,124.848779,125.04115,123.14629565,123.45408925,2405427
2023-09-06,sz.002821,122.93468755,123.7907385,119.56819505,119.74132895,3747483
2023-09-07,sz.002821,119.74132895,120.0010298,117.5771552,117.85609315,1894828
2023-09-08,sz.002821,117.4617326,119.462391,117.34631,118.5582473,1674831
2023-09-11,sz.002821,118.308165,121.5399978,117.93304155,119.60666925,2481169
2023-09-12,sz.002821,119.58743215,120.7512767,118.79871105,120.3857718,1926084
2023-09-13,sz.002821,120.37615325,121.47266795,119.0007006,119.5585765,1619189
2023-09-14,sz.002821,119.1930716,121.03021465,117.34631,120.231875,2224495
2023-09-15,sz.002821,123.39637795,132.20696975,121.64580185,131.3701559,11348137
2023-09-18,sz.002821,132.73599,137.53564645,131.45672285,136.38142045,10738339
2023-09-19,sz.002821,136.1024825,137.18937865,134.3711435,134.63084435,5044737
2023-09-20,sz.002821,134.7558855,136.43913175,133.3323401,133.5824224,3872305
2023-09-21,sz.002821,133.57280385,134.11144265,131.1200736,132.4474335,3724262
2023-09-22,sz.002821,132.4281964,139.45935645,131.2932075,138.699491,7851187
2023-09-25,sz.002821,138.3916974,146.20196,137.0643375,141.8736125,9530465
2023-09-26,sz.002821,142.35454,143.5664773,140.9117575,142.0275093,4195087
2023-09-27,sz.002821,142.3160658,149.279896,142.28721015,146.38471245,8713101
2023-09-28,sz.002821,147.17343355,148.55850475,145.240105,145.9134035,4478976
2023-10-09,sz.002821,143.893508,149.65501945,141.969798,147.61588685,4405781
2023-10-10,sz.002821,146.20196,147.44275295,142.44110695,142.8354675,4506376
2023-10-11,sz.002821,144.27825,154.2430678,143.90312655,150.19365825,7523198
2023-10-12,sz.002821,151.97309,153.3966354,147.26961905,149.55883395,4316143
2023-10-13,sz.002821,149.087525,152.742574,148.1641442,151.15551325,5683537
2023-10-16,sz.002821,153.88718145,158.96577585,151.2228431,152.54058445,8504102
2023-10-17,sz.002821,152.8002853,154.858655,150.5303075,153.4928209,4914918
2023-10-18,sz.002821,152.54058445,153.8968,150.04938,150.57840025,3770586
2023-10-19,sz.002821,148.3372781,150.8958124,146.971444,148.28918535,3839159
2023-10-20,sz.002821,148.96248385,149.07790645,143.316395,146.3750939,3901111
2023-10-23,sz.002821,146.20196,150.1455655,142.546911,148.77011285,4519521
2023-10-24,sz.002821,149.84739045,152.48287315,146.21157855,150.4918333,3871709
