date,stock_code,open,high,low,close,volume
2023-07-03,sh.600361,4.63651292,4.7232668,4.63651292,4.7232668,3233391
2023-07-04,sh.600361,4.70398816,4.76182408,4.66543088,4.70398816,3569700
2023-07-05,sh.600361,4.71362748,4.81002068,4.6750702,4.74254544,3773001
2023-07-06,sh.600361,4.75218476,4.79074204,4.7232668,4.73290612,3369171
2023-07-07,sh.600361,4.75218476,4.75218476,4.69434884,4.74254544,2347671
2023-07-10,sh.600361,4.80038136,4.80038136,4.7232668,4.76182408,3767501
2023-07-11,sh.600361,4.75218476,4.78110272,4.73290612,4.76182408,2649272
2023-07-12,sh.600361,4.76182408,4.82929932,4.73290612,4.73290612,4380600
2023-07-13,sh.600361,4.78110272,4.81966,4.74254544,4.80038136,3339800
2023-07-14,sh.600361,4.7714634,4.82929932,4.75218476,4.7714634,2823800
2023-07-17,sh.600361,4.76182408,4.81002068,4.70398816,4.80038136,3355802
2023-07-18,sh.600361,4.81966,4.89677456,4.76182408,4.87749592,4681538
2023-07-19,sh.600361,4.87749592,4.92569252,4.84857796,4.89677456,3236804
2023-07-20,sh.600361,4.9160532,5.0124464,4.88713524,4.97388912,6449500
2023-07-21,sh.600361,4.95461048,5.03172504,4.90641388,4.92569252,6286834
2023-07-24,sh.600361,4.94497116,4.9642498,4.82929932,4.89677456,4375600
2023-07-25,sh.600361,4.93533184,5.00280708,4.90641388,4.97388912,4974537
2023-07-26,sh.600361,4.99316776,5.00280708,4.89677456,4.98352844,5420400
2023-07-27,sh.600361,4.97388912,4.99316776,4.93533184,4.9642498,3914000
2023-07-28,sh.600361,4.98352844,5.1570362,4.93533184,5.05100368,9132700
2023-07-31,sh.600361,5.05100368,5.1570362,5.02208572,5.11847892,7439480
2023-08-01,sh.600361,5.1088396,5.62936288,5.07028232,5.62936288,18900070
2023-08-02,sh.600361,6.18844344,6.18844344,5.783592,5.89926384,74875592
2023-08-03,sh.600361,5.31126532,5.52333036,5.31126532,5.40765852,50882150
2023-08-04,sh.600361,5.27270804,5.62936288,5.1570362,5.47513376,46781912
2023-08-07,sh.600361,5.33054396,6.024575,5.2534294,6.024575,58540006
2023-08-08,sh.600361,5.9763784,6.54509828,5.8799852,6.10168956,92497863
2023-08-09,sh.600361,5.91854248,6.43906576,5.70647744,6.15952548,75874696
2023-08-10,sh.600361,5.99565704,6.00529636,5.70647744,5.70647744,51873763
2023-08-11,sh.600361,5.783592,5.8799852,5.50405172,5.57152696,36552084
2023-08-14,sh.600361,5.3980192,5.50405172,5.35946192,5.42693716,23974840
2023-08-15,sh.600361,5.4462158,5.96673908,5.43657648,5.96673908,56294004
2023-08-16,sh.600361,5.96673908,6.25591868,5.80287064,6.024575,75604191
2023-08-17,sh.600361,5.9763784,6.39086916,5.87034588,6.13060752,61729589
2023-08-18,sh.600361,6.08241092,6.10168956,5.84142792,5.88962452,36535945
2023-08-21,sh.600361,5.80287064,5.94746044,5.75467404,5.77395268,23056600
2023-08-22,sh.600361,5.84142792,6.00529636,5.72575608,5.93782112,31568100
2023-08-23,sh.600361,5.8317886,5.8799852,5.56188764,5.6390022,30283400
2023-08-24,sh.600361,5.6390022,6.20772208,5.62936288,5.87034588,41964139
2023-08-25,sh.600361,5.5908056,5.74503472,5.46549444,5.61008424,28146200
2023-08-28,sh.600361,5.8317886,5.90890316,5.42693716,5.45585512,30011000
2023-08-29,sh.600361,5.3980192,5.71611676,5.301626,5.69683812,26955526
2023-08-30,sh.600361,5.6390022,5.783592,5.56188764,5.6871988,23102572
2023-08-31,sh.600361,5.69683812,5.70647744,5.47513376,5.542609,16565004
2023-09-01,sh.600361,5.52333036,5.60044492,5.45585512,5.47513376,12737300
2023-09-04,sh.600361,5.51369104,5.66792016,5.50405172,5.62936288,16088866
2023-09-05,sh.600361,5.62936288,5.62936288,5.4462158,5.47513376,12088500
2023-09-06,sh.600361,5.47513376,5.52333036,5.40765852,5.43657648,10566440
2023-09-07,sh.600361,5.37874056,5.43657648,5.31126532,5.3498226,10431340
2023-09-08,sh.600361,5.32090464,5.38837988,5.31126532,5.3498226,6284700
2023-09-11,sh.600361,5.32090464,5.42693716,5.24379008,5.42693716,8632800
2023-09-12,sh.600361,5.3980192,5.41729784,5.29198668,5.31126532,8214400
2023-09-13,sh.600361,5.34018328,5.3498226,5.2534294,5.29198668,6717092
2023-09-14,sh.600361,5.31126532,5.40765852,5.27270804,5.301626,8675400
2023-09-15,sh.600361,5.301626,5.48477308,5.301626,5.40765852,20114901
2023-09-18,sh.600361,5.3498226,5.4462158,5.301626,5.3980192,12280302
2023-09-19,sh.600361,5.36910124,5.45585512,5.32090464,5.33054396,9126100
2023-09-20,sh.600361,5.28234736,5.301626,5.16667552,5.16667552,14362100
2023-09-21,sh.600361,5.1570362,5.2052328,5.08956096,5.1088396,7972600
2023-09-22,sh.600361,5.08956096,5.19559348,5.07028232,5.17631484,6971694
2023-09-25,sh.600361,5.17631484,5.17631484,4.98352844,5.0124464,11259842
2023-09-26,sh.600361,4.98352844,5.00280708,4.92569252,4.93533184,7803897
2023-09-27,sh.600361,4.89677456,4.9642498,4.89677456,4.92569252,6117550
2023-09-28,sh.600361,4.89677456,5.03172504,4.89677456,4.97388912,6720530
2023-10-09,sh.600361,4.9642498,4.9642498,4.83893864,4.87749592,6687200
2023-10-10,sh.600361,4.89677456,4.9160532,4.84857796,4.87749592,5432200
2023-10-11,sh.600361,4.87749592,4.88713524,4.81002068,4.82929932,6065200
2023-10-12,sh.600361,4.84857796,4.92569252,4.84857796,4.88713524,5086800
2023-10-13,sh.600361,4.88713524,4.89677456,4.81002068,4.84857796,4503651
2023-10-16,sh.600361,4.81966,4.92569252,4.80038136,4.83893864,5870351
2023-10-17,sh.600361,4.81966,4.84857796,4.79074204,4.81002068,4412792
2023-10-18,sh.600361,4.81002068,4.81966,4.73290612,4.76182408,5378903
2023-10-19,sh.600361,4.78110272,4.81966,4.73290612,4.74254544,4657800
2023-10-20,sh.600361,4.73290612,4.76182408,4.68470952,4.70398816,4359300
2023-10-23,sh.600361,4.66543088,4.71362748,4.56903768,4.59795564,5352635
2023-10-24,sh.600361,4.61723428,4.7232668,4.56903768,4.71362748,5465600
2023-10-25,sh.600361,4.73290612,4.79074204,4.71362748,4.73290612,4911100
2023-10-26,sh.600361,4.73290612,4.79074204,4.68470952,4.78110272,5305900
2023-10-27,sh.600361,4.78110272,4.84857796,4.7232668,4.80038136,7706570
2023-10-30,sh.600361,4.81966,4.95461048,4.81002068,4.85821728,9068100
2023-10-31,sh.600361,4.85821728,4.88713524,4.80038136,4.81002068,6055500
2023-11-01,sh.600361,4.82929932,5.060643,4.80038136,5.0124464,27478130
2023-11-02,sh.600361,4.94497116,4.95461048,4.82929932,4.83893864,20022699
2023-11-03,sh.600361,4.84857796,4.93533184,4.80038136,4.88713524,12980000
2023-11-06,sh.600361,4.88713524,4.93533184,4.8678566,4.90641388,11226600
2023-11-07,sh.600361,4.89677456,4.90641388,4.81966,4.87749592,10123200
2023-11-08,sh.600361,4.87749592,4.87749592,4.80038136,4.83893864,9680800
2023-11-09,sh.600361,4.81966,4.83893864,4.74254544,4.76182408,8557400
2023-11-10,sh.600361,4.73290612,4.79074204,4.7232668,4.76182408,5898600
2023-11-13,sh.600361,4.80038136,4.82929932,4.74254544,4.82929932,5966500
2023-11-14,sh.600361,4.83893864,4.90641388,4.80038136,4.88713524,9472400
2023-11-15,sh.600361,4.92569252,4.92569252,4.87749592,4.88713524,6685800
2023-11-16,sh.600361,4.87749592,4.90641388,4.84857796,4.85821728,5985100
2023-11-17,sh.600361,4.85821728,4.92569252,4.83893864,4.90641388,7326800
2023-11-20,sh.600361,4.90641388,4.94497116,4.85821728,4.89677456,6874530
2023-11-21,sh.600361,4.90641388,4.95461048,4.88713524,4.89677456,12581400
2023-11-22,sh.600361,4.88713524,4.90641388,4.81966,4.81966,8139000
2023-11-23,sh.600361,4.81002068,4.85821728,4.78110272,4.82929932,7107400
2023-11-24,sh.600361,4.81966,4.83893864,4.75218476,4.78110272,6782700
2023-11-27,sh.600361,4.76182408,4.79074204,4.71362748,4.7714634,6302100
2023-11-28,sh.600361,4.75218476,4.85821728,4.73290612,4.84857796,8995400
2023-11-29,sh.600361,4.84857796,4.85821728,4.79074204,4.81002068,5479946
2023-11-30,sh.600361,4.81966,4.81966,4.73290612,4.78110272,4839700
2023-12-01,sh.600361,4.7714634,4.81002068,4.75218476,4.80038136,5146000
2023-12-04,sh.600361,4.82929932,4.83893864,4.74254544,4.75218476,5482100
2023-12-05,sh.600361,4.75218476,4.75218476,4.6750702,4.6750702,5183800
2023-12-06,sh.600361,4.70398816,4.7232668,4.66543088,4.68470952,4830500
2023-12-07,sh.600361,4.6750702,4.68470952,4.61723428,4.64615224,7127790
2023-12-08,sh.600361,4.64615224,4.66543088,4.54011972,4.65579156,12988201
2023-12-11,sh.600361,4.61723428,4.65579156,4.54975904,4.64615224,9791700
2023-12-12,sh.600361,4.6268736,4.6268736,4.55939836,4.58831632,7303240
2023-12-13,sh.600361,4.60759496,4.60759496,4.50156244,4.50156244,6378100
2023-12-14,sh.600361,4.51120176,4.56903768,4.50156244,4.51120176,6268200
2023-12-15,sh.600361,4.54975904,4.55939836,4.47264448,4.49192312,4886700
2023-12-18,sh.600361,4.49192312,4.51120176,4.4340872,4.44372652,6259300
2023-12-19,sh.600361,4.44372652,4.51120176,4.44372652,4.50156244,5947300
2023-12-20,sh.600361,4.50156244,4.5304804,4.45336584,4.45336584,3813800
2023-12-21,sh.600361,4.4340872,4.52084108,4.39552992,4.47264448,5018300
2023-12-22,sh.600361,4.46300516,4.49192312,4.40516924,4.44372652,5133900
2023-12-25,sh.600361,4.4340872,4.578677,4.39552992,4.49192312,8144500
2023-12-26,sh.600361,4.46300516,4.52084108,4.42444788,4.4340872,4788500
2023-12-27,sh.600361,4.45336584,4.4822838,4.3858906,4.4822838,4270900
