date,stock_code,open,high,low,close,volume
2023-07-03,sh.601568,4.72795942,4.7548738,4.72795942,4.73693088,4883160
2023-07-04,sh.601568,4.74590234,4.74590234,4.7100165,4.71898796,4900060
2023-07-05,sh.601568,4.7100165,4.72795942,4.70104504,4.7100165,4773712
2023-07-06,sh.601568,4.71898796,4.71898796,4.67413066,4.68310212,6793140
2023-07-07,sh.601568,4.67413066,4.70104504,4.67413066,4.68310212,7287188
2023-07-10,sh.601568,4.69207358,4.69207358,4.6651592,4.68310212,6463190
2023-07-11,sh.601568,4.69207358,4.70104504,4.67413066,4.69207358,5554610
2023-07-12,sh.601568,4.69207358,4.69207358,4.6651592,4.67413066,7649982
2023-07-13,sh.601568,4.68310212,4.7100165,4.67413066,4.70104504,9362936
2023-07-14,sh.601568,4.70104504,4.7100165,4.69207358,4.70104504,4723894
2023-07-17,sh.601568,4.69207358,4.70104504,4.67413066,4.69207358,4968944
2023-07-18,sh.601568,4.70104504,4.72795942,4.67413066,4.71898796,6970681
2023-07-19,sh.601568,4.71898796,4.73693088,4.7100165,4.73693088,5371610
2023-07-20,sh.601568,4.73693088,4.74590234,4.7100165,4.71898796,6473904
2023-07-21,sh.601568,4.7100165,4.74590234,4.70104504,4.73693088,3817580
2023-07-24,sh.601568,4.72795942,4.74590234,4.7100165,4.73693088,3774340
2023-07-25,sh.601568,4.74590234,4.78178818,4.73693088,4.77281672,7328711
2023-07-26,sh.601568,4.78178818,4.7997311,4.76384526,4.7997311,7766011
2023-07-27,sh.601568,4.7997311,4.81767402,4.78178818,4.7997311,8402044
2023-07-28,sh.601568,4.79075964,4.8445884,4.78178818,4.83561694,8094451
2023-07-31,sh.601568,4.8445884,4.88047424,4.83561694,4.86253132,10620966
2023-08-01,sh.601568,4.85355986,4.89841716,4.85355986,4.86253132,7988198
2023-08-02,sh.601568,4.86253132,4.88047424,4.8445884,4.85355986,6538931
2023-08-03,sh.601568,4.8445884,4.87150278,4.8445884,4.87150278,6004680
2023-08-04,sh.601568,4.87150278,4.8894457,4.85355986,4.86253132,6296520
2023-08-07,sh.601568,4.8445884,4.87150278,4.7997311,4.82664548,9106635
2023-08-08,sh.601568,4.82664548,4.83561694,4.79075964,4.81767402,4154980
2023-08-09,sh.601568,4.81767402,4.83561694,4.7997311,4.82664548,3846700
2023-08-10,sh.601568,4.80870256,4.83561694,4.7997311,4.81767402,4293766
2023-08-11,sh.601568,4.7997311,4.82664548,4.7548738,4.76384526,5800904
2023-08-14,sh.601568,4.7548738,4.76384526,4.7100165,4.73693088,6774398
2023-08-15,sh.601568,4.73693088,4.74590234,4.70104504,4.72795942,4392299
2023-08-16,sh.601568,4.71898796,4.7548738,4.7100165,4.73693088,4964589
2023-08-17,sh.601568,4.71898796,4.7548738,4.70104504,4.74590234,5831070
2023-08-18,sh.601568,4.73693088,4.7548738,4.72795942,4.74590234,4585205
2023-08-21,sh.601568,4.73693088,4.77281672,4.69207358,4.70104504,6365450
2023-08-22,sh.601568,4.69207358,4.7100165,4.59338752,4.6203019,13059416
2023-08-23,sh.601568,4.6203019,4.62927336,4.49470146,4.50367292,14405607
2023-08-24,sh.601568,4.50367292,4.52161584,4.45881562,4.49470146,8265770
2023-08-25,sh.601568,4.46778708,4.54853022,4.45881562,4.48573,6483260
2023-08-28,sh.601568,4.6203019,4.64721628,4.52161584,4.53955876,10282001
2023-08-29,sh.601568,4.52161584,4.60235898,4.51264438,4.58441606,8230980
2023-08-30,sh.601568,4.58441606,4.60235898,4.54853022,4.56647314,5667891
2023-08-31,sh.601568,4.5754446,4.58441606,4.53955876,4.55750168,3498115
2023-09-01,sh.601568,4.5754446,4.59338752,4.54853022,4.59338752,4199300
2023-09-04,sh.601568,4.59338752,4.65618774,4.59338752,4.64721628,7577869
2023-09-05,sh.601568,4.63824482,4.69207358,4.62927336,4.67413066,7466176
2023-09-06,sh.601568,4.6651592,4.71898796,4.65618774,4.70104504,7180540
2023-09-07,sh.601568,4.74590234,4.74590234,4.63824482,4.64721628,6430840
2023-09-08,sh.601568,4.64721628,4.67413066,4.62927336,4.65618774,4714230
2023-09-11,sh.601568,4.6651592,4.72795942,4.63824482,4.70104504,7475806
2023-09-12,sh.601568,4.7100165,4.71898796,4.68310212,4.70104504,3213480
2023-09-13,sh.601568,4.70104504,4.7100165,4.65618774,4.67413066,4576390
2023-09-14,sh.601568,4.67413066,4.69207358,4.64721628,4.68310212,5362790
2023-09-15,sh.601568,4.68310212,4.7100165,4.6651592,4.6651592,5984020
2023-09-18,sh.601568,4.6651592,4.74590234,4.64721628,4.73693088,10593635
2023-09-19,sh.601568,4.72795942,4.73693088,4.67413066,4.68310212,4954340
2023-09-20,sh.601568,4.68310212,4.79075964,4.68310212,4.74590234,14770292
2023-09-21,sh.601568,4.74590234,4.74590234,4.6651592,4.6651592,8094674
2023-09-22,sh.601568,4.68310212,4.70104504,4.67413066,4.70104504,4508850
2023-09-25,sh.601568,4.69207358,4.71898796,4.6651592,4.67413066,5214270
2023-09-26,sh.601568,4.67413066,4.69207358,4.63824482,4.63824482,4479260
2023-09-27,sh.601568,4.62927336,4.6651592,4.62927336,4.63824482,3663360
2023-09-28,sh.601568,4.6651592,4.68310212,4.64721628,4.64721628,3753730
2023-10-09,sh.601568,4.65618774,4.67413066,4.61133044,4.63824482,4905948
2023-10-10,sh.601568,4.61133044,4.64721628,4.59338752,4.60235898,5346105
2023-10-11,sh.601568,4.60235898,4.68310212,4.60235898,4.62927336,6338540
2023-10-12,sh.601568,4.63824482,4.6651592,4.63824482,4.64721628,3487630
2023-10-13,sh.601568,4.64721628,4.64721628,4.60235898,4.62927336,4391010
2023-10-16,sh.601568,4.6203019,4.65618774,4.59338752,4.65618774,5900558
2023-10-17,sh.601568,4.63824482,4.64721628,4.61133044,4.6203019,5076304
2023-10-18,sh.601568,4.62927336,4.62927336,4.53955876,4.55750168,5716501
2023-10-19,sh.601568,4.55750168,4.5754446,4.49470146,4.50367292,4829620
2023-10-20,sh.601568,4.51264438,4.54853022,4.50367292,4.52161584,3731320
2023-10-23,sh.601568,4.51264438,4.53955876,4.43190124,4.4408727,8198482
2023-10-24,sh.601568,4.46778708,4.53955876,4.43190124,4.51264438,6251420
2023-10-25,sh.601568,4.53955876,4.5754446,4.52161584,4.54853022,5015290
2023-10-26,sh.601568,4.53955876,4.59338752,4.51264438,4.58441606,4217161
2023-10-27,sh.601568,4.55750168,4.68310212,4.55750168,4.67413066,7903480
2023-10-30,sh.601568,4.65618774,4.71898796,4.64721628,4.67413066,8161530
2023-10-31,sh.601568,4.67413066,4.71898796,4.6651592,4.70104504,7224876
2023-11-01,sh.601568,4.72795942,4.78178818,4.7100165,4.77281672,13883409
2023-11-02,sh.601568,4.7548738,4.79075964,4.73693088,4.76384526,11535780
2023-11-03,sh.601568,4.76384367,4.77335234,4.70679165,4.73531766,12256508
2023-11-06,sh.601568,4.76384367,4.83040436,4.76384367,4.82089569,10753201
2023-11-07,sh.601568,4.80187835,4.8494217,4.79236968,4.83040436,5968530
2023-11-08,sh.601568,4.83040436,4.85893037,4.81138702,4.82089569,6307000
2023-11-09,sh.601568,4.82089569,4.8494217,4.80187835,4.83040436,7635930
2023-11-10,sh.601568,4.82089569,4.83040436,4.79236968,4.79236968,7903770
2023-11-13,sh.601568,4.81138702,4.81138702,4.73531766,4.77335234,8476320
