date,stock_code,open,high,low,close,volume
2023-07-03,sh.600155,6.23,6.32,6.21,6.3,23761295
2023-07-04,sh.600155,6.3,6.32,6.25,6.27,15146700
2023-07-05,sh.600155,6.27,6.28,6.21,6.22,13486021
2023-07-06,sh.600155,6.21,6.24,6.19,6.19,13724988
2023-07-07,sh.600155,6.19,6.29,6.17,6.25,21332073
2023-07-10,sh.600155,6.28,6.3,6.23,6.24,14438530
2023-07-11,sh.600155,6.24,6.29,6.23,6.29,11815080
2023-07-12,sh.600155,6.28,6.35,6.23,6.24,21609772
2023-07-13,sh.600155,6.28,6.34,6.28,6.31,22187265
2023-07-14,sh.600155,6.31,6.33,6.29,6.31,14692749
2023-07-17,sh.600155,6.35,6.43,6.31,6.39,37241260
2023-07-18,sh.600155,6.37,6.43,6.34,6.38,24457046
2023-07-19,sh.600155,6.36,6.56,6.36,6.54,44820015
2023-07-20,sh.600155,6.55,6.59,6.48,6.52,36750511
2023-07-21,sh.600155,6.51,6.56,6.5,6.55,21520408
2023-07-24,sh.600155,6.54,6.58,6.51,6.55,17676411
2023-07-25,sh.600155,6.79,6.91,6.64,6.86,80198915
2023-07-26,sh.600155,6.86,6.89,6.73,6.8,47648952
2023-07-27,sh.600155,6.79,7.2,6.76,6.84,97047349
2023-07-28,sh.600155,6.79,7.52,6.79,7.52,210353668
2023-07-31,sh.600155,8.27,8.27,8.07,8.18,114181217
2023-08-01,sh.600155,7.92,8.25,7.61,7.69,321516009
2023-08-02,sh.600155,7.72,8.05,7.69,7.75,216290422
2023-08-03,sh.600155,7.9,8.06,7.63,7.98,177616550
2023-08-04,sh.600155,8.27,8.78,8.11,8.32,345246558
2023-08-07,sh.600155,8.25,8.69,8.21,8.58,240663598
2023-08-08,sh.600155,8.33,8.58,8.02,8.27,206826434
2023-08-09,sh.600155,8.27,8.37,8.11,8.15,105294806
2023-08-10,sh.600155,8.17,8.49,8.11,8.4,154298162
2023-08-11,sh.600155,8.25,8.25,7.86,7.92,135427985
2023-08-14,sh.600155,7.7,7.88,7.64,7.78,103522644
2023-08-15,sh.600155,7.55,7.83,7.53,7.78,87222289
2023-08-16,sh.600155,7.64,8.06,7.56,7.84,112584248
2023-08-17,sh.600155,7.76,8.01,7.65,7.91,131171337
2023-08-18,sh.600155,7.87,7.96,7.62,7.63,77401682
2023-08-21,sh.600155,7.45,7.68,7.37,7.4,82089111
2023-08-22,sh.600155,7.46,7.58,7.36,7.5,68587564
2023-08-23,sh.600155,7.47,7.48,7.22,7.26,61618334
2023-08-24,sh.600155,7.31,7.48,7.22,7.32,50497652
2023-08-25,sh.600155,7.29,7.56,7.28,7.41,59966147
2023-08-28,sh.600155,8.15,8.15,7.63,7.68,155289262
2023-08-29,sh.600155,7.68,7.77,7.39,7.65,108065415
2023-08-30,sh.600155,7.6,7.64,7.41,7.42,70630529
2023-08-31,sh.600155,7.42,7.46,7.21,7.22,53896827
2023-09-01,sh.600155,7.29,7.43,7.22,7.33,62847738
2023-09-04,sh.600155,7.28,7.54,7.28,7.5,59367693
2023-09-05,sh.600155,7.47,7.47,7.27,7.3,40462907
2023-09-06,sh.600155,7.28,7.3,7.16,7.19,35118428
2023-09-07,sh.600155,7.19,7.24,7.12,7.15,34427189
2023-09-08,sh.600155,7.15,7.25,7.13,7.2,25327055
2023-09-11,sh.600155,7.21,7.92,7.18,7.65,208845673
2023-09-12,sh.600155,7.51,7.8,7.49,7.56,135558730
2023-09-13,sh.600155,7.5,7.56,7.3,7.4,71243315
2023-09-14,sh.600155,7.45,8.08,7.42,7.84,181978602
2023-09-15,sh.600155,7.87,8.49,7.69,8.12,197651625
2023-09-18,sh.600155,7.96,8.09,7.82,7.99,106489008
2023-09-19,sh.600155,7.95,8.75,7.93,8.25,184814389
2023-09-20,sh.600155,8.22,8.46,7.97,7.98,171645505
2023-09-21,sh.600155,8.0,8.54,7.99,8.24,185146964
2023-09-22,sh.600155,8.4,9.06,8.4,9.06,314597238
2023-09-25,sh.600155,8.77,8.85,8.45,8.53,273831894
2023-09-26,sh.600155,8.42,8.52,8.23,8.46,152417267
2023-09-27,sh.600155,8.36,8.65,8.25,8.26,134184252
2023-09-28,sh.600155,8.24,8.35,7.88,8.13,121417382
2023-10-09,sh.600155,8.11,8.13,7.76,7.94,93947395
2023-10-10,sh.600155,7.92,8.13,7.91,8.0,84570376
2023-10-11,sh.600155,8.0,8.28,7.91,8.16,108417070
2023-10-12,sh.600155,8.56,8.7,8.13,8.16,160798595
2023-10-13,sh.600155,7.87,8.14,7.83,8.07,105768141
2023-10-16,sh.600155,8.01,8.6,8.01,8.41,164652940
2023-10-17,sh.600155,8.35,9.25,8.35,9.12,320795469
2023-10-18,sh.600155,8.95,9.88,8.88,9.54,311416383
2023-10-19,sh.600155,9.39,10.49,9.28,10.21,339848470
2023-10-20,sh.600155,9.81,10.34,9.69,10.02,292199068
2023-10-23,sh.600155,9.75,9.75,9.11,9.28,242605067
2023-10-24,sh.600155,9.42,10.21,9.19,10.02,309144421
2023-10-25,sh.600155,9.88,9.97,9.4,9.45,243533307
2023-10-26,sh.600155,9.3,9.7,9.22,9.43,173406761
2023-10-27,sh.600155,9.25,9.5,9.08,9.13,145990392
2023-10-30,sh.600155,9.11,9.26,8.96,9.2,111356695
2023-10-31,sh.600155,9.22,9.9,9.19,9.75,206359421
2023-11-01,sh.600155,9.95,10.1,9.47,9.52,134284764
2023-11-02,sh.600155,9.59,10.1,9.36,9.4,165458812
2023-11-03,sh.600155,9.51,9.65,9.28,9.41,136237225
2023-11-06,sh.600155,9.81,10.33,9.52,10.14,238377645
2023-11-07,sh.600155,9.97,10.19,9.75,9.76,183938905
2023-11-08,sh.600155,9.71,9.84,9.42,9.57,132588386
2023-11-09,sh.600155,9.48,10.34,9.45,10.1,216873255
2023-11-10,sh.600155,9.85,10.45,9.82,10.03,185951304
2023-11-13,sh.600155,9.8,10.25,9.73,9.97,137402659
2023-11-14,sh.600155,9.99,10.22,9.77,9.97,139480846
2023-11-15,sh.600155,10.13,10.24,9.86,9.89,97881849
2023-11-16,sh.600155,9.76,9.93,9.69,9.7,82081430
2023-11-17,sh.600155,9.7,9.82,9.37,9.44,104098359
2023-11-20,sh.600155,9.36,9.49,9.19,9.48,70344177
2023-11-21,sh.600155,9.5,9.54,9.08,9.13,101602178
2023-11-22,sh.600155,9.03,9.16,9.0,9.0,53223301
2023-11-23,sh.600155,9.0,9.33,8.99,9.27,79521794
2023-11-24,sh.600155,9.21,9.22,9.07,9.15,47256148
2023-11-27,sh.600155,9.07,9.27,9.0,9.27,54504202
2023-11-28,sh.600155,9.22,9.32,9.06,9.12,45504233
2023-11-29,sh.600155,9.13,9.13,8.85,8.96,49355274
2023-11-30,sh.600155,8.96,9.05,8.82,8.84,53869332
2023-12-01,sh.600155,8.85,9.08,8.84,9.03,56588099
2023-12-04,sh.600155,9.0,9.09,8.95,9.05,40205700
2023-12-05,sh.600155,9.04,9.51,8.93,9.28,108607152
2023-12-06,sh.600155,9.23,9.54,9.2,9.33,82352358
2023-12-07,sh.600155,9.29,9.76,9.25,9.66,118133776
2023-12-08,sh.600155,9.66,9.75,9.5,9.5,96182616
2023-12-11,sh.600155,9.5,9.68,9.3,9.55,78657308
2023-12-12,sh.600155,9.45,9.45,9.21,9.28,72510518
2023-12-13,sh.600155,9.26,9.26,9.15,9.2,30164312
2023-12-14,sh.600155,9.29,9.66,9.15,9.47,87048575
2023-12-15,sh.600155,9.47,9.59,9.35,9.47,52683887
2023-12-18,sh.600155,9.52,9.59,9.42,9.56,45280682
2023-12-19,sh.600155,9.54,9.84,9.46,9.62,97758202
2023-12-20,sh.600155,9.47,9.48,8.66,8.66,106000851
2023-12-21,sh.600155,8.41,8.57,8.28,8.38,68959674
2023-12-22,sh.600155,8.38,8.4,8.18,8.21,45359745
2023-12-25,sh.600155,8.15,8.21,7.95,7.98,40999848
2023-12-26,sh.600155,7.98,8.16,7.97,8.07,37227269
2023-12-27,sh.600155,8.07,8.45,8.06,8.32,55861831
2023-12-28,sh.600155,8.28,8.48,8.22,8.39,54892414
2023-12-29,sh.600155,8.38,8.41,8.31,8.34,37399486
2024-01-02,sh.600155,8.32,8.36,8.25,8.31,27721918
2024-01-03,sh.600155,8.35,8.46,8.3,8.36,30726439
2024-01-04,sh.600155,8.34,8.34,8.22,8.25,21548170
2024-01-05,sh.600155,8.24,8.3,8.09,8.11,27569538
2024-01-08,sh.600155,8.07,8.12,7.98,8.04,23421755
2024-01-09,sh.600155,8.07,8.16,7.97,8.05,25696320
2024-01-10,sh.600155,8.0,8.07,7.93,7.93,23451309
2024-01-11,sh.600155,7.9,8.15,7.87,8.11,28719670
2024-01-12,sh.600155,8.1,8.41,8.07,8.16,51026092
2024-01-15,sh.600155,7.9,8.13,7.87,8.07,28888377
2024-01-16,sh.600155,8.06,8.18,7.95,8.14,34040387
2024-01-17,sh.600155,8.12,8.13,7.92,7.94,25841857
2024-01-18,sh.600155,7.85,8.0,7.7,7.94,43146552
2024-01-19,sh.600155,7.86,7.88,7.65,7.69,35659507
2024-01-22,sh.600155,7.69,7.73,7.28,7.33,38720587
2024-01-23,sh.600155,7.34,7.68,7.33,7.61,51370871
2024-01-24,sh.600155,7.66,8.03,7.43,7.92,77599200
2024-01-25,sh.600155,7.78,8.25,7.72,8.13,79824394
2024-01-26,sh.600155,8.04,8.15,7.9,8.05,49801763
2024-01-29,sh.600155,8.05,8.05,7.69,7.71,42530221
2024-01-30,sh.600155,7.65,7.77,7.41,7.43,38420481
2024-01-31,sh.600155,7.43,7.6,7.29,7.33,38563086
2024-02-01,sh.600155,7.28,7.43,7.07,7.2,38197492
2024-02-02,sh.600155,7.19,7.3,6.57,6.76,66630689
2024-02-05,sh.600155,6.7,6.7,6.19,6.3,66104956
2024-02-06,sh.600155,6.22,6.9,6.02,6.85,65183570
2024-02-07,sh.600155,6.95,7.42,6.8,7.32,79929122
2024-02-08,sh.600155,7.36,8.01,7.36,7.5,81473648
2024-02-19,sh.600155,7.4,7.42,7.11,7.31,59382951
2024-02-20,sh.600155,7.22,7.61,7.19,7.51,57944354
2024-02-21,sh.600155,7.36,7.78,7.3,7.47,64782786
2024-02-22,sh.600155,7.41,7.91,7.41,7.79,72202576
2024-02-23,sh.600155,7.72,7.82,7.62,7.78,63986416
2024-02-26,sh.600155,7.75,7.79,7.66,7.72,39751503
2024-02-27,sh.600155,7.7,7.86,7.67,7.86,46049999
2024-02-28,sh.600155,7.99,8.33,7.71,7.73,104124764
2024-02-29,sh.600155,7.55,7.93,7.5,7.93,60410546
2024-03-01,sh.600155,7.9,8.01,7.84,7.97,46756199
2024-03-04,sh.600155,7.9,8.15,7.83,8.02,57392311
2024-03-05,sh.600155,7.98,8.03,7.8,7.84,39072452
2024-03-06,sh.600155,7.77,7.95,7.72,7.77,35569119
2024-03-07,sh.600155,7.79,7.82,7.62,7.64,37270354
2024-03-08,sh.600155,7.63,7.68,7.57,7.66,22440316
2024-03-11,sh.600155,7.65,7.78,7.63,7.78,27895925
2024-03-12,sh.600155,7.82,7.9,7.76,7.81,34559942
2024-03-13,sh.600155,7.8,7.82,7.7,7.72,30280622
2024-03-14,sh.600155,7.68,7.76,7.61,7.67,23880741
2024-03-15,sh.600155,7.65,7.75,7.61,7.75,28820428
2024-03-18,sh.600155,7.81,8.01,7.76,7.93,56831798
2024-03-19,sh.600155,7.89,7.89,7.76,7.76,30127552
2024-03-20,sh.600155,7.82,8.13,7.79,7.91,73670809
2024-03-21,sh.600155,7.99,8.21,7.99,8.06,87608994
2024-03-22,sh.600155,8.09,8.12,7.85,7.87,55153949
2024-03-25,sh.600155,7.7,7.76,7.38,7.39,67786384
2024-03-26,sh.600155,7.42,7.53,7.27,7.34,37148413
2024-03-27,sh.600155,7.3,7.3,7.06,7.06,32663808
2024-03-28,sh.600155,7.1,7.22,7.06,7.11,46824533
2024-03-29,sh.600155,7.08,7.15,6.99,7.14,38860708
