date,stock_code,open,high,low,close,volume
2023-07-03,sh.688114,85.83769304,88.13851772,85.83769304,87.7500668,345185
2023-07-04,sh.688114,87.8496696,93.06885632,86.73411824,92.51108064,1347880
2023-07-05,sh.688114,92.27203392,93.128618,88.81581676,89.42339384,724852
2023-07-06,sh.688114,89.5927186,91.16644284,88.7958962,89.9911298,398961
2023-07-07,sh.688114,90.5389452,91.91346384,89.65248028,90.27997792,306140
2023-07-10,sh.688114,90.28,91.02,88.72,89.8,295403
2023-07-11,sh.688114,89.23,91.65,88.21,90.9,267387
2023-07-12,sh.688114,91.74,91.75,89.39,90.7,252540
2023-07-13,sh.688114,90.7,94.8,90.0,93.0,648411
2023-07-14,sh.688114,92.35,98.0,92.15,97.0,1123734
2023-07-17,sh.688114,96.0,96.0,91.38,94.05,800601
2023-07-18,sh.688114,93.7,95.33,92.48,94.82,453038
2023-07-19,sh.688114,94.01,95.28,90.68,91.54,408242
2023-07-20,sh.688114,92.36,94.37,90.9,93.13,418337
2023-07-21,sh.688114,93.13,95.14,91.62,94.57,500437
2023-07-24,sh.688114,94.49,96.27,90.0,91.0,804773
2023-07-25,sh.688114,91.9,92.18,87.88,88.55,750399
2023-07-26,sh.688114,88.99,89.42,87.89,88.87,273552
2023-07-27,sh.688114,89.35,90.58,87.02,88.98,533666
2023-07-28,sh.688114,88.6,89.52,87.72,88.66,203183
2023-07-31,sh.688114,89.32,89.96,86.55,87.34,531239
2023-08-01,sh.688114,87.0,89.3,86.8,88.21,272997
2023-08-02,sh.688114,88.0,88.75,87.48,88.13,170438
2023-08-03,sh.688114,88.31,92.49,87.9,92.0,786725
2023-08-04,sh.688114,91.68,93.35,91.26,91.46,281133
2023-08-07,sh.688114,91.54,92.33,88.03,88.38,346772
2023-08-08,sh.688114,88.76,89.39,87.6,87.67,230656
2023-08-09,sh.688114,87.01,89.78,85.46,87.7,456857
2023-08-10,sh.688114,87.65,87.99,85.96,86.17,236237
2023-08-11,sh.688114,87.69,90.44,86.5,86.55,683632
2023-08-14,sh.688114,86.28,86.87,81.52,82.82,766220
2023-08-15,sh.688114,82.99,84.17,82.1,83.79,235766
2023-08-16,sh.688114,83.0,84.84,82.8,83.15,205026
2023-08-17,sh.688114,83.0,83.15,80.8,81.75,288364
2023-08-18,sh.688114,82.75,83.11,79.78,80.08,424115
2023-08-21,sh.688114,80.07,81.49,79.85,80.81,272288
2023-08-22,sh.688114,81.6,81.94,78.8,80.0,353023
2023-08-23,sh.688114,79.99,80.9,77.8,78.19,299427
2023-08-24,sh.688114,78.5,79.36,76.87,77.0,441207
2023-08-25,sh.688114,76.58,79.62,76.58,77.33,354849
2023-08-28,sh.688114,82.44,82.99,78.69,79.13,580883
2023-08-29,sh.688114,78.03,80.39,77.61,79.98,627296
2023-08-30,sh.688114,80.97,81.18,78.79,80.22,427024
2023-08-31,sh.688114,79.16,80.55,77.5,79.16,427487
2023-09-01,sh.688114,78.5,79.31,77.88,78.27,226563
2023-09-04,sh.688114,77.9,78.54,77.78,78.25,254559
2023-09-05,sh.688114,77.81,78.5,76.88,76.88,252394
2023-09-06,sh.688114,76.5,76.89,74.0,74.21,510027
2023-09-07,sh.688114,74.2,75.09,71.52,71.62,554224
2023-09-08,sh.688114,71.55,72.2,71.12,71.12,401169
2023-09-11,sh.688114,64.3,71.0,64.25,68.04,8952106
2023-09-12,sh.688114,68.55,71.29,68.04,68.78,4623251
2023-09-13,sh.688114,68.02,70.14,67.2,67.69,1718803
2023-09-14,sh.688114,67.7,70.27,67.03,69.71,3088415
2023-09-15,sh.688114,69.71,71.22,69.11,69.81,3450625
2023-09-18,sh.688114,69.5,72.89,69.43,71.07,3448247
2023-09-19,sh.688114,71.0,71.28,68.4,68.75,1512117
2023-09-20,sh.688114,68.46,69.03,66.66,66.8,1125552
2023-09-21,sh.688114,66.52,66.67,65.15,65.94,960644
2023-09-22,sh.688114,66.01,68.69,65.72,68.48,1674542
