date,stock_code,open,high,low,close,volume
2023-07-03,sz.002185,9.13883634,9.25777998,9.12892437,9.14874831,16799116
2023-07-04,sz.002185,9.15866028,9.47584332,9.14874831,9.35689968,30442180
2023-07-05,sz.002185,9.35689968,9.4163715,9.27760392,9.29742786,16114255
2023-07-06,sz.002185,9.25777998,9.52540317,9.22804407,9.39654756,21186196
2023-07-07,sz.002185,9.39654756,9.39654756,9.14874831,9.19830816,16449789
2023-07-10,sz.002185,9.18839619,9.24786801,9.03971664,9.08927649,13763055
2023-07-11,sz.002185,9.1190124,9.34698771,9.06945255,9.33707574,21298433
2023-07-12,sz.002185,9.32716377,9.4163715,9.20822013,9.22804407,17675219
2023-07-13,sz.002185,9.24786801,9.52540317,9.22804407,9.5154912,35263987
2023-07-14,sz.002185,9.56505105,10.1102094,9.55513908,9.69390666,71278916
2023-07-17,sz.002185,9.6146109,9.73355454,9.54522711,9.70381863,30909301
2023-07-18,sz.002185,9.75337848,10.16968122,9.75337848,9.98135379,82198530
2023-07-19,sz.002185,9.87232212,10.04082561,9.78311439,9.88223409,37514997
2023-07-20,sz.002185,9.85249818,9.93179394,9.6146109,9.64434681,35181077
2023-07-21,sz.002185,9.64434681,9.91197,9.59478696,9.68399469,29867325
2023-07-24,sz.002185,9.6146109,9.78311439,9.57496302,9.58487499,22616504
2023-07-25,sz.002185,9.67408272,9.72364257,9.57496302,9.68399469,23125298
2023-07-26,sz.002185,9.68399469,9.74346651,9.58487499,9.60469893,18106230
2023-07-27,sz.002185,9.60469893,9.63443484,9.43619544,9.44610741,22032153
2023-07-28,sz.002185,9.44610741,9.50557923,9.33707574,9.45601938,20510635
2023-07-31,sz.002185,9.45601938,9.54522711,9.4163715,9.50557923,24139642
2023-08-01,sz.002185,9.52540317,9.54522711,9.43619544,9.47584332,16079124
2023-08-02,sz.002185,9.48575529,9.5154912,9.43619544,9.47584332,13184693
2023-08-03,sz.002185,9.45601938,9.5154912,9.39654756,9.4163715,16388444
2023-08-04,sz.002185,9.42628347,9.63443484,9.42628347,9.56505105,24575625
2023-08-07,sz.002185,9.58487499,9.60469893,9.50557923,9.59478696,15536315
2023-08-08,sz.002185,9.58487499,9.60469893,9.25777998,9.26769195,31326117
2023-08-09,sz.002185,9.26769195,9.29742786,9.16857225,9.26769195,14664727
2023-08-10,sz.002185,9.26769195,9.33707574,9.23795604,9.26769195,9024037
2023-08-11,sz.002185,9.25777998,9.30733983,9.07936452,9.07936452,14653541
2023-08-14,sz.002185,9.08927649,9.15866028,8.920773,9.0198927,14515356
2023-08-15,sz.002185,9.02980467,9.06945255,8.88112512,8.95050891,13923514
2023-08-16,sz.002185,8.94059694,9.00998073,8.90094906,8.920773,9804011
2023-08-17,sz.002185,8.89103709,8.98024482,8.81174133,8.95050891,10908020
2023-08-18,sz.002185,8.96042088,9.00006876,8.80182936,8.80182936,10673900
2023-08-21,sz.002185,8.79191739,8.89103709,8.69279769,8.70270966,9740139
2023-08-22,sz.002185,8.75226951,8.80182936,8.57385405,8.75226951,13470020
2023-08-23,sz.002185,8.71262163,8.7225336,8.54411814,8.54411814,9809436
2023-08-24,sz.002185,8.60358996,8.64323784,8.4251745,8.5242942,11849008
2023-08-25,sz.002185,8.47473435,8.49455829,8.21702313,8.25667101,17226424
2023-08-28,sz.002185,8.65314981,8.71262163,8.36570268,8.39543859,26492129
2023-08-29,sz.002185,8.35579071,8.70270966,8.3260548,8.66306178,24958296
2023-08-30,sz.002185,8.80182936,8.97033285,8.75226951,8.84147724,27125579
2023-08-31,sz.002185,8.80182936,8.95050891,8.77209345,8.90094906,23318512
2023-09-01,sz.002185,8.89103709,9.00006876,8.78200542,8.85138921,12006974
2023-09-04,sz.002185,8.920773,9.00998073,8.87121315,9.00006876,17066816
2023-09-05,sz.002185,9.00006876,9.09918846,8.96042088,9.0198927,23090568
2023-09-06,sz.002185,8.920773,9.19830816,8.89103709,9.17848422,31815756
2023-09-07,sz.002185,9.16857225,9.16857225,9.03971664,9.04962861,25455632
2023-09-08,sz.002185,9.04962861,9.1190124,9.0198927,9.05954058,14047122
2023-09-11,sz.002185,9.06945255,9.16857225,9.02980467,9.13883634,16782153
2023-09-12,sz.002185,9.24786801,9.38663559,9.08927649,9.09918846,21120155
2023-09-13,sz.002185,9.06945255,9.09918846,8.88112512,8.96042088,19832741
2023-09-14,sz.002185,8.96042088,8.98024482,8.84147724,8.90094906,11164988
2023-09-15,sz.002185,8.94059694,9.07936452,8.89103709,8.97033285,14663527
2023-09-18,sz.002185,8.920773,9.00998073,8.85138921,8.99015679,12509876
2023-09-19,sz.002185,8.96042088,9.00006876,8.78200542,8.84147724,13320393
2023-09-20,sz.002185,8.80182936,8.89103709,8.76218148,8.77209345,8822771
2023-09-21,sz.002185,8.74235754,8.94059694,8.74235754,8.86130118,16599441
2023-09-22,sz.002185,8.91086103,9.02980467,8.79191739,9.0198927,17806887
2023-09-25,sz.002185,9.0198927,9.02980467,8.90094906,8.920773,12173188
2023-09-26,sz.002185,8.89103709,8.96042088,8.79191739,8.79191739,9982299
2023-09-27,sz.002185,8.80182936,8.920773,8.77209345,8.83156527,10011314
2023-09-28,sz.002185,8.84147724,8.94059694,8.83156527,8.90094906,10882359
2023-10-09,sz.002185,8.91086103,9.00006876,8.85138921,8.93068497,13923593
2023-10-10,sz.002185,8.98024482,9.07936452,8.94059694,9.06945255,18895106
2023-10-11,sz.002185,9.09918846,9.18839619,9.0198927,9.14874831,20083301
2023-10-12,sz.002185,9.19830816,9.19830816,9.02980467,9.09918846,16480006
2023-10-13,sz.002185,9.1190124,9.23795604,9.04962861,9.17848422,20104296
2023-10-16,sz.002185,9.15866028,9.17848422,8.88112512,8.94059694,18344032
2023-10-17,sz.002185,8.96042088,9.02980467,8.89103709,8.98024482,11449230
2023-10-18,sz.002185,8.93068497,9.04962861,8.88112512,8.88112512,13047432
2023-10-19,sz.002185,8.83156527,9.12892437,8.80182936,8.94059694,25953110
2023-10-20,sz.002185,8.89103709,8.97033285,8.60358996,8.6234139,25345522
2023-10-23,sz.002185,8.6234139,8.65314981,8.41526253,8.45491041,14997476
2023-10-24,sz.002185,8.5242942,8.64323784,8.31614283,8.50447026,21095267
2023-10-25,sz.002185,8.6234139,8.7225336,8.57385405,8.69279769,19109804
2023-10-26,sz.002185,8.67297375,8.80182936,8.6234139,8.71262163,15935364
2023-10-27,sz.002185,8.67297375,8.85138921,8.64323784,8.80182936,16184638
2023-10-30,sz.002185,8.76218148,8.920773,8.74235754,8.89103709,29326082
2023-10-31,sz.002185,8.88112512,8.95050891,8.79191739,8.85138921,17982601
2023-11-01,sz.002185,8.83156527,8.90094906,8.75226951,8.81174133,16795541
2023-11-02,sz.002185,8.81174133,8.88112512,8.73244557,8.75226951,12974827
2023-11-03,sz.002185,8.74235754,8.98024482,8.73244557,8.97033285,26206987
2023-11-06,sz.002185,9.0198927,9.15866028,8.99015679,9.13883634,29656094
2023-11-07,sz.002185,9.10910043,9.23795604,9.06945255,9.18839619,29433748
2023-11-08,sz.002185,9.15866028,9.18839619,9.04962861,9.10910043,22426770
2023-11-09,sz.002185,9.09918846,9.15866028,8.99015679,9.00998073,20383142
2023-11-10,sz.002185,9.0198927,9.1190124,8.97033285,9.00006876,17673781
2023-11-13,sz.002185,9.03971664,9.13883634,9.03971664,9.10910043,18712217
2023-11-14,sz.002185,9.07936452,9.23795604,9.05954058,9.19830816,21894647
2023-11-15,sz.002185,9.26769195,9.29742786,9.15866028,9.19830816,18706733
2023-11-16,sz.002185,9.16857225,9.23795604,9.12892437,9.14874831,14758179
2023-11-17,sz.002185,9.13883634,9.19830816,9.07936452,9.14874831,14293203
2023-11-20,sz.002185,9.2181321,9.2181321,9.1190124,9.17848422,18264726
2023-11-21,sz.002185,9.15866028,9.25777998,9.05954058,9.06945255,22549668
2023-11-22,sz.002185,9.0198927,9.16857225,8.94059694,9.0198927,22979160
2023-11-23,sz.002185,8.97033285,9.08927649,8.93068497,9.05954058,15242960
2023-11-24,sz.002185,9.03971664,9.04962861,8.86130118,8.87121315,16726652
2023-11-27,sz.002185,8.84147724,8.98024482,8.77209345,8.920773,18895327
2023-11-28,sz.002185,8.91086103,9.02980467,8.88112512,9.00006876,17605126
2023-11-29,sz.002185,9.00998073,9.13883634,8.98024482,9.05954058,24428786
2023-11-30,sz.002185,9.04962861,9.04962861,8.77209345,8.86130118,25677816
2023-12-01,sz.002185,8.83156527,8.89103709,8.74235754,8.86130118,13191571
2023-12-04,sz.002185,8.93068497,9.03971664,8.83156527,8.87121315,20088785
2023-12-05,sz.002185,8.84147724,8.85138921,8.59367799,8.59367799,23514118
2023-12-06,sz.002185,8.55403011,8.66306178,8.49455829,8.57385405,19487273
2023-12-07,sz.002185,8.55403011,8.67297375,8.54411814,8.63332587,17808468
2023-12-08,sz.002185,8.6234139,8.84147724,8.6234139,8.84147724,35607133
2023-12-11,sz.002185,8.7225336,8.76218148,8.4251745,8.64323784,46382665
2023-12-12,sz.002185,8.63332587,8.79191739,8.6234139,8.7225336,23416879
2023-12-13,sz.002185,8.70270966,8.71262163,8.55403011,8.55403011,15030927
2023-12-14,sz.002185,8.61350193,8.66306178,8.54411814,8.55403011,11191858
2023-12-15,sz.002185,8.56394208,8.60358996,8.47473435,8.48464632,12064201
2023-12-18,sz.002185,8.46482238,8.49455829,8.34587874,8.37561465,17092623
2023-12-19,sz.002185,8.35579071,8.43508647,8.29631889,8.35579071,13046370
2023-12-20,sz.002185,8.35579071,8.38552662,8.23684707,8.23684707,11098100
2023-12-21,sz.002185,8.20711116,8.26658298,8.05843161,8.2269351,19104900
2023-12-22,sz.002185,8.25667101,8.27649495,8.1278154,8.15755131,14498327
2023-12-25,sz.002185,8.13772737,8.21702313,8.09807949,8.15755131,11906551
2023-12-26,sz.002185,8.18728722,8.18728722,7.93948797,7.95931191,18211453
2023-12-27,sz.002185,7.95931191,8.08816752,7.929576,8.04851964,19482650
2023-12-28,sz.002185,8.05843161,8.33596677,8.03860767,8.29631889,22217210
2023-12-29,sz.002185,8.27649495,8.46482238,8.24675904,8.44499844,17409113
2024-01-02,sz.002185,8.4251745,8.45491041,8.35579071,8.36570268,18291363
2024-01-03,sz.002185,8.35579071,8.40535056,8.21702313,8.27649495,14703600
2024-01-04,sz.002185,8.27649495,8.29631889,8.04851964,8.09807949,15943015
2024-01-05,sz.002185,8.07825555,8.14763934,7.94939994,7.97913585,13997769
2024-01-08,sz.002185,7.929576,7.96922388,7.6322169,7.6322169,24203309
2024-01-09,sz.002185,7.69168872,7.82054433,7.64212887,7.70160069,16383773
2024-01-10,sz.002185,7.71151266,7.74124857,7.54300917,7.60248099,13171700
2024-01-11,sz.002185,7.65204084,7.82054433,7.60248099,7.78089645,14649796
2024-01-12,sz.002185,7.79080842,7.80072039,7.65204084,7.66195281,10482935
2024-01-15,sz.002185,7.65204084,7.77098448,7.60248099,7.6322169,12721945
2024-01-16,sz.002185,7.64212887,7.67186478,7.46371341,7.56283311,15153782
2024-01-17,sz.002185,7.56283311,7.60248099,7.37450568,7.37450568,11455680
2024-01-18,sz.002185,7.31503386,7.40424159,7.08705855,7.32494583,25368321
2024-01-19,sz.002185,7.30512189,7.50336129,7.28529795,7.31503386,15182893
2024-01-22,sz.002185,7.27538598,7.31503386,6.80952339,6.90864309,19275243
2024-01-23,sz.002185,6.88881915,7.02758673,6.77978748,6.97802688,15190924
2024-01-24,sz.002185,6.99785082,7.04741067,6.75996354,7.0374987,18058873
2024-01-25,sz.002185,7.05732264,7.22582613,6.96811491,7.21591416,19576320
2024-01-26,sz.002185,7.18617825,7.2357381,7.10688249,7.11679446,17058743
2024-01-29,sz.002185,7.14653037,7.2357381,6.91855506,6.92846703,14578341
2024-01-30,sz.002185,6.81943536,6.97802688,6.69057975,6.70049172,16363749
2024-01-31,sz.002185,6.69057975,6.79961142,6.43286853,6.45269247,26288232
2024-02-01,sz.002185,6.37339671,6.57163611,6.32383686,6.4427805,22833387
2024-02-02,sz.002185,6.45269247,6.59146005,5.91744609,6.13550943,31938225
2024-02-05,sz.002185,6.08594958,6.11568549,5.60026305,5.79850245,38851521
2024-02-06,sz.002185,5.6498229,6.38330868,5.6498229,6.38330868,47706987
2024-02-07,sz.002185,6.4427805,7.01767476,6.36348474,7.01767476,66760127
2024-02-08,sz.002185,7.12670643,7.72142463,7.04741067,7.72142463,52443552
2024-02-19,sz.002185,8.49455829,8.49455829,8.49455829,8.49455829,18533888
2024-02-20,sz.002185,9.16857225,9.16857225,8.26658298,8.38552662,229260395
2024-02-21,sz.002185,7.94939994,8.43508647,7.7313366,8.14763934,163987315
2024-02-22,sz.002185,8.16746328,8.31614283,7.96922388,8.11790343,108601997
2024-02-23,sz.002185,8.06834358,8.37561465,7.94939994,8.10799146,106845524
2024-02-26,sz.002185,7.99895979,8.20711116,7.929576,7.98904782,87231466
2024-02-27,sz.002185,7.94939994,8.19719919,7.88001615,8.19719919,97826557
2024-02-28,sz.002185,8.1278154,8.25667101,7.72142463,7.7313366,98093439
2024-02-29,sz.002185,7.61239296,8.11790343,7.60248099,8.10799146,83444203
2024-03-01,sz.002185,8.07825555,8.29631889,8.03860767,8.20711116,76087423
2024-03-04,sz.002185,8.15755131,8.37561465,8.07825555,8.20711116,73657159
2024-03-05,sz.002185,8.27649495,8.43508647,8.14763934,8.20711116,96492462
2024-03-06,sz.002185,8.05843161,8.16746328,7.929576,8.06834358,58611442
2024-03-07,sz.002185,8.11790343,8.14763934,7.85028024,7.86019221,47370900
2024-03-08,sz.002185,7.85028024,8.19719919,7.84036827,8.16746328,66285160
2024-03-11,sz.002185,8.0286957,8.15755131,8.00887176,8.14763934,39710472
2024-03-12,sz.002185,8.15755131,8.27649495,8.09807949,8.15755131,43284789
2024-03-13,sz.002185,8.2269351,8.26658298,8.11790343,8.15755131,41961060
2024-03-14,sz.002185,8.06834358,8.13772737,7.929576,8.0286957,37972026
2024-03-15,sz.002185,7.99895979,8.10799146,7.91966403,8.10799146,35784528
2024-03-18,sz.002185,8.11790343,8.24675904,8.10799146,8.23684707,47385428
2024-03-19,sz.002185,8.23684707,8.27649495,8.15755131,8.19719919,38023731
2024-03-20,sz.002185,8.18728722,8.24675904,8.13772737,8.2269351,32206319
2024-03-21,sz.002185,8.24675904,8.38552662,8.19719919,8.24675904,42284201
2024-03-22,sz.002185,8.29631889,8.39543859,8.14763934,8.18728722,45749720
2024-03-25,sz.002185,8.10799146,8.14763934,7.929576,7.94939994,37935714
2024-03-26,sz.002185,7.93948797,8.0286957,7.80072039,7.86019221,29205659
2024-03-27,sz.002185,7.929576,7.96922388,7.50336129,7.51327326,32157462
2024-03-28,sz.002185,7.48353735,7.79080842,7.44388947,7.65204084,31888874
2024-03-29,sz.002185,7.66195281,7.89984009,7.62230493,7.89984009,29284087
2024-04-01,sz.002185,7.90975206,7.99895979,7.88001615,7.95931191,25153968
2024-04-02,sz.002185,8.11790343,8.11790343,7.89984009,7.94939994,27454987
2024-04-03,sz.002185,7.93948797,8.0286957,7.86019221,7.93948797,27065525
2024-04-08,sz.002185,7.78089645,7.88992812,7.71151266,7.72142463,24597652
2024-04-09,sz.002185,7.7313366,7.79080842,7.66195281,7.75116054,16284973
2024-04-10,sz.002185,7.75116054,7.76107251,7.49344932,7.55292114,20967514
2024-04-11,sz.002185,7.56283311,7.62230493,7.45380144,7.47362538,21142210
2024-04-12,sz.002185,7.51327326,7.65204084,7.48353735,7.50336129,25523643
2024-04-15,sz.002185,7.47362538,7.62230493,7.3348578,7.44388947,25799735
2024-04-16,sz.002185,7.37450568,7.48353735,7.07714658,7.08705855,29695755
2024-04-17,sz.002185,7.15644234,7.57274508,7.15644234,7.56283311,32116005
2024-04-18,sz.002185,7.5330972,7.58265705,7.40424159,7.45380144,21828487
2024-04-19,sz.002185,7.45380144,7.45380144,7.26547401,7.30512189,21557192
2024-04-22,sz.002185,7.20600219,7.37450568,7.08705855,7.25556204,17589836
2024-04-23,sz.002185,7.26547401,7.38441765,7.20600219,7.21591416,13426250
2024-04-24,sz.002185,7.22582613,7.4339775,7.21591416,7.4339775,20789567
2024-04-25,sz.002185,7.41415356,7.67186478,7.35468174,7.54300917,25383503
2024-04-26,sz.002185,7.51327326,7.81063236,7.49344932,7.80072039,32920121
2024-04-29,sz.002185,7.8304563,8.08816752,7.8304563,8.07825555,39937709
2024-04-30,sz.002185,8.08816752,8.20711116,8.04851964,8.11790343,33758104
2024-05-06,sz.002185,8.17737525,8.27649495,8.17737525,8.17737525,33602591
2024-05-07,sz.002185,8.2269351,8.24675904,8.11790343,8.16746328,25392147
2024-05-08,sz.002185,8.11790343,8.17737525,7.99895979,8.00887176,23170660
2024-05-09,sz.002185,8.01878373,8.21702313,8.01878373,8.19719919,24330880
2024-05-10,sz.002185,8.2269351,8.70270966,8.13772737,8.14763934,58878897
2024-05-13,sz.002185,8.10799146,8.15755131,7.97913585,8.06834358,28304422
2024-05-14,sz.002185,8.06834358,8.21702313,8.0286957,8.0286957,20769452
2024-05-15,sz.002185,8.03860767,8.23684707,7.94939994,8.01878373,26488904
2024-05-16,sz.002185,8.07825555,8.14763934,8.0286957,8.05843161,22477637
2024-05-17,sz.002185,8.05843161,8.21702313,8.0286957,8.19719919,23879680
2024-05-20,sz.002185,8.26658298,8.30623086,8.15755131,8.21702313,23935821
2024-05-21,sz.002185,8.16746328,8.28640692,8.16746328,8.24675904,20883762
