date,stock_code,open,high,low,close,volume
2023-07-03,sz.002926,8.197152,8.315808,8.187264,8.296032,13365500
2023-07-04,sz.002926,8.266368,8.30592,8.197152,8.25648,12627309
2023-07-05,sz.002926,8.266368,8.266368,8.187264,8.236704,7213749
2023-07-06,sz.002926,8.20704,8.266368,8.167488,8.20704,7306600
2023-07-07,sz.002926,8.187264,8.325696,8.167488,8.286144,13565500
2023-07-10,sz.002926,8.296032,8.335584,8.25648,8.286144,7992869
2023-07-11,sz.002926,8.30592,8.35536,8.266368,8.35536,9614581
2023-07-12,sz.002926,8.325696,8.365248,8.226816,8.25648,9993928
2023-07-13,sz.002926,8.296032,8.444352,8.286144,8.434464,19194174
2023-07-14,sz.002926,8.444352,8.444352,8.345472,8.375136,11347400
2023-07-17,sz.002926,8.25648,8.315808,8.20704,8.25648,15308347
2023-07-18,sz.002926,8.266368,8.30592,8.226816,8.266368,12155693
2023-07-19,sz.002926,8.246592,8.335584,8.246592,8.335584,9122858
2023-07-20,sz.002926,8.335584,8.365248,8.226816,8.25648,12477050
2023-07-21,sz.002926,8.236704,8.296032,8.226816,8.25648,8602993
2023-07-24,sz.002926,8.236704,8.286144,8.187264,8.216928,7705100
2023-07-25,sz.002926,8.444352,8.642112,8.375136,8.572896,42172282
2023-07-26,sz.002926,8.563008,8.612448,8.483904,8.563008,24124254
2023-07-27,sz.002926,8.563008,8.592672,8.493792,8.513568,16039478
2023-07-28,sz.002926,8.50368,9.04752,8.483904,8.988192,69399435
2023-07-31,sz.002926,8.99808,9.265056,8.94864,9.116736,71624696
2023-08-01,sz.002926,8.94864,9.29472,8.918976,9.1464,50200126
2023-08-02,sz.002926,9.1464,9.354048,9.09696,9.176064,39262455
2023-08-03,sz.002926,9.255168,9.551808,9.077184,9.452928,64207044
2023-08-04,sz.002926,9.650688,10.016544,9.512256,9.630912,98692811
2023-08-07,sz.002926,9.462816,9.769344,9.403488,9.749568,60307931
2023-08-08,sz.002926,9.621024,9.630912,9.284832,9.472704,55523584
2023-08-09,sz.002926,9.49248,9.522144,9.29472,9.34416,34369758
2023-08-10,sz.002926,9.403488,9.482592,9.324384,9.44304,37544128
2023-08-11,sz.002926,9.472704,9.897888,9.324384,9.3936,113384461
2023-08-14,sz.002926,9.067296,9.363936,8.988192,9.235392,66443552
2023-08-15,sz.002926,9.215616,9.334272,9.106848,9.24528,41020837
2023-08-16,sz.002926,9.136512,9.512256,8.909088,9.29472,56165376
2023-08-17,sz.002926,9.29472,10.03632,9.29472,9.571584,118422506
2023-08-18,sz.002926,9.630912,9.729792,9.1464,9.1464,66532814
