date,stock_code,open,high,low,close,volume
2023-07-03,sh.600348,7.24539517,7.44640235,7.22712179,7.4007189,39654685
2023-07-04,sh.600348,7.4007189,7.50122249,7.34589876,7.42812897,32727029
2023-07-05,sh.600348,7.43726566,7.50122249,7.4007189,7.44640235,25788466
2023-07-06,sh.600348,7.48294911,7.48294911,7.4007189,7.43726566,20200330
2023-07-07,sh.600348,7.46467573,7.51035918,7.40985559,7.45553904,21263112
2023-07-10,sh.600348,7.4920858,7.69309298,7.4920858,7.57431601,34673802
2023-07-11,sh.600348,7.56517932,7.57431601,7.40985559,7.48294911,23660211
2023-07-12,sh.600348,7.47381242,7.57431601,7.41899228,7.43726566,25422669
2023-07-13,sh.600348,7.47381242,7.56517932,7.45553904,7.50122249,20369958
2023-07-14,sh.600348,7.52863256,7.54690594,7.46467573,7.51035918,15510248
2023-07-17,sh.600348,7.53776925,7.53776925,7.38244552,7.45553904,18211213
2023-07-18,sh.600348,7.45553904,7.48294911,7.32762538,7.38244552,23629869
2023-07-19,sh.600348,7.43726566,7.43726566,7.31848869,7.35503545,16724586
2023-07-20,sh.600348,7.36417214,7.55604263,7.35503545,7.36417214,32123416
2023-07-21,sh.600348,7.37330883,7.41899228,7.27280524,7.33676207,21192435
2023-07-24,sh.600348,7.309352,7.31848869,7.20884841,7.22712179,22490537
2023-07-25,sh.600348,7.25453186,7.4920858,7.25453186,7.43726566,32951474
2023-07-26,sh.600348,7.46467573,7.4920858,7.37330883,7.4007189,17522238
2023-07-27,sh.600348,7.38244552,7.42812897,7.309352,7.31848869,18512415
2023-07-28,sh.600348,7.309352,7.46467573,7.24539517,7.42812897,22962541
2023-07-31,sh.600348,7.42812897,7.55604263,7.4007189,7.42812897,30169515
2023-08-01,sh.600348,7.41899228,7.43726566,7.38244552,7.41899228,17017018
2023-08-02,sh.600348,7.38244552,7.42812897,7.25453186,7.27280524,25785174
2023-08-03,sh.600348,7.22712179,7.27280524,7.19057503,7.2179851,22948934
2023-08-04,sh.600348,7.25453186,7.33676207,7.19971172,7.20884841,25563389
2023-08-07,sh.600348,7.20884841,7.22712179,7.11748151,7.15402827,20437801
2023-08-08,sh.600348,7.17230165,7.19057503,7.08093475,7.15402827,21463960
2023-08-09,sh.600348,7.14489158,7.14489158,7.05352468,7.09007144,18030800
2023-08-10,sh.600348,7.09920813,7.309352,7.09920813,7.27280524,32471924
2023-08-11,sh.600348,7.27280524,7.30021531,7.08093475,7.09920813,25636636
2023-08-14,sh.600348,7.05352468,7.06266137,6.95302109,7.0352513,22332914
2023-08-15,sh.600348,7.05352468,7.06266137,6.9438844,6.99870454,15338383
2023-08-16,sh.600348,6.97129447,7.01697792,6.93474771,6.98043116,11685013
2023-08-17,sh.600348,6.95302109,7.04438799,6.80683405,6.99870454,25947417
2023-08-18,sh.600348,6.98956785,7.07179806,6.92561102,6.93474771,16550550
2023-08-21,sh.600348,6.9438844,6.98043116,6.81597074,6.81597074,18095333
2023-08-22,sh.600348,6.87079088,6.89820095,6.71546715,6.82510743,24174574
2023-08-23,sh.600348,6.86165419,7.0352513,6.81597074,6.9438844,32907885
2023-08-24,sh.600348,6.9438844,6.97129447,6.8525175,6.88906426,17831929
2023-08-25,sh.600348,6.8525175,6.87079088,6.69719377,6.73374053,27634160
2023-08-28,sh.600348,7.01697792,7.20884841,6.98043116,7.00784123,69144928
2023-08-29,sh.600348,6.99870454,7.08093475,6.97129447,7.05352468,29741340
2023-08-30,sh.600348,7.05352468,7.09920813,6.95302109,6.97129447,22448990
2023-08-31,sh.600348,6.98043116,7.04438799,6.90733764,6.91647433,19170116
2023-09-01,sh.600348,6.95302109,7.54690594,6.9438844,7.51949587,129056920
2023-09-04,sh.600348,7.56517932,7.72050305,7.51949587,7.66568291,89892885
2023-09-05,sh.600348,7.63827284,7.65654622,7.51949587,7.61086277,52106006
2023-09-06,sh.600348,7.61086277,7.68395629,7.54690594,7.65654622,37902781
2023-09-07,sh.600348,7.61086277,7.77532319,7.57431601,7.5834527,45323547
2023-09-08,sh.600348,7.54690594,7.56517932,7.41899228,7.41899228,30232046
2023-09-11,sh.600348,7.47381242,7.64740953,7.46467573,7.52863256,44229983
2023-09-12,sh.600348,7.57431601,7.63827284,7.4920858,7.50122249,24631214
2023-09-13,sh.600348,7.51035918,7.68395629,7.48294911,7.52863256,48191821
2023-09-14,sh.600348,7.52863256,7.81186995,7.51949587,7.80273326,90552871
2023-09-15,sh.600348,7.83928002,7.9489203,7.77532319,7.83014333,67216791
2023-09-18,sh.600348,7.84841671,7.93978361,7.77532319,7.89410016,56349923
2023-09-19,sh.600348,7.90323685,8.01287713,7.83014333,7.84841671,61155648
2023-09-20,sh.600348,7.87582678,7.99460375,7.84841671,7.92151023,43790890
2023-09-21,sh.600348,7.87582678,7.95805699,7.80273326,7.86669009,43657709
2023-09-22,sh.600348,7.83928002,7.89410016,7.56517932,7.72050305,65172340
2023-09-25,sh.600348,7.69309298,7.83928002,7.69309298,7.75704981,36381700
2023-09-26,sh.600348,7.70222967,7.78445988,7.68395629,7.71136636,25668234
2023-09-27,sh.600348,7.73877643,7.74791312,7.64740953,7.64740953,24928632
2023-09-28,sh.600348,7.7661865,7.81186995,7.66568291,7.69309298,31404259
2023-10-09,sh.600348,7.65654622,7.7661865,7.53776925,7.72050305,36571741
2023-10-10,sh.600348,7.69309298,7.74791312,7.54690594,7.57431601,29757202
2023-10-11,sh.600348,7.57431601,7.60172608,7.4007189,7.42812897,35070472
2023-10-12,sh.600348,7.44640235,7.50122249,7.42812897,7.47381242,24283765
2023-10-13,sh.600348,7.44640235,7.51949587,7.4007189,7.4920858,18675580
2023-10-16,sh.600348,7.51949587,7.5834527,7.46467573,7.56517932,29870785
2023-10-17,sh.600348,7.54690594,7.5834527,7.4007189,7.5834527,33168245
2023-10-18,sh.600348,7.5834527,7.59258939,7.4007189,7.40985559,31243850
2023-10-19,sh.600348,7.37330883,7.40985559,7.27280524,7.29107862,28739174
2023-10-20,sh.600348,7.27280524,7.32762538,7.2179851,7.23625848,23881802
2023-10-23,sh.600348,7.17230165,7.2179851,6.96215778,7.02611461,25250116
2023-10-24,sh.600348,7.02611461,7.15402827,7.00784123,7.11748151,23253235
2023-10-25,sh.600348,7.2179851,7.4007189,7.20884841,7.24539517,32252479
2023-10-26,sh.600348,7.23625848,7.23625848,6.98956785,7.10834482,30162782
2023-10-27,sh.600348,7.04438799,7.19971172,7.0352513,7.17230165,26445647
2023-10-30,sh.600348,7.26366855,7.43726566,7.23625848,7.32762538,40757036
2023-10-31,sh.600348,7.29107862,7.39158221,7.27280524,7.36417214,26381730
2023-11-01,sh.600348,7.36417214,7.38244552,7.309352,7.33676207,19160607
2023-11-02,sh.600348,7.31848869,7.37330883,7.27280524,7.28194193,16140049
2023-11-03,sh.600348,7.32762538,7.4007189,7.27280524,7.30021531,24378990
2023-11-06,sh.600348,7.309352,7.32762538,7.19971172,7.25453186,39326259
