date,stock_code,open,high,low,close,volume
2023-07-03,sh.600995,10.81755504,11.18989842,10.80775653,11.16050289,20005038
2023-07-04,sh.600995,11.16050289,11.21929395,11.03312226,11.10171183,14020242
2023-07-05,sh.600995,11.09191332,11.20949544,10.95473418,10.9743312,12258197
2023-07-06,sh.600995,10.94493567,11.05271928,10.92533865,10.95473418,7146664
2023-07-07,sh.600995,10.95473418,11.22909246,10.92533865,11.08211481,15507059
2023-07-10,sh.600995,11.1703014,11.32707756,11.13110736,11.20949544,14537733
2023-07-11,sh.600995,11.1703014,11.1703014,11.00372673,11.14090587,9662445
2023-07-12,sh.600995,11.1703014,11.35647309,11.11151034,11.2682865,17927281
2023-07-13,sh.600995,11.29768203,11.40546564,11.19969693,11.25848799,15069769
2023-07-14,sh.600995,11.25848799,11.25848799,11.05271928,11.11151034,13877182
2023-07-17,sh.600995,11.12130885,11.16050289,11.06251779,11.12130885,7462800
2023-07-18,sh.600995,11.12130885,11.12130885,11.01352524,11.06251779,6052739
2023-07-19,sh.600995,11.0723163,11.11151034,10.92533865,11.02332375,6931134
2023-07-20,sh.600995,11.00372673,11.28788352,10.98412971,11.06251779,9683074
2023-07-21,sh.600995,10.99392822,11.04292077,10.8763461,10.89594312,10331061
2023-07-24,sh.600995,10.85674908,11.00372673,10.79795802,10.89594312,5368860
2023-07-25,sh.600995,10.95473418,11.01352524,10.91554014,11.00372673,7111016
2023-07-26,sh.600995,11.00372673,11.00372673,10.86654759,10.93513716,5123773
2023-07-27,sh.600995,10.94493567,11.02332375,10.83715206,10.86654759,7271538
2023-07-28,sh.600995,10.90574163,11.03312226,10.778361,10.9743312,10879662
2023-07-31,sh.600995,10.98412971,11.13110736,10.98412971,11.12130885,10453370
2023-08-01,sh.600995,11.11151034,11.15070438,11.01352524,11.10171183,7224302
2023-08-02,sh.600995,11.0723163,11.12130885,10.92533865,10.94493567,7420700
2023-08-03,sh.600995,10.94493567,10.99392822,10.91554014,10.94493567,4852400
2023-08-04,sh.600995,10.95473418,11.06251779,10.90574163,10.92533865,9382500
2023-08-07,sh.600995,10.92533865,10.96453269,10.75876398,10.84695057,9906200
2023-08-08,sh.600995,10.85674908,10.95473418,10.69017441,10.71956994,11356750
2023-08-09,sh.600995,10.69997292,10.71956994,10.53339825,10.5823908,8771024
2023-08-10,sh.600995,10.61178633,10.76856249,10.60198782,10.75876398,6174480
2023-08-11,sh.600995,10.778361,10.778361,10.44521166,10.44521166,11545965
2023-08-14,sh.600995,10.42561464,10.42561464,10.24924146,10.37662209,9444902
2023-08-15,sh.600995,10.39621911,10.39621911,10.14145785,10.24924146,7005784
2023-08-16,sh.600995,10.26883848,10.26883848,10.06306977,10.06306977,6706531
2023-08-17,sh.600995,10.05327126,10.20024891,9.97488318,10.16105487,6027125
2023-08-18,sh.600995,10.16105487,10.20024891,9.8964951,9.93568914,5746526
2023-08-21,sh.600995,9.8964951,10.03367424,9.82790553,9.82790553,6141100
2023-08-22,sh.600995,9.8964951,9.92589063,9.67112937,9.83770404,7696000
2023-08-23,sh.600995,9.79851,9.82790553,9.65153235,9.65153235,6686700
2023-08-24,sh.600995,9.7005249,9.78871149,9.54374874,9.56334576,7882100
2023-08-25,sh.600995,9.56334576,9.73971894,9.46536066,9.53395023,7265100
2023-08-28,sh.600995,9.98468169,10.03367424,9.54374874,9.55354725,10542475
2023-08-29,sh.600995,9.55354725,9.72992043,9.52415172,9.7005249,9771132
2023-08-30,sh.600995,9.69072639,9.75931596,9.53395023,9.59274129,7759600
2023-08-31,sh.600995,9.59274129,9.68092788,9.56334576,9.64173384,5639344
2023-09-01,sh.600995,9.65153235,9.7005249,9.56334576,9.63193533,4753016
2023-09-04,sh.600995,9.66133086,9.79851,9.57314427,9.78871149,8867600
2023-09-05,sh.600995,9.73971894,9.86709957,9.71032341,9.81810702,6066641
2023-09-06,sh.600995,9.80830851,9.80830851,9.69072639,9.74951745,5264200
2023-09-07,sh.600995,9.75931596,9.75931596,9.51435321,9.54374874,6603800
2023-09-08,sh.600995,9.55354725,9.62213682,9.49475619,9.59274129,4610500
2023-09-11,sh.600995,9.58294278,9.72012192,9.55354725,9.7005249,5946800
2023-09-12,sh.600995,9.71032341,9.75931596,9.66133086,9.69072639,3839200
2023-09-13,sh.600995,9.67112937,9.73971894,9.56334576,9.6025398,5785008
2023-09-14,sh.600995,9.61233831,9.65153235,9.56334576,9.61233831,4768431
2023-09-15,sh.600995,9.6025398,9.65153235,9.54374874,9.65153235,7154200
2023-09-18,sh.600995,9.6025398,9.64173384,9.48495768,9.63193533,5975700
2023-09-19,sh.600995,9.59274129,9.68092788,9.58294278,9.64173384,4933700
2023-09-20,sh.600995,9.62213682,9.62213682,9.47515917,9.47515917,5958800
2023-09-21,sh.600995,9.44576364,9.44576364,9.22039791,9.22039791,8721641
2023-09-22,sh.600995,9.22039791,9.44576364,9.2105994,9.36737556,7353281
2023-09-25,sh.600995,9.36737556,9.37717407,9.16160685,9.19100238,7414380
2023-09-26,sh.600995,9.20080089,9.20080089,8.97543516,9.07342026,6437461
2023-09-27,sh.600995,9.06362175,9.35757705,9.05382324,9.20080089,7677928
2023-09-28,sh.600995,9.28898748,9.28898748,9.15180834,9.19100238,4361300
2023-10-09,sh.600995,9.16160685,9.24979344,9.0146292,9.23999493,7243729
2023-10-10,sh.600995,9.22039791,9.3085845,9.10281579,9.12241281,5368827
2023-10-11,sh.600995,9.13221132,9.23019642,9.13221132,9.15180834,5045458
2023-10-12,sh.600995,9.20080089,9.3085845,9.17140536,9.27918897,8171170
2023-10-13,sh.600995,9.26939046,9.28898748,9.06362175,9.12241281,9509137
2023-10-16,sh.600995,9.08321877,9.17140536,8.99503218,9.02442771,6553695
2023-10-17,sh.600995,9.02442771,9.07342026,8.9166441,9.03422622,7086120
2023-10-18,sh.600995,9.03422622,9.03422622,8.79906198,8.818659,7927765
2023-10-19,sh.600995,8.79906198,8.84805453,8.67168135,8.70107688,5869287
2023-10-20,sh.600995,8.67168135,8.89704708,8.66188284,8.80886049,6975400
2023-10-23,sh.600995,8.79906198,8.79906198,8.5247037,8.54430072,6609894
2023-10-24,sh.600995,8.57369625,8.70107688,8.50510668,8.68147986,5707294
2023-10-25,sh.600995,8.71087539,8.89704708,8.71087539,8.82845751,5670012
2023-10-26,sh.600995,8.78926347,9.04402473,8.73047241,9.02442771,8443020
2023-10-27,sh.600995,8.98523367,9.17140536,8.93624112,9.14200983,8149709
2023-10-30,sh.600995,9.10281579,9.10281579,8.80886049,8.87745006,13947938
2023-10-31,sh.600995,8.97543516,9.14200983,8.86765155,8.9166441,9450780
2023-11-01,sh.600995,8.92644261,9.03422622,8.89704708,8.98523367,7708800
2023-11-02,sh.600995,8.98523367,9.03422622,8.90684559,8.9166441,4506200
2023-11-03,sh.600995,8.9166441,9.03422622,8.90684559,8.98523367,4799500
2023-11-06,sh.600995,9.00483069,9.06362175,8.97543516,9.06362175,6740300
2023-11-07,sh.600995,9.06362175,9.06362175,8.96563665,9.05382324,6210437
2023-11-08,sh.600995,9.04402473,9.06362175,8.94603963,8.97543516,6137737
2023-11-09,sh.600995,9.00483069,9.08321877,8.90684559,9.00483069,6665303
2023-11-10,sh.600995,8.97543516,9.04402473,8.88724857,9.0146292,6469601
2023-11-13,sh.600995,9.00483069,9.1126143,8.93624112,9.0146292,5824934
2023-11-14,sh.600995,9.02442771,9.13221132,8.99503218,9.03422622,8028000
2023-11-15,sh.600995,9.05382324,9.25959195,9.00483069,9.19100238,12196800
2023-11-16,sh.600995,9.17140536,9.20080089,9.02442771,9.04402473,7069400
2023-11-17,sh.600995,9.0146292,9.13221132,8.98523367,9.08321877,6543542
2023-11-20,sh.600995,9.12241281,9.23019642,9.06362175,9.19100238,8578891
2023-11-21,sh.600995,9.19100238,9.2105994,9.1126143,9.13221132,6268921
2023-11-22,sh.600995,9.17140536,9.4065696,9.09301728,9.33798003,18110108
2023-11-23,sh.600995,9.28898748,9.31838301,9.12241281,9.3085845,11120957
2023-11-24,sh.600995,9.27918897,9.35757705,9.23999493,9.29878599,7842500
2023-11-27,sh.600995,9.33798003,9.35757705,9.18120387,9.32818152,7366212
2023-11-28,sh.600995,9.32818152,9.42616662,9.22039791,9.42616662,8802550
2023-11-29,sh.600995,9.39677109,9.51435321,9.33798003,9.42616662,8823500
2023-11-30,sh.600995,9.38697258,9.5045547,9.34777854,9.4065696,7018200
2023-12-01,sh.600995,9.4065696,9.45556215,9.32818152,9.41636811,5683700
2023-12-04,sh.600995,9.4065696,9.47515917,9.36737556,9.37717407,5651857
2023-12-05,sh.600995,9.36737556,9.44576364,9.22039791,9.22039791,8721000
2023-12-06,sh.600995,9.2105994,9.34777854,9.20080089,9.31838301,6119794
2023-12-07,sh.600995,9.31838301,9.67112937,9.3085845,9.55354725,15982070
2023-12-08,sh.600995,9.55354725,9.97488318,9.55354725,9.97488318,30230345
2023-12-11,sh.600995,9.86709957,9.96508467,9.7005249,9.93568914,14913722
2023-12-12,sh.600995,9.8964951,10.1904504,9.80830851,10.06306977,14179106
2023-12-13,sh.600995,10.02387573,10.08266679,9.88669659,9.8964951,9036422
2023-12-14,sh.600995,9.94548765,9.96508467,9.78871149,9.83770404,8474700
2023-12-15,sh.600995,9.84750255,9.91609212,9.7005249,9.72992043,8686654
2023-12-18,sh.600995,9.72012192,9.90629361,9.63193533,9.77891298,8344887
2023-12-19,sh.600995,9.77891298,9.86709957,9.62213682,9.72012192,6997705
2023-12-20,sh.600995,9.73971894,9.85730106,9.72992043,9.78871149,5217313
2023-12-21,sh.600995,9.72012192,9.90629361,9.64173384,9.87689808,8193716
2023-12-22,sh.600995,9.86709957,9.86709957,9.73971894,9.79851,6159000
2023-12-25,sh.600995,9.74951745,9.85730106,9.59274129,9.63193533,7011694
2023-12-26,sh.600995,9.59274129,9.69072639,9.5045547,9.51435321,7140400
2023-12-27,sh.600995,9.51435321,9.67112937,9.4065696,9.64173384,7561712
2023-12-28,sh.600995,9.61233831,9.72012192,9.58294278,9.71032341,6035109
2023-12-29,sh.600995,9.71032341,9.74951745,9.63193533,9.66133086,5279501
2024-01-02,sh.600995,9.65153235,9.84750255,9.65153235,9.68092788,7141710
2024-01-03,sh.600995,9.7005249,9.72992043,9.57314427,9.62213682,4615300
2024-01-04,sh.600995,9.64173384,9.65153235,9.47515917,9.55354725,4250485
2024-01-05,sh.600995,9.54374874,9.56334576,9.3085845,9.33798003,6319100
2024-01-08,sh.600995,9.33798003,9.34777854,9.04402473,9.04402473,6521385
2024-01-09,sh.600995,9.03422622,9.1126143,8.94603963,9.0146292,4585900
2024-01-10,sh.600995,9.02442771,9.03422622,8.87745006,8.90684559,5371414
2024-01-11,sh.600995,8.84805453,9.03422622,8.84805453,9.00483069,4376304
2024-01-12,sh.600995,9.0146292,9.18120387,9.00483069,9.08321877,4439300
2024-01-15,sh.600995,9.08321877,9.13221132,8.94603963,8.96563665,4067900
2024-01-16,sh.600995,8.96563665,8.96563665,8.74027092,8.85785304,5482763
2024-01-17,sh.600995,8.85785304,8.85785304,8.57369625,8.59329327,6464736
2024-01-18,sh.600995,8.58349476,8.59329327,8.25034542,8.48550966,8114801
2024-01-19,sh.600995,8.48550966,8.87745006,8.43651711,8.59329327,11321885
2024-01-22,sh.600995,8.44631562,8.54430072,8.1327633,8.19155436,9120474
2024-01-23,sh.600995,8.12296479,8.27974095,7.99558416,8.24054691,5587100
2024-01-24,sh.600995,8.24054691,8.37772605,8.10336777,8.36792754,5011949
2024-01-25,sh.600995,8.36792754,8.818659,8.35812903,8.79906198,8329954
2024-01-26,sh.600995,8.82845751,8.90684559,8.74027092,8.77946496,4835700
2024-01-29,sh.600995,8.78926347,9.00483069,8.77946496,8.80886049,6796274
2024-01-30,sh.600995,8.79906198,8.96563665,8.58349476,8.61289029,6907628
2024-01-31,sh.600995,8.58349476,8.76966645,8.41692009,8.46591264,7351433
2024-02-01,sh.600995,8.4267186,8.5247037,8.20135287,8.28953946,6248723
2024-02-02,sh.600995,8.31893499,8.41692009,7.89759906,8.1327633,7913865
2024-02-05,sh.600995,8.07397224,8.15236032,7.60364376,8.0347782,11973768
2024-02-06,sh.600995,7.94659161,8.48550966,7.80941247,8.48550966,12438120
2024-02-07,sh.600995,8.48550966,9.33798003,8.4267186,9.33798003,24018812
2024-02-08,sh.600995,9.53395023,9.94548765,9.26939046,9.3085845,24468201
2024-02-19,sh.600995,9.42616662,9.45556215,9.06362175,9.13221132,13305924
2024-02-20,sh.600995,9.08321877,9.1126143,8.9166441,9.03422622,8518001
2024-02-21,sh.600995,9.03422622,9.32818152,8.93624112,9.13221132,11068591
2024-02-22,sh.600995,9.09301728,9.26939046,9.05382324,9.22039791,8678748
2024-02-23,sh.600995,9.20080089,9.53395023,9.18120387,9.5045547,13872002
2024-02-26,sh.600995,9.5045547,9.61233831,9.31838301,9.34777854,10926508
2024-02-27,sh.600995,9.45556215,9.48495768,9.33798003,9.42616662,10567101
2024-02-28,sh.600995,9.58294278,10.05327126,9.56334576,9.79851,33432988
2024-02-29,sh.600995,9.79851,10.01407722,9.63193533,9.9944802,25799722
2024-03-01,sh.600995,9.91609212,9.94548765,9.73971894,9.80830851,17239694
2024-03-04,sh.600995,9.76911447,10.08266679,9.58294278,10.06306977,20813756
2024-03-05,sh.600995,9.94548765,10.07286828,9.81810702,9.87689808,14404300
2024-03-06,sh.600995,9.84750255,9.9944802,9.75931596,9.77891298,12814305
2024-03-07,sh.600995,9.79851,9.82790553,9.58294278,9.63193533,14418900
2024-03-08,sh.600995,9.61233831,9.72012192,9.55354725,9.68092788,6897083
2024-03-11,sh.600995,9.75931596,10.1904504,9.75931596,10.18065189,28583872
2024-03-12,sh.600995,10.24924146,10.47460719,10.00427871,10.08266679,28442979
2024-03-13,sh.600995,10.00427871,10.10226381,9.92589063,9.96508467,12433381
2024-03-14,sh.600995,9.91609212,9.9944802,9.75931596,9.82790553,11693701
2024-03-15,sh.600995,9.77891298,9.92589063,9.72992043,9.86709957,12128798
2024-03-18,sh.600995,9.86709957,9.98468169,9.72992043,9.8964951,18569400
2024-03-19,sh.600995,9.85730106,9.88669659,9.64173384,9.67112937,15526659
2024-03-20,sh.600995,9.64173384,9.72992043,9.63193533,9.7005249,8144966
2024-03-21,sh.600995,9.67112937,9.71032341,9.57314427,9.63193533,7699055
2024-03-22,sh.600995,9.6025398,9.64173384,9.45556215,9.49475619,10575398
2024-03-25,sh.600995,9.47515917,9.51435321,9.27918897,9.29878599,9570231
2024-03-26,sh.600995,9.29878599,9.37717407,9.2105994,9.33798003,7237298
2024-03-27,sh.600995,9.35757705,9.37717407,9.12241281,9.13221132,6345246
2024-03-28,sh.600995,9.14200983,9.29878599,9.08321877,9.19100238,5995721
2024-03-29,sh.600995,9.2105994,9.33798003,9.19100238,9.29878599,5269007
2024-04-01,sh.600995,9.29878599,9.49475619,9.26939046,9.48495768,9706648
2024-04-02,sh.600995,9.48495768,9.5045547,9.3085845,9.34777854,7479700
2024-04-03,sh.600995,9.36737556,9.38697258,9.23999493,9.27918897,5124100
2024-04-08,sh.600995,9.27918897,9.53395023,9.18120387,9.45556215,11143935
2024-04-09,sh.600995,9.45556215,9.46536066,9.3085845,9.33798003,6828852
2024-04-10,sh.600995,9.33798003,9.38697258,9.16160685,9.2105994,7520400
2024-04-11,sh.600995,9.19100238,9.45556215,9.14200983,9.35757705,7692900
2024-04-12,sh.600995,9.32818152,9.39677109,9.1126143,9.16160685,7158239
2024-04-15,sh.600995,9.16160685,9.43596513,9.09301728,9.34777854,10279839
2024-04-16,sh.600995,9.33798003,9.63193533,9.28898748,9.42616662,18245175
2024-04-17,sh.600995,9.38697258,9.78871149,9.19100238,9.71032341,19678133
2024-04-18,sh.600995,9.72012192,9.76911447,9.56334576,9.59274129,12251265
2024-04-19,sh.600995,9.59274129,9.7005249,9.54374874,9.58294278,10026686
2024-04-22,sh.600995,9.58294278,9.69072639,9.47515917,9.49475619,8290586
2024-04-23,sh.600995,9.48495768,9.55354725,9.34777854,9.39677109,6403300
2024-04-24,sh.600995,9.36737556,9.58294278,9.36737556,9.58294278,8170366
2024-04-25,sh.600995,9.51435321,9.67112937,9.48495768,9.65153235,8475611
2024-04-26,sh.600995,9.64173384,9.7005249,9.55354725,9.67112937,10005568
2024-04-29,sh.600995,9.61233831,9.84750255,9.58294278,9.84750255,13468302
2024-04-30,sh.600995,9.81810702,9.87689808,9.72012192,9.75931596,7856700
2024-05-06,sh.600995,9.86709957,10.00427871,9.83770404,9.8964951,12156801
2024-05-07,sh.600995,9.91609212,9.92589063,9.75931596,9.80830851,6732800
2024-05-08,sh.600995,9.81810702,9.90629361,9.72012192,9.72992043,6913700
2024-05-09,sh.600995,9.71032341,9.93568914,9.69072639,9.88669659,9835700
2024-05-10,sh.600995,9.94548765,10.14145785,9.8964951,10.13165934,17297817
2024-05-13,sh.600995,10.17085338,10.91554014,10.01407722,10.778361,46689913
2024-05-14,sh.600995,10.6803759,11.34667458,10.40601762,10.81755504,47203686
2024-05-15,sh.600995,10.80775653,11.0723163,10.57259229,10.60198782,31591651
2024-05-16,sh.600995,10.54319676,10.64118186,10.40601762,10.44521166,18758830
2024-05-17,sh.600995,10.37662209,10.86654759,10.37662209,10.85674908,28400501
2024-05-20,sh.600995,10.85674908,11.23889097,10.778361,11.16050289,34370902
2024-05-21,sh.600995,11.15070438,11.16050289,10.85674908,10.88614461,15733161
2024-05-22,sh.600995,10.80775653,11.04292077,10.72936845,10.76856249,15735652
2024-05-23,sh.600995,10.70977143,10.73916696,10.44521166,10.45501017,14951739
2024-05-24,sh.600995,10.49457381,10.90011342,10.49457381,10.6825068,17086466
2024-05-27,sh.600995,10.70228922,10.90011342,10.5835947,10.83087495,20117462
2024-05-28,sh.600995,10.7814189,11.12761125,10.70228922,11.08804641,27900125
2024-05-29,sh.600995,10.9792431,11.08804641,10.7814189,10.94956947,19698177
2024-05-30,sh.600995,11.0781552,11.24630577,10.6825068,10.83087495,20720529
2024-05-31,sh.600995,10.69239801,10.91000463,10.60337712,10.74185406,12834588
2024-06-03,sh.600995,10.6825068,10.75174527,10.35609687,10.50446502,17409050
2024-06-04,sh.600995,10.54402986,10.7814189,10.42533534,10.74185406,14840719
2024-06-05,sh.600995,10.72207164,10.77152769,10.54402986,10.5835947,9743900
2024-06-06,sh.600995,10.60337712,10.73196285,10.4846826,10.53413865,12157614
2024-06-07,sh.600995,10.61326833,10.61326833,10.39566171,10.52424744,10575401
2024-06-11,sh.600995,10.52424744,10.61326833,10.31653203,10.42533534,8270200
2024-06-12,sh.600995,10.37587929,10.72207164,10.34620566,10.65283317,11065600
2024-06-13,sh.600995,10.65283317,10.71218043,10.49457381,10.54402986,8597636
2024-06-14,sh.600995,10.54402986,10.63305075,10.45500897,10.54402986,8792008
2024-06-17,sh.600995,10.59348591,10.75174527,10.34620566,10.37587929,11251166
2024-06-18,sh.600995,10.35609687,10.35609687,10.12859904,10.19783751,12279093
2024-06-19,sh.600995,10.19783751,10.26707598,10.07914299,10.09892541,7275401
2024-06-20,sh.600995,10.09892541,10.12859904,9.88131879,9.94066605,9057736
2024-06-21,sh.600995,9.93077484,10.05936057,9.89121,9.95055726,7170197
2024-06-24,sh.600995,9.93077484,10.03957815,9.65382096,9.75273306,10079999
2024-06-25,sh.600995,9.75273306,9.83186274,9.64392975,9.70327701,6769872
2024-06-26,sh.600995,9.70327701,9.78240669,9.58458249,9.76262427,5600392
2024-06-27,sh.600995,9.73295064,9.75273306,9.3966495,9.43621434,8493236
2024-06-28,sh.600995,9.41643192,9.68349459,9.38675829,9.55490886,8657492
2024-07-01,sh.600995,9.5944737,9.7922979,9.58458249,9.75273306,7587435
2024-07-02,sh.600995,9.73295064,9.73295064,9.61425612,9.63403854,5305046
2024-07-03,sh.600995,9.64392975,9.67360338,9.46588797,9.51534402,5353200
2024-07-04,sh.600995,9.4955616,9.57469128,9.30762861,9.32741103,5668400
2024-07-05,sh.600995,9.32741103,9.34719345,9.20871651,9.32741103,4777500
2024-07-08,sh.600995,9.2977374,9.37686708,9.17904288,9.24828135,5393532
2024-07-09,sh.600995,9.24828135,9.32741103,9.03067473,9.2977374,9034022
2024-07-10,sh.600995,9.28784619,9.32741103,9.0999132,9.13947804,6132521
2024-07-11,sh.600995,9.20871651,9.33730224,9.12958683,9.33730224,6381891
2024-07-12,sh.600995,9.34719345,9.51534402,9.27795498,9.28784619,7020600
2024-07-15,sh.600995,9.26806377,9.30762861,9.16915167,9.22849893,6753018
2024-07-16,sh.600995,9.24828135,9.32741103,9.15926046,9.1988253,5673321
2024-07-17,sh.600995,9.18893409,9.21860772,9.0010011,9.02078352,7714675
2024-07-18,sh.600995,8.99110989,9.13947804,8.93176263,9.11969562,5935000
2024-07-19,sh.600995,9.06034836,9.16915167,9.05045715,9.16915167,4550400
2024-07-22,sh.600995,9.10980441,9.20871651,9.05045715,9.10980441,4017800
2024-07-23,sh.600995,9.08013078,9.17904288,9.04056594,9.05045715,4981286
2024-07-24,sh.600995,9.06034836,9.31751982,9.01089231,9.1988253,8224402
2024-07-25,sh.600995,9.20871651,9.31751982,9.08013078,9.28784619,9531102
2024-07-26,sh.600995,9.32741103,9.37686708,9.24828135,9.36697587,6112799
2024-07-29,sh.600995,9.34719345,9.46588797,9.31751982,9.43621434,6323100
2024-07-30,sh.600995,9.45599676,9.4955616,9.36697587,9.37686708,5557758
2024-07-31,sh.600995,9.37686708,9.44610555,9.28784619,9.43621434,9656400
2024-08-01,sh.600995,9.41643192,9.51534402,9.37686708,9.41643192,5449011
2024-08-02,sh.600995,9.36697587,9.46588797,9.32741103,9.32741103,4579957
2024-08-05,sh.600995,9.28784619,9.42632313,9.20871651,9.21860772,6588789
2024-08-06,sh.600995,9.21860772,9.32741103,9.18893409,9.27795498,4192150
2024-08-07,sh.600995,9.2977374,9.42632313,9.21860772,9.36697587,5359700
2024-08-08,sh.600995,9.32741103,9.42632313,9.2977374,9.37686708,4383400
2024-08-09,sh.600995,9.37686708,9.45599676,9.28784619,9.2977374,3910141
2024-08-12,sh.600995,9.44610555,9.50545281,9.33730224,9.37686708,4243900
2024-08-13,sh.600995,9.32741103,9.42632313,9.31751982,9.3966495,3241446
2024-08-14,sh.600995,9.3966495,9.56480007,9.36697587,9.54501765,6437801
2024-08-15,sh.600995,9.52523523,9.87142758,9.50545281,9.78240669,11420916
2024-08-16,sh.600995,9.77251548,9.83186274,9.64392975,9.75273306,6676839
2024-08-19,sh.600995,9.71316822,9.85164516,9.6933858,9.76262427,4560900
2024-08-20,sh.600995,9.73295064,9.81208032,9.46588797,9.53512644,7713300
2024-08-21,sh.600995,9.4955616,9.56480007,9.44610555,9.48567039,4165398
2024-08-22,sh.600995,9.4955616,9.54501765,9.36697587,9.38675829,4278600
2024-08-23,sh.600995,9.3966495,9.41643192,9.23839014,9.24828135,4266300
2024-08-26,sh.600995,9.25817256,9.34719345,9.21860772,9.27795498,3053200
2024-08-27,sh.600995,9.27795498,9.28784619,9.15926046,9.17904288,3455800
2024-08-28,sh.600995,9.14936925,9.28784619,9.13947804,9.1988253,4126920
2024-08-29,sh.600995,9.15926046,9.28784619,9.15926046,9.26806377,3346346
2024-08-30,sh.600995,9.35708466,9.73295064,9.26806377,9.61425612,13673655
2024-09-02,sh.600995,9.61425612,9.70327701,9.57469128,9.60436491,6481601
