date,stock_code,open,high,low,close,volume
2023-07-03,sz.003035,7.0262367,7.1057415,6.8771652,6.9765462,33692340
2023-07-04,sz.003035,6.95667,6.95667,6.8175366,6.9069795,27975486
2023-07-05,sz.003035,6.8771652,7.0262367,6.8473509,6.9268557,24110514
2023-07-06,sz.003035,6.8672271,7.1256177,6.7877223,7.0262367,43142564
2023-07-07,sz.003035,7.0361748,7.2051225,6.9367938,6.9467319,35178860
2023-07-10,sz.003035,6.9467319,7.1057415,6.8970414,6.9467319,23054277
2023-07-11,sz.003035,6.9467319,6.9765462,6.7976604,6.8274747,19428960
2023-07-12,sz.003035,6.857289,7.1852463,6.857289,7.1057415,60617382
2023-07-13,sz.003035,7.0262367,7.056051,6.8970414,6.9367938,36198339
2023-07-14,sz.003035,6.9367938,6.9367938,6.8374128,6.8970414,17431354
2023-07-17,sz.003035,6.8871033,6.95667,6.857289,6.8771652,11335983
2023-07-18,sz.003035,6.8970414,6.9069795,6.6784032,6.7082175,21836495
2023-07-19,sz.003035,6.7082175,6.7777842,6.5889603,6.6287127,19420133
2023-07-20,sz.003035,6.6386508,6.6784032,6.559146,6.6088365,11821245
2023-07-21,sz.003035,6.6187746,6.7976604,6.6088365,6.658527,16939400
2023-07-24,sz.003035,6.658527,6.7082175,6.6088365,6.6485889,7345127
2023-07-25,sz.003035,6.6386508,6.7280937,6.6386508,6.6784032,11442200
2023-07-26,sz.003035,6.6883413,6.6982794,6.6386508,6.658527,8855749
2023-07-27,sz.003035,6.6883413,6.6982794,6.3703221,6.4796412,31545131
2023-07-28,sz.003035,6.4696905,6.49955061,6.38011017,6.48959724,15887489
2023-07-31,sz.003035,6.47964387,6.79815171,6.4696905,6.65880453,25580400
2023-08-01,sz.003035,6.6687579,6.69861801,6.52941072,6.65880453,14810500
2023-08-02,sz.003035,6.6687579,6.6687579,6.49955061,6.53936409,14670800
2023-08-03,sz.003035,6.52941072,6.59908431,6.43983039,6.4696905,14808205
2023-08-04,sz.003035,6.52941072,6.70857138,6.43983039,6.44978376,21278650
2023-08-07,sz.003035,6.41992365,6.43983039,6.30048321,6.38011017,19631521
2023-08-08,sz.003035,6.3701568,6.42987702,6.32038995,6.40997028,8836700
2023-08-09,sz.003035,6.40001691,6.40001691,6.28057647,6.31043658,12646679
2023-08-10,sz.003035,6.31043658,6.34029669,6.19099614,6.20094951,22500176
2023-08-11,sz.003035,6.23080962,6.24076299,6.13127592,6.13127592,13551782
