date,stock_code,open,high,low,close,volume
2023-07-03,sz.000683,6.50641075,6.6059525,6.443066,6.551657,44165973
2023-07-04,sz.000683,6.56070625,6.5697555,6.3887705,6.406869,40708526
2023-07-05,sz.000683,6.406869,6.4973615,6.36162275,6.39781975,26580493
2023-07-06,sz.000683,6.39781975,6.4249675,6.334475,6.370672,25270210
2023-07-07,sz.000683,6.34352425,6.3887705,6.2801795,6.30732725,18546635
2023-07-10,sz.000683,6.34352425,6.479263,6.34352425,6.370672,27601252
2023-07-11,sz.000683,6.47021375,6.696445,6.4249675,6.660248,76961250
2023-07-12,sz.000683,6.6421495,6.74169125,6.56070625,6.59690325,39457095
2023-07-13,sz.000683,6.624051,6.696445,6.587854,6.63310025,24280502
2023-07-14,sz.000683,6.68739575,6.696445,6.56070625,6.624051,28326569
2023-07-17,sz.000683,6.5697555,6.587854,6.43401675,6.50641075,29386631
2023-07-18,sz.000683,6.51546,6.61500175,6.47021375,6.551657,22728362
2023-07-19,sz.000683,6.551657,6.6059525,6.4973615,6.59690325,23747413
2023-07-20,sz.000683,6.77788825,6.87743,6.65119875,6.7145435,68275493
2023-07-21,sz.000683,6.732642,6.74169125,6.56070625,6.6059525,39527645
2023-07-24,sz.000683,6.51546,6.52450925,6.406869,6.4611645,31869964
2023-07-25,sz.000683,6.54260775,6.90457775,6.5335585,6.6783465,57435441
2023-07-26,sz.000683,6.986021,7.058415,6.7869375,6.83218375,82342497
2023-07-27,sz.000683,6.81408525,6.92267625,6.696445,6.72359275,50548107
2023-07-28,sz.000683,6.6421495,6.732642,6.587854,6.732642,41708754
2023-07-31,sz.000683,6.732642,6.92267625,6.732642,6.7869375,45042016
2023-08-01,sz.000683,6.77788825,6.7869375,6.6421495,6.732642,35246856
2023-08-02,sz.000683,6.732642,6.732642,6.54260775,6.61500175,33047832
2023-08-03,sz.000683,6.56070625,6.587854,6.50641075,6.551657,19778048
2023-08-04,sz.000683,6.54260775,6.6059525,6.48831225,6.48831225,26287140
2023-08-07,sz.000683,6.443066,6.48831225,6.3525735,6.47021375,24593875
2023-08-08,sz.000683,6.45211525,6.48831225,6.36162275,6.45211525,24679294
2023-08-09,sz.000683,6.4249675,6.443066,6.32542575,6.370672,23585925
2023-08-10,sz.000683,6.37972125,6.43401675,6.36162275,6.39781975,11996538
2023-08-11,sz.000683,6.3887705,6.3887705,6.19873625,6.21683475,27432295
2023-08-14,sz.000683,6.1353915,6.19873625,6.07204675,6.19873625,19540395
2023-08-15,sz.000683,6.23493325,6.23493325,6.09014525,6.10824375,15523846
2023-08-16,sz.000683,6.09014525,6.2801795,6.0629975,6.23493325,22961938
2023-08-17,sz.000683,6.18063775,6.27113025,6.12634225,6.27113025,20709567
2023-08-18,sz.000683,6.25303175,6.2801795,6.2077855,6.2077855,14653278
2023-08-21,sz.000683,6.298278,6.57880475,6.27113025,6.4611645,72055399
2023-08-22,sz.000683,6.4611645,6.479263,6.10824375,6.23493325,49296060
2023-08-23,sz.000683,6.30732725,6.4249675,6.23493325,6.2439825,40188788
2023-08-24,sz.000683,6.32542575,6.51546,6.19873625,6.4611645,51799018
2023-08-25,sz.000683,6.443066,6.587854,6.39781975,6.479263,41376701
2023-08-28,sz.000683,6.77788825,6.83218375,6.56070625,6.63310025,63869376
2023-08-29,sz.000683,6.4973615,6.5335585,6.27113025,6.4973615,50479407
2023-08-30,sz.000683,6.479263,6.551657,6.443066,6.48831225,23987597
2023-08-31,sz.000683,6.4973615,6.56070625,6.34352425,6.3887705,25686594
2023-09-01,sz.000683,6.4973615,6.768839,6.4973615,6.732642,88766791
2023-09-04,sz.000683,6.7145435,6.949824,6.65119875,6.87743,76466037
2023-09-05,sz.000683,6.81408525,6.87743,6.75978975,6.79598675,33381759
2023-09-06,sz.000683,6.805036,6.8593315,6.7145435,6.83218375,25195291
2023-09-07,sz.000683,6.8231345,6.83218375,6.587854,6.59690325,34654962
2023-09-08,sz.000683,6.57880475,6.65119875,6.51546,6.54260775,19553420
2023-09-11,sz.000683,6.551657,6.6421495,6.5335585,6.56070625,23681240
2023-09-12,sz.000683,6.56070625,6.61500175,6.54260775,6.56070625,13677423
2023-09-13,sz.000683,6.5335585,6.5697555,6.45211525,6.4973615,17930640
2023-09-14,sz.000683,6.479263,6.61500175,6.47021375,6.5697555,21478166
2023-09-15,sz.000683,6.59690325,6.65119875,6.50641075,6.54260775,19277116
2023-09-18,sz.000683,6.51546,6.6421495,6.43401675,6.61500175,23979698
2023-09-19,sz.000683,6.660248,6.72359275,6.61500175,6.6421495,23752304
2023-09-20,sz.000683,6.61500175,6.66929725,6.54260775,6.624051,16136749
2023-09-21,sz.000683,6.56070625,6.587854,6.479263,6.4973615,19028819
2023-09-22,sz.000683,6.4973615,6.587854,6.48831225,6.56070625,15129550
2023-09-25,sz.000683,6.5335585,6.63310025,6.47021375,6.551657,18794457
2023-09-26,sz.000683,6.52450925,6.57880475,6.2801795,6.334475,40171631
2023-09-27,sz.000683,6.3163765,6.4611645,6.30732725,6.41591825,18271117
2023-09-28,sz.000683,6.4611645,6.48831225,6.3887705,6.39781975,15861200
2023-10-09,sz.000683,6.39781975,6.443066,6.3163765,6.4249675,19974208
2023-10-10,sz.000683,6.406869,6.443066,6.30732725,6.3163765,13923919
2023-10-11,sz.000683,6.334475,6.34352425,6.2801795,6.2801795,11449429
2023-10-12,sz.000683,6.3163765,6.34352425,6.262081,6.32542575,14688696
2023-10-13,sz.000683,6.30732725,6.30732725,6.19873625,6.225884,13827234
2023-10-16,sz.000683,6.19873625,6.2439825,6.10824375,6.15349,14876588
2023-10-17,sz.000683,6.189687,6.21683475,6.1353915,6.19873625,11474390
2023-10-18,sz.000683,6.18063775,6.189687,5.9906035,6.1715885,20966843
2023-10-19,sz.000683,6.0629975,6.0629975,5.8458155,5.863914,32297549
2023-10-20,sz.000683,5.85486475,5.96345575,5.80056925,5.8458155,24474312
2023-10-23,sz.000683,5.79152,5.8096185,5.5924365,5.60148575,21390460
2023-10-24,sz.000683,5.5924365,5.71007675,5.42955,5.682929,33642360
2023-10-25,sz.000683,5.7372245,5.8820125,5.719126,5.74627375,20519400
2023-10-26,sz.000683,5.7010275,5.81866775,5.682929,5.78247075,16429260
2023-10-27,sz.000683,5.78247075,5.9906035,5.74627375,5.9544065,25899302
2023-10-30,sz.000683,5.90916025,6.19873625,5.89106175,6.1715885,38278569
2023-10-31,sz.000683,6.18063775,6.225884,6.117293,6.16253925,13653490
2023-11-01,sz.000683,6.18063775,6.18063775,6.09014525,6.15349,14300880
2023-11-02,sz.000683,6.15349,6.225884,6.1353915,6.14444075,15067414
2023-11-03,sz.000683,6.18063775,6.25303175,6.12634225,6.1353915,16609920
2023-11-06,sz.000683,6.16253925,6.189687,5.92725875,5.9544065,51719853
2023-11-07,sz.000683,5.9544065,5.98155425,5.863914,5.94535725,31059415
2023-11-08,sz.000683,5.94535725,5.9544065,5.79152,5.827717,34016700
2023-11-09,sz.000683,5.79152,5.900111,5.7734215,5.827717,28592678
2023-11-10,sz.000683,5.98155425,6.09014525,5.87296325,5.96345575,65101263
2023-11-13,sz.000683,5.9906035,6.19873625,5.863914,5.89106175,47159201
2023-11-14,sz.000683,5.900111,5.900111,5.7734215,5.79152,29309544
2023-11-15,sz.000683,5.80056925,5.98155425,5.79152,5.8820125,47148234
2023-11-16,sz.000683,5.8820125,5.89106175,5.7734215,5.80056925,25917051
2023-11-17,sz.000683,5.79152,5.827717,5.7734215,5.80056925,21471471
2023-11-20,sz.000683,5.8096185,5.936308,5.74627375,5.9182095,34384046
2023-11-21,sz.000683,5.92725875,5.9906035,5.9182095,5.92725875,27327740
2023-11-22,sz.000683,5.92725875,5.936308,5.8458155,5.85486475,17511669
2023-11-23,sz.000683,5.8458155,5.9544065,5.81866775,5.9182095,16237056
2023-11-24,sz.000683,5.9182095,5.94535725,5.8458155,5.89106175,16091350
2023-11-27,sz.000683,6.0268005,6.10824375,5.90916025,6.0268005,45252172
2023-11-28,sz.000683,6.01775125,6.01775125,5.8096185,5.83676625,45074327
2023-11-29,sz.000683,5.863914,5.89106175,5.71007675,5.74627375,33818242
2023-11-30,sz.000683,5.74627375,5.7734215,5.7010275,5.74627375,21979114
2023-12-01,sz.000683,5.72817525,5.8096185,5.719126,5.7734215,20550432
2023-12-04,sz.000683,5.863914,5.972505,5.8096185,5.85486475,47161366
2023-12-05,sz.000683,5.89106175,5.92725875,5.71007675,5.719126,46930120
2023-12-06,sz.000683,5.719126,5.90916025,5.67387975,5.8458155,44547645
2023-12-07,sz.000683,5.92725875,5.99965275,5.827717,5.96345575,48231239
2023-12-08,sz.000683,6.0268005,6.10824375,5.89106175,5.90916025,52056540
2023-12-11,sz.000683,5.8458155,5.8458155,5.67387975,5.7734215,58603381
2023-12-12,sz.000683,5.76437225,5.7734215,5.7010275,5.755323,26481126
2023-12-13,sz.000683,5.72817525,5.7372245,5.63768275,5.646732,31906900
2023-12-14,sz.000683,5.6648305,5.69197825,5.574338,5.58338725,27992991
2023-12-15,sz.000683,5.610535,5.63768275,5.4476485,5.465747,42660885
2023-12-18,sz.000683,5.4476485,5.465747,5.2304665,5.25761425,48233660
2023-12-19,sz.000683,5.2304665,5.27571275,5.20331875,5.248565,24071616
2023-12-20,sz.000683,5.248565,5.33000825,5.2304665,5.23951575,24357085
