date,stock_code,open,high,low,close,volume
2023-07-03,sh.688180,38.81,39.29,38.41,38.96,2984923
2023-07-04,sh.688180,39.07,40.17,38.71,39.72,4744038
2023-07-05,sh.688180,39.4,39.93,39.4,39.51,2637540
2023-07-06,sh.688180,39.52,39.65,38.74,38.99,2900850
2023-07-07,sh.688180,39.15,39.45,38.83,39.02,2268816
2023-07-10,sh.688180,39.15,39.64,38.67,38.8,2706461
2023-07-11,sh.688180,38.81,39.28,38.67,39.09,2012262
2023-07-12,sh.688180,39.25,39.59,38.79,38.82,2864689
2023-07-13,sh.688180,38.66,39.74,38.66,39.2,3446880
2023-07-14,sh.688180,39.34,39.39,38.7,39.0,2471892
2023-07-17,sh.688180,38.8,38.94,38.32,38.6,2909416
2023-07-18,sh.688180,38.78,39.2,38.43,38.78,2668529
2023-07-19,sh.688180,38.78,38.85,38.41,38.52,1619280
2023-07-20,sh.688180,38.83,39.09,38.39,38.44,2353929
2023-07-21,sh.688180,38.44,39.62,38.44,39.26,3695985
2023-07-24,sh.688180,39.4,40.29,39.22,39.79,3283495
2023-07-25,sh.688180,39.79,40.17,39.56,39.9,2655185
2023-07-26,sh.688180,39.9,41.06,39.71,40.46,4550834
2023-07-27,sh.688180,40.45,40.6,40.05,40.59,2814384
2023-07-28,sh.688180,40.49,41.1,40.0,40.8,3173560
2023-07-31,sh.688180,40.8,41.36,40.4,40.7,3814412
2023-08-01,sh.688180,40.8,41.77,40.5,40.83,3566839
2023-08-02,sh.688180,40.51,40.59,39.41,39.5,3740842
2023-08-03,sh.688180,39.81,40.25,39.6,40.21,3128795
2023-08-04,sh.688180,40.35,40.6,39.68,39.83,2674125
2023-08-07,sh.688180,39.5,39.83,37.93,38.01,5714620
2023-08-08,sh.688180,37.99,38.65,37.5,38.02,3696865
2023-08-09,sh.688180,38.03,40.1,38.03,39.54,6517187
2023-08-10,sh.688180,39.32,39.67,39.0,39.37,2822613
2023-08-11,sh.688180,39.4,39.79,39.11,39.2,2841923
2023-08-14,sh.688180,39.1,39.35,38.5,39.23,2770542
2023-08-15,sh.688180,39.22,39.55,38.24,39.39,3419464
2023-08-16,sh.688180,39.01,40.19,39.0,39.68,3714421
2023-08-17,sh.688180,39.48,39.79,39.04,39.45,2582508
2023-08-18,sh.688180,39.76,40.05,39.25,39.25,2652282
2023-08-21,sh.688180,39.0,39.65,38.83,39.13,2068902
2023-08-22,sh.688180,39.25,39.28,37.27,38.3,4400861
2023-08-23,sh.688180,38.1,38.4,37.33,37.33,2602706
2023-08-24,sh.688180,37.57,37.68,35.94,37.16,3440299
2023-08-25,sh.688180,37.0,37.25,35.95,36.19,3747687
2023-08-28,sh.688180,40.0,40.0,36.8,37.01,6101441
2023-08-29,sh.688180,37.17,38.0,36.72,37.9,4314352
2023-08-30,sh.688180,38.13,38.87,37.85,38.57,4596895
2023-08-31,sh.688180,38.09,38.95,37.9,38.01,3637338
2023-09-01,sh.688180,38.0,38.44,37.88,38.12,2111836
2023-09-04,sh.688180,38.12,38.45,37.83,38.09,2833894
2023-09-05,sh.688180,37.86,38.29,37.73,38.0,2337489
2023-09-06,sh.688180,38.0,38.0,37.01,37.25,2688572
2023-09-07,sh.688180,37.12,37.39,35.99,36.0,4001734
2023-09-08,sh.688180,36.02,36.09,35.66,35.95,1984621
2023-09-11,sh.688180,36.09,38.15,35.85,37.59,5190225
2023-09-12,sh.688180,37.59,38.07,37.3,37.86,2748330
2023-09-13,sh.688180,37.8,37.95,36.7,36.95,2817499
2023-09-14,sh.688180,36.85,37.18,36.43,36.66,2033295
2023-09-15,sh.688180,36.72,37.78,36.61,37.43,3950040
2023-09-18,sh.688180,37.2,38.03,37.2,37.75,2464292
2023-09-19,sh.688180,37.88,37.95,37.34,37.5,1935540
2023-09-20,sh.688180,37.49,37.8,37.05,37.37,1835394
2023-09-21,sh.688180,37.12,37.48,36.61,36.81,2354578
2023-09-22,sh.688180,36.68,37.54,36.34,37.52,2655214
2023-09-25,sh.688180,37.45,38.28,37.28,37.98,3392188
2023-09-26,sh.688180,37.96,38.18,37.53,37.9,2629514
2023-09-27,sh.688180,37.76,39.32,37.71,39.01,4375289
2023-09-28,sh.688180,39.01,39.32,38.5,38.5,2781269
2023-10-09,sh.688180,38.02,38.89,37.75,38.48,2831541
