date,stock_code,open,high,low,close,volume
2023-07-03,sh.601216,3.70844084,3.75344619,3.69943977,3.73544405,29817458
2023-07-04,sh.601216,3.71744191,3.72644298,3.69943977,3.71744191,15273764
2023-07-05,sh.601216,3.71744191,3.71744191,3.69943977,3.70844084,10961408
2023-07-06,sh.601216,3.70844084,3.91546545,3.69943977,3.8704601,102365266
2023-07-07,sh.601216,3.84345689,4.0504815,3.82545475,3.88846224,116222094
2023-07-10,sh.601216,3.89746331,3.91546545,3.75344619,3.91546545,91406878
2023-07-11,sh.601216,3.8704601,3.89746331,3.81645368,3.83445582,47351432
2023-07-12,sh.601216,3.83445582,3.85245796,3.79845154,3.80745261,27950948
2023-07-13,sh.601216,3.80745261,3.84345689,3.80745261,3.81645368,24831700
2023-07-14,sh.601216,3.81645368,3.85245796,3.79845154,3.82545475,19623537
2023-07-17,sh.601216,3.80745261,3.81645368,3.77144833,3.7804494,20126286
2023-07-18,sh.601216,3.7804494,3.84345689,3.77144833,3.82545475,21514252
2023-07-19,sh.601216,3.81645368,3.82545475,3.79845154,3.82545475,14039712
2023-07-20,sh.601216,3.85245796,3.91546545,3.82545475,3.85245796,38296043
2023-07-21,sh.601216,3.83445582,3.85245796,3.81645368,3.83445582,18947798
2023-07-24,sh.601216,3.83445582,3.84345689,3.79845154,3.80745261,15806589
2023-07-25,sh.601216,3.83445582,3.85245796,3.81645368,3.85245796,27274804
2023-07-26,sh.601216,3.84345689,3.9604708,3.83445582,3.92446652,55855753
2023-07-27,sh.601216,3.8704601,3.98747401,3.85245796,3.90646438,50839213
2023-07-28,sh.601216,3.91546545,4.03247936,3.89746331,4.01447722,85867232
2023-07-31,sh.601216,4.04148043,4.05948257,3.9604708,4.02347829,61478311
2023-08-01,sh.601216,4.01447722,4.08648578,4.00547615,4.03247936,49556943
2023-08-02,sh.601216,4.01447722,4.0504815,3.99647508,4.01447722,34383656
2023-08-03,sh.601216,3.99647508,4.08648578,3.96947187,4.05948257,54619497
2023-08-04,sh.601216,4.06848364,4.18549755,4.02347829,4.07748471,98958423
2023-08-07,sh.601216,4.02347829,4.04148043,3.98747401,4.00547615,58416651
2023-08-08,sh.601216,4.01447722,4.01447722,3.94246866,3.96947187,31853672
2023-08-09,sh.601216,3.96947187,3.98747401,3.95146973,3.9604708,22338900
