date,stock_code,open,high,low,close,volume
2023-07-03,sh.688538,2.54,2.58,2.54,2.56,18752319
2023-07-04,sh.688538,2.57,2.58,2.55,2.55,13504199
2023-07-05,sh.688538,2.56,2.57,2.55,2.56,13956383
2023-07-06,sh.688538,2.56,2.57,2.54,2.55,14298905
2023-07-07,sh.688538,2.55,2.58,2.54,2.56,17764437
2023-07-10,sh.688538,2.57,2.58,2.55,2.56,12622654
2023-07-11,sh.688538,2.55,2.58,2.55,2.57,12628562
2023-07-12,sh.688538,2.57,2.58,2.56,2.57,15461701
2023-07-13,sh.688538,2.57,2.59,2.57,2.57,14461000
2023-07-14,sh.688538,2.58,2.58,2.56,2.58,11177343
2023-07-17,sh.688538,2.57,2.59,2.57,2.59,16034489
2023-07-18,sh.688538,2.59,2.61,2.58,2.6,18381789
2023-07-19,sh.688538,2.6,2.62,2.59,2.61,15915698
2023-07-20,sh.688538,2.62,2.62,2.6,2.6,15604857
2023-07-21,sh.688538,2.6,2.62,2.6,2.61,18277168
2023-07-24,sh.688538,2.62,2.63,2.61,2.62,13512262
2023-07-25,sh.688538,2.63,2.64,2.62,2.63,13621141
2023-07-26,sh.688538,2.63,2.65,2.63,2.65,15365653
2023-07-27,sh.688538,2.65,2.68,2.63,2.66,33989665
2023-07-28,sh.688538,2.66,2.66,2.64,2.66,18643119
2023-07-31,sh.688538,2.66,2.66,2.65,2.66,27282952
2023-08-01,sh.688538,2.66,2.68,2.65,2.66,25298300
2023-08-02,sh.688538,2.66,2.68,2.66,2.66,16543102
2023-08-03,sh.688538,2.66,2.67,2.65,2.67,25843340
2023-08-04,sh.688538,2.67,2.68,2.64,2.65,27032865
2023-08-07,sh.688538,2.65,2.66,2.64,2.65,20173251
2023-08-08,sh.688538,2.65,2.66,2.64,2.65,20024604
2023-08-09,sh.688538,2.65,2.66,2.63,2.64,16495096
2023-08-10,sh.688538,2.64,2.65,2.63,2.63,11952192
2023-08-11,sh.688538,2.64,2.66,2.63,2.64,30497918
2023-08-14,sh.688538,2.63,2.64,2.55,2.56,45097296
2023-08-15,sh.688538,2.56,2.6,2.55,2.58,26227471
2023-08-16,sh.688538,2.59,2.61,2.58,2.6,20150501
2023-08-17,sh.688538,2.6,2.63,2.56,2.62,27749904
2023-08-18,sh.688538,2.62,2.65,2.61,2.63,32748235
2023-08-21,sh.688538,2.62,2.64,2.6,2.62,31376142
2023-08-22,sh.688538,2.61,2.63,2.6,2.62,20956059
2023-08-23,sh.688538,2.62,2.63,2.61,2.61,18078969
2023-08-24,sh.688538,2.62,2.63,2.61,2.62,14901008
2023-08-25,sh.688538,2.61,2.66,2.6,2.62,26398272
2023-08-28,sh.688538,2.68,2.69,2.64,2.64,48101025
2023-08-29,sh.688538,2.64,2.74,2.63,2.71,100841870
2023-08-30,sh.688538,2.71,2.84,2.67,2.74,141397310
2023-08-31,sh.688538,2.71,2.75,2.69,2.69,128938003
2023-09-01,sh.688538,2.7,2.7,2.61,2.62,65600161
2023-09-04,sh.688538,2.62,2.63,2.6,2.61,53514537
2023-09-05,sh.688538,2.61,2.62,2.59,2.59,32507234
2023-09-06,sh.688538,2.59,2.61,2.58,2.6,26825485
2023-09-07,sh.688538,2.59,2.61,2.57,2.57,37644133
2023-09-08,sh.688538,2.57,2.6,2.57,2.58,18945129
2023-09-11,sh.688538,2.6,2.64,2.59,2.64,40346622
