date,stock_code,open,high,low,close,volume
2023-07-03,sh.603077,2.41584156,2.44554453,2.40594057,2.42574255,50134290
2023-07-04,sh.603077,2.41584156,2.42574255,2.38613859,2.39603958,40628876
2023-07-05,sh.603077,2.39603958,2.42574255,2.39603958,2.41584156,39731407
2023-07-06,sh.603077,2.40594057,2.41584156,2.36633661,2.3762376,44162837
2023-07-07,sh.603077,2.3762376,2.38613859,2.35643562,2.36633661,35421936
2023-07-10,sh.603077,2.3762376,2.40594057,2.36633661,2.39603958,36991614
2023-07-11,sh.603077,2.39603958,2.41584156,2.3762376,2.40594057,34973911
2023-07-12,sh.603077,2.41584156,2.43564354,2.39603958,2.40594057,53659758
2023-07-13,sh.603077,2.41584156,2.44554453,2.40594057,2.42574255,41959500
2023-07-14,sh.603077,2.43564354,2.43564354,2.41584156,2.41584156,29800160
2023-07-17,sh.603077,2.42574255,2.5742574,2.42574255,2.45544552,113734195
2023-07-18,sh.603077,2.45544552,2.55445542,2.44554453,2.53465344,179934944
2023-07-19,sh.603077,2.53465344,2.54455443,2.4752475,2.49504948,91604076
2023-07-20,sh.603077,2.49504948,2.54455443,2.48514849,2.51485146,91535758
2023-07-21,sh.603077,2.52475245,2.62376235,2.51485146,2.61386136,202332921
2023-07-24,sh.603077,2.66336631,2.6732673,2.55445542,2.56435641,152584160
2023-07-25,sh.603077,2.58415839,2.61386136,2.55445542,2.58415839,97995443
2023-07-26,sh.603077,2.59405938,2.65346532,2.58415839,2.62376235,114877037
2023-07-27,sh.603077,2.62376235,2.62376235,2.55445542,2.56435641,96308285
2023-07-28,sh.603077,2.56435641,2.58415839,2.52475245,2.58415839,76207833
2023-07-31,sh.603077,2.58415839,2.61386136,2.5742574,2.58415839,72767387
2023-08-01,sh.603077,2.58415839,2.60396037,2.56435641,2.58415839,57508456
2023-08-02,sh.603077,2.58415839,2.59405938,2.53465344,2.54455443,74619705
2023-08-03,sh.603077,2.52475245,2.56435641,2.52475245,2.54455443,43788173
2023-08-04,sh.603077,2.55445542,2.5742574,2.52475245,2.53465344,69328000
2023-08-07,sh.603077,2.52475245,2.53465344,2.50495047,2.52475245,54756996
2023-08-08,sh.603077,2.52475245,2.55445542,2.49504948,2.53465344,52215485
2023-08-09,sh.603077,2.52475245,2.53465344,2.49504948,2.50495047,31558420
2023-08-10,sh.603077,2.50495047,2.53465344,2.49504948,2.51485146,35565271
2023-08-11,sh.603077,2.51485146,2.52475245,2.45544552,2.45544552,50234303
2023-08-14,sh.603077,2.43564354,2.45544552,2.41584156,2.45544552,45227958
2023-08-15,sh.603077,2.45544552,2.4752475,2.42574255,2.44554453,37553925
2023-08-16,sh.603077,2.43564354,2.45544552,2.41584156,2.42574255,29003164
2023-08-17,sh.603077,2.41584156,2.43564354,2.39603958,2.42574255,44918612
2023-08-18,sh.603077,2.42574255,2.43564354,2.39603958,2.39603958,32458300
2023-08-21,sh.603077,2.39603958,2.43564354,2.38613859,2.39603958,36672800
2023-08-22,sh.603077,2.39603958,2.40594057,2.34653463,2.3762376,48035500
2023-08-23,sh.603077,2.36633661,2.39603958,2.35643562,2.35643562,27869111
2023-08-24,sh.603077,2.35643562,2.38613859,2.35643562,2.36633661,30169184
2023-08-25,sh.603077,2.3762376,2.44554453,2.36633661,2.40594057,76730356
2023-08-28,sh.603077,2.51485146,2.52475245,2.39603958,2.40594057,71280685
2023-08-29,sh.603077,2.40594057,2.44554453,2.39603958,2.43564354,54776119
2023-08-30,sh.603077,2.42574255,2.43564354,2.36633661,2.36633661,79201700
2023-08-31,sh.603077,2.36633661,2.38613859,2.35643562,2.36633661,32729589
2023-09-01,sh.603077,2.3762376,2.38613859,2.36633661,2.36633661,25407430
2023-09-04,sh.603077,2.3762376,2.45544552,2.36633661,2.42574255,97730137
2023-09-05,sh.603077,2.42574255,2.43564354,2.38613859,2.39603958,46338579
2023-09-06,sh.603077,2.38613859,2.39603958,2.3762376,2.38613859,37106918
2023-09-07,sh.603077,2.39603958,2.39603958,2.33663364,2.33663364,52552392
2023-09-08,sh.603077,2.33663364,2.34653463,2.32673265,2.33663364,29078212
2023-09-11,sh.603077,2.33663364,2.36633661,2.33663364,2.35643562,40470885
2023-09-12,sh.603077,2.35643562,2.36633661,2.34653463,2.35643562,26249460
2023-09-13,sh.603077,2.35643562,2.36633661,2.32673265,2.33663364,37350920
2023-09-14,sh.603077,2.33663364,2.34653463,2.32673265,2.33663364,27408979
2023-09-15,sh.603077,2.34653463,2.34653463,2.28712869,2.29702968,62380109
2023-09-18,sh.603077,2.29702968,2.30693067,2.2772277,2.29702968,39776966
2023-09-19,sh.603077,2.29702968,2.30693067,2.2772277,2.28712869,29595480
2023-09-20,sh.603077,2.28712869,2.29702968,2.2772277,2.2772277,21051700
2023-09-21,sh.603077,2.28712869,2.28712869,2.22772275,2.23762374,47049720
2023-09-22,sh.603077,2.22772275,2.26732671,2.22772275,2.26732671,51037043
2023-09-25,sh.603077,2.25742572,2.26732671,2.22772275,2.22772275,39280580
2023-09-26,sh.603077,2.22772275,2.24752473,2.21782176,2.24752473,46729239
2023-09-27,sh.603077,2.23762374,2.28712869,2.22772275,2.25742572,57920164
2023-09-28,sh.603077,2.26732671,2.33663364,2.25742572,2.31683166,88321146
2023-10-09,sh.603077,2.31683166,2.33663364,2.29702968,2.33663364,52553419
2023-10-10,sh.603077,2.33663364,2.35643562,2.30693067,2.31683166,44958200
2023-10-11,sh.603077,2.31683166,2.32673265,2.29702968,2.29702968,36508500
2023-10-12,sh.603077,2.30693067,2.32673265,2.29702968,2.30693067,34246045
2023-10-13,sh.603077,2.30693067,2.30693067,2.2772277,2.28712869,33463125
2023-10-16,sh.603077,2.28712869,2.29702968,2.25742572,2.25742572,27560400
2023-10-17,sh.603077,2.26732671,2.2772277,2.24752473,2.24752473,29591155
2023-10-18,sh.603077,2.24752473,2.25742572,2.20792077,2.22772275,49811960
2023-10-19,sh.603077,2.25742572,2.2772277,2.22772275,2.24752473,54377584
2023-10-20,sh.603077,2.22772275,2.30693067,2.21782176,2.29702968,69849029
2023-10-23,sh.603077,2.28712869,2.29702968,2.23762374,2.26732671,70825405
2023-10-24,sh.603077,2.2772277,2.30693067,2.25742572,2.28712869,56941689
2023-10-25,sh.603077,2.29702968,2.30693067,2.2772277,2.30693067,58420648
2023-10-26,sh.603077,2.28712869,2.33663364,2.2772277,2.33663364,72092358
2023-10-27,sh.603077,2.32673265,2.36633661,2.31683166,2.35643562,76650200
2023-10-30,sh.603077,2.35643562,2.3762376,2.33663364,2.36633661,52985358
2023-10-31,sh.603077,2.36633661,2.3762376,2.33663364,2.35643562,54337770
