date,stock_code,open,high,low,close,volume
2023-07-03,sh.688027,157.0,158.92,151.18,153.94,1518809.0
2023-07-04,sh.688027,154.86,156.4,151.59,154.52,893014.0
2023-07-05,sh.688027,154.05,155.52,152.3,153.49,747687.0
2023-07-06,sh.688027,154.98,159.33,153.26,156.77,1144516.0
2023-07-07,sh.688027,154.56,154.93,149.02,150.7,1164687.0
2023-07-10,sh.688027,150.2,152.4,148.66,151.2,545664.0
2023-07-11,sh.688027,151.15,155.55,148.0,153.4,955871.0
2023-07-12,sh.688027,154.0,154.88,147.9,148.11,815182.0
2023-07-13,sh.688027,149.66,154.0,148.8,151.75,864275.0
2023-07-14,sh.688027,151.87,154.89,151.0,152.37,737426.0
2023-07-17,sh.688027,152.4,152.49,148.98,149.67,640327.0
2023-07-18,sh.688027,150.61,150.66,145.45,146.67,836104.0
2023-07-19,sh.688027,147.2,147.2,145.0,145.65,550579.0
2023-07-20,sh.688027,145.73,146.0,140.89,141.34,991755.0
2023-07-21,sh.688027,140.8,143.78,140.0,141.34,561396.0
2023-07-24,sh.688027,140.29,142.6,140.29,141.68,535040.0
2023-07-25,sh.688027,143.5,145.45,141.75,143.0,748192.0
2023-07-26,sh.688027,143.88,145.96,140.6,142.85,690661.0
2023-07-27,sh.688027,142.51,143.66,138.81,139.47,655942.0
2023-07-28,sh.688027,139.48,140.28,136.68,139.65,745774.0
2023-07-31,sh.688027,139.42,141.76,139.06,140.97,663981.0
2023-08-01,sh.688027,139.18,140.74,138.51,139.9,483661.0
2023-08-02,sh.688027,146.0,147.55,142.18,142.51,1118091.0
2023-08-03,sh.688027,140.09,143.52,140.06,142.3,460060.0
2023-08-04,sh.688027,141.85,144.8,141.64,144.22,594484.0
2023-08-07,sh.688027,144.0,145.87,142.88,143.6,523608.0
2023-08-08,sh.688027,143.6,144.44,141.68,142.17,379424.0
2023-08-09,sh.688027,142.0,142.0,136.57,136.57,864993.0
2023-08-10,sh.688027,136.5,138.23,135.8,136.61,411066.0
2023-08-11,sh.688027,135.7,137.6,133.2,133.2,502763.0
2023-08-14,sh.688027,133.0,136.18,131.7,136.0,472276.0
2023-08-15,sh.688027,136.0,136.8,133.0,134.89,314906.0
2023-08-16,sh.688027,134.5,135.53,130.08,130.47,521541.0
2023-08-17,sh.688027,130.01,133.33,129.55,131.91,445263.0
2023-08-18,sh.688027,132.0,134.44,131.25,131.36,422720.0
2023-08-21,sh.688027,131.5,133.79,130.27,130.43,373333.0
2023-08-22,sh.688027,132.19,136.92,131.0,136.37,884616.0
2023-08-23,sh.688027,135.5,135.97,132.0,132.0,477925.0
2023-08-24,sh.688027,134.0,134.49,131.55,132.38,340331.0
2023-08-25,sh.688027,131.33,131.5,120.0,123.03,1254715.0
2023-08-28,sh.688027,132.66,132.66,121.5,122.39,737256.0
2023-08-29,sh.688027,121.0,128.88,120.55,127.67,781614.0
2023-08-30,sh.688027,127.0,136.28,126.69,134.45,1197858.0
2023-08-31,sh.688027,134.05,135.55,132.65,134.08,591602.0
2023-09-01,sh.688027,134.5,134.96,131.0,132.38,530306.0
2023-09-04,sh.688027,133.0,133.63,130.83,132.98,575603.0
2023-09-05,sh.688027,132.53,133.97,130.89,131.51,477244.0
2023-09-06,sh.688027,130.51,137.27,130.13,136.31,1106168.0
2023-09-07,sh.688027,135.61,135.8,130.77,131.25,937329.0
2023-09-08,sh.688027,131.0,134.18,129.9,132.81,688648.0
2023-09-11,sh.688027,132.3,136.28,131.6,134.99,825766.0
2023-09-12,sh.688027,135.88,136.98,134.2,134.89,686163.0
2023-09-13,sh.688027,134.76,134.76,129.8,131.16,712823.0
2023-09-14,sh.688027,131.32,133.5,128.2,129.15,628184.0
2023-09-15,sh.688027,130.0,130.78,127.66,129.7,612962.0
2023-09-18,sh.688027,130.2,130.38,126.81,126.91,504714.0
2023-09-19,sh.688027,126.98,127.01,123.32,124.9,407613.0
2023-09-20,sh.688027,124.01,126.6,123.2,123.34,356096.0
2023-09-21,sh.688027,122.29,124.77,122.1,123.58,378308.0
2023-09-22,sh.688027,124.0,132.5,123.58,131.99,1192245.0
2023-09-25,sh.688027,132.12,132.99,129.03,130.03,606572.0
2023-09-26,sh.688027,130.03,133.18,129.4,130.99,742665.0
2023-09-27,sh.688027,131.0,132.5,129.97,130.21,567579.0
2023-09-28,sh.688027,130.65,139.44,130.65,136.0,1636838.0
2023-10-09,sh.688027,135.99,135.99,133.11,133.55,921103.0
2023-10-10,sh.688027,134.44,135.44,133.5,133.69,592007.0
2023-10-11,sh.688027,139.99,143.94,138.0,140.32,2065772.0
2023-10-12,sh.688027,140.32,140.95,135.97,136.52,1400468.0
2023-10-13,sh.688027,136.26,141.67,135.36,138.1,1325523.0
2023-10-16,sh.688027,138.68,138.88,132.8,133.45,1116585.0
2023-10-17,sh.688027,133.8,135.74,132.82,135.12,678235.0
2023-10-18,sh.688027,135.54,135.55,131.11,132.75,656898.0
2023-10-19,sh.688027,132.11,139.49,131.89,135.36,1444764.0
2023-10-20,sh.688027,135.0,135.94,128.08,128.41,1031312.0
2023-10-23,sh.688027,128.6,129.99,125.87,126.1,603724.0
