date,stock_code,open,high,low,close,volume
2023-07-03,sh.600517,5.5206609,5.6175146,5.51097553,5.58845849,20552484
2023-07-04,sh.600517,5.59814386,5.65625608,5.56908775,5.56908775,11930569
2023-07-05,sh.600517,5.56908775,5.57877312,5.48191942,5.49160479,10324432
2023-07-06,sh.600517,5.50129016,5.53034627,5.47223405,5.49160479,9228282
2023-07-07,sh.600517,5.47223405,5.53034627,5.43349257,5.49160479,9106244
2023-07-10,sh.600517,5.51097553,5.56908775,5.49160479,5.50129016,9060924
2023-07-11,sh.600517,5.51097553,5.57877312,5.47223405,5.56908775,10584236
2023-07-12,sh.600517,5.62719997,5.78216589,5.57877312,5.59814386,29793719
2023-07-13,sh.600517,5.60782923,5.65625608,5.56908775,5.59814386,16024195
2023-07-14,sh.600517,5.58845849,5.63688534,5.54971701,5.56908775,13523764
2023-07-17,sh.600517,5.55940238,5.60782923,5.49160479,5.58845849,16118607
2023-07-18,sh.600517,5.56908775,5.59814386,5.5206609,5.57877312,11334041
2023-07-19,sh.600517,5.59814386,5.62719997,5.54003164,5.57877312,9460700
2023-07-20,sh.600517,5.56908775,5.58845849,5.4238072,5.44317794,14230635
2023-07-21,sh.600517,5.44317794,5.46254868,5.34632424,5.36569498,12319033
2023-07-24,sh.600517,5.34632424,5.48191942,5.30758276,5.44317794,15780790
2023-07-25,sh.600517,5.47223405,5.58845849,5.47223405,5.55940238,15222192
2023-07-26,sh.600517,5.53034627,5.56908775,5.45286331,5.48191942,10074113
2023-07-27,sh.600517,5.45286331,5.50129016,5.39475109,5.43349257,7907300
2023-07-28,sh.600517,5.4238072,5.66594145,5.38506572,5.64657071,38617395
2023-07-31,sh.600517,5.67562682,5.7143683,5.57877312,5.60782923,37887144
2023-08-01,sh.600517,5.60782923,5.6175146,5.51097553,5.56908775,22583105
2023-08-02,sh.600517,5.54003164,5.63688534,5.53034627,5.6175146,20884446
2023-08-03,sh.600517,5.6175146,5.73373904,5.54003164,5.67562682,34772950
2023-08-04,sh.600517,5.74342441,5.93713181,5.72405367,5.82090737,84791340
2023-08-07,sh.600517,5.74342441,5.75310978,5.46254868,5.49160479,81090259
2023-08-08,sh.600517,5.50129016,5.51097553,5.29789739,5.36569498,48296033
2023-08-09,sh.600517,5.3269535,5.35600961,5.27852665,5.31726813,27890209
2023-08-10,sh.600517,5.28821202,5.38506572,5.27852665,5.37538035,28062038
2023-08-11,sh.600517,5.35600961,5.35600961,5.12356073,5.1332461,37264016
2023-08-14,sh.600517,5.0363924,5.17198758,4.98796555,5.15261684,25249208
2023-08-15,sh.600517,5.12356073,5.18167295,5.08481925,5.15261684,16348201
2023-08-16,sh.600517,5.11387536,5.24947054,5.07513388,5.19135832,18009353
