date,stock_code,open,high,low,close,volume
2023-07-03,sh.601991,3.28250754,3.3022223,3.2036485,3.27265016,114700576
2023-07-04,sh.601991,3.26279278,3.27265016,3.14450422,3.18393374,125514786
2023-07-05,sh.601991,3.14450422,3.21350588,3.13464684,3.14450422,71549511
2023-07-06,sh.601991,3.14450422,3.18393374,3.13464684,3.13464684,46684600
2023-07-07,sh.601991,3.14450422,3.2036485,3.13464684,3.19379112,70583665
2023-07-10,sh.601991,3.24307802,3.27265016,3.17407636,3.22336326,92907991
2023-07-11,sh.601991,3.21350588,3.22336326,3.16421898,3.18393374,71810733
2023-07-12,sh.601991,3.18393374,3.19379112,3.13464684,3.1543616,57928016
2023-07-13,sh.601991,3.14450422,3.18393374,3.13464684,3.18393374,47609100
2023-07-14,sh.601991,3.18393374,3.18393374,3.13464684,3.14450422,48979814
2023-07-17,sh.601991,3.13464684,3.1543616,3.1050747,3.12478946,39283900
2023-07-18,sh.601991,3.12478946,3.13464684,3.0557878,3.09521732,46137990
2023-07-19,sh.601991,3.07550256,3.11493208,3.07550256,3.1050747,32500506
2023-07-20,sh.601991,3.1050747,3.1050747,3.03607304,3.04593042,39418400
2023-07-21,sh.601991,3.04593042,3.06564518,3.01635828,3.04593042,33400572
2023-07-24,sh.601991,3.03607304,3.08535994,3.01635828,3.06564518,32655830
2023-07-25,sh.601991,3.08535994,3.09521732,3.01635828,3.04593042,94883204
2023-07-26,sh.601991,3.03607304,3.03607304,2.99664352,3.0065009,59074635
2023-07-27,sh.601991,2.99664352,3.04593042,2.98678614,3.0065009,49423245
2023-07-28,sh.601991,2.99664352,3.0557878,2.97692876,3.04593042,80432890
2023-07-31,sh.601991,3.04593042,3.09521732,3.03607304,3.08535994,65765470
2023-08-01,sh.601991,3.08535994,3.1543616,3.07550256,3.1543616,100427810
2023-08-02,sh.601991,3.1543616,3.1543616,3.1050747,3.11493208,56937469
2023-08-03,sh.601991,3.1050747,3.14450422,3.09521732,3.11493208,46507486
2023-08-04,sh.601991,3.12478946,3.13464684,3.08535994,3.08535994,59334616
2023-08-07,sh.601991,3.08535994,3.09521732,3.04593042,3.0557878,55829400
2023-08-08,sh.601991,3.0557878,3.08535994,3.01635828,3.01635828,47736467
2023-08-09,sh.601991,3.01635828,3.02621566,2.957214,2.957214,70130745
2023-08-10,sh.601991,2.96707138,3.0065009,2.957214,2.98678614,32529067
2023-08-11,sh.601991,2.98678614,2.98678614,2.9079271,2.9079271,50956222
2023-08-14,sh.601991,2.89806972,2.96707138,2.86849758,2.957214,47323158
2023-08-15,sh.601991,2.94735662,3.0065009,2.93749924,2.96707138,38764615
2023-08-16,sh.601991,2.96707138,2.96707138,2.92764186,2.93749924,20976330
2023-08-17,sh.601991,2.92764186,2.92764186,2.88821234,2.91778448,34212400
2023-08-18,sh.601991,2.9079271,2.94735662,2.88821234,2.89806972,32928801
2023-08-21,sh.601991,2.88821234,2.9079271,2.84878282,2.8586402,38358380
2023-08-22,sh.601991,2.8586402,2.87835496,2.81921068,2.84878282,47317107
2023-08-23,sh.601991,2.84878282,2.8586402,2.79949592,2.79949592,34223933
2023-08-24,sh.601991,2.8093533,2.83892544,2.77978116,2.77978116,31134710
2023-08-25,sh.601991,2.7897436,2.84952382,2.76981686,2.7897436,51139597
2023-08-28,sh.601991,2.89934067,2.91926741,2.76981686,2.77978023,82778245
2023-08-29,sh.601991,2.77978023,2.80967034,2.75985349,2.77978023,79277418
2023-08-30,sh.601991,2.79970697,2.82959708,2.73992675,2.73992675,87457850
2023-08-31,sh.601991,2.74989012,2.77978023,2.71003664,2.76981686,69058722
2023-09-01,sh.601991,2.74989012,2.75985349,2.6901099,2.72000001,83033878
2023-09-04,sh.601991,2.71003664,2.73992675,2.62036631,2.73992675,147765399
2023-09-05,sh.601991,2.73992675,2.84952382,2.72996338,2.76981686,124732290
2023-09-06,sh.601991,2.7897436,2.80967034,2.72996338,2.74989012,81259144
2023-09-07,sh.601991,2.75985349,2.76981686,2.6901099,2.6901099,69037105
2023-09-08,sh.601991,2.68014653,2.85948719,2.66021979,2.79970697,167002705
2023-09-11,sh.601991,2.77978023,2.79970697,2.75985349,2.77978023,64103094
2023-09-12,sh.601991,2.7897436,2.85948719,2.77978023,2.81963371,81530350
2023-09-13,sh.601991,2.82959708,2.84952382,2.7897436,2.81963371,57195000
2023-09-14,sh.601991,2.82959708,2.85948719,2.80967034,2.84952382,98717231
2023-09-15,sh.601991,2.84952382,2.84952382,2.76981686,2.77978023,100314702
2023-09-18,sh.601991,2.76981686,2.77978023,2.72996338,2.74989012,64803123
2023-09-19,sh.601991,2.74989012,2.74989012,2.72000001,2.72996338,50767159
2023-09-20,sh.601991,2.72996338,2.72996338,2.6901099,2.6901099,45390902
2023-09-21,sh.601991,2.6901099,2.71003664,2.67018316,2.67018316,47800558
2023-09-22,sh.601991,2.6901099,2.72000001,2.67018316,2.71003664,49907545
2023-09-25,sh.601991,2.71003664,2.71003664,2.66021979,2.66021979,46091701
2023-09-26,sh.601991,2.66021979,2.67018316,2.64029305,2.64029305,34761473
2023-09-27,sh.601991,2.64029305,2.67018316,2.63032968,2.63032968,41973150
2023-09-28,sh.601991,2.64029305,2.65025642,2.63032968,2.65025642,30971600
2023-10-09,sh.601991,2.65025642,2.65025642,2.62036631,2.62036631,37890751
2023-10-10,sh.601991,2.62036631,2.63032968,2.55062272,2.56058609,68374301
2023-10-11,sh.601991,2.57054946,2.60043957,2.56058609,2.57054946,46870337
2023-10-12,sh.601991,2.58051283,2.63032968,2.58051283,2.63032968,56922846
2023-10-13,sh.601991,2.61040294,2.65025642,2.57054946,2.58051283,79451965
2023-10-16,sh.601991,2.58051283,2.61040294,2.56058609,2.60043957,46781804
2023-10-17,sh.601991,2.61040294,2.62036631,2.53069598,2.58051283,81787531
2023-10-18,sh.601991,2.58051283,2.58051283,2.50080587,2.51076924,60175320
2023-10-19,sh.601991,2.4908425,2.53069598,2.48087913,2.48087913,50658332
2023-10-20,sh.601991,2.47091576,2.52073261,2.44102565,2.4908425,46603747
2023-10-23,sh.601991,2.4908425,2.4908425,2.40117217,2.41113554,54264160
2023-10-24,sh.601991,2.41113554,2.47091576,2.41113554,2.46095239,52132264
2023-10-25,sh.601991,2.48087913,2.51076924,2.47091576,2.4908425,51563540
2023-10-26,sh.601991,2.47091576,2.55062272,2.46095239,2.54065935,56041507
2023-10-27,sh.601991,2.54065935,2.60043957,2.54065935,2.60043957,77538996
2023-10-30,sh.601991,2.5904762,2.62036631,2.57054946,2.58051283,50723408
2023-10-31,sh.601991,2.5904762,2.60043957,2.56058609,2.58051283,45485200
2023-11-01,sh.601991,2.60043957,2.62036631,2.58051283,2.61040294,37982434
2023-11-02,sh.601991,2.61040294,2.62036631,2.5904762,2.60043957,43510700
2023-11-03,sh.601991,2.60043957,2.63032968,2.5904762,2.60043957,44577600
2023-11-06,sh.601991,2.61040294,2.62036631,2.56058609,2.57054946,79015901
2023-11-07,sh.601991,2.57054946,2.58051283,2.54065935,2.55062272,50586800
2023-11-08,sh.601991,2.55062272,2.56058609,2.51076924,2.52073261,49151531
2023-11-09,sh.601991,2.52073261,2.56058609,2.50080587,2.53069598,56337621
2023-11-10,sh.601991,2.53069598,2.56058609,2.4908425,2.55062272,67044624
2023-11-13,sh.601991,2.58051283,2.61040294,2.50080587,2.53069598,120678827
2023-11-14,sh.601991,2.53069598,2.58051283,2.51076924,2.52073261,128107153
2023-11-15,sh.601991,2.53069598,2.55062272,2.50080587,2.51076924,104198306
2023-11-16,sh.601991,2.51076924,2.53069598,2.4908425,2.51076924,69844464
2023-11-17,sh.601991,2.51076924,2.53069598,2.50080587,2.52073261,54861979
2023-11-20,sh.601991,2.52073261,2.57054946,2.51076924,2.55062272,115100600
2023-11-21,sh.601991,2.56058609,2.57054946,2.53069598,2.54065935,70709200
2023-11-22,sh.601991,2.54065935,2.55062272,2.50080587,2.50080587,65025201
2023-11-23,sh.601991,2.50080587,2.52073261,2.4908425,2.52073261,44619100
2023-11-24,sh.601991,2.52073261,2.52073261,2.48087913,2.48087913,56243634
