date,stock_code,open,high,low,close,volume
2023-07-03,sh.601162,2.98,3.01,2.97,3.01,61144595
2023-07-04,sh.601162,3.0,3.02,2.99,3.01,49037259
2023-07-05,sh.601162,3.01,3.01,2.98,2.99,48043020
2023-07-06,sh.601162,2.98,3.01,2.97,2.98,42404145
2023-07-07,sh.601162,2.98,3.03,2.97,3.01,77715619
2023-07-10,sh.601162,2.99,3.01,2.96,2.98,75357421
2023-07-11,sh.601162,2.98,3.0,2.96,3.0,55638238
2023-07-12,sh.601162,3.0,3.01,2.96,2.96,50582539
2023-07-13,sh.601162,2.98,3.02,2.97,3.02,92963646
2023-07-14,sh.601162,3.02,3.02,3.0,3.01,49230080
2023-07-17,sh.601162,2.99,3.0,2.97,2.99,53352500
2023-07-18,sh.601162,2.99,3.01,2.97,2.99,47540289
2023-07-19,sh.601162,2.99,3.02,2.98,3.01,58745230
2023-07-20,sh.601162,3.02,3.12,3.01,3.04,156834112
2023-07-21,sh.601162,3.03,3.09,3.02,3.06,131503143
2023-07-24,sh.601162,3.06,3.08,3.04,3.06,70590466
2023-07-25,sh.601162,3.27,3.37,3.19,3.27,537883004
2023-07-26,sh.601162,3.29,3.49,3.25,3.36,733656969
2023-07-27,sh.601162,3.33,3.34,3.23,3.25,449146920
2023-07-28,sh.601162,3.25,3.58,3.24,3.58,698979867
2023-07-31,sh.601162,3.94,3.94,3.77,3.77,734654762
2023-08-01,sh.601162,3.69,4.03,3.67,3.84,1784374967
2023-08-02,sh.601162,3.76,3.92,3.72,3.79,955535018
2023-08-03,sh.601162,3.86,4.0,3.73,3.98,1016565716
2023-08-04,sh.601162,4.1,4.28,3.9,3.98,1604147908
2023-08-07,sh.601162,3.87,4.0,3.85,3.96,745521518
2023-08-08,sh.601162,3.89,3.91,3.73,3.83,653052316
2023-08-09,sh.601162,3.84,3.88,3.74,3.78,424771553
2023-08-10,sh.601162,3.8,3.97,3.75,3.95,752247930
2023-08-11,sh.601162,3.87,3.87,3.73,3.75,584399004
2023-08-14,sh.601162,3.64,3.79,3.64,3.69,480687180
2023-08-15,sh.601162,3.65,3.74,3.65,3.73,378734874
2023-08-16,sh.601162,3.68,3.94,3.64,3.83,736904398
2023-08-17,sh.601162,3.78,4.2,3.75,4.07,1417409703
2023-08-18,sh.601162,4.06,4.09,3.77,3.77,925680875
2023-08-21,sh.601162,3.77,3.86,3.62,3.63,578467774
2023-08-22,sh.601162,3.63,3.73,3.56,3.67,576548921
2023-08-23,sh.601162,3.63,3.63,3.47,3.49,495224640
2023-08-24,sh.601162,3.54,3.62,3.52,3.54,403483607
2023-08-25,sh.601162,3.51,3.59,3.51,3.53,268836971
2023-08-28,sh.601162,3.88,3.88,3.76,3.78,1149866581
2023-08-29,sh.601162,3.76,3.79,3.63,3.74,765896249
2023-08-30,sh.601162,3.72,3.72,3.57,3.6,446644447
2023-08-31,sh.601162,3.55,3.6,3.49,3.5,341571100
2023-09-01,sh.601162,3.53,3.55,3.47,3.51,238388333
2023-09-04,sh.601162,3.51,3.57,3.46,3.54,294398928
2023-09-05,sh.601162,3.51,3.52,3.45,3.47,260770902
2023-09-06,sh.601162,3.44,3.47,3.42,3.43,209256560
2023-09-07,sh.601162,3.43,3.47,3.38,3.41,216068100
2023-09-08,sh.601162,3.39,3.43,3.36,3.4,186142827
2023-09-11,sh.601162,3.4,3.49,3.37,3.46,249821844
2023-09-12,sh.601162,3.45,3.48,3.42,3.43,153744422
2023-09-13,sh.601162,3.43,3.44,3.37,3.39,140288062
2023-09-14,sh.601162,3.39,3.41,3.37,3.39,125109866
2023-09-15,sh.601162,3.41,3.43,3.37,3.4,137471538
2023-09-18,sh.601162,3.37,3.4,3.35,3.36,137722901
2023-09-19,sh.601162,3.36,3.39,3.34,3.35,109114222
2023-09-20,sh.601162,3.35,3.39,3.32,3.34,136621577
2023-09-21,sh.601162,3.34,3.36,3.31,3.32,111802917
2023-09-22,sh.601162,3.31,3.41,3.31,3.41,211966657
2023-09-25,sh.601162,3.38,3.39,3.29,3.3,182962097
2023-09-26,sh.601162,3.3,3.34,3.3,3.31,109315930
2023-09-27,sh.601162,3.31,3.34,3.29,3.31,96147176
2023-09-28,sh.601162,3.32,3.34,3.3,3.32,96354381
2023-10-09,sh.601162,3.29,3.3,3.23,3.24,134268452
2023-10-10,sh.601162,3.26,3.28,3.21,3.22,120506244
2023-10-11,sh.601162,3.22,3.24,3.2,3.21,124541291
2023-10-12,sh.601162,3.25,3.26,3.21,3.24,125299304
2023-10-13,sh.601162,3.21,3.24,3.19,3.2,102710410
2023-10-16,sh.601162,3.19,3.22,3.17,3.2,108790904
2023-10-17,sh.601162,3.2,3.27,3.18,3.22,160311059
2023-10-18,sh.601162,3.2,3.25,3.2,3.21,123544810
2023-10-19,sh.601162,3.2,3.3,3.19,3.22,216134527
2023-10-20,sh.601162,3.21,3.28,3.2,3.25,180363146
2023-10-23,sh.601162,3.23,3.23,3.09,3.11,208297392
2023-10-24,sh.601162,3.11,3.34,3.11,3.31,471040787
2023-10-25,sh.601162,3.32,3.32,3.24,3.24,307141950
2023-10-26,sh.601162,3.2,3.22,3.16,3.22,216040457
2023-10-27,sh.601162,3.2,3.24,3.18,3.23,165216103
2023-10-30,sh.601162,3.2,3.24,3.2,3.24,155431965
2023-10-31,sh.601162,3.22,3.26,3.19,3.2,157310064
2023-11-01,sh.601162,3.23,3.25,3.19,3.19,120660830
2023-11-02,sh.601162,3.19,3.21,3.15,3.16,113472629
2023-11-03,sh.601162,3.17,3.21,3.16,3.19,136204169
2023-11-06,sh.601162,3.28,3.4,3.24,3.36,434232857
2023-11-07,sh.601162,3.33,3.45,3.31,3.42,393852330
2023-11-08,sh.601162,3.4,3.43,3.33,3.35,247331901
2023-11-09,sh.601162,3.34,3.36,3.3,3.31,165254616
2023-11-10,sh.601162,3.31,3.37,3.3,3.34,190633581
2023-11-13,sh.601162,3.34,3.35,3.3,3.32,118755688
2023-11-14,sh.601162,3.33,3.4,3.32,3.36,232228579
2023-11-15,sh.601162,3.4,3.43,3.35,3.36,209211506
2023-11-16,sh.601162,3.35,3.38,3.33,3.33,138919091
2023-11-17,sh.601162,3.33,3.35,3.31,3.35,118996717
2023-11-20,sh.601162,3.35,3.36,3.3,3.33,120064726
2023-11-21,sh.601162,3.34,3.39,3.31,3.32,156171530
2023-11-22,sh.601162,3.31,3.34,3.27,3.27,121926944
2023-11-23,sh.601162,3.28,3.3,3.25,3.3,95269878
2023-11-24,sh.601162,3.29,3.29,3.24,3.25,101935580
2023-11-27,sh.601162,3.25,3.25,3.19,3.21,116870803
2023-11-28,sh.601162,3.22,3.23,3.19,3.21,86441981
2023-11-29,sh.601162,3.21,3.22,3.17,3.18,84781407
2023-11-30,sh.601162,3.18,3.21,3.16,3.19,127953200
2023-12-01,sh.601162,3.18,3.22,3.17,3.22,99767573
2023-12-04,sh.601162,3.22,3.22,3.19,3.19,80574210
2023-12-05,sh.601162,3.19,3.21,3.16,3.16,101344309
2023-12-06,sh.601162,3.16,3.19,3.15,3.17,79921683
2023-12-07,sh.601162,3.16,3.21,3.16,3.19,82827200
2023-12-08,sh.601162,3.19,3.21,3.15,3.15,90794652
2023-12-11,sh.601162,3.17,3.25,3.13,3.23,162879511
2023-12-12,sh.601162,3.21,3.23,3.2,3.22,83117157
2023-12-13,sh.601162,3.21,3.22,3.18,3.18,58182289
2023-12-14,sh.601162,3.2,3.21,3.16,3.17,61027710
2023-12-15,sh.601162,3.18,3.21,3.16,3.17,85595770
2023-12-18,sh.601162,3.17,3.19,3.13,3.15,90011469
2023-12-19,sh.601162,3.14,3.17,3.12,3.15,106442492
2023-12-20,sh.601162,3.14,3.15,3.04,3.05,152533721
2023-12-21,sh.601162,3.02,3.07,3.0,3.05,111391031
2023-12-22,sh.601162,3.04,3.05,3.0,3.02,104451436
2023-12-25,sh.601162,3.01,3.02,2.97,2.99,67996000
2023-12-26,sh.601162,2.99,3.0,2.96,2.97,58685554
2023-12-27,sh.601162,2.97,3.05,2.96,3.03,122038247
2023-12-28,sh.601162,3.01,3.1,3.0,3.09,148307584
2023-12-29,sh.601162,3.08,3.1,3.07,3.09,96587232
2024-01-02,sh.601162,3.08,3.08,3.04,3.04,75584118
2024-01-03,sh.601162,3.04,3.06,3.02,3.04,64710048
2024-01-04,sh.601162,3.04,3.05,2.99,3.01,78119041
2024-01-05,sh.601162,3.0,3.04,2.98,3.0,91041320
2024-01-08,sh.601162,2.98,2.99,2.94,2.94,86558678
2024-01-09,sh.601162,2.95,2.97,2.92,2.95,67765409
2024-01-10,sh.601162,2.94,3.02,2.91,2.96,91364752
2024-01-11,sh.601162,2.96,3.02,2.95,3.01,92236807
2024-01-12,sh.601162,2.99,3.03,2.97,2.97,79108839
2024-01-15,sh.601162,2.96,3.07,2.95,3.02,155448030
2024-01-16,sh.601162,3.0,3.05,2.98,3.05,128748923
2024-01-17,sh.601162,3.03,3.04,2.97,2.98,89145979
2024-01-18,sh.601162,2.96,3.03,2.93,3.02,144838995
2024-01-19,sh.601162,3.0,3.01,2.97,2.98,74747237
2024-01-22,sh.601162,2.98,3.0,2.86,2.91,117340020
2024-01-23,sh.601162,2.9,2.98,2.87,2.95,135696680
2024-01-24,sh.601162,2.97,3.14,2.9,3.09,289432508
2024-01-25,sh.601162,3.06,3.13,3.04,3.11,260243722
2024-01-26,sh.601162,3.08,3.13,3.06,3.09,169731904
2024-01-29,sh.601162,3.08,3.09,3.02,3.03,140238090
2024-01-30,sh.601162,3.01,3.05,2.98,3.0,113292868
2024-01-31,sh.601162,2.98,3.02,2.95,2.96,119576900
2024-02-01,sh.601162,2.93,3.01,2.92,2.95,111086895
2024-02-02,sh.601162,2.95,2.97,2.82,2.89,153868083
2024-02-05,sh.601162,2.86,2.88,2.73,2.76,183125513
2024-02-06,sh.601162,2.71,2.96,2.7,2.92,186074860
2024-02-07,sh.601162,2.91,3.02,2.9,3.02,220167984
2024-02-08,sh.601162,3.03,3.13,3.02,3.04,217179899
2024-02-19,sh.601162,3.05,3.05,2.97,3.0,154845774
2024-02-20,sh.601162,2.99,3.05,2.97,3.02,144399088
2024-02-21,sh.601162,3.0,3.11,2.99,3.04,213585382
2024-02-22,sh.601162,3.02,3.07,3.01,3.06,164780652
2024-02-23,sh.601162,3.05,3.08,3.02,3.06,181193758
2024-02-26,sh.601162,3.06,3.07,3.03,3.03,148160414
2024-02-27,sh.601162,3.03,3.1,3.02,3.1,186344006
2024-02-28,sh.601162,3.13,3.2,3.06,3.06,364580400
2024-02-29,sh.601162,3.04,3.13,3.03,3.12,239614971
2024-03-01,sh.601162,3.12,3.15,3.09,3.13,193052413
2024-03-04,sh.601162,3.13,3.14,3.07,3.09,139851633
2024-03-05,sh.601162,3.08,3.09,3.04,3.05,126874449
2024-03-06,sh.601162,3.04,3.1,3.03,3.05,121460622
2024-03-07,sh.601162,3.05,3.08,3.02,3.04,144034688
2024-03-08,sh.601162,3.03,3.05,3.01,3.03,99656370
2024-03-11,sh.601162,3.03,3.07,3.03,3.06,128337024
2024-03-12,sh.601162,3.07,3.09,3.05,3.08,164210357
2024-03-13,sh.601162,3.07,3.08,3.02,3.03,138057583
