date,stock_code,open,high,low,close,volume
2023-07-03,sz.000591,6.39224502,6.46766974,6.39224502,6.44881356,37337851
2023-07-04,sz.000591,6.45824165,6.46766974,6.40167311,6.42052929,26725860
2023-07-05,sz.000591,6.42052929,6.46766974,6.37338884,6.39224502,21560670
2023-07-06,sz.000591,6.37338884,6.4111012,6.34510457,6.35453266,20054700
2023-07-07,sz.000591,6.34510457,6.39224502,6.32624839,6.37338884,19705266
2023-07-10,sz.000591,6.40167311,6.48652592,6.40167311,6.45824165,43316843
2023-07-11,sz.000591,6.46766974,6.46766974,6.39224502,6.43938547,23252616
2023-07-12,sz.000591,6.43938547,6.45824165,6.4111012,6.42052929,28658070
2023-07-13,sz.000591,6.44881356,6.45824165,6.4111012,6.42995738,31800036
2023-07-14,sz.000591,6.4111012,6.4111012,6.32624839,6.34510457,56397626
2023-07-17,sz.000591,6.32624839,6.35453266,6.27910794,6.29796412,29438192
2023-07-18,sz.000591,6.29796412,6.32624839,6.13768659,6.21311131,48720666
2023-07-19,sz.000591,6.19425513,6.23196749,6.18482704,6.21311131,17270800
2023-07-20,sz.000591,6.21311131,6.2225394,6.15654277,6.15654277,23842564
2023-07-21,sz.000591,6.15654277,6.17539895,6.13768659,6.14711468,19100366
2023-07-24,sz.000591,6.14711468,6.14711468,6.07168996,6.10940232,14604510
2023-07-25,sz.000591,6.13768659,6.20368322,6.13768659,6.19425513,24675205
2023-07-26,sz.000591,6.20368322,6.21311131,6.15654277,6.17539895,18705403
2023-07-27,sz.000591,6.16597086,6.20368322,6.13768659,6.14711468,19271977
2023-07-28,sz.000591,6.13768659,6.20368322,6.09997423,6.18482704,28456246
2023-07-31,sz.000591,6.20368322,6.26025176,6.20368322,6.2225394,31052050
2023-08-01,sz.000591,6.24139558,6.25082367,6.20368322,6.24139558,26657550
2023-08-02,sz.000591,6.21311131,6.23196749,6.18482704,6.19425513,19160520
2023-08-03,sz.000591,6.17539895,6.24139558,6.17539895,6.21311131,17790128
2023-08-04,sz.000591,6.23196749,6.26967985,6.21311131,6.23196749,26035263
2023-08-07,sz.000591,6.21311131,6.23196749,6.18482704,6.20368322,21676360
2023-08-08,sz.000591,6.19425513,6.2225394,6.15654277,6.17539895,21281698
2023-08-09,sz.000591,6.16597086,6.16597086,6.1282585,6.13768659,19193899
2023-08-10,sz.000591,6.11883041,6.16597086,6.11883041,6.13768659,15004929
2023-08-11,sz.000591,6.13768659,6.14711468,5.98683715,6.00569333,32998176
2023-08-14,sz.000591,5.9396967,5.99626524,5.91141243,5.95855288,29870631
2023-08-15,sz.000591,5.95855288,5.96798097,5.88312816,5.9396967,20108181
2023-08-16,sz.000591,5.93026861,5.97740906,5.91141243,5.93026861,18574524
2023-08-17,sz.000591,5.92084052,5.93026861,5.85484389,5.92084052,17756668
2023-08-18,sz.000591,5.91141243,5.9396967,5.82655962,5.83598771,17612100
2023-08-21,sz.000591,5.85484389,5.86427198,5.77941917,5.77941917,16746569
2023-08-22,sz.000591,5.78884726,5.8454158,5.70399445,5.76999108,25947800
2023-08-23,sz.000591,5.7511349,5.77941917,5.60971355,5.61914164,26702942
2023-08-24,sz.000591,5.60971355,5.63799782,5.50600456,5.59085737,27527965
2023-08-25,sz.000591,5.58142928,5.63799782,5.51543265,5.59085737,20011764
2023-08-28,sz.000591,5.86427198,5.86427198,5.62856973,5.64742591,42691300
2023-08-29,sz.000591,5.64742591,5.7511349,5.60971355,5.74170681,27106208
2023-08-30,sz.000591,5.74170681,5.77941917,5.69456636,5.71342254,21006800
2023-08-31,sz.000591,5.70399445,5.73227872,5.67571018,5.68513827,15255894
