date,stock_code,open,high,low,close,volume
2023-07-03,sh.688301,141.50646776,147.7793884,138.79087432,145.64499208,380923
2023-07-04,sh.688301,146.41157104,146.41157104,141.291024,143.1949456,236438
2023-07-05,sh.688301,144.27717472,144.96358856,140.789992,142.08766488,198800
2023-07-06,sh.688301,142.08766488,142.37325312,138.29485264,141.67180832,326397
2023-07-07,sh.688301,140.94531192,144.23709216,138.80089496,139.82801056,214388
2023-07-10,sh.688301,140.27893936,141.5916432,139.34701984,141.15073504,167144
2023-07-11,sh.688301,140.29397032,141.12568344,137.79382064,139.24681344,207631
2023-07-12,sh.688301,137.84893416,139.56747392,137.82388256,138.535348,132934
2023-07-13,sh.688301,138.785864,140.72986816,137.29278864,138.535348,166975
2023-07-14,sh.688301,138.535348,139.03638,136.68653992,138.72574016,103269
2023-07-17,sh.688301,137.24268544,139.22176184,136.95208688,138.89108072,115532
2023-07-18,sh.688301,138.11448112,138.8610188,135.03313432,136.95208688,249586
2023-07-19,sh.688301,135.78468232,135.78468232,132.91376896,133.39977,158808
2023-07-20,sh.688301,133.08411984,136.77171536,131.71129216,135.27864,205258
2023-07-21,sh.688301,134.74754608,137.27775768,133.525028,135.779672,348669
2023-07-24,sh.688301,135.73958944,142.79412,135.73958944,138.284832,373981
2023-07-25,sh.688301,138.284832,144.67800032,137.7838,141.56158128,339535
2023-07-26,sh.688301,141.792056,144.04168968,139.60254616,140.7398888,186325
2023-07-27,sh.688301,141.08560088,141.7419528,137.82388256,139.49732944,198327
2023-07-28,sh.688301,137.7838,137.98922312,134.38680304,135.18845424,437443
2023-07-31,sh.688301,135.3788464,135.3788464,124.77199896,125.78909392,709125
2023-08-01,sh.688301,125.51853664,131.65116832,125.51853664,131.61609608,446187
2023-08-02,sh.688301,130.27333032,130.52885664,126.51058,126.79115792,384457
2023-08-03,sh.688301,127.60784008,127.60784008,121.97123008,125.383258,410575
2023-08-04,sh.688301,125.383258,128.30928488,122.75785032,127.17194224,433781
2023-08-07,sh.688301,125.54358824,127.1619216,120.68858816,122.251808,589215
2023-08-08,sh.688301,121.28982656,125.759032,120.68357784,125.258,261029
2023-08-09,sh.688301,124.8070712,128.765224,123.9302652,127.32225184,225877
2023-08-10,sh.688301,127.13185968,128.67503824,124.84715376,126.14482664,186578
2023-08-11,sh.688301,126.635838,126.635838,123.5544912,123.81001752,240044
2023-08-14,sh.688301,124.756968,124.756968,120.95914544,123.754904,276999
2023-08-15,sh.688301,121.89106496,123.63465632,120.20258712,120.4230412,305486
2023-08-16,sh.688301,119.9470608,122.75284,117.74753032,118.65940856,369935
2023-08-17,sh.688301,117.60724136,119.60635904,115.24237032,116.78053856,555864
2023-08-18,sh.688301,118.52914024,124.73692672,117.03105456,118.39887192,623291
2023-08-21,sh.688301,116.740456,122.251808,116.73544568,120.50320632,271122
2023-08-22,sh.688301,122.14659128,122.14659128,114.736328,117.71245808,405607
2023-08-23,sh.688301,118.18843848,118.243552,116.28451688,116.7154044,214476
2023-08-24,sh.688301,115.3375664,123.69478016,115.3375664,121.750776,385358
2023-08-25,sh.688301,120.23264904,122.59752008,119.2957192,120.999228,248173
2023-08-28,sh.688301,128.264192,129.266256,122.75785032,124.506452,507133
2023-08-29,sh.688301,121.11947568,126.1598576,115.26742192,123.754904,681812
2023-08-30,sh.688301,124.255936,127.71806712,121.89607528,124.0304716,505092
2023-08-31,sh.688301,123.30898552,126.009548,121.17959952,123.28894424,344386
2023-09-01,sh.688301,123.64467696,124.56156552,120.75372232,121.29483688,193817
2023-09-04,sh.688301,121.29483688,121.29483688,117.74753032,118.50909896,440475
2023-09-05,sh.688301,117.5922104,120.13745296,114.24531664,114.75135896,511900
2023-09-06,sh.688301,113.93968712,114.4607604,107.22585832,107.23086864,1014033
