date,stock_code,open,high,low,close,volume
2023-07-03,sh.600299,7.66300126,7.75890866,7.66300126,7.73013644,3055430
2023-07-04,sh.600299,7.7684994,7.7684994,7.68218274,7.73013644,2056324
2023-07-05,sh.600299,7.73972718,7.7684994,7.70136422,7.71095496,1475433
2023-07-06,sh.600299,7.71095496,7.77809014,7.68218274,7.70136422,2269288
2023-07-07,sh.600299,7.71095496,7.78768088,7.68218274,7.75890866,2584687
2023-07-10,sh.600299,7.79727162,7.80686236,7.70136422,7.73013644,2238400
2023-07-11,sh.600299,7.74931792,7.78768088,7.71095496,7.78768088,1820020
2023-07-12,sh.600299,7.79727162,7.83563458,7.75890866,7.7684994,2126053
2023-07-13,sh.600299,7.83689538,7.89552552,7.78803693,7.82712369,3290967
2023-07-14,sh.600299,7.87598214,7.87598214,7.79780862,7.83689538,2032334
2023-07-17,sh.600299,7.77826524,7.85643876,7.74895017,7.84666707,3232176
2023-07-18,sh.600299,7.83689538,7.94438397,7.78803693,7.9150689,2784130
2023-07-19,sh.600299,7.9150689,8.0127858,7.89552552,8.0127858,3121567
2023-07-20,sh.600299,8.00301411,8.06164425,7.95415566,7.96392735,2353628
2023-07-21,sh.600299,7.96392735,8.02255749,7.94438397,7.98347073,2045819
2023-07-24,sh.600299,7.98347073,8.0127858,7.88575383,7.93461228,1968000
2023-07-25,sh.600299,7.99324242,8.03232918,7.95415566,8.0127858,2569888
2023-07-26,sh.600299,8.00301411,8.05187256,7.96392735,8.04210087,2710246
2023-07-27,sh.600299,8.05187256,8.08118763,7.96392735,7.98347073,3897496
2023-07-28,sh.600299,7.96392735,8.05187256,7.96392735,8.0127858,2735255
2023-07-31,sh.600299,8.04210087,8.10073101,8.0127858,8.05187256,2703100
2023-08-01,sh.600299,8.09095932,8.1105027,8.03232918,8.09095932,2962000
2023-08-02,sh.600299,8.1105027,8.14958946,8.03232918,8.14958946,3074468
2023-08-03,sh.600299,8.1105027,8.2082196,8.10073101,8.17890453,3090837
2023-08-04,sh.600299,8.23753467,8.27662143,8.15936115,8.16913284,3646700
2023-08-07,sh.600299,8.17890453,8.2082196,8.07141594,8.1105027,4118601
2023-08-08,sh.600299,8.1105027,8.13981777,7.90529721,7.94438397,4680349
2023-08-09,sh.600299,7.96392735,7.98347073,7.89552552,7.93461228,2544267
2023-08-10,sh.600299,7.9150689,8.04210087,7.90529721,7.99324242,2369200
2023-08-11,sh.600299,8.03232918,8.03232918,7.88575383,7.90529721,2891066
2023-08-14,sh.600299,7.83689538,7.90529721,7.77826524,7.88575383,3754540
2023-08-15,sh.600299,7.86621045,7.89552552,7.79780862,7.84666707,2147649
2023-08-16,sh.600299,7.87598214,7.92484059,7.80758031,7.87598214,2036300
2023-08-17,sh.600299,7.86621045,7.96392735,7.817352,7.96392735,2374000
