date,stock_code,open,high,low,close,volume
2023-07-03,sz.001696,6.9006391,6.93951594,6.84232384,6.88120068,9847417
2023-07-04,sz.001696,6.87148147,7.05614646,6.87148147,7.01726962,13399579
2023-07-05,sz.001696,7.01726962,7.03670804,6.93951594,6.95895436,11231857
2023-07-06,sz.001696,6.96867357,6.98811199,6.9006391,6.95895436,9959213
2023-07-07,sz.001696,6.94923515,6.96867357,6.88120068,6.93951594,8352152
2023-07-10,sz.001696,6.88120068,6.96867357,6.83260463,6.87148147,9999541
2023-07-11,sz.001696,6.9006391,6.9978312,6.87148147,6.9978312,8859464
2023-07-12,sz.001696,7.00755041,7.03670804,6.9006391,6.92007752,9233692
2023-07-13,sz.001696,6.92007752,6.97839278,6.87148147,6.89091989,9243360
2023-07-14,sz.001696,6.89091989,6.93951594,6.84232384,6.89091989,5848023
2023-07-17,sz.001696,6.85204305,6.92979673,6.79372779,6.88120068,7932430
2023-07-18,sz.001696,6.88120068,6.96867357,6.78400858,6.93951594,8047700
2023-07-19,sz.001696,6.91035831,6.93951594,6.84232384,6.87148147,5456602
2023-07-20,sz.001696,6.87148147,6.93951594,6.79372779,6.81316621,7339041
2023-07-21,sz.001696,6.803447,6.803447,6.66737806,6.7062549,9364370
2023-07-24,sz.001696,6.72569332,6.84232384,6.61878201,6.78400858,8820613
2023-07-25,sz.001696,6.85204305,6.95895436,6.79372779,6.93951594,11050510
2023-07-26,sz.001696,6.91035831,6.92979673,6.76457016,6.803447,8079257
2023-07-27,sz.001696,6.81316621,6.92007752,6.81316621,6.86176226,8933890
2023-07-28,sz.001696,6.78400858,6.93951594,6.76457016,6.89091989,8108152
2023-07-31,sz.001696,6.89091989,6.98811199,6.87148147,6.94923515,10266483
2023-08-01,sz.001696,6.92007752,7.01726962,6.88120068,6.96867357,9693454
2023-08-02,sz.001696,6.94923515,7.14361935,6.92007752,7.01726962,11836800
2023-08-03,sz.001696,6.96867357,6.97839278,6.85204305,6.87148147,8995411
2023-08-04,sz.001696,6.9006391,6.93951594,6.82288542,6.86176226,8651496
2023-08-07,sz.001696,6.85204305,6.91035831,6.78400858,6.82288542,5472845
2023-08-08,sz.001696,6.803447,6.88120068,6.78400858,6.84232384,5648672
2023-08-09,sz.001696,6.81316621,6.82288542,6.69653569,6.7062549,7198247
2023-08-10,sz.001696,6.72569332,6.803447,6.69653569,6.73541253,6404476
2023-08-11,sz.001696,6.74513174,6.76457016,6.55074754,6.56046675,7754749
2023-08-14,sz.001696,6.52158991,6.61878201,6.48271307,6.6090628,7803329
2023-08-15,sz.001696,6.59934359,6.64793964,6.53130912,6.57018596,4851007
2023-08-16,sz.001696,6.53130912,6.58962438,6.45355544,6.49243228,6383146
2023-08-17,sz.001696,6.47299386,6.63822043,6.4146786,6.61878201,6073942
2023-08-18,sz.001696,6.63822043,6.75485095,6.59934359,6.61878201,8642706
2023-08-21,sz.001696,6.59934359,6.7062549,6.48271307,6.48271307,6342800
2023-08-22,sz.001696,6.5118707,6.6090628,6.43411702,6.55074754,6523300
