date,stock_code,open,high,low,close,volume
2023-07-03,sz.000785,3.7017244,3.78939682,3.66275888,3.73094854,24924913
2023-07-04,sz.000785,3.72120716,3.74068992,3.68224164,3.73094854,12049999
2023-07-05,sz.000785,3.73094854,3.82836234,3.71146578,3.77965544,12589114
2023-07-06,sz.000785,3.77965544,3.82836234,3.7017244,3.74068992,18096000
2023-07-07,sz.000785,3.72120716,3.77965544,3.7017244,3.74068992,12811331
2023-07-10,sz.000785,3.74068992,4.01344856,3.73094854,3.91603476,45608164
2023-07-11,sz.000785,3.91603476,4.06215546,3.86732786,4.03293132,37891205
2023-07-12,sz.000785,4.0426727,4.0913796,4.00370718,4.02318994,28612000
2023-07-13,sz.000785,4.01344856,4.07189684,3.98422442,4.01344856,21427900
2023-07-14,sz.000785,4.02318994,4.03293132,3.93551752,3.9939658,21315757
2023-07-17,sz.000785,3.9939658,4.08163822,3.96474166,4.05241408,15067800
2023-07-18,sz.000785,4.02318994,4.11086236,4.00370718,4.06215546,10773753
2023-07-19,sz.000785,4.06215546,4.1400865,4.01344856,4.10112098,19102654
2023-07-20,sz.000785,4.12060374,4.1400865,4.06215546,4.08163822,11717465
2023-07-21,sz.000785,4.08163822,4.1400865,4.05241408,4.08163822,11211800
2023-07-24,sz.000785,4.07189684,4.12060374,4.01344856,4.10112098,13627190
2023-07-25,sz.000785,4.12060374,4.22775892,4.11086236,4.17905202,20444736
2023-07-26,sz.000785,4.17905202,4.21801754,4.08163822,4.13034512,14399191
2023-07-27,sz.000785,4.1400865,4.1400865,4.08163822,4.11086236,13722196
2023-07-28,sz.000785,4.0913796,4.14982788,4.06215546,4.1400865,11505401
2023-07-31,sz.000785,4.1400865,4.31543134,4.1400865,4.29594858,31174248
2023-08-01,sz.000785,4.2862072,4.34465548,4.2375003,4.2862072,17952472
2023-08-02,sz.000785,4.2862072,4.3349141,4.2375003,4.2862072,15775249
2023-08-03,sz.000785,4.2862072,4.29594858,4.19853478,4.27646582,12299946
2023-08-04,sz.000785,4.2862072,4.29594858,4.16931064,4.1887934,20000471
2023-08-07,sz.000785,4.20827616,4.22775892,4.1400865,4.19853478,14790848
2023-08-08,sz.000785,4.17905202,4.19853478,4.06215546,4.10112098,14898654
2023-08-09,sz.000785,4.0913796,4.12060374,4.0426727,4.08163822,15499124
2023-08-10,sz.000785,4.07189684,4.08163822,4.00370718,4.01344856,8713900
2023-08-11,sz.000785,4.03293132,4.0426727,3.9452589,3.96474166,11841200
