date,stock_code,open,high,low,close,volume
2023-07-03,sh.601019,8.22842501,8.28191423,7.94314917,8.13036144,9946672
2023-07-04,sh.601019,8.15710605,8.24625475,8.023383,8.07687222,7009565
2023-07-05,sh.601019,8.07687222,8.21059527,8.03229787,8.10361683,7235165
2023-07-06,sh.601019,8.05012761,8.21059527,8.023383,8.03229787,10244700
2023-07-07,sh.601019,8.1068427,8.32116153,7.99502418,8.21866122,12245834
2023-07-10,sh.601019,8.23729764,8.61002604,8.20934301,8.49820752,15976040
2023-07-11,sh.601019,8.49820752,8.54479857,8.26525227,8.33979795,9963612
2023-07-12,sh.601019,8.37707079,8.42366184,8.13479733,8.16275196,6538529
2023-07-13,sh.601019,8.19070659,8.42366184,8.1068427,8.36775258,9620143
2023-07-14,sh.601019,8.37707079,8.62866246,8.36775258,8.46093468,8832903
2023-07-17,sh.601019,8.46093468,8.61002604,8.33979795,8.44229826,5358200
2023-07-18,sh.601019,8.48888931,8.49820752,8.34911616,8.40502542,6149066
2023-07-19,sh.601019,8.43298005,8.72184456,8.386389,8.5727532,8312274
2023-07-20,sh.601019,8.6659353,8.67525351,8.37707079,8.40502542,6177565
2023-07-21,sh.601019,8.33047974,8.50752573,8.30252511,8.43298005,6109088
2023-07-24,sh.601019,8.37707079,8.5727532,8.33979795,8.45161647,5353288
2023-07-25,sh.601019,8.49820752,8.53548036,8.37707079,8.47025289,5115896
2023-07-26,sh.601019,8.48888931,8.48888931,8.26525227,8.30252511,6684228
2023-07-27,sh.601019,8.37707079,8.40502542,8.15343375,8.19070659,5431151
2023-07-28,sh.601019,8.18138838,8.20934301,8.07888807,8.11616091,5432450
2023-07-31,sh.601019,8.07888807,8.28388869,8.04161523,8.23729764,6988042
2023-08-01,sh.601019,8.31184332,8.33047974,8.06956986,8.26525227,6412558
2023-08-02,sh.601019,8.25593406,8.28388869,8.1068427,8.16275196,4669432
2023-08-03,sh.601019,8.11616091,8.25593406,8.11616091,8.14411554,5273500
2023-08-04,sh.601019,8.19070659,8.49820752,8.18138838,8.42366184,10827182
2023-08-07,sh.601019,8.44229826,8.58207141,8.32116153,8.56343499,10653057
2023-08-08,sh.601019,8.51684394,8.74048098,8.4795711,8.67525351,11046009
2023-08-09,sh.601019,8.62866246,8.6659353,8.4795711,8.52616215,7810344
2023-08-10,sh.601019,8.50752573,8.58207141,8.386389,8.40502542,6410900
2023-08-11,sh.601019,8.39570721,8.46093468,8.24661585,8.25593406,5678732
2023-08-14,sh.601019,8.23729764,8.41434363,8.14411554,8.386389,5178238
2023-08-15,sh.601019,8.37707079,8.45161647,8.27457048,8.32116153,4646800
2023-08-16,sh.601019,8.2932069,8.33979795,8.09752449,8.15343375,4085426
2023-08-17,sh.601019,8.11616091,8.18138838,8.06025165,8.13479733,3429200
2023-08-18,sh.601019,8.06956986,8.16275196,7.93911492,7.96706955,6429600
2023-08-21,sh.601019,7.9204785,8.2000248,7.91116029,8.04161523,5579696
2023-08-22,sh.601019,8.04161523,8.46093468,8.04161523,8.43298005,10542774
2023-08-23,sh.601019,8.39570721,8.6659353,8.386389,8.5727532,9579808
2023-08-24,sh.601019,8.5727532,8.79639024,8.56343499,8.68457172,12454144
2023-08-25,sh.601019,8.65661709,8.69388993,8.35843437,8.41434363,9276108
2023-08-28,sh.601019,8.7591174,8.83366308,8.22797943,8.25593406,15079265
2023-08-29,sh.601019,8.23729764,8.55411678,8.2000248,8.53548036,10089823
2023-08-30,sh.601019,8.67525351,9.25298253,8.67525351,9.08525475,28215412
2023-08-31,sh.601019,8.99207265,9.02002728,8.80570845,8.86161771,14770276
2023-09-01,sh.601019,8.8522995,8.92684518,8.7591174,8.80570845,7727918
2023-09-04,sh.601019,8.80570845,8.88025413,8.74048098,8.7591174,9354327
2023-09-05,sh.601019,8.73116277,8.79639024,8.37707079,8.39570721,11964009
2023-09-06,sh.601019,8.386389,8.40502542,8.20934301,8.2932069,8727986
2023-09-07,sh.601019,8.2932069,8.34911616,8.23729764,8.25593406,8674996
2023-09-08,sh.601019,8.22797943,8.25593406,7.99502418,8.00434239,8481545
2023-09-11,sh.601019,8.0136606,8.33979795,8.0136606,8.28388869,10365366
2023-09-12,sh.601019,8.23729764,8.2932069,8.06956986,8.08820628,6528038
2023-09-13,sh.601019,8.06956986,8.16275196,8.04161523,8.08820628,4979819
2023-09-14,sh.601019,8.06025165,8.24661585,8.04161523,8.20934301,6650845
2023-09-15,sh.601019,8.16275196,8.60070783,8.16275196,8.2000248,12676254
