date,stock_code,open,high,low,close,volume
2023-07-03,sz.002312,7.98741008,8.30964056,7.9581164,8.07529112,16460212
2023-07-04,sz.002312,8.07529112,8.13387848,7.9092936,7.97764552,14970726
2023-07-05,sz.002312,7.97764552,8.1534076,7.91905816,8.09482024,15842201
2023-07-06,sz.002312,8.1045848,8.1045848,7.9092936,7.92882272,14331050
2023-07-07,sz.002312,7.9092936,7.92882272,7.82141256,7.87023536,7129307
2023-07-10,sz.002312,7.8604708,8.03623288,7.85070624,7.98741008,10479250
2023-07-11,sz.002312,7.98741008,8.02646832,7.89952904,7.99717464,7561978
2023-07-12,sz.002312,8.0069392,8.22175952,7.98741008,8.08505568,17978245
2023-07-13,sz.002312,8.12411392,8.22175952,8.07529112,8.09482024,12461828
2023-07-14,sz.002312,8.08505568,8.11434936,7.9581164,7.98741008,14045003
2023-07-17,sz.002312,7.92882272,8.08505568,7.9092936,7.98741008,9693279
2023-07-18,sz.002312,8.0069392,8.28034688,7.94835184,8.17293672,22572607
2023-07-19,sz.002312,8.12411392,8.23152408,8.09482024,8.16317216,11965570
2023-07-20,sz.002312,8.16317216,8.67092928,8.16317216,8.4463444,39718398
2023-07-21,sz.002312,8.40728616,8.48540264,8.26081776,8.31940512,22268308
2023-07-24,sz.002312,8.28034688,8.29011144,7.94835184,7.9581164,22661366
2023-07-25,sz.002312,8.04599744,8.3975216,8.0069392,8.14364304,21445674
2023-07-26,sz.002312,8.16317216,8.41705072,8.1534076,8.32916968,26290689
2023-07-27,sz.002312,8.31940512,8.33893424,8.17293672,8.2022304,14848557
2023-07-28,sz.002312,8.18270128,8.31940512,8.14364304,8.29011144,14077837
2023-07-31,sz.002312,8.299876,8.40728616,8.299876,8.38775704,13654454
2023-08-01,sz.002312,8.38775704,8.3975216,8.28034688,8.35846336,12272893
2023-08-02,sz.002312,8.3975216,8.46587352,8.299876,8.33893424,8992530
2023-08-03,sz.002312,8.27058232,8.31940512,8.23152408,8.26081776,8153488
2023-08-04,sz.002312,8.29011144,8.37799248,8.26081776,8.28034688,9247338
2023-08-07,sz.002312,8.27058232,8.27058232,8.12411392,8.19246584,8028340
2023-08-08,sz.002312,8.17293672,8.23152408,8.055762,8.18270128,8228698
2023-08-09,sz.002312,8.11434936,8.37799248,8.11434936,8.3486988,18854502
2023-08-10,sz.002312,8.33893424,8.35846336,8.24128864,8.28034688,9336598
2023-08-11,sz.002312,8.2510532,8.28034688,8.12411392,8.13387848,9681001
2023-08-14,sz.002312,8.12411392,8.12411392,7.97764552,8.12411392,9433533
2023-08-15,sz.002312,8.1045848,8.12411392,7.97764552,8.03623288,7057229
2023-08-16,sz.002312,8.03623288,8.06552656,7.96788096,7.98741008,5800000
