date,stock_code,open,high,low,close,volume
2023-07-03,sz.301301,8.5886068,8.685108,8.5403562,8.6368574,6215099
2023-07-04,sz.301301,8.62720728,8.6368574,8.51140584,8.55000632,6758542
2023-07-05,sz.301301,8.47280536,8.4921056,8.3473538,8.36665404,15606318
2023-07-06,sz.301301,8.30875332,8.37630416,8.23155236,8.35700392,6946444
2023-07-07,sz.301301,8.33770368,8.42455476,8.27980296,8.42455476,5782008
2023-07-10,sz.301301,8.41490464,8.42455476,8.3473538,8.36665404,4604652
2023-07-11,sz.301301,8.36665404,8.46315524,8.2991032,8.46315524,5402811
2023-07-12,sz.301301,8.45350512,8.45350512,8.33770368,8.33770368,5310880
2023-07-13,sz.301301,8.33770368,8.5403562,8.31840344,8.48245548,7130952
2023-07-14,sz.301301,8.46315524,8.51140584,8.42455476,8.50175572,4893481
2023-07-17,sz.301301,8.4921056,8.50175572,8.40525452,8.443855,4085283
2023-07-18,sz.301301,8.45350512,8.50175572,8.41490464,8.50175572,4341331
2023-07-19,sz.301301,8.60790704,8.67545788,8.52105596,8.55000632,7814682
2023-07-20,sz.301301,8.5403562,8.56930656,8.40525452,8.43420488,5594785
2023-07-21,sz.301301,8.443855,8.56930656,8.41490464,8.5403562,5850296
2023-07-24,sz.301301,8.50175572,8.60790704,8.4921056,8.5886068,6347678
2023-07-25,sz.301301,8.64650752,8.66580776,8.55000632,8.60790704,6518022
2023-07-26,sz.301301,8.5886068,8.66580776,8.56930656,8.66580776,7087229
2023-07-27,sz.301301,8.65615764,8.71405836,8.55000632,8.56930656,6524808
2023-07-28,sz.301301,8.55965644,8.69475812,8.5403562,8.66580776,7752788
2023-07-31,sz.301301,8.65615764,8.72370848,8.61755716,8.66580776,6673353
2023-08-01,sz.301301,8.66580776,8.67545788,8.56930656,8.57895668,4624325
2023-08-02,sz.301301,8.56930656,8.56930656,8.41490464,8.45350512,7487055
2023-08-03,sz.301301,8.43420488,8.59825692,8.40525452,8.55000632,6367004
2023-08-04,sz.301301,8.57895668,8.59825692,8.4921056,8.55000632,4772915
2023-08-07,sz.301301,8.55000632,8.55000632,8.42455476,8.45350512,5225172
2023-08-08,sz.301301,8.45350512,8.71405836,8.38595428,8.60790704,9779890
2023-08-09,sz.301301,8.5403562,8.98426172,8.5403562,8.8781104,27736333
2023-08-10,sz.301301,8.88776052,9.2641152,8.80090944,8.82020968,30602880
2023-08-11,sz.301301,8.85881016,9.13866364,8.7816092,8.9746116,33553856
2023-08-14,sz.301301,8.86846028,9.12901352,8.80090944,8.86846028,20783155
2023-08-15,sz.301301,8.80090944,9.25446508,8.61755716,9.09041304,36813286
2023-08-16,sz.301301,9.0228622,9.19656436,8.8781104,8.95531136,23244630
2023-08-17,sz.301301,8.84916004,8.98426172,8.74300872,8.8781104,14606616
2023-08-18,sz.301301,8.85881016,8.85881016,8.5403562,8.56930656,18835865
2023-08-21,sz.301301,8.55965644,8.6368574,8.43420488,8.46315524,11110971
2023-08-22,sz.301301,8.60790704,8.67545788,8.28945308,8.52105596,15803906
2023-08-23,sz.301301,8.50175572,8.56930656,8.40525452,8.42455476,8222925
2023-08-24,sz.301301,8.52105596,8.69475812,8.43420488,8.56930656,10138087
2023-08-25,sz.301301,8.4921056,8.59825692,8.2991032,8.32805356,10654552
2023-08-28,sz.301301,8.7816092,8.85881016,8.33770368,8.35700392,14974858
2023-08-29,sz.301301,8.2991032,8.59825692,8.28945308,8.59825692,13623940
2023-08-30,sz.301301,8.55000632,8.64650752,8.52105596,8.59825692,9214950
2023-08-31,sz.301301,8.55965644,8.82020968,8.52105596,8.81055956,18894929
2023-09-01,sz.301301,8.7816092,8.81055956,8.67545788,8.79125932,10940741
2023-09-04,sz.301301,8.75265884,8.79125932,8.66580776,8.74300872,8875152
2023-09-05,sz.301301,8.75265884,8.89741064,8.70440824,8.74300872,10547308
2023-09-06,sz.301301,8.69475812,8.7333586,8.61755716,8.685108,7735465
2023-09-07,sz.301301,8.67545788,8.71405836,8.45350512,8.46315524,8758970
2023-09-08,sz.301301,8.45350512,8.55000632,8.42455476,8.48245548,4088189
2023-09-11,sz.301301,8.48245548,8.62720728,8.45350512,8.55965644,6560346
2023-09-12,sz.301301,8.53070608,8.71405836,8.53070608,8.66580776,8524876
2023-09-13,sz.301301,8.62720728,8.685108,8.47280536,8.5403562,6812700
2023-09-14,sz.301301,8.5403562,8.59825692,8.4921056,8.55000632,5072143
2023-09-15,sz.301301,8.61755716,8.85881016,8.59825692,8.75265884,16926546
2023-09-18,sz.301301,8.685108,8.8298598,8.64650752,8.77195908,9746960
2023-09-19,sz.301301,8.69475812,8.86846028,8.685108,8.7333586,9705868
2023-09-20,sz.301301,8.72370848,8.80090944,8.66580776,8.685108,7295406
2023-09-21,sz.301301,8.64650752,8.67545788,8.45350512,8.48245548,8442027
2023-09-22,sz.301301,8.50175572,8.64650752,8.42455476,8.6368574,7705237
2023-09-25,sz.301301,8.57895668,8.85881016,8.55965644,8.77195908,12513200
2023-09-26,sz.301301,8.74300872,8.79125932,8.57895668,8.59825692,7438185
2023-09-27,sz.301301,8.5886068,8.75265884,8.56930656,8.75265884,7760439
2023-09-28,sz.301301,8.76230896,8.77195908,8.69475812,8.71405836,6929261
2023-10-09,sz.301301,8.70440824,8.74300872,8.5886068,8.67545788,6034974
2023-10-10,sz.301301,8.65615764,8.69475812,8.51140584,8.53070608,7738348
2023-10-11,sz.301301,8.52105596,8.8298598,8.52105596,8.72370848,15364282
2023-10-12,sz.301301,8.7333586,8.95531136,8.7333586,8.84916004,15568589
2023-10-13,sz.301301,8.83950992,8.926361,8.7816092,8.83950992,12267614
2023-10-16,sz.301301,8.93601112,8.96496148,8.71405836,8.75265884,10617357
2023-10-17,sz.301301,8.74300872,8.79125932,8.5886068,8.66580776,8479924
2023-10-18,sz.301301,8.61755716,8.66580776,8.3956044,8.3956044,10662215
2023-10-19,sz.301301,8.32805356,8.36665404,8.11575092,8.12540104,11380361
2023-10-20,sz.301301,8.12540104,8.17365164,8.06750032,8.16400152,5987035
2023-10-23,sz.301301,8.09645068,8.1061008,7.720096,7.77799672,10462593
2023-10-24,sz.301301,8.14470128,8.67545788,8.03854996,8.27015284,21805105
2023-10-25,sz.301301,8.48245548,8.60790704,8.31840344,8.38595428,15034423
2023-10-26,sz.301301,8.2991032,8.4921056,8.27980296,8.46315524,9048750
2023-10-27,sz.301301,8.46315524,8.89741064,8.3956044,8.85881016,20732925
2023-10-30,sz.301301,8.7816092,8.9746116,8.75265884,8.82020968,14367499
2023-10-31,sz.301301,8.80090944,9.0228622,8.79125932,8.88776052,14066337
2023-11-01,sz.301301,9.10006316,9.18691424,8.8781104,8.95531136,16765514
2023-11-02,sz.301301,9.00356196,9.0711128,8.85881016,8.86846028,12022011
2023-11-03,sz.301301,8.86846028,9.00356196,8.81055956,8.82020968,9504288
2023-11-06,sz.301301,8.88776052,9.00356196,8.85881016,8.91671088,8527175
2023-11-07,sz.301301,8.91671088,8.926361,8.81055956,8.83950992,7333300
2023-11-08,sz.301301,8.8298598,9.0228622,8.82020968,8.90706076,9211074
2023-11-09,sz.301301,8.86846028,8.99391184,8.74300872,8.7816092,8809754
2023-11-10,sz.301301,8.74300872,8.8781104,8.69475812,8.77195908,6000787
2023-11-13,sz.301301,8.75265884,8.82020968,8.72370848,8.82020968,5312752
2023-11-14,sz.301301,8.79125932,8.88776052,8.76230896,8.80090944,5875196
2023-11-15,sz.301301,8.86846028,9.05181256,8.7816092,8.96496148,14088985
2023-11-16,sz.301301,8.99391184,9.00356196,8.77195908,8.7816092,11477285
2023-11-17,sz.301301,8.77195908,8.96496148,8.72370848,8.93601112,9610307
2023-11-20,sz.301301,8.98426172,9.00356196,8.86846028,8.95531136,9250065
2023-11-21,sz.301301,8.93601112,9.03251232,8.88776052,8.91671088,8578278
2023-11-22,sz.301301,8.89741064,8.94566124,8.84916004,8.88776052,6383658
2023-11-23,sz.301301,8.91671088,9.24481496,8.86846028,9.167614,24667318
2023-11-24,sz.301301,9.167614,9.38956676,8.95531136,9.04216244,20794904
2023-11-27,sz.301301,9.43781736,9.4571176,9.0711128,9.1193634,30478447
2023-11-28,sz.301301,9.03251232,9.167614,8.8298598,8.90706076,20219117
2023-11-29,sz.301301,8.88776052,8.89741064,8.64650752,8.67545788,15448830
2023-11-30,sz.301301,8.6368574,8.72370848,8.50175572,8.70440824,10396255
2023-12-01,sz.301301,8.70440824,8.8781104,8.685108,8.7333586,8585021
2023-12-04,sz.301301,8.70440824,8.7333586,8.55000632,8.56930656,9321700
2023-12-05,sz.301301,8.5403562,8.59825692,8.42455476,8.43420488,7528112
2023-12-06,sz.301301,8.42455476,8.61755716,8.3956044,8.4921056,7009290
2023-12-07,sz.301301,8.4921056,8.4921056,8.3473538,8.37630416,6173134
2023-12-08,sz.301301,8.37630416,8.42455476,8.32805356,8.36665404,6942535
2023-12-11,sz.301301,8.38595428,8.5403562,8.2508526,8.50175572,7765769
2023-12-12,sz.301301,8.48245548,8.55000632,8.45350512,8.50175572,5013761
2023-12-13,sz.301301,8.51140584,8.6368574,8.50175572,8.53070608,7304292
