date,stock_code,open,high,low,close,volume
2023-07-03,sh.601333,3.88102572,4.08683769,3.85162401,3.93002857,88814730
2023-07-04,sh.601333,3.91042743,3.94962971,3.81242173,3.83202287,52849636
2023-07-05,sh.601333,3.8222223,3.85162401,3.77321945,3.79282059,44803574
2023-07-06,sh.601333,3.79282059,3.86142458,3.78302002,3.81242173,40617798
2023-07-07,sh.601333,3.81242173,3.87122515,3.76341888,3.78302002,36661343
2023-07-10,sh.601333,3.8222223,3.8222223,3.73401717,3.76341888,75077176
2023-07-11,sh.601333,3.74381774,3.74381774,3.59680919,3.61641033,117846985
2023-07-12,sh.601333,3.55760691,3.59680919,3.29299152,3.35179494,212882639
2023-07-13,sh.601333,3.37139608,3.41059836,3.27339038,3.31259266,135487474
2023-07-14,sh.601333,3.32239323,3.38119665,3.29299152,3.36159551,85251628
2023-07-17,sh.601333,3.19498582,3.28319095,3.1361824,3.19498582,163070145
2023-07-18,sh.601333,3.19498582,3.29299152,3.12638183,3.25378924,111171558
2023-07-19,sh.601333,3.26358981,3.48900292,3.2341881,3.41059836,155268625
2023-07-20,sh.601333,3.41059836,3.44980064,3.3321938,3.36159551,73686874
2023-07-21,sh.601333,3.34199437,3.40079779,3.31259266,3.34199437,48544036
2023-07-24,sh.601333,3.35179494,3.45960121,3.32239323,3.36159551,48243348
2023-07-25,sh.601333,3.37139608,3.40079779,3.30279209,3.3321938,64131181
2023-07-26,sh.601333,3.31259266,3.32239323,3.26358981,3.30279209,47602488
2023-07-27,sh.601333,3.32239323,3.32239323,3.25378924,3.28319095,61181300
2023-07-28,sh.601333,3.26358981,3.39099722,3.24398867,3.34199437,59789130
2023-07-31,sh.601333,3.34199437,3.38119665,3.30279209,3.3321938,46285124
2023-08-01,sh.601333,3.31259266,3.38119665,3.29299152,3.36159551,51097524
2023-08-02,sh.601333,3.35179494,3.35179494,3.26358981,3.30279209,52831860
2023-08-03,sh.601333,3.28319095,3.36159551,3.28319095,3.3321938,43820734
2023-08-04,sh.601333,3.35179494,3.38119665,3.29299152,3.30279209,53220427
2023-08-07,sh.601333,3.29299152,3.31259266,3.24398867,3.27339038,38215111
2023-08-08,sh.601333,3.25378924,3.35179494,3.24398867,3.30279209,44483136
2023-08-09,sh.601333,3.29299152,3.30279209,3.22438753,3.2341881,46518801
2023-08-10,sh.601333,3.2341881,3.27339038,3.21458696,3.26358981,30319500
2023-08-11,sh.601333,3.27339038,3.27339038,3.17538468,3.17538468,35644368
2023-08-14,sh.601333,3.17538468,3.2341881,3.14598297,3.22438753,31553447
2023-08-15,sh.601333,3.20478639,3.24398867,3.17538468,3.20478639,32185423
2023-08-16,sh.601333,3.20478639,3.20478639,3.1361824,3.16558411,33732174
2023-08-17,sh.601333,3.16558411,3.21458696,3.1361824,3.19498582,41301478
2023-08-18,sh.601333,3.19498582,3.2341881,3.15578354,3.16558411,33146200
2023-08-21,sh.601333,3.15578354,3.19498582,3.10678069,3.10678069,30948379
2023-08-22,sh.601333,3.08717955,3.15578354,3.08717955,3.15578354,33512980
2023-08-23,sh.601333,3.14598297,3.15578354,3.07737898,3.08717955,36660434
2023-08-24,sh.601333,3.09698012,3.11658126,3.05777784,3.06757841,40314051
2023-08-25,sh.601333,3.0381767,3.12638183,3.02837613,3.04797727,37764954
2023-08-28,sh.601333,3.18518525,3.2341881,3.05777784,3.07737898,46339544
2023-08-29,sh.601333,3.05777784,3.12638183,3.0381767,3.12638183,45053253
2023-08-30,sh.601333,3.11658126,3.14598297,3.06757841,3.08717955,49147881
2023-08-31,sh.601333,3.08717955,3.10678069,3.00877499,3.06757841,39009300
2023-09-01,sh.601333,3.05777784,3.15578354,3.05777784,3.1361824,45051242
2023-09-04,sh.601333,3.1361824,3.16558411,3.07737898,3.09698012,77867099
2023-09-05,sh.601333,3.09698012,3.10678069,3.00877499,3.02837613,56504174
2023-09-06,sh.601333,3.01857556,3.02837613,2.96957271,2.99897442,37879800
2023-09-07,sh.601333,2.99897442,3.00877499,2.940171,2.94997157,40086500
2023-09-08,sh.601333,2.94997157,2.95977214,2.90096872,2.91076929,39249901
2023-09-11,sh.601333,2.92056986,2.96957271,2.89116815,2.94997157,71040020
2023-09-12,sh.601333,2.940171,2.97937328,2.87156701,2.940171,77464400
2023-09-13,sh.601333,2.940171,2.94997157,2.89116815,2.92056986,35889302
2023-09-14,sh.601333,2.93037043,2.98917385,2.88136758,2.90096872,61665700
2023-09-15,sh.601333,2.90096872,2.98917385,2.89116815,2.89116815,85223139
