date,stock_code,open,high,low,close,volume
2023-07-03,sh.600816,3.74,3.82,3.73,3.77,10147256.0
2023-07-04,sh.600816,3.79,3.79,3.67,3.69,19327188.0
2023-07-05,sh.600816,3.67,3.72,3.64,3.67,13508012.0
2023-07-06,sh.600816,3.67,3.69,3.64,3.64,12412508.0
2023-07-07,sh.600816,3.63,3.64,3.59,3.61,13902465.0
2023-07-10,sh.600816,3.61,3.67,3.6,3.64,8844186.0
2023-07-11,sh.600816,3.64,3.67,3.63,3.66,5393080.0
2023-07-12,sh.600816,3.65,3.66,3.6,3.61,8617200.0
2023-07-13,sh.600816,3.61,3.64,3.57,3.59,11540068.0
2023-07-14,sh.600816,3.6,3.61,3.57,3.59,9566070.0
2023-07-17,sh.600816,3.67,3.73,3.64,3.72,21658206.0
2023-07-18,sh.600816,3.71,3.74,3.69,3.74,10964248.0
2023-07-19,sh.600816,3.74,3.76,3.68,3.71,7044200.0
2023-07-20,sh.600816,3.72,3.72,3.67,3.68,7833330.0
2023-07-21,sh.600816,3.68,3.7,3.67,3.7,5579132.0
2023-07-24,sh.600816,3.69,3.71,3.67,3.7,8480856.0
2023-07-25,sh.600816,3.72,3.73,3.69,3.71,6595680.0
2023-07-26,sh.600816,3.71,3.72,3.68,3.7,6576607.0
2023-07-27,sh.600816,3.7,3.8,3.69,3.78,16907204.0
2023-07-28,sh.600816,3.81,3.85,3.72,3.83,21030036.0
2023-07-31,sh.600816,3.85,3.92,3.84,3.87,20866077.0
2023-08-01,sh.600816,3.87,3.93,3.81,3.84,21896514.0
2023-08-02,sh.600816,3.81,3.91,3.81,3.91,17178870.0
2023-08-03,sh.600816,3.88,3.95,3.88,3.92,16342876.0
2023-08-04,sh.600816,3.94,3.98,3.91,3.95,21378146.0
2023-08-07,sh.600816,3.92,3.92,3.79,3.8,26031340.0
2023-08-08,sh.600816,3.8,3.84,3.77,3.82,12153291.0
2023-08-09,sh.600816,3.81,3.81,3.75,3.77,10908588.0
2023-08-10,sh.600816,3.77,3.8,3.77,3.77,7907171.0
2023-08-11,sh.600816,3.76,3.78,3.71,3.73,12287060.0
2023-08-14,sh.600816,3.65,3.7,3.64,3.7,16065552.0
2023-08-15,sh.600816,3.7,3.7,3.66,3.68,8100308.0
2023-08-16,sh.600816,3.65,3.71,3.65,3.68,9693300.0
2023-08-17,sh.600816,3.67,3.72,3.66,3.71,11631973.0
2023-08-18,sh.600816,3.71,3.73,3.66,3.67,9086400.0
2023-08-21,sh.600816,3.66,3.68,3.64,3.64,10030184.0
2023-08-22,sh.600816,3.65,3.66,3.47,3.58,23440700.0
2023-08-23,sh.600816,3.58,3.58,3.41,3.45,16938766.0
2023-08-24,sh.600816,3.45,3.47,3.34,3.44,15547329.0
2023-08-25,sh.600816,3.42,3.45,3.4,3.42,11435828.0
2023-08-28,sh.600816,3.56,3.58,3.37,3.38,18728076.0
2023-08-29,sh.600816,3.37,3.48,3.34,3.45,14775036.0
2023-08-30,sh.600816,3.44,3.46,3.42,3.43,7414793.0
2023-08-31,sh.600816,3.43,3.44,3.38,3.38,10564218.0
