date,stock_code,open,high,low,close,volume
2023-07-03,sh.600153,8.85037536,8.85037536,8.74539828,8.8019244,13536679
2023-07-04,sh.600153,8.80999956,8.80999956,8.6000454,8.68887216,21571770
2023-07-05,sh.600153,8.68887216,8.72924796,8.58389508,8.6000454,19162045
2023-07-06,sh.600153,8.60004485,8.63496889,8.35557657,8.47781071,20477650
2023-07-07,sh.600153,8.46034869,8.53019677,8.36430758,8.41669364,15711962
2023-07-10,sh.600153,8.42542465,8.4690797,8.15476334,8.22461142,36573435
2023-07-11,sh.600153,8.25953546,8.32065253,8.10237728,8.17222536,19533413
2023-07-12,sh.600153,8.16349435,8.19841839,8.04126021,8.04999122,23516592
2023-07-13,sh.600153,8.06745324,8.11110829,8.0325292,8.10237728,16333700
2023-07-14,sh.600153,8.09364627,8.09364627,7.98887415,7.99760516,21957519
2023-07-17,sh.600153,8.02379819,8.02379819,7.89283304,7.90156405,18112209
2023-07-18,sh.600153,7.87537102,7.98014314,7.80552294,7.95395011,19910975
2023-07-19,sh.600153,7.91902607,7.98014314,7.90156405,7.96268112,13863600
2023-07-20,sh.600153,7.96268112,8.25080445,7.95395011,8.0325292,29791342
2023-07-21,sh.600153,8.0325292,8.12857031,7.98887415,8.11110829,15629627
2023-07-24,sh.600153,8.10237728,8.1198393,7.96268112,8.02379819,10679405
2023-07-25,sh.600153,8.2071494,8.54765879,8.18095637,8.52146576,52160710
2023-07-26,sh.600153,8.50400374,8.63496889,8.46034869,8.5563898,28903817
2023-07-27,sh.600153,8.4690797,8.62623788,8.43415566,8.5563898,27009755
2023-07-28,sh.600153,8.53892778,8.9929403,8.49527273,8.88816818,43544254
2023-07-31,sh.600153,9.30725666,9.7787312,9.30725666,9.7787312,89485340
2023-08-01,sh.600153,9.59537999,10.2152817,9.43822181,9.9533514,119672662
2023-08-02,sh.600153,9.84857928,10.25020574,9.79619322,9.99700645,72265382
2023-08-03,sh.600153,10.0406615,10.11050958,9.72634514,10.04939251,44753914
2023-08-04,sh.600153,10.11050958,10.54706008,9.98827544,10.01446847,70310153
2023-08-07,sh.600153,9.90096534,9.92715837,9.63030403,9.71761413,45149654
2023-08-08,sh.600153,9.72634514,9.78746221,9.58664898,9.61284201,24299062
2023-08-09,sh.600153,9.604111,9.87477231,9.59537999,9.66522807,37049825
2023-08-10,sh.600153,9.68269009,9.81365524,9.64776605,9.67395908,22693440
2023-08-11,sh.600153,9.77000019,9.87477231,9.53426292,9.62157302,29559827
2023-08-14,sh.600153,9.47314585,9.63030403,9.39456676,9.54299393,20333181
2023-08-15,sh.600153,9.45568383,9.64776605,9.40329777,9.52553191,20843018
2023-08-16,sh.600153,9.5168009,9.84857928,9.42075979,9.73507615,35173956
2023-08-17,sh.600153,9.68269009,9.85731029,9.63030403,9.83111726,23107153
2023-08-18,sh.600153,9.78746221,10.2152817,9.7787312,9.9533514,38716975
2023-08-21,sh.600153,9.90969635,9.90969635,9.59537999,9.604111,21926172
2023-08-22,sh.600153,9.59537999,9.73507615,9.49060787,9.68269009,17145558
2023-08-23,sh.600153,9.61284201,9.70888312,9.56045595,9.604111,11104298
2023-08-24,sh.600153,9.63903504,9.70015211,9.4294908,9.47314585,19863129
2023-08-25,sh.600153,9.48187686,9.76126918,9.41202878,9.5168009,19632730
2023-08-28,sh.600153,10.11924059,10.36370887,9.84857928,9.97081342,60953780
2023-08-29,sh.600153,9.89223433,10.09304756,9.73507615,9.99700645,36221425
2023-08-30,sh.600153,9.91842736,10.26766776,9.83111726,9.8660413,41674046
2023-08-31,sh.600153,9.54299393,9.92715837,9.31598767,9.48187686,52522252
2023-09-01,sh.600153,9.48187686,9.68269009,9.28979464,9.39456676,33464927
2023-09-04,sh.600153,9.49060787,9.90969635,9.46441484,9.52553191,44403125
2023-09-05,sh.600153,9.604111,9.604111,9.14136747,9.22867757,34431917
2023-09-06,sh.600153,9.2548706,9.4294908,9.09771242,9.37710474,28366134
2023-09-07,sh.600153,9.37710474,9.50806989,9.30725666,9.39456676,14818342
2023-09-08,sh.600153,9.3421807,9.45568383,9.26360161,9.38583575,9371600
2023-09-11,sh.600153,9.37710474,9.41202878,9.21994656,9.2548706,12950881
2023-09-12,sh.600153,9.26360161,9.28106363,9.15009848,9.17629151,11253209
2023-09-13,sh.600153,9.43822181,9.56045595,9.21994656,9.26360161,44783740
2023-09-14,sh.600153,9.22867757,9.31598767,9.12390545,9.21121555,17865181
2023-09-15,sh.600153,9.22867757,9.37710474,9.1675605,9.1675605,14585780
2023-09-18,sh.600153,9.13263646,9.18502252,8.94928525,9.02786434,24783305
2023-09-19,sh.600153,9.02786434,9.11517444,8.9929403,9.0802504,19104283
2023-09-20,sh.600153,9.07151939,9.07151939,8.93182323,8.94055424,16886712
2023-09-21,sh.600153,8.95801626,9.10644343,8.93182323,8.97547828,13896905
2023-09-22,sh.600153,8.93182323,9.01913333,8.89689919,8.9929403,11771300
2023-09-25,sh.600153,9.00167131,9.00167131,8.85324414,8.87943717,13725378
2023-09-26,sh.600153,8.86197515,8.94055424,8.73101,8.75720303,24232890
2023-09-27,sh.600153,8.74847202,8.84451313,8.62623788,8.6436999,21589682
2023-09-28,sh.600153,8.6436999,8.74847202,8.6436999,8.66116192,13027255
2023-10-09,sh.600153,8.66116192,8.69608596,8.51273475,8.5563898,14149618
2023-10-10,sh.600153,8.54765879,8.60877586,8.45161768,8.47781071,12565200
2023-10-11,sh.600153,8.46034869,8.52146576,8.36430758,8.37303859,17497191
2023-10-12,sh.600153,8.3817696,8.45161768,8.3817696,8.41669364,17088531
2023-10-13,sh.600153,8.37303859,8.40796263,8.26826647,8.32938354,13201832
2023-10-16,sh.600153,8.31192152,8.37303859,8.25953546,8.32065253,12317601
2023-10-17,sh.600153,8.32938354,8.32938354,8.17222536,8.25080445,11033852
2023-10-18,sh.600153,8.23334243,8.25953546,8.10237728,8.12857031,10763613
2023-10-19,sh.600153,8.10237728,8.12857031,7.96268112,7.96268112,14926840
2023-10-20,sh.600153,7.97141213,8.11110829,7.9452191,8.04999122,11077707
2023-10-23,sh.600153,8.35557657,8.41669364,8.00633617,8.05872223,41917377
2023-10-24,sh.600153,8.07618425,8.33811455,8.04999122,8.28572849,29281542
2023-10-25,sh.600153,8.39050061,8.60877586,8.31192152,8.48654172,25132572
2023-10-26,sh.600153,8.44288667,8.47781071,8.25080445,8.34684556,17994289
2023-10-27,sh.600153,8.34684556,8.53892778,8.32938354,8.36430758,16633800
2023-10-30,sh.600153,8.33811455,8.44288667,8.24207344,8.2944595,25511434
2023-10-31,sh.600153,8.41669364,8.67862394,8.32938354,8.54765879,55258939
2023-11-01,sh.600153,8.5563898,8.65243091,8.44288667,8.57385182,38127224
2023-11-02,sh.600153,8.5563898,8.60877586,8.49527273,8.52146576,19622700
2023-11-03,sh.600153,8.53019677,8.5563898,8.40796263,8.42542465,26939648
2023-11-06,sh.600153,8.45161768,8.50400374,8.32938354,8.47781071,31431150
2023-11-07,sh.600153,8.44288667,8.51273475,8.34684556,8.39050061,24710215
2023-11-08,sh.600153,8.36430758,8.46034869,8.31192152,8.35557657,20706296
2023-11-09,sh.600153,8.35557657,8.4690797,8.35557657,8.42542465,21464553
2023-11-10,sh.600153,8.3817696,8.39923162,8.14603233,8.18095637,26356900
2023-11-13,sh.600153,8.21588041,8.21588041,8.10237728,8.18095637,17412449
2023-11-14,sh.600153,8.17222536,8.37303859,8.16349435,8.2944595,22143723
2023-11-15,sh.600153,8.44288667,8.45161768,8.33811455,8.36430758,21374307
2023-11-16,sh.600153,8.3817696,8.39050061,8.26826647,8.32938354,13282104
2023-11-17,sh.600153,8.2944595,8.32065253,8.19841839,8.25953546,14154942
2023-11-20,sh.600153,8.2944595,8.33811455,8.22461142,8.24207344,16937046
2023-11-21,sh.600153,8.26826647,8.72227899,8.24207344,8.44288667,49237614
2023-11-22,sh.600153,8.41669364,8.51273475,8.3817696,8.39050061,19887645
2023-11-23,sh.600153,8.39050061,8.66116192,8.31192152,8.59131384,32063380
2023-11-24,sh.600153,8.60004485,8.80085808,8.52146576,8.56512081,27844744
2023-11-27,sh.600153,8.53019677,8.54765879,8.40796263,8.44288667,24445736
2023-11-28,sh.600153,8.43415566,8.48654172,8.3817696,8.46034869,16860331
2023-11-29,sh.600153,8.44288667,8.4690797,8.18968738,8.23334243,27959808
2023-11-30,sh.600153,8.22461142,8.28572849,8.18968738,8.26826647,15283312
2023-12-01,sh.600153,8.26826647,8.41669364,8.23334243,8.39050061,18833057
2023-12-04,sh.600153,8.39050061,8.43415566,8.32065253,8.33811455,16039785
2023-12-05,sh.600153,8.31192152,8.39923162,8.25080445,8.26826647,13524300
2023-12-06,sh.600153,8.23334243,8.34684556,8.18095637,8.32938354,14891086
2023-12-07,sh.600153,8.30319051,8.42542465,8.26826647,8.39050061,18661245
2023-12-08,sh.600153,8.39923162,8.48654172,8.33811455,8.33811455,24994708
2023-12-11,sh.600153,8.33811455,8.52146576,8.19841839,8.46034869,33763930
2023-12-12,sh.600153,8.42542465,8.73101,8.42542465,8.71354798,36092463
2023-12-13,sh.600153,8.71354798,8.74847202,8.56512081,8.59131384,21249129
2023-12-14,sh.600153,8.6436999,8.69608596,8.53892778,8.5563898,13323400
2023-12-15,sh.600153,8.62623788,8.65243091,8.46034869,8.48654172,17441392
2023-12-18,sh.600153,8.47781071,8.62623788,8.45161768,8.51273475,17328416
2023-12-19,sh.600153,8.47781071,8.51273475,8.33811455,8.40796263,16558037
2023-12-20,sh.600153,8.41669364,8.43415566,8.33811455,8.33811455,10899346
2023-12-21,sh.600153,8.32065253,8.39050061,8.23334243,8.27699748,19619404
2023-12-22,sh.600153,8.26826647,8.42542465,8.17222536,8.39923162,21826565
2023-12-25,sh.600153,8.37303859,8.40796263,8.18968738,8.23334243,22545408
2023-12-26,sh.600153,8.23334243,8.30319051,8.19841839,8.21588041,13362762
2023-12-27,sh.600153,8.23334243,8.25080445,8.13730132,8.23334243,10670735
2023-12-28,sh.600153,8.21588041,8.39923162,8.16349435,8.39923162,20497757
2023-12-29,sh.600153,8.40796263,8.47781071,8.3817696,8.40796263,14134391
2024-01-02,sh.600153,8.42542465,8.42542465,8.32065253,8.34684556,21809826
2024-01-03,sh.600153,8.32065253,8.65243091,8.32065253,8.53019677,41030933
2024-01-04,sh.600153,8.48654172,8.53892778,8.42542465,8.51273475,20164700
2024-01-05,sh.600153,8.54765879,8.80085808,8.51273475,8.63496889,37448490
2024-01-08,sh.600153,8.66116192,8.78339606,8.56512081,8.58258283,31564350
2024-01-09,sh.600153,8.53892778,8.67862394,8.47781071,8.60004485,19365294
2024-01-10,sh.600153,8.56512081,8.68735495,8.54765879,8.66116192,19259570
2024-01-11,sh.600153,8.66116192,8.66989293,8.54765879,8.59131384,22039284
2024-01-12,sh.600153,8.61750687,8.72227899,8.57385182,8.66116192,19055653
2024-01-15,sh.600153,8.61750687,8.93182323,8.60004485,8.89689919,31598749
2024-01-16,sh.600153,8.86197515,8.9056302,8.72227899,8.80085808,27137071
2024-01-17,sh.600153,8.77466505,8.80085808,8.58258283,8.60004485,20057028
2024-01-18,sh.600153,8.58258283,8.58258283,8.25080445,8.46034869,34176808
2024-01-19,sh.600153,8.42542465,8.61750687,8.3817696,8.45161768,22598700
2024-01-22,sh.600153,8.42542465,8.45161768,8.11110829,8.18968738,30473517
2024-01-23,sh.600153,8.18095637,8.23334243,7.9452191,8.19841839,25198518
2024-01-24,sh.600153,8.21588041,8.48654172,8.12857031,8.45161768,27649481
2024-01-25,sh.600153,8.46034869,8.98420929,8.43415566,8.95801626,48871513
2024-01-26,sh.600153,8.91436121,9.15009848,8.91436121,9.01913333,39817382
2024-01-29,sh.600153,9.19375353,9.32471868,9.03659535,9.05405737,48137078
2024-01-30,sh.600153,9.01040232,9.12390545,8.82705111,8.86197515,31854994
2024-01-31,sh.600153,8.70481697,8.70481697,8.3817696,8.42542465,55216595
2024-02-01,sh.600153,8.45161768,8.5563898,8.31192152,8.33811455,37980469
2024-02-02,sh.600153,8.32938354,8.56512081,8.09364627,8.35557657,40038035
2024-02-05,sh.600153,8.2944595,8.30319051,7.98887415,8.11110829,53321401
2024-02-06,sh.600153,8.09364627,8.51273475,7.98887415,8.50400374,55813640
2024-02-07,sh.600153,8.45161768,8.79212707,8.3817696,8.79212707,60631893
2024-02-08,sh.600153,8.80085808,9.11517444,8.79212707,8.84451313,56275266
2024-02-19,sh.600153,9.00167131,9.02786434,8.70481697,8.84451313,45713559
2024-02-20,sh.600153,8.76593404,8.98420929,8.76593404,8.93182323,32433997
2024-02-21,sh.600153,8.91436121,9.1675605,8.8183201,8.96674727,45400908
2024-02-22,sh.600153,8.95801626,9.01913333,8.86197515,9.00167131,31934415
2024-02-23,sh.600153,9.01913333,9.09771242,8.9056302,8.95801626,29614411
2024-02-26,sh.600153,8.9929403,9.01913333,8.84451313,8.86197515,32297890
2024-02-27,sh.600153,8.86197515,8.96674727,8.82705111,8.95801626,31489273
2024-02-28,sh.600153,8.94928525,9.09771242,8.87070616,8.92309222,46060794
2024-02-29,sh.600153,8.87070616,9.08898141,8.84451313,9.08898141,37882788
2024-03-01,sh.600153,9.08898141,9.18502252,8.94928525,9.01040232,35564848
2024-03-04,sh.600153,8.98420929,8.9929403,8.73101,8.78339606,51527033
2024-03-05,sh.600153,8.75720303,8.77466505,8.59131384,8.67862394,41336619
2024-03-06,sh.600153,8.67862394,8.73974101,8.62623788,8.68735495,29049968
2024-03-07,sh.600153,8.66989293,8.73974101,8.6436999,8.6436999,25738827
2024-03-08,sh.600153,8.65243091,8.66989293,8.56512081,8.65243091,24063969
2024-03-11,sh.600153,8.65243091,8.92309222,8.6436999,8.88816818,43523568
2024-03-12,sh.600153,8.88816818,9.03659535,8.77466505,8.9929403,45868073
2024-03-13,sh.600153,8.94928525,9.00167131,8.83578212,8.83578212,26125906
2024-03-14,sh.600153,8.87943717,9.04532636,8.83578212,9.02786434,51070571
