date,stock_code,open,high,low,close,volume
2023-07-03,sh.600707,4.8,5.15,4.77,4.93,56986535
2023-07-04,sh.600707,4.92,5.18,4.91,5.16,58763173
2023-07-05,sh.600707,5.16,5.47,5.08,5.3,84627673
2023-07-06,sh.600707,5.28,5.83,5.28,5.83,90406239
2023-07-07,sh.600707,5.9,5.91,5.54,5.72,171808185
2023-07-10,sh.600707,5.76,5.81,5.6,5.7,76709524
2023-07-11,sh.600707,5.74,6.04,5.69,5.84,95444838
2023-07-12,sh.600707,5.88,6.18,5.84,6.01,92342617
2023-07-13,sh.600707,6.02,6.18,5.9,6.06,70859874
2023-07-14,sh.600707,6.5,6.67,6.39,6.67,121039493
2023-07-17,sh.600707,6.86,6.99,6.61,6.88,151877487
2023-07-18,sh.600707,6.66,6.83,6.46,6.74,136580711
2023-07-19,sh.600707,6.58,6.63,6.43,6.56,80259507
2023-07-20,sh.600707,6.6,6.66,6.2,6.33,82177054
2023-07-21,sh.600707,6.27,6.55,6.25,6.44,84902525
2023-07-24,sh.600707,6.44,6.69,6.36,6.43,70303617
2023-07-25,sh.600707,6.49,6.58,6.3,6.38,55523589
2023-07-26,sh.600707,6.38,6.52,6.23,6.4,50231518
2023-07-27,sh.600707,6.41,6.53,6.34,6.48,45264562
2023-07-28,sh.600707,6.45,6.54,6.4,6.41,41705000
2023-07-31,sh.600707,6.39,6.47,6.32,6.35,42604764
2023-08-01,sh.600707,6.39,6.47,6.31,6.44,37489975
2023-08-02,sh.600707,6.4,6.5,6.39,6.46,24196819
2023-08-03,sh.600707,6.4,6.51,6.36,6.49,26360479
2023-08-04,sh.600707,6.5,6.62,6.43,6.52,33387902
2023-08-07,sh.600707,6.57,6.64,6.45,6.5,24262728
2023-08-08,sh.600707,6.45,6.54,6.34,6.39,30426070
2023-08-09,sh.600707,6.22,6.36,6.21,6.26,30861644
2023-08-10,sh.600707,6.24,6.4,6.22,6.35,17576438
2023-08-11,sh.600707,6.35,6.36,6.06,6.06,26589360
2023-08-14,sh.600707,6.06,6.2,6.0,6.18,25509356
2023-08-15,sh.600707,6.12,6.25,6.05,6.13,16040700
2023-08-16,sh.600707,6.13,6.15,6.0,6.04,15504864
2023-08-17,sh.600707,6.02,6.14,5.97,6.1,12437284
2023-08-18,sh.600707,6.08,6.12,5.95,5.96,15373648
2023-08-21,sh.600707,5.96,6.09,5.9,5.94,14459974
2023-08-22,sh.600707,5.96,6.06,5.89,6.01,12898693
2023-08-23,sh.600707,6.02,6.03,5.89,5.9,10897800
2023-08-24,sh.600707,5.93,6.0,5.85,5.86,14412100
2023-08-25,sh.600707,5.88,5.91,5.71,5.77,14687953
2023-08-28,sh.600707,6.03,6.11,5.73,5.77,20060574
2023-08-29,sh.600707,5.78,5.98,5.76,5.95,24192400
2023-08-30,sh.600707,5.98,6.19,5.95,6.08,35314565
2023-08-31,sh.600707,6.09,6.14,6.04,6.06,24723654
2023-09-01,sh.600707,6.12,6.16,6.05,6.11,19439490
2023-09-04,sh.600707,6.15,6.24,6.11,6.19,24024612
2023-09-05,sh.600707,6.2,6.26,6.16,6.22,22142569
2023-09-06,sh.600707,6.2,6.3,6.15,6.28,16090710
2023-09-07,sh.600707,6.26,6.26,6.09,6.11,17829890
