date,stock_code,open,high,low,close,volume
2023-07-03,sh.601155,14.4,14.61,14.28,14.36,20182590
2023-07-04,sh.601155,14.29,14.35,13.92,14.08,22391913
2023-07-05,sh.601155,14.05,14.32,13.97,14.09,16796542
2023-07-06,sh.601155,14.09,14.33,13.87,14.2,20284557
2023-07-07,sh.601155,14.01,14.38,13.91,13.95,18700359
2023-07-10,sh.601155,13.97,14.15,13.88,14.01,11380046
2023-07-11,sh.601155,14.29,14.43,13.83,13.91,23373993
2023-07-12,sh.601155,13.86,13.88,13.65,13.68,18038433
2023-07-13,sh.601155,13.76,14.03,13.71,13.96,18071229
2023-07-14,sh.601155,14.01,14.01,13.75,13.85,11993835
2023-07-17,sh.601155,13.77,13.86,13.59,13.85,8666490
2023-07-18,sh.601155,13.75,14.08,13.66,13.88,13062111
2023-07-19,sh.601155,13.85,14.38,13.8,14.35,29262967
2023-07-20,sh.601155,14.37,14.87,14.35,14.52,33521684
2023-07-21,sh.601155,14.5,14.78,14.4,14.66,27015489
2023-07-24,sh.601155,14.8,14.8,14.05,14.26,29394291
2023-07-25,sh.601155,14.75,15.69,14.75,15.69,55748037
2023-07-26,sh.601155,15.95,16.48,15.8,16.21,90095416
2023-07-27,sh.601155,15.89,16.47,15.6,16.01,60661085
2023-07-28,sh.601155,15.99,16.54,15.74,16.3,68827249
2023-07-31,sh.601155,16.79,17.16,16.36,16.44,74176168
2023-08-01,sh.601155,16.22,16.69,16.06,16.12,48992388
2023-08-02,sh.601155,16.15,16.68,16.12,16.26,38069798
2023-08-03,sh.601155,16.17,16.97,15.89,16.87,57691513
2023-08-04,sh.601155,17.4,17.59,16.55,16.63,57676527
2023-08-07,sh.601155,16.33,16.37,15.88,16.01,36136806
2023-08-08,sh.601155,16.01,16.1,15.53,15.6,31030843
2023-08-09,sh.601155,15.6,15.9,15.48,15.55,22897767
2023-08-10,sh.601155,15.56,15.77,15.39,15.57,19080307
2023-08-11,sh.601155,15.7,16.09,15.25,15.44,37187123
2023-08-14,sh.601155,14.9,15.27,14.65,15.01,30722866
