date,stock_code,open,high,low,close,volume
2023-07-03,sh.600956,8.49283209,8.6582137,8.49283209,8.59011539,5285202
2023-07-04,sh.600956,8.57065873,8.60957205,8.54147374,8.5609304,3575200
2023-07-05,sh.600956,8.57065873,8.63875704,8.55120207,8.58038706,3174348
2023-07-06,sh.600956,8.57065873,8.63875704,8.51228875,8.5609304,3136948
2023-07-07,sh.600956,8.55120207,8.63875704,8.47337543,8.5609304,3395892
2023-07-10,sh.600956,8.59984372,8.74576867,8.59984372,8.6582137,5599802
2023-07-11,sh.600956,8.6582137,8.69712702,8.58038706,8.68739869,4483391
2023-07-12,sh.600956,8.68739869,8.73604034,8.63875704,8.67767036,2813620
2023-07-13,sh.600956,8.67767036,8.81386698,8.6582137,8.755497,4518895
2023-07-14,sh.600956,8.71658368,8.78468199,8.54147374,8.55120207,4739200
2023-07-17,sh.600956,8.50256042,8.58038706,8.47337543,8.55120207,2760800
2023-07-18,sh.600956,8.53174541,8.60957205,8.48310376,8.5609304,2439664
2023-07-19,sh.600956,8.52201708,8.61930038,8.52201708,8.60957205,2141397
2023-07-20,sh.600956,8.59984372,8.60957205,8.44419044,8.45391877,2492484
2023-07-21,sh.600956,8.47337543,8.51228875,8.40527712,8.44419044,2157352
2023-07-24,sh.600956,8.4636471,8.59984372,8.38582046,8.54147374,3272000
2023-07-25,sh.600956,8.54147374,8.60957205,8.53174541,8.59011539,2499700
2023-07-26,sh.600956,8.59011539,8.63875704,8.54147374,8.63875704,2529562
2023-07-27,sh.600956,8.64848537,8.69712702,8.58038706,8.60957205,2813200
2023-07-28,sh.600956,8.59984372,8.67767036,8.55120207,8.6582137,2853100
2023-07-31,sh.600956,8.66794203,8.73604034,8.63875704,8.71658368,3359898
2023-08-01,sh.600956,8.73604034,8.79441032,8.67767036,8.76522533,3901516
2023-08-02,sh.600956,8.755497,8.80413865,8.69712702,8.71658368,2885537
2023-08-03,sh.600956,8.71658368,8.755497,8.67767036,8.71658368,2301417
2023-08-04,sh.600956,8.755497,8.79441032,8.6582137,8.66794203,3049246
2023-08-07,sh.600956,8.67767036,8.71658368,8.59984372,8.61930038,2815961
2023-08-08,sh.600956,8.62902871,8.68739869,8.57065873,8.60957205,1933300
2023-08-09,sh.600956,8.60957205,8.61930038,8.45391877,8.50256042,3710324
2023-08-10,sh.600956,8.55120207,8.76522533,8.53174541,8.755497,8314588
2023-08-11,sh.600956,8.77495366,8.77495366,8.42473378,8.42473378,8102900
2023-08-14,sh.600956,8.38582046,8.42473378,8.27880883,8.35663547,3105420
2023-08-15,sh.600956,8.37609213,8.41500545,8.28853716,8.31772215,2753162
2023-08-16,sh.600956,8.31772215,8.35663547,8.27880883,8.29826549,1860041
2023-08-17,sh.600956,8.31772215,8.34690714,8.1717972,8.28853716,2845046
2023-08-18,sh.600956,8.33717881,8.44419044,8.27880883,8.32745048,3656300
2023-08-21,sh.600956,8.31772215,8.40527712,8.23989551,8.2690805,2663000
2023-08-22,sh.600956,8.24962384,8.35663547,8.0745139,8.16206887,3770536
2023-08-23,sh.600956,8.23016718,8.24962384,8.11342722,8.12315555,2871600
2023-08-24,sh.600956,8.13288388,8.18152553,7.98695893,8.08424223,3021349
2023-08-25,sh.600956,8.09397056,8.24962384,8.00641559,8.15234054,3141508
2023-08-28,sh.600956,8.40527712,8.47337543,8.22043885,8.23016718,4800569
2023-08-29,sh.600956,8.22043885,8.2690805,8.16206887,8.24962384,4968700
2023-08-30,sh.600956,8.23989551,8.27880883,8.10369889,8.11342722,5344892
2023-08-31,sh.600956,8.09397056,8.20098219,8.00641559,8.01614392,4788002
2023-09-01,sh.600956,7.99668726,8.15234054,7.99668726,8.01614392,2964500
2023-09-04,sh.600956,8.04532891,8.18152553,7.98695893,8.1717972,5894726
2023-09-05,sh.600956,8.16206887,8.30799382,8.14261221,8.27880883,4868316
2023-09-06,sh.600956,8.28853716,8.34690714,8.20098219,8.2690805,3576328
2023-09-07,sh.600956,8.25935217,8.2690805,8.13288388,8.13288388,3131300
2023-09-08,sh.600956,8.14261221,8.25935217,8.09397056,8.21071052,3136600
2023-09-11,sh.600956,8.31772215,8.31772215,8.1717972,8.22043885,3396100
2023-09-12,sh.600956,8.21071052,8.23016718,8.14261221,8.15234054,2258600
2023-09-13,sh.600956,8.15234054,8.23016718,8.12315555,8.14261221,2412800
2023-09-14,sh.600956,8.16206887,8.20098219,8.11342722,8.16206887,3519609
2023-09-15,sh.600956,8.20098219,8.23016718,8.09397056,8.12315555,3215100
2023-09-18,sh.600956,8.0745139,8.14261221,8.02587225,8.11342722,2392530
2023-09-19,sh.600956,8.10369889,8.14261221,8.0745139,8.11342722,1969800
2023-09-20,sh.600956,8.09397056,8.1717972,8.09397056,8.11342722,2158200
2023-09-21,sh.600956,8.09397056,8.18152553,8.02587225,8.02587225,2992000
2023-09-22,sh.600956,7.99668726,8.09397056,7.95777394,8.01614392,4423701
2023-09-25,sh.600956,8.01614392,8.02587225,7.95777394,7.9772306,3045100
2023-09-26,sh.600956,7.95777394,8.00641559,7.93831728,7.94804561,1955506
2023-09-27,sh.600956,7.95777394,7.9772306,7.89940396,7.89940396,2979300
2023-09-28,sh.600956,7.93831728,8.01614392,7.90913229,7.98695893,3186328
2023-10-09,sh.600956,7.98695893,8.23016718,7.92858895,8.1717972,8532558
2023-10-10,sh.600956,8.10369889,8.23016718,8.10369889,8.20098219,7078719
2023-10-11,sh.600956,8.19125386,8.19125386,7.99668726,8.00641559,5644300
2023-10-12,sh.600956,8.00641559,8.0745139,7.9772306,8.06478557,3417411
2023-10-13,sh.600956,8.05505724,8.06478557,7.96750227,8.05505724,3160800
2023-10-16,sh.600956,8.05505724,8.1717972,8.02587225,8.16206887,4404467
2023-10-17,sh.600956,8.13288388,8.22043885,8.10369889,8.18152553,3471889
2023-10-18,sh.600956,8.23016718,8.23016718,8.04532891,8.06478557,2581300
2023-10-19,sh.600956,8.0745139,8.13288388,7.90913229,7.91886062,3941300
2023-10-20,sh.600956,7.89940396,7.99668726,7.8799473,7.93831728,2087748
2023-10-23,sh.600956,7.93831728,7.94804561,7.5880974,7.5880974,5086292
2023-10-24,sh.600956,7.62701072,7.81184899,7.54918408,7.77293567,3305800
2023-10-25,sh.600956,7.88967563,7.9772306,7.81184899,7.94804561,3422100
2023-10-26,sh.600956,7.90913229,7.9772306,7.8799473,7.95777394,2383600
2023-10-27,sh.600956,7.95777394,8.10369889,7.93831728,8.04532891,3867950
2023-10-30,sh.600956,8.04532891,8.10369889,7.99668726,8.06478557,3075800
2023-10-31,sh.600956,8.11342722,8.11342722,8.00641559,8.03560058,1887595
2023-11-01,sh.600956,8.06478557,8.10369889,8.02587225,8.05505724,3002400
2023-11-02,sh.600956,8.09397056,8.13288388,8.04532891,8.09397056,3328690
2023-11-03,sh.600956,8.05505724,8.11342722,8.03560058,8.04532891,2577900
2023-11-06,sh.600956,8.05505724,8.10369889,8.02587225,8.03560058,3905600
2023-11-07,sh.600956,8.03560058,8.05505724,7.98695893,8.01614392,2327300
2023-11-08,sh.600956,8.00641559,8.03560058,7.81184899,7.84103398,8143523
2023-11-09,sh.600956,7.83130565,7.85076231,7.76320734,7.76320734,4116600
2023-11-10,sh.600956,7.77293567,7.86049064,7.70483736,7.782664,4366411
2023-11-13,sh.600956,7.782664,7.83130565,7.69510903,7.72429402,5872098
2023-11-14,sh.600956,7.71456569,7.75347901,7.70483736,7.74375068,3220481
2023-11-15,sh.600956,7.76320734,7.87021897,7.76320734,7.86049064,5284180
2023-11-16,sh.600956,7.86049064,7.86049064,7.70483736,7.70483736,3959700
2023-11-17,sh.600956,7.71456569,7.73402235,7.64646738,7.6853807,2755672
2023-11-20,sh.600956,7.66592404,7.75347901,7.66592404,7.71456569,3101100
2023-11-21,sh.600956,7.69510903,7.75347901,7.69510903,7.71456569,2749537
2023-11-22,sh.600956,7.72429402,7.72429402,7.64646738,7.64646738,2472362
2023-11-23,sh.600956,7.64646738,7.66592404,7.60755406,7.65619571,2494400
2023-11-24,sh.600956,7.65619571,7.6853807,7.60755406,7.62701072,2358762
2023-11-27,sh.600956,7.64646738,7.73402235,7.55891241,7.71456569,4022974
2023-11-28,sh.600956,7.69510903,7.69510903,7.59782573,7.67565237,2443749
2023-11-29,sh.600956,7.67565237,7.6853807,7.59782573,7.60755406,1816200
2023-11-30,sh.600956,7.60755406,7.67565237,7.5880974,7.62701072,2187444
2023-12-01,sh.600956,7.64646738,7.69510903,7.60755406,7.62701072,2562250
2023-12-04,sh.600956,7.61728239,7.71456569,7.59782573,7.6853807,3656679
