date,stock_code,open,high,low,close,volume
2023-07-03,sh.600516,6.14557437,6.19521552,6.13564614,6.19521552,19355398
2023-07-04,sh.600516,6.17535906,6.20514375,6.1555026,6.17535906,13055609
2023-07-05,sh.600516,6.14557437,6.27464136,6.14557437,6.22500021,28730848
2023-07-06,sh.600516,6.20514375,6.23492844,6.16543083,6.17535906,14248319
2023-07-07,sh.600516,6.16543083,6.22500021,6.1555026,6.20514375,11327234
2023-07-10,sh.600516,6.21507198,6.23492844,6.17535906,6.19521552,9778251
2023-07-11,sh.600516,6.19521552,6.22500021,6.17535906,6.22500021,11599591
2023-07-12,sh.600516,6.21507198,6.22500021,6.17535906,6.17535906,10333711
2023-07-13,sh.600516,6.21507198,6.27464136,6.19521552,6.26471313,26883701
2023-07-14,sh.600516,6.28456959,6.28456959,6.20514375,6.22500021,15067635
2023-07-17,sh.600516,6.12571791,6.1555026,5.93708154,5.94700977,121632363
2023-07-18,sh.600516,5.96686623,6.01650738,5.94700977,5.98672269,41057796
2023-07-19,sh.600516,5.97679446,5.98672269,5.87751216,5.92715331,63302329
2023-07-20,sh.600516,5.92715331,5.96686623,5.89736862,5.90729685,21923870
2023-07-21,sh.600516,5.88744039,5.956938,5.88744039,5.92715331,17135274
2023-07-24,sh.600516,5.92715331,5.92715331,5.88744039,5.89736862,14344859
2023-07-25,sh.600516,5.93708154,5.99665092,5.92715331,5.99665092,27401245
2023-07-26,sh.600516,6.00657915,6.03636384,5.956938,6.02643561,26438574
2023-07-27,sh.600516,6.03636384,6.07607676,6.00657915,6.02643561,22078925
2023-07-28,sh.600516,6.02643561,6.09593322,6.00657915,6.08600499,31704908
2023-07-31,sh.600516,6.09593322,6.17535906,6.08600499,6.1555026,32228932
2023-08-01,sh.600516,6.17535906,6.24485667,6.13564614,6.22500021,43414517
2023-08-02,sh.600516,6.28456959,6.52284711,6.2547849,6.38385189,115162923
2023-08-03,sh.600516,6.31435428,6.33421074,6.23492844,6.30442605,50855333
2023-08-04,sh.600516,6.31435428,6.36399543,6.26471313,6.30442605,36337357
2023-08-07,sh.600516,6.31435428,6.31435428,6.20514375,6.21507198,26256444
2023-08-08,sh.600516,6.20514375,6.22500021,6.16543083,6.17535906,22500239
2023-08-09,sh.600516,6.18528729,6.18528729,6.13564614,6.1555026,17818412
2023-08-10,sh.600516,6.13564614,6.18528729,6.11578968,6.14557437,15495076
2023-08-11,sh.600516,6.1555026,6.23492844,6.10586145,6.10586145,31076411
2023-08-14,sh.600516,6.06614853,6.08600499,5.99665092,6.06614853,25234123
2023-08-15,sh.600516,6.0562203,6.09593322,5.98672269,6.02643561,19040292
2023-08-16,sh.600516,6.00657915,6.07607676,5.99665092,6.01650738,12423537
2023-08-17,sh.600516,6.01650738,6.08600499,5.98672269,6.07607676,18168525
2023-08-18,sh.600516,6.04629207,6.09593322,5.956938,5.96686623,25741686
2023-08-21,sh.600516,5.96686623,6.02643561,5.94700977,5.94700977,18771917
2023-08-22,sh.600516,5.956938,5.99665092,5.86758393,5.91722508,28569262
2023-08-23,sh.600516,5.94700977,5.94700977,5.86758393,5.86758393,22265540
2023-08-24,sh.600516,5.87751216,5.88744039,5.70873225,5.74844517,36415844
2023-08-25,sh.600516,5.74844517,5.84772747,5.69880402,5.7583734,21884392
2023-08-28,sh.600516,6.00657915,6.04629207,5.83779924,5.86758393,40067099
2023-08-29,sh.600516,5.8576557,5.90729685,5.80801455,5.89736862,37395910
2023-08-30,sh.600516,5.87751216,5.92715331,5.84772747,5.84772747,24528746
2023-08-31,sh.600516,5.83779924,5.86758393,5.77822986,5.78815809,23403158
2023-09-01,sh.600516,5.79808632,5.81794278,5.7583734,5.77822986,17965954
2023-09-04,sh.600516,5.80801455,5.92715331,5.79808632,5.92715331,38395714
2023-09-05,sh.600516,5.91722508,5.91722508,5.83779924,5.86758393,23225883
2023-09-06,sh.600516,5.83779924,5.86758393,5.80801455,5.84772747,14715575
2023-09-07,sh.600516,5.84772747,5.84772747,5.74844517,5.74844517,21424327
2023-09-08,sh.600516,5.7583734,5.77822986,5.71866048,5.7583734,14272173
2023-09-11,sh.600516,5.7583734,5.82787101,5.73851694,5.79808632,16016011
2023-09-12,sh.600516,5.79808632,5.83779924,5.77822986,5.81794278,14396541
2023-09-13,sh.600516,5.82787101,5.82787101,5.74844517,5.76830163,16045645
2023-09-14,sh.600516,5.77822986,5.77822986,5.73851694,5.7583734,11916204
