date,stock_code,open,high,low,close,volume
2023-07-03,sh.601636,7.893471,8.1398568,7.8752202,8.0486028,31997851
2023-07-04,sh.601636,8.0486028,8.0577282,7.893471,8.0029758,23609741
2023-07-05,sh.601636,7.984725,7.984725,7.7200884,7.75659,38110984
2023-07-06,sh.601636,7.75659,7.7930916,7.6105836,7.6562106,30410165
2023-07-07,sh.601636,7.70324373,7.75027208,7.58097002,7.65621538,23449727
2023-07-10,sh.601636,7.65621538,7.82551744,7.65621538,7.72205507,18951166
2023-07-11,sh.601636,7.78789476,8.13590455,7.75967775,7.93838548,41017336
2023-07-12,sh.601636,7.94779115,7.96660249,7.67502672,7.69383806,36269707
2023-07-13,sh.601636,7.74086641,7.83492311,7.68443239,7.72205507,29600643
2023-07-14,sh.601636,7.74086641,7.78789476,7.64680971,7.75967775,21859376
2023-07-17,sh.601636,7.86314012,7.88195146,7.56215868,7.69383806,33482962
2023-07-18,sh.601636,7.65621538,7.83492311,7.60918703,7.77848909,29098412
2023-07-19,sh.601636,7.75027208,8.06065919,7.75027208,8.04184785,59893349
2023-07-20,sh.601636,8.06065919,8.54975403,8.06065919,8.21114991,87686363
2023-07-21,sh.601636,8.26758393,8.26758393,8.02303651,8.07006486,34756927
2023-07-24,sh.601636,8.04184785,8.07006486,7.81611177,7.81611177,28028394
2023-07-25,sh.601636,8.05125352,8.59678238,8.05125352,8.45569733,115427839
2023-07-26,sh.601636,8.50272568,8.70024475,8.33342362,8.43688599,63901666
2023-07-27,sh.601636,8.34282929,8.49332001,8.22055558,8.23936692,35629963
2023-07-28,sh.601636,8.23936692,8.68143341,8.21114991,8.59678238,56790872
2023-07-31,sh.601636,8.72846176,8.86014114,8.57797104,8.61559372,61024193
2023-08-01,sh.601636,8.7472731,8.82251846,8.62499939,8.71905609,45766174
2023-08-02,sh.601636,8.71905609,8.79430145,8.5591597,8.59678238,31719490
2023-08-03,sh.601636,8.56856537,8.68143341,8.48391434,8.56856537,25174723
2023-08-04,sh.601636,8.70024475,8.86014114,8.5591597,8.58737671,43258006
2023-08-07,sh.601636,8.5591597,8.60618805,8.29580094,8.3710463,34022856
