date,stock_code,open,high,low,close,volume
2023-07-03,sz.300212,33.19,34.68,31.86,34.23,26279984
2023-07-04,sz.300212,33.88,35.48,33.81,35.01,21787228
2023-07-05,sz.300212,35.9,37.1,35.51,35.52,28975754
2023-07-06,sz.300212,35.32,36.14,34.5,34.61,20732432
2023-07-07,sz.300212,34.5,34.58,32.91,33.16,18114817
2023-07-10,sz.300212,33.8,34.13,33.33,33.55,10895766
2023-07-11,sz.300212,30.2,31.8,28.91,30.8,34713501
2023-07-12,sz.300212,31.38,31.39,29.68,29.78,19485021
2023-07-13,sz.300212,29.89,30.34,28.99,29.79,20536140
2023-07-14,sz.300212,29.7,32.8,29.54,31.82,30530033
2023-07-17,sz.300212,31.28,33.69,31.2,32.48,24626831
2023-07-18,sz.300212,32.65,32.77,31.8,31.84,13307931
2023-07-19,sz.300212,32.15,32.3,31.5,31.7,10524751
2023-07-20,sz.300212,31.61,31.72,30.75,30.83,12416408
2023-07-21,sz.300212,30.8,31.27,30.61,30.95,11521365
2023-07-24,sz.300212,31.03,31.94,30.73,31.88,15251264
2023-07-25,sz.300212,32.37,32.57,31.6,31.97,13039769
2023-07-26,sz.300212,31.89,32.05,30.82,31.04,12190474
2023-07-27,sz.300212,30.9,31.09,30.25,30.38,9368775
2023-07-28,sz.300212,30.26,30.85,29.97,30.31,10714193
2023-07-31,sz.300212,30.62,31.22,29.96,30.77,13230678
2023-08-01,sz.300212,30.6,31.3,30.0,30.88,10931953
2023-08-02,sz.300212,30.66,30.81,30.3,30.66,8565629
2023-08-03,sz.300212,30.38,30.95,30.3,30.59,6847694
2023-08-04,sz.300212,30.38,32.69,30.38,32.28,24367251
2023-08-07,sz.300212,32.08,33.4,32.08,32.66,16106318
2023-08-08,sz.300212,32.7,33.29,32.35,32.63,12694272
2023-08-09,sz.300212,32.9,33.38,31.86,31.92,14935378
2023-08-10,sz.300212,31.6,32.15,31.1,31.48,11277521
2023-08-11,sz.300212,31.39,31.84,30.2,30.27,11232195
2023-08-14,sz.300212,29.77,31.83,29.58,31.73,17638653
2023-08-15,sz.300212,31.71,31.72,30.33,30.66,12377984
2023-08-16,sz.300212,30.6,30.6,28.24,28.51,29018357
2023-08-17,sz.300212,28.42,29.36,28.02,28.78,18438174
2023-08-18,sz.300212,28.68,29.42,27.88,27.88,11783411
2023-08-21,sz.300212,27.88,29.05,27.88,27.99,14917180
2023-08-22,sz.300212,28.89,32.55,28.39,32.2,57422496
2023-08-23,sz.300212,31.71,34.88,31.4,32.94,69271684
2023-08-24,sz.300212,33.64,33.78,29.6,30.02,71698466
2023-08-25,sz.300212,29.6,29.8,27.46,27.6,40319064
2023-08-28,sz.300212,30.4,30.41,26.88,27.0,39222112
2023-08-29,sz.300212,26.98,29.63,26.8,28.97,44256056
2023-08-30,sz.300212,28.67,30.46,28.67,30.01,40024221
2023-08-31,sz.300212,29.78,30.53,29.62,30.16,26086838
2023-09-01,sz.300212,30.18,31.25,29.75,30.39,29374215
2023-09-04,sz.300212,31.45,36.47,31.0,36.47,83242678
2023-09-05,sz.300212,37.0,37.0,34.39,34.91,69868730
2023-09-06,sz.300212,34.9,38.1,33.74,36.93,76561905
2023-09-07,sz.300212,36.38,36.8,35.51,35.88,42438939
2023-09-08,sz.300212,35.6,39.3,35.33,37.5,73130149
2023-09-11,sz.300212,36.6,36.6,34.23,35.63,59943558
2023-09-12,sz.300212,35.59,36.2,34.56,34.62,37971469
2023-09-13,sz.300212,34.6,35.17,32.74,33.25,42382184
2023-09-14,sz.300212,33.74,33.92,32.66,33.23,23154030
2023-09-15,sz.300212,33.22,33.5,32.55,32.77,20399580
2023-09-18,sz.300212,32.5,33.95,31.39,32.8,38474401
2023-09-19,sz.300212,32.02,34.02,31.86,32.91,34213364
2023-09-20,sz.300212,33.23,34.28,32.81,32.98,35916962
2023-09-21,sz.300212,32.2,32.86,31.03,31.34,32125622
2023-09-22,sz.300212,31.0,32.48,30.6,32.19,26921917
2023-09-25,sz.300212,32.19,32.49,31.47,32.36,24785738
2023-09-26,sz.300212,32.3,34.5,32.0,34.16,47163129
2023-09-27,sz.300212,33.77,34.8,33.57,34.2,28751862
2023-09-28,sz.300212,34.2,35.46,33.99,34.55,28354228
2023-10-09,sz.300212,35.39,36.5,34.9,35.98,39221888
2023-10-10,sz.300212,35.83,36.3,35.33,35.43,24489049
2023-10-11,sz.300212,35.15,35.6,34.36,34.75,24196269
2023-10-12,sz.300212,35.38,35.7,34.1,34.9,24078749
2023-10-13,sz.300212,34.86,36.3,34.78,35.17,26757460
2023-10-16,sz.300212,34.55,36.18,34.2,35.02,28297920
2023-10-17,sz.300212,35.11,35.25,32.5,34.07,27434776
2023-10-18,sz.300212,33.4,33.7,32.51,32.73,22545412
2023-10-19,sz.300212,32.5,33.25,31.23,31.23,27798730
2023-10-20,sz.300212,31.01,31.45,29.65,29.67,21352494
2023-10-23,sz.300212,29.6,29.77,27.56,27.77,20600926
2023-10-24,sz.300212,28.2,29.5,28.15,29.23,24373731
2023-10-25,sz.300212,29.5,30.98,29.5,29.82,23569731
2023-10-26,sz.300212,29.1,29.6,28.74,29.29,16652249
2023-10-27,sz.300212,29.08,29.08,27.94,28.34,21961159
2023-10-30,sz.300212,27.86,28.74,27.68,28.55,21120739
2023-10-31,sz.300212,28.8,29.25,28.18,29.0,19909303
2023-11-01,sz.300212,29.05,29.65,28.44,28.53,18941905
2023-11-02,sz.300212,28.33,28.99,28.3,28.45,12087843
2023-11-03,sz.300212,28.44,28.98,28.15,28.83,13581679
2023-11-06,sz.300212,29.1,30.85,28.98,30.36,23946495
2023-11-07,sz.300212,30.22,30.85,29.74,30.52,20821215
2023-11-08,sz.300212,30.66,31.33,30.3,31.24,27472603
2023-11-09,sz.300212,30.84,31.15,30.02,30.37,20748977
2023-11-10,sz.300212,30.36,30.45,29.6,29.67,14399460
2023-11-13,sz.300212,30.58,33.78,30.55,32.51,45450305
2023-11-14,sz.300212,33.2,33.88,32.8,33.33,36864536
2023-11-15,sz.300212,33.28,33.9,33.01,33.25,30135770
2023-11-16,sz.300212,32.96,33.33,32.36,32.37,20024739
2023-11-17,sz.300212,32.53,33.0,32.23,32.68,18655292
2023-11-20,sz.300212,32.42,35.24,32.4,34.42,41529958
2023-11-21,sz.300212,34.2,36.0,33.56,35.02,44051543
2023-11-22,sz.300212,35.02,36.5,34.5,34.6,44529844
2023-11-23,sz.300212,34.9,36.24,34.52,35.62,37397131
2023-11-24,sz.300212,38.59,42.39,37.1,37.39,108826939
2023-11-27,sz.300212,37.03,42.07,37.03,39.32,84605035
2023-11-28,sz.300212,37.3,37.32,35.46,35.82,67234737
2023-11-29,sz.300212,35.51,35.78,33.62,34.65,44510074
2023-11-30,sz.300212,35.0,35.35,33.42,33.84,37744895
2023-12-01,sz.300212,33.6,35.28,33.5,34.93,34249968
2023-12-04,sz.300212,35.19,37.3,35.0,35.88,42434645
2023-12-05,sz.300212,35.39,35.73,33.91,33.91,30344952
2023-12-06,sz.300212,34.0,34.6,33.46,33.72,21427825
2023-12-07,sz.300212,33.95,35.08,33.72,34.97,27421474
2023-12-08,sz.300212,34.88,35.5,34.53,35.23,28858222
2023-12-11,sz.300212,34.68,36.25,34.21,36.03,34099996
2023-12-12,sz.300212,35.72,37.17,35.61,36.03,32637245
2023-12-13,sz.300212,35.87,37.0,35.58,35.68,27847957
2023-12-14,sz.300212,35.83,36.25,34.39,34.47,29303102
2023-12-15,sz.300212,34.79,34.99,34.15,34.65,17103214
2023-12-18,sz.300212,35.0,35.99,34.6,34.72,24493441
2023-12-19,sz.300212,34.78,34.81,33.08,33.6,26203822
2023-12-20,sz.300212,33.6,33.75,31.2,31.21,31310654
2023-12-21,sz.300212,30.92,32.08,30.82,31.61,17746569
2023-12-22,sz.300212,31.6,31.96,30.53,30.6,19001935
2023-12-25,sz.300212,30.7,31.14,29.72,30.55,13845245
2023-12-26,sz.300212,30.49,30.53,29.48,29.6,13688934
2023-12-27,sz.300212,29.7,30.33,29.7,30.18,14411697
2023-12-28,sz.300212,30.07,30.79,29.61,30.56,18870325
2023-12-29,sz.300212,30.49,31.76,30.33,31.45,23830387
2024-01-02,sz.300212,31.0,31.31,30.5,30.53,14719681
2024-01-03,sz.300212,30.2,30.38,29.32,29.72,15710683
2024-01-04,sz.300212,29.95,30.4,29.38,29.86,12860433
2024-01-05,sz.300212,30.45,30.66,28.98,29.27,14660438
2024-01-08,sz.300212,29.36,29.5,28.12,28.18,13722075
2024-01-09,sz.300212,28.43,28.58,27.1,27.44,20157325
2024-01-10,sz.300212,27.31,27.38,26.04,26.21,17541864
2024-01-11,sz.300212,26.36,27.34,26.36,27.28,17091783
2024-01-12,sz.300212,27.03,27.9,26.35,26.39,16783318
2024-01-15,sz.300212,26.0,26.2,25.53,25.88,13663027
2024-01-16,sz.300212,25.88,25.91,24.81,25.36,16673020
2024-01-17,sz.300212,25.42,25.59,24.69,24.7,11028624
2024-01-18,sz.300212,24.71,25.0,23.95,24.82,16556793
2024-01-19,sz.300212,24.82,25.04,24.12,24.16,12305677
2024-01-22,sz.300212,24.3,24.49,22.52,22.7,16761921
2024-01-23,sz.300212,22.69,23.69,22.54,23.37,17672163
2024-01-24,sz.300212,23.37,23.79,22.47,23.53,16664583
2024-01-25,sz.300212,23.68,25.79,23.37,25.51,38624298
2024-01-26,sz.300212,25.13,27.07,25.12,25.79,38695248
2024-01-29,sz.300212,25.77,26.07,24.86,24.98,21664833
2024-01-30,sz.300212,24.64,25.59,24.0,24.08,18472434
2024-01-31,sz.300212,22.26,22.83,20.81,21.84,36308700
2024-02-01,sz.300212,21.82,22.54,21.11,21.47,20780855
2024-02-02,sz.300212,21.54,22.14,19.4,20.24,29945813
