date,stock_code,open,high,low,close,volume
2023-07-03,sz.000528,7.5501564,7.6935138,7.54059924,7.58838504,15777010
2023-07-04,sz.000528,7.58838504,7.62661368,7.4545848,7.4545848,11644261
2023-07-05,sz.000528,7.4545848,7.53104208,7.41635616,7.44502764,8627316
2023-07-06,sz.000528,7.43547048,7.51192776,7.37812752,7.406799,10589567
2023-07-07,sz.000528,7.39724184,7.5023706,7.3590132,7.49281344,9935616
2023-07-10,sz.000528,7.4545848,7.56927072,7.43547048,7.54059924,12605163
2023-07-11,sz.000528,7.5501564,7.58838504,7.48325628,7.55971356,11685276
2023-07-12,sz.000528,7.52148492,7.645728,7.48325628,7.5023706,14406022
2023-07-13,sz.000528,7.51192776,7.57882788,7.48325628,7.5501564,10353531
2023-07-14,sz.000528,7.5501564,7.71262812,7.51192776,7.68395664,16290031
2023-07-17,sz.000528,7.63617084,7.72218528,7.54059924,7.67439948,13179631
2023-07-18,sz.000528,7.645728,7.77952824,7.56927072,7.71262812,12117302
2023-07-19,sz.000528,7.68395664,7.87509984,7.68395664,7.80819972,22883127
2023-07-20,sz.000528,7.7890854,7.86554268,7.68395664,7.71262812,16733387
2023-07-21,sz.000528,7.7412996,7.75085676,7.61705652,7.67439948,10759219
2023-07-24,sz.000528,7.68395664,7.86554268,7.57882788,7.7412996,16486144
2023-07-25,sz.000528,7.73174244,7.884657,7.73174244,7.82731404,16145506
2023-07-26,sz.000528,7.81775688,7.81775688,7.71262812,7.73174244,9592053
2023-07-27,sz.000528,7.7412996,7.84642836,7.71262812,7.7412996,10837988
2023-07-28,sz.000528,7.72218528,7.76997108,7.61705652,7.6935138,11307011
2023-07-31,sz.000528,7.68395664,7.79864256,7.60749936,7.63617084,17862435
2023-08-01,sz.000528,7.68395664,7.76041392,7.60749936,7.71262812,14771193
2023-08-02,sz.000528,7.70307096,7.81775688,7.66484232,7.73174244,12386770
2023-08-03,sz.000528,7.72218528,7.75085676,7.62661368,7.72218528,8919980
2023-08-04,sz.000528,7.73174244,7.77952824,7.54059924,7.56927072,14762929
2023-08-07,sz.000528,7.5501564,7.5979422,7.46414196,7.51192776,11213567
2023-08-08,sz.000528,7.54059924,7.5501564,7.44502764,7.52148492,7310441
2023-08-09,sz.000528,7.51192776,7.52148492,7.29211308,7.32078456,14737514
2023-08-10,sz.000528,7.33034172,7.406799,7.30167024,7.34945604,12117074
2023-08-11,sz.000528,7.37812752,7.37812752,7.14875568,7.16787,14549262
2023-08-14,sz.000528,7.12964136,7.24432728,7.0245126,7.22521296,13750536
2023-08-15,sz.000528,7.25388444,7.38768468,7.18698432,7.22521296,13034659
2023-08-16,sz.000528,7.19654148,7.22521296,7.1200842,7.17742716,7331512
2023-08-17,sz.000528,7.14875568,7.17742716,7.08185556,7.14875568,8833317
2023-08-18,sz.000528,7.13919852,7.22521296,7.0245126,7.03406976,7584159
2023-08-21,sz.000528,7.01495544,7.11052704,6.9767268,6.9767268,7556636
2023-08-22,sz.000528,7.0245126,7.0722984,6.93849816,7.04362692,7614522
2023-08-23,sz.000528,7.0245126,7.06274124,6.928941,6.94805532,6536610
