date,stock_code,open,high,low,close,volume
2023-07-03,sh.600873,8.1062179,8.21551522,8.1062179,8.14265034,9267626
2023-07-04,sh.600873,8.15175845,8.16997467,8.07889357,8.11532601,8131751
2023-07-05,sh.600873,8.09710979,8.12443412,8.06067735,8.11532601,5727858
2023-07-06,sh.600873,8.07889357,8.13354223,8.06067735,8.09710979,7743096
2023-07-07,sh.600873,8.07889357,8.17908278,8.06978546,8.07889357,7775428
2023-07-10,sh.600873,8.08800168,8.1062179,8.0151368,8.02424491,10558623
2023-07-11,sh.600873,8.02424491,8.07889357,7.99692058,8.06978546,6142702
2023-07-12,sh.600873,8.06067735,8.14265034,8.04246113,8.1062179,8384849
2023-07-13,sh.600873,8.11532601,8.18819089,8.1062179,8.13354223,7579619
2023-07-14,sh.600873,8.15175845,8.16086656,8.08800168,8.09710979,5009450
2023-07-17,sh.600873,8.09710979,8.14265034,8.07889357,8.11532601,5863126
2023-07-18,sh.600873,8.1062179,8.18819089,8.09710979,8.11532601,7288758
2023-07-19,sh.600873,8.1062179,8.16997467,8.09710979,8.16997467,5836572
2023-07-20,sh.600873,8.17908278,8.33392065,8.15175845,8.27016388,18667867
2023-07-21,sh.600873,8.27016388,8.38856931,8.23373144,8.37035309,16189802
2023-07-24,sh.600873,8.3794612,8.3794612,8.197299,8.22462333,10616937
2023-07-25,sh.600873,8.27927199,8.31570443,8.22462333,8.29748821,12098525
2023-07-26,sh.600873,8.30659632,8.41589364,8.29748821,8.40678553,11952025
2023-07-27,sh.600873,8.40678553,8.43410986,8.37035309,8.42500175,8607522
2023-07-28,sh.600873,8.39767742,8.4705423,8.34302876,8.46143419,9262101
2023-07-31,sh.600873,8.47965041,8.52519096,8.42500175,8.45232608,10830061
2023-08-01,sh.600873,8.46143419,8.4705423,8.38856931,8.40678553,9120505
2023-08-02,sh.600873,8.38856931,8.4705423,8.37035309,8.41589364,6733003
2023-08-03,sh.600873,8.41589364,8.4705423,8.3794612,8.41589364,5242548
2023-08-04,sh.600873,8.45232608,8.45232608,8.34302876,8.36124498,9412025
2023-08-07,sh.600873,8.32481254,8.36124498,8.27016388,8.30659632,8873109
2023-08-08,sh.600873,8.29748821,8.31570443,8.22462333,8.31570443,7486700
2023-08-09,sh.600873,8.29748821,8.30659632,8.22462333,8.27927199,4982700
2023-08-10,sh.600873,8.2883801,8.30659632,8.22462333,8.2883801,5070495
2023-08-11,sh.600873,8.27927199,8.32481254,8.21551522,8.21551522,5583565
2023-08-14,sh.600873,8.17908278,8.22462333,8.09710979,8.11532601,8187966
2023-08-15,sh.600873,8.11532601,8.20640711,8.1062179,8.18819089,6135250
2023-08-16,sh.600873,8.197299,8.3794612,8.17908278,8.21551522,9539264
2023-08-17,sh.600873,8.20640711,8.23373144,8.12443412,8.22462333,6113749
2023-08-18,sh.600873,8.22462333,8.22462333,8.0151368,8.0151368,11527762
2023-08-21,sh.600873,7.88762326,8.08800168,7.67813673,7.93316381,18649868
2023-08-22,sh.600873,7.96048814,7.99692058,7.76921783,7.87851515,16646920
2023-08-23,sh.600873,7.89673137,7.95138003,7.7418935,7.7418935,10951026
2023-08-24,sh.600873,7.76921783,7.81475838,7.67813673,7.67813673,12282780
2023-08-25,sh.600873,7.6508124,7.77832594,7.64170429,7.72367728,12176807
2023-08-28,sh.600873,8.03335302,8.06067735,7.72367728,7.85119082,17167871
2023-08-29,sh.600873,7.85119082,8.33392065,7.81475838,8.30659632,25629533
2023-08-30,sh.600873,8.30659632,8.37035309,8.25194766,8.26105577,10302875
2023-08-31,sh.600873,8.27927199,8.33392065,8.25194766,8.31570443,7919874
2023-09-01,sh.600873,8.33392065,8.36124498,8.27016388,8.31570443,6560068
2023-09-04,sh.600873,8.33392065,8.3794612,8.2883801,8.34302876,11641801
2023-09-05,sh.600873,8.32481254,8.32481254,8.23373144,8.25194766,13211429
2023-09-06,sh.600873,8.26105577,8.2883801,8.197299,8.20640711,9638400
2023-09-07,sh.600873,8.21551522,8.23373144,8.09710979,8.17908278,11302603
2023-09-08,sh.600873,8.14265034,8.17908278,8.09710979,8.11532601,6367800
2023-09-11,sh.600873,8.1062179,8.34302876,8.1062179,8.29748821,10238382
2023-09-12,sh.600873,8.31570443,8.3794612,8.25194766,8.37035309,9904800
2023-09-13,sh.600873,8.36124498,8.42500175,8.31570443,8.37035309,7746534
2023-09-14,sh.600873,8.39767742,8.39767742,8.31570443,8.36124498,7138401
2023-09-15,sh.600873,8.37035309,8.38856931,8.29748821,8.32481254,7844826
2023-09-18,sh.600873,8.33392065,8.55251529,8.29748821,8.52519096,25663731
2023-09-19,sh.600873,8.54340718,8.7437856,8.51608285,8.73467749,27578155
2023-09-20,sh.600873,8.73467749,8.75289371,8.64359639,8.69824505,13601738
2023-09-21,sh.600873,8.69824505,8.72556938,8.57073151,8.59805584,13003457
2023-09-22,sh.600873,8.57983962,8.81665048,8.57073151,8.81665048,18629626
2023-09-25,sh.600873,8.77110993,8.90773158,8.71646127,8.79843426,14370518
2023-09-26,sh.600873,8.79843426,8.8348667,8.71646127,8.72556938,7199560
2023-09-27,sh.600873,8.69824505,8.77110993,8.6527045,8.72556938,8534000
2023-09-28,sh.600873,8.7437856,8.80754237,8.70735316,8.76200182,12115097
2023-10-09,sh.600873,8.68913694,8.81665048,8.68913694,8.76200182,8417202
2023-10-10,sh.600873,8.75289371,8.79843426,8.68002883,8.71646127,7378567
2023-10-11,sh.600873,8.71646127,8.77110993,8.66181261,8.67092072,7282047
2023-10-12,sh.600873,8.68002883,8.78021804,8.68002883,8.76200182,6777758
2023-10-13,sh.600873,8.73467749,8.7437856,8.64359639,8.69824505,8266733
2023-10-16,sh.600873,8.69824505,8.71646127,8.61627206,8.63448828,9512548
2023-10-17,sh.600873,8.66181261,8.70735316,8.59805584,8.66181261,7897527
2023-10-18,sh.600873,8.6527045,8.68002883,8.53429907,8.59805584,8359201
2023-10-19,sh.600873,8.54340718,8.57073151,8.34302876,8.44321797,18560339
2023-10-20,sh.600873,8.41589364,8.53429907,8.38856931,8.45232608,11442000
2023-10-23,sh.600873,8.45232608,8.54340718,8.39767742,8.42500175,13768767
2023-10-24,sh.600873,8.43410986,8.48875852,8.37035309,8.39767742,11830200
2023-10-25,sh.600873,8.45232608,8.57983962,8.41589364,8.50697474,8848983
2023-10-26,sh.600873,8.46143419,8.61627206,8.46143419,8.54340718,7302259
2023-10-27,sh.600873,8.5616234,8.64359639,8.4705423,8.55251529,11920012
2023-10-30,sh.600873,8.5616234,8.67092072,8.54340718,8.59805584,9195960
2023-10-31,sh.600873,8.58894773,8.67092072,8.51608285,8.6527045,9552470
2023-11-01,sh.600873,8.67092072,8.68002883,8.57073151,8.62538017,7991300
2023-11-02,sh.600873,8.63448828,8.67092072,8.57073151,8.58894773,7371986
2023-11-03,sh.600873,8.5616234,8.67092072,8.55251529,8.57073151,9172001
2023-11-06,sh.600873,8.60716395,8.64359639,8.55251529,8.58894773,11214303
2023-11-07,sh.600873,8.61627206,8.6527045,8.49786663,8.58894773,8022900
2023-11-08,sh.600873,8.57983962,8.62538017,8.53429907,8.55251529,9717533
2023-11-09,sh.600873,8.53429907,8.68002883,8.52519096,8.57073151,10979901
2023-11-10,sh.600873,8.55251529,8.59805584,8.53429907,8.5616234,6098900
2023-11-13,sh.600873,8.5616234,8.59805584,8.46143419,8.52519096,9936335
2023-11-14,sh.600873,8.52519096,8.59805584,8.49786663,8.53429907,6358815
2023-11-15,sh.600873,8.58894773,8.64359639,8.55251529,8.57983962,6847829
2023-11-16,sh.600873,8.57073151,8.59805584,8.49786663,8.50697474,6382500
2023-11-17,sh.600873,8.4705423,8.52519096,8.41589364,8.44321797,8690300
2023-11-20,sh.600873,8.42500175,8.51608285,8.39767742,8.4705423,8613800
2023-11-21,sh.600873,8.47965041,8.51608285,8.44321797,8.46143419,6354068
2023-11-22,sh.600873,8.46143419,8.49786663,8.43410986,8.43410986,5883290
2023-11-23,sh.600873,8.43410986,8.60716395,8.42500175,8.57073151,8130300
2023-11-24,sh.600873,8.54340718,8.58894773,8.49786663,8.5616234,6856550
2023-11-27,sh.600873,8.55251529,8.5616234,8.45232608,8.52519096,9660122
2023-11-28,sh.600873,8.51608285,8.61627206,8.46143419,8.59805584,9411288
2023-11-29,sh.600873,8.61627206,8.72556938,8.5616234,8.68002883,12762328
2023-11-30,sh.600873,8.66181261,8.71646127,8.59805584,8.69824505,13333928
2023-12-01,sh.600873,8.68002883,8.68913694,8.53429907,8.5616234,11576894
2023-12-04,sh.600873,8.52519096,8.59805584,8.48875852,8.49786663,11296273
2023-12-05,sh.600873,8.4705423,8.53429907,8.44321797,8.45232608,10645586
2023-12-06,sh.600873,8.42500175,8.5616234,8.40678553,8.54340718,15709844
2023-12-07,sh.600873,8.55251529,8.55251529,8.45232608,8.51608285,17668700
2023-12-08,sh.600873,8.46143419,8.68002883,8.35213687,8.68002883,31559619
2023-12-11,sh.600873,8.60716395,8.68002883,8.44321797,8.63448828,30823405
2023-12-12,sh.600873,8.63448828,8.71646127,8.57073151,8.67092072,15283642
2023-12-13,sh.600873,8.68913694,8.72556938,8.64359639,8.64359639,9033000
2023-12-14,sh.600873,8.67092072,8.7437856,8.63448828,8.70735316,10661966
2023-12-15,sh.600873,8.70735316,8.76200182,8.61627206,8.62538017,10728052
2023-12-18,sh.600873,8.62538017,8.6527045,8.4705423,8.49786663,11587962
2023-12-19,sh.600873,8.53429907,8.59805584,8.4705423,8.58894773,8770937
2023-12-20,sh.600873,8.57073151,8.6527045,8.54340718,8.55251529,8943896
