date,stock_code,open,high,low,close,volume
2023-07-03,sz.002563,5.62969938,5.64768564,5.54876121,5.63869251,9803700
2023-07-04,sz.002563,5.63869251,5.6656719,5.56674747,5.63869251,8762197
2023-07-05,sz.002563,5.62969938,5.64768564,5.56674747,5.60271999,6792096
2023-07-06,sz.002563,5.62070625,5.6656719,5.58473373,5.60271999,5830833
2023-07-07,sz.002563,5.58473373,5.6656719,5.54876121,5.64768564,5404500
2023-07-10,sz.002563,5.62969938,5.72862381,5.59372686,5.71063755,8568911
2023-07-11,sz.002563,5.70164442,5.71063755,5.62070625,5.65667877,6198963
2023-07-12,sz.002563,5.64768564,5.70164442,5.60271999,5.61171312,6653100
2023-07-13,sz.002563,5.61171312,5.68365816,5.59372686,5.64768564,5959979
2023-07-14,sz.002563,5.6656719,5.72862381,5.64768564,5.67466503,6834306
2023-07-17,sz.002563,5.68365816,5.70164442,5.4858093,5.54876121,14645372
2023-07-18,sz.002563,5.54876121,5.54876121,5.43185052,5.49480243,9497721
2023-07-19,sz.002563,5.4858093,5.5757406,5.4858093,5.56674747,8984400
2023-07-20,sz.002563,5.5757406,5.68365816,5.5757406,5.60271999,13216286
2023-07-21,sz.002563,5.59372686,5.67466503,5.56674747,5.61171312,7888514
2023-07-24,sz.002563,5.62070625,5.6656719,5.5757406,5.64768564,6560102
2023-07-25,sz.002563,5.6656719,5.68365816,5.60271999,5.63869251,7160100
2023-07-26,sz.002563,5.63869251,5.67466503,5.62070625,5.6656719,6752061
2023-07-27,sz.002563,5.67466503,5.7556032,5.62969938,5.64768564,6942923
2023-07-28,sz.002563,5.61171312,5.7556032,5.59372686,5.71963068,10333840
2023-07-31,sz.002563,5.73761694,5.8455345,5.72862381,5.83654137,13528643
2023-08-01,sz.002563,5.85452763,5.88150702,5.78258259,5.80956198,9245177
2023-08-02,sz.002563,5.82754824,5.82754824,5.76459633,5.80056885,7042994
2023-08-03,sz.002563,5.80056885,5.83654137,5.7556032,5.79157572,7528999
2023-08-04,sz.002563,5.82754824,5.8455345,5.70164442,5.71063755,8647748
2023-08-07,sz.002563,5.71063755,5.71963068,5.62969938,5.65667877,7917648
2023-08-08,sz.002563,5.67466503,5.68365816,5.58473373,5.60271999,5396848
2023-08-09,sz.002563,5.61171312,5.62070625,5.51278869,5.53077495,6550907
2023-08-10,sz.002563,5.53077495,5.59372686,5.50379556,5.5757406,5497641
2023-08-11,sz.002563,5.5757406,5.62070625,5.51278869,5.53976808,6791713
2023-08-14,sz.002563,5.49480243,5.59372686,5.47681617,5.55775434,6234332
2023-08-15,sz.002563,5.58473373,5.68365816,5.52178182,5.65667877,6957186
2023-08-16,sz.002563,5.62070625,5.74661007,5.61171312,5.68365816,7179060
2023-08-17,sz.002563,5.65667877,5.71063755,5.60271999,5.65667877,5525094
2023-08-18,sz.002563,5.6656719,5.71063755,5.58473373,5.60271999,5513689
2023-08-21,sz.002563,5.56674747,5.71063755,5.56674747,5.60271999,8179749
2023-08-22,sz.002563,5.62070625,5.65667877,5.49480243,5.55775434,8447621
2023-08-23,sz.002563,5.55775434,5.5757406,5.44084365,5.44983678,7750862
2023-08-24,sz.002563,5.45882991,5.54876121,5.42285739,5.51278869,6539814
2023-08-25,sz.002563,5.50379556,5.61171312,5.44983678,5.46782304,6889411
2023-08-28,sz.002563,5.71063755,5.78258259,5.55775434,5.5757406,9886603
2023-08-29,sz.002563,5.62969938,5.62969938,5.4858093,5.51278869,13589162
2023-08-30,sz.002563,5.55775434,5.67466503,5.53077495,5.59372686,10773598
2023-08-31,sz.002563,5.53976808,5.6656719,5.4858093,5.49480243,9446200
2023-09-01,sz.002563,5.4858093,5.5757406,5.46782304,5.56674747,10015198
2023-09-04,sz.002563,5.54876121,5.64768564,5.54876121,5.63869251,10700700
2023-09-05,sz.002563,5.64768564,5.67466503,5.62070625,5.63869251,8253716
2023-09-06,sz.002563,5.64768564,5.68365816,5.59372686,5.60271999,6578340
2023-09-07,sz.002563,5.60271999,5.62969938,5.53077495,5.53077495,5619800
2023-09-08,sz.002563,5.52178182,5.56674747,5.4858093,5.50379556,6594868
2023-09-11,sz.002563,5.53976808,5.64768564,5.51278869,5.62969938,9711543
2023-09-12,sz.002563,5.62969938,5.65667877,5.53976808,5.54876121,5887968
2023-09-13,sz.002563,5.56674747,5.56674747,5.44983678,5.4858093,6216000
2023-09-14,sz.002563,5.4858093,5.4858093,5.40487113,5.44084365,6977160
2023-09-15,sz.002563,5.46782304,5.59372686,5.44983678,5.58473373,12591116
2023-09-18,sz.002563,5.5757406,5.71063755,5.53077495,5.69265129,10865287
2023-09-19,sz.002563,5.69265129,5.72862381,5.65667877,5.70164442,9245477
2023-09-20,sz.002563,5.69265129,5.73761694,5.62969938,5.71063755,9618964
2023-09-21,sz.002563,5.67466503,5.68365816,5.53077495,5.59372686,11044296
2023-09-22,sz.002563,5.5757406,5.63869251,5.53976808,5.5757406,9410000
