date,stock_code,open,high,low,close,volume
2023-07-03,sz.002608,7.41345653,7.5011321,7.23810539,7.43293999,19238466
2023-07-04,sz.002608,7.44268172,7.48164864,7.34526442,7.39397307,9710400
2023-07-05,sz.002608,7.39397307,7.43293999,7.23810539,7.28681404,9041800
2023-07-06,sz.002608,7.3062975,7.34526442,7.19913847,7.24784712,8730600
2023-07-07,sz.002608,7.25758885,7.42319826,7.23810539,7.36474788,9615714
2023-07-10,sz.002608,7.54984075,7.61803286,7.31603923,7.4037148,12007900
2023-07-11,sz.002608,7.42319826,7.44268172,7.2088802,7.4037148,11222601
2023-07-12,sz.002608,7.38423134,7.4037148,7.23810539,7.39397307,10235841
2023-07-13,sz.002608,7.42358608,7.42358608,7.29525281,7.34461176,11229460
2023-07-14,sz.002608,7.35448355,7.35448355,7.22615028,7.33473997,6941771
2023-07-17,sz.002608,7.32486818,7.38409892,7.24589386,7.28538102,6264791
2023-07-18,sz.002608,7.29525281,7.29525281,7.16691954,7.16691954,6306353
2023-07-19,sz.002608,7.16691954,7.23602207,7.05832985,7.15704775,9083047
2023-07-20,sz.002608,7.2064067,7.2064067,7.05832985,7.1076888,6150850
2023-07-21,sz.002608,7.08794522,7.21627849,7.04845806,7.2064067,6886018
2023-07-24,sz.002608,7.21627849,7.37422713,7.09781701,7.28538102,7572000
2023-07-25,sz.002608,7.36435534,7.36435534,7.02871448,7.03858627,12237330
2023-07-26,sz.002608,7.02871448,7.04845806,6.910253,6.97935553,8980793
2023-07-27,sz.002608,6.95961195,7.07807343,6.94974016,6.96948374,5157262
2023-07-28,sz.002608,6.97935553,7.05832985,6.86089405,7.02871448,6144480
2023-07-31,sz.002608,7.02871448,7.07807343,6.95961195,7.06820164,9009681
2023-08-01,sz.002608,7.1076888,7.48281682,7.06820164,7.39397071,15818500
2023-08-02,sz.002608,7.35448355,7.38409892,7.24589386,7.3051246,6832686
2023-08-03,sz.002608,7.27550923,7.33473997,7.22615028,7.31499639,4942100
2023-08-04,sz.002608,7.27550923,7.39397071,7.24589386,7.26563744,4700800
2023-08-07,sz.002608,7.24589386,7.36435534,7.15704775,7.22615028,8529880
2023-08-08,sz.002608,7.2064067,7.28538102,7.11756059,7.15704775,5907070
2023-08-09,sz.002608,7.12743238,7.12743238,6.94974016,6.99909911,7535800
2023-08-10,sz.002608,6.99909911,7.06820164,6.95961195,7.0089709,3945015
2023-08-11,sz.002608,7.01884269,7.01884269,6.83127868,6.85102226,5921184
2023-08-14,sz.002608,6.79179152,6.96948374,6.75230436,6.94974016,5857500
2023-08-15,sz.002608,6.93986837,7.09781701,6.90038121,6.96948374,5338658
2023-08-16,sz.002608,6.96948374,6.97935553,6.86089405,6.94974016,4289700
2023-08-17,sz.002608,6.93986837,6.94974016,6.82140689,6.90038121,4280100
2023-08-18,sz.002608,6.92999658,6.96948374,6.87076584,6.87076584,3614100
2023-08-21,sz.002608,6.90038121,6.99909911,6.84115047,6.85102226,5237300
2023-08-22,sz.002608,6.910253,6.98922732,6.83127868,6.94974016,5691400
2023-08-23,sz.002608,6.96948374,6.96948374,6.78191973,6.78191973,5697400
2023-08-24,sz.002608,6.83127868,6.83127868,6.68320183,6.76217615,5877754
2023-08-25,sz.002608,6.89050942,7.12743238,6.84115047,7.03858627,16650311
2023-08-28,sz.002608,7.5025604,7.55191935,7.07807343,7.18666312,14448395
2023-08-29,sz.002608,7.16691954,7.24589386,7.02871448,7.09781701,15255950
2023-08-30,sz.002608,7.09781701,7.2064067,6.98922732,6.98922732,9091536
2023-08-31,sz.002608,6.97935553,7.04845806,6.87076584,6.90038121,6989112
2023-09-01,sz.002608,6.90038121,6.94974016,6.79179152,6.86089405,8363200
2023-09-04,sz.002608,6.86089405,6.96948374,6.77204794,6.94974016,11206526
2023-09-05,sz.002608,6.93986837,7.0089709,6.69307362,6.94974016,15809900
2023-09-06,sz.002608,6.97935553,6.99909911,6.86089405,6.92999658,7161995
2023-09-07,sz.002608,6.92999658,7.08794522,6.87076584,6.89050942,10325700
2023-09-08,sz.002608,6.92012479,7.05832985,6.84115047,6.97935553,7156664
2023-09-11,sz.002608,6.96948374,7.02871448,6.8115351,6.93986837,16015162
2023-09-12,sz.002608,6.92012479,7.03858627,6.90038121,6.94974016,8109014
2023-09-13,sz.002608,6.94974016,7.07807343,6.92999658,7.01884269,8241397
2023-09-14,sz.002608,7.03858627,7.19653491,7.01884269,7.15704775,11483688
2023-09-15,sz.002608,7.15704775,7.23602207,7.11756059,7.15704775,10803700
2023-09-18,sz.002608,7.15704775,7.18666312,7.02871448,7.04845806,10179500
2023-09-19,sz.002608,7.07807343,7.12743238,7.02871448,7.09781701,5623381
2023-09-20,sz.002608,7.06820164,7.18666312,7.04845806,7.12743238,8980281
2023-09-21,sz.002608,7.16691954,7.18666312,7.03858627,7.07807343,6846502
2023-09-22,sz.002608,7.02871448,7.16691954,6.97935553,7.04845806,8686200
2023-09-25,sz.002608,7.02871448,7.13730417,7.01884269,7.02871448,7058119
2023-09-26,sz.002608,7.01884269,7.09781701,7.0089709,7.05832985,4258600
2023-09-27,sz.002608,7.07807343,7.1076888,6.8115351,6.92999658,8442202
2023-09-28,sz.002608,6.95961195,7.01884269,6.910253,6.96948374,8185180
2023-10-09,sz.002608,6.96948374,7.05832985,6.85102226,6.99909911,11083200
2023-10-10,sz.002608,7.0089709,7.03858627,6.82140689,6.83127868,7350500
2023-10-11,sz.002608,6.86089405,6.90038121,6.77204794,6.78191973,7210800
2023-10-12,sz.002608,6.77204794,6.94974016,6.77204794,6.86089405,6768000
2023-10-13,sz.002608,6.87076584,6.910253,6.79179152,6.82140689,5225200
2023-10-16,sz.002608,6.87076584,6.92012479,6.8115351,6.89050942,8774175
2023-10-17,sz.002608,6.89050942,7.04845806,6.85102226,7.01884269,9591658
2023-10-18,sz.002608,6.98922732,7.09781701,6.89050942,6.92012479,8336446
2023-10-19,sz.002608,6.87076584,6.98922732,6.8115351,6.85102226,8238100
2023-10-20,sz.002608,6.89050942,6.93986837,6.77204794,6.84115047,6059862
2023-10-23,sz.002608,6.85102226,6.90038121,6.63384288,6.65358646,7777800
2023-10-24,sz.002608,6.68320183,6.85102226,6.64371467,6.8115351,7117816
2023-10-25,sz.002608,6.77204794,6.87076584,6.65358646,6.66345825,9699101
2023-10-26,sz.002608,6.63384288,6.86089405,6.6140993,6.8115351,13712251
2023-10-27,sz.002608,6.77204794,7.02871448,6.76217615,7.0089709,13067800
2023-10-30,sz.002608,7.05832985,7.15704775,6.98922732,7.05832985,12059868
2023-10-31,sz.002608,7.04845806,7.08794522,6.98922732,7.03858627,6755746
2023-11-01,sz.002608,7.04845806,7.08794522,6.99909911,7.03858627,6808100
2023-11-02,sz.002608,7.03858627,7.08794522,6.99909911,7.03858627,7018358
2023-11-03,sz.002608,7.02871448,7.07807343,6.93986837,6.95961195,7670447
2023-11-06,sz.002608,6.96948374,7.01884269,6.8115351,6.84115047,12737993
2023-11-07,sz.002608,6.84115047,6.85102226,6.68320183,6.75230436,10112663
2023-11-08,sz.002608,6.75230436,6.79179152,6.69307362,6.75230436,8588100
2023-11-09,sz.002608,6.72268899,6.82140689,6.65358646,6.68320183,10510276
2023-11-10,sz.002608,6.69307362,6.73256078,6.56474035,6.69307362,12266755
2023-11-13,sz.002608,6.70294541,6.75230436,6.5153814,6.66345825,14819795
