date,stock_code,open,high,low,close,volume
2023-07-03,sh.600901,3.71060263,3.75552518,3.70161812,3.74654067,31078508
2023-07-04,sh.600901,3.73755616,3.75552518,3.69263361,3.70161812,20350295
2023-07-05,sh.600901,3.6836491,3.71060263,3.63872655,3.65669557,21875957
2023-07-06,sh.600901,3.64771106,3.65669557,3.61177302,3.62075753,16546840
2023-07-07,sh.600901,3.62075753,3.73755616,3.61177302,3.69263361,22432889
2023-07-10,sh.600901,3.69263361,3.71958714,3.63872655,3.64771106,13804173
2023-07-11,sh.600901,3.64771106,3.69263361,3.62974204,3.64771106,14812667
2023-07-12,sh.600901,3.63872655,3.65669557,3.61177302,3.61177302,13836482
2023-07-13,sh.600901,3.62974204,3.6836491,3.62075753,3.65669557,16035499
2023-07-14,sh.600901,3.66568008,3.70161812,3.63872655,3.6836491,18321736
2023-07-17,sh.600901,3.67466459,3.72857165,3.66568008,3.71060263,17702314
2023-07-18,sh.600901,3.70161812,3.72857165,3.6836491,3.69263361,11262466
2023-07-19,sh.600901,3.70161812,3.71958714,3.67466459,3.71958714,10910360
2023-07-20,sh.600901,3.71958714,3.72857165,3.67466459,3.6836491,12060081
2023-07-21,sh.600901,3.6836491,3.71060263,3.66568008,3.69263361,11309422
2023-07-24,sh.600901,3.69263361,3.74654067,3.69263361,3.73755616,16151936
2023-07-25,sh.600901,3.76450969,3.82740126,3.74654067,3.81841675,26573575
2023-07-26,sh.600901,3.80943224,3.83638577,3.79146322,3.82740126,18811231
2023-07-27,sh.600901,3.82740126,3.88130832,3.81841675,3.84537028,24861488
2023-07-28,sh.600901,3.84537028,3.94419989,3.82740126,3.93521538,36825049
2023-07-31,sh.600901,3.9531844,4.01607597,3.93521538,3.98912244,44004141
2023-08-01,sh.600901,3.98013793,4.00709146,3.9531844,3.98912244,36162072
2023-08-02,sh.600901,3.99810695,4.03404499,3.97115342,4.01607597,31881537
2023-08-03,sh.600901,4.01607597,4.09693656,3.98912244,4.08795205,45047501
2023-08-04,sh.600901,4.15982813,4.17779715,4.06998303,4.08795205,66820363
2023-08-07,sh.600901,4.07896754,4.09693656,3.99810695,4.08795205,48212383
2023-08-08,sh.600901,4.07896754,4.1328746,4.00709146,4.11490558,29686175
2023-08-09,sh.600901,4.11490558,4.1328746,4.07896754,4.10592107,23257926
2023-08-10,sh.600901,4.10592107,4.12389009,4.06998303,4.11490558,22307895
2023-08-11,sh.600901,4.12389009,4.12389009,4.01607597,4.02506048,28198801
2023-08-14,sh.600901,3.98013793,4.0430295,3.90826185,4.02506048,28639513
2023-08-15,sh.600901,4.02506048,4.06099852,3.99810695,4.0430295,20532560
2023-08-16,sh.600901,4.05201401,4.11490558,4.01607597,4.06998303,21207443
2023-08-17,sh.600901,4.05201401,4.11490558,4.03404499,4.10592107,22562176
2023-08-18,sh.600901,4.10592107,4.11490558,4.03404499,4.0430295,21195053
2023-08-21,sh.600901,4.0430295,4.09693656,4.02506048,4.03404499,32875846
2023-08-22,sh.600901,4.03404499,4.03404499,3.9531844,3.99810695,26846593
2023-08-23,sh.600901,3.98912244,4.00709146,3.93521538,3.96216891,17498280
2023-08-24,sh.600901,3.97115342,4.05201401,3.9531844,3.9531844,20908074
2023-08-25,sh.600901,3.9531844,4.03404499,3.93521538,3.99810695,17503460
2023-08-28,sh.600901,4.24967323,4.28561127,4.06099852,4.06998303,52613604
2023-08-29,sh.600901,4.0430295,4.11490558,3.98013793,4.07896754,36876172
2023-08-30,sh.600901,4.07896754,4.07896754,3.98013793,3.98013793,21674752
2023-08-31,sh.600901,3.97115342,4.06099852,3.97115342,4.02506048,30647424
2023-09-01,sh.600901,4.0430295,4.11490558,4.03404499,4.06998303,21932057
2023-09-04,sh.600901,4.07896754,4.15982813,4.06998303,4.15084362,26179675
2023-09-05,sh.600901,4.14185911,4.14185911,4.06998303,4.08795205,17582940
2023-09-06,sh.600901,4.09693656,4.14185911,4.06099852,4.11490558,15309806
2023-09-07,sh.600901,4.12389009,4.17779715,4.10592107,4.11490558,20584551
2023-09-08,sh.600901,4.12389009,4.15982813,4.07896754,4.1328746,17578820
2023-09-11,sh.600901,4.14185911,4.18678166,4.11490558,4.16881264,25382280
2023-09-12,sh.600901,4.16881264,4.17779715,4.10592107,4.11490558,14762380
2023-09-13,sh.600901,4.1328746,4.1328746,4.06998303,4.08795205,11390618
2023-09-14,sh.600901,4.10592107,4.1328746,4.06998303,4.12389009,16885009
2023-09-15,sh.600901,4.12389009,4.14185911,4.07896754,4.1328746,18979090
