date,stock_code,open,high,low,close,volume
2023-07-03,sz.002266,4.01495485,4.05365321,3.99560567,4.05365321,20317632
2023-07-04,sz.002266,4.0633278,4.08267698,4.03430403,4.0633278,16555180
2023-07-05,sz.002266,4.05365321,4.0633278,4.02462944,4.04397862,16196333
2023-07-06,sz.002266,4.04397862,4.05365321,3.99560567,4.04397862,16925480
2023-07-07,sz.002266,4.05365321,4.11170075,4.01495485,4.03430403,17827860
2023-07-10,sz.002266,4.05365321,4.12137534,4.04397862,4.11170075,18827209
2023-07-11,sz.002266,4.12137534,4.13104993,4.07300239,4.11170075,13213740
2023-07-12,sz.002266,4.12137534,4.14072452,4.09235157,4.12137534,15133236
2023-07-13,sz.002266,4.12137534,4.17942288,4.12137534,4.16974829,17383690
2023-07-14,sz.002266,4.16974829,4.17942288,4.11170075,4.12137534,19438380
2023-07-17,sz.002266,4.11170075,4.1600737,4.09235157,4.1600737,17254756
2023-07-18,sz.002266,4.1600737,4.16974829,4.13104993,4.14072452,10058283
2023-07-19,sz.002266,4.15039911,4.19877206,4.13104993,4.1600737,10919732
2023-07-20,sz.002266,4.1600737,4.16974829,4.11170075,4.13104993,13257137
2023-07-21,sz.002266,4.14072452,4.15039911,4.08267698,4.11170075,13538630
2023-07-24,sz.002266,4.10202616,4.13104993,4.08267698,4.12137534,10773105
2023-07-25,sz.002266,4.13104993,4.15039911,4.10202616,4.11170075,11138441
2023-07-26,sz.002266,4.11170075,4.14072452,4.09235157,4.12137534,8548404
2023-07-27,sz.002266,4.14072452,4.19877206,4.11170075,4.13104993,14534160
2023-07-28,sz.002266,4.12137534,4.13104993,4.0633278,4.0633278,29047933
2023-07-31,sz.002266,4.0633278,4.1600737,4.05365321,4.1600737,28372917
2023-08-01,sz.002266,4.17942288,4.18909747,4.11170075,4.15039911,20824805
2023-08-02,sz.002266,4.14072452,4.1600737,4.11170075,4.15039911,13533773
2023-08-03,sz.002266,4.1600737,4.17942288,4.11170075,4.14072452,16456838
2023-08-04,sz.002266,4.1600737,4.16974829,4.12137534,4.13104993,10667950
2023-08-07,sz.002266,4.14072452,4.15039911,4.08267698,4.12137534,15317339
2023-08-08,sz.002266,4.11170075,4.11170075,4.05365321,4.07300239,12801760
2023-08-09,sz.002266,4.08267698,4.09235157,4.03430403,4.0633278,11119977
2023-08-10,sz.002266,4.0633278,4.10202616,4.04397862,4.08267698,10481830
2023-08-11,sz.002266,4.09235157,4.09235157,3.98593108,4.00528026,12315813
2023-08-14,sz.002266,3.98593108,4.00528026,3.92788354,3.95690731,14779346
2023-08-15,sz.002266,3.95690731,3.98593108,3.93755813,3.97625649,9126000
2023-08-16,sz.002266,3.9665819,3.99560567,3.93755813,3.9665819,8732606
2023-08-17,sz.002266,3.95690731,3.97625649,3.89885977,3.95690731,13379635
2023-08-18,sz.002266,3.95690731,4.02462944,3.94723272,3.97625649,13110462
2023-08-21,sz.002266,3.9665819,4.03430403,3.95690731,3.97625649,15012649
2023-08-22,sz.002266,3.98593108,3.99560567,3.88918518,3.91820895,15812227
2023-08-23,sz.002266,3.93755813,3.94723272,3.89885977,3.91820895,10064350
2023-08-24,sz.002266,3.91820895,3.92788354,3.869836,3.87951059,11328950
2023-08-25,sz.002266,3.869836,3.97625649,3.86016141,3.87951059,23220788
2023-08-28,sz.002266,4.01495485,4.09235157,3.89885977,3.90853436,27296032
2023-08-29,sz.002266,3.95690731,3.99560567,3.89885977,3.99560567,28208921
2023-08-30,sz.002266,3.98593108,4.01495485,3.91820895,3.91820895,18850003
2023-08-31,sz.002266,3.90853436,3.93755813,3.81178846,3.82146305,25995921
2023-09-01,sz.002266,3.83113764,3.86016141,3.78276469,3.80211387,15579529
2023-09-04,sz.002266,3.82146305,3.89885977,3.80211387,3.869836,20556219
2023-09-05,sz.002266,3.86016141,3.869836,3.80211387,3.83113764,13157694
2023-09-06,sz.002266,3.81178846,3.85048682,3.80211387,3.83113764,11368343
2023-09-07,sz.002266,3.83113764,3.84081223,3.74406633,3.75374092,16183220
2023-09-08,sz.002266,3.75374092,3.79243928,3.74406633,3.76341551,10088356
2023-09-11,sz.002266,3.78276469,3.83113764,3.75374092,3.81178846,13741742
2023-09-12,sz.002266,3.83113764,3.84081223,3.80211387,3.82146305,7071920
2023-09-13,sz.002266,3.84081223,3.85048682,3.80211387,3.82146305,12121338
2023-09-14,sz.002266,3.83113764,3.83113764,3.79243928,3.80211387,10321870
2023-09-15,sz.002266,3.80211387,3.83113764,3.78276469,3.81178846,13540060
2023-09-18,sz.002266,3.80211387,3.82146305,3.76341551,3.79243928,14312054
2023-09-19,sz.002266,3.79243928,3.81178846,3.7730901,3.79243928,9402153
2023-09-20,sz.002266,3.78276469,3.80211387,3.7730901,3.80211387,7947136
2023-09-21,sz.002266,3.7730901,3.78276469,3.72471715,3.73439174,14980833
2023-09-22,sz.002266,3.73439174,3.78276469,3.71504256,3.78276469,11248188
2023-09-25,sz.002266,3.7730901,3.79243928,3.73439174,3.74406633,14946615
2023-09-26,sz.002266,3.73439174,3.75374092,3.69569338,3.71504256,12131933
2023-09-27,sz.002266,3.71504256,3.79243928,3.70536797,3.7730901,13057502
2023-09-28,sz.002266,3.76341551,3.78276469,3.75374092,3.75374092,8393510
2023-10-09,sz.002266,3.76341551,3.76341551,3.71504256,3.74406633,12578188
2023-10-10,sz.002266,3.73439174,3.76341551,3.71504256,3.72471715,8797390
2023-10-11,sz.002266,3.72471715,3.75374092,3.69569338,3.70536797,10158160
2023-10-12,sz.002266,3.72471715,3.7730901,3.70536797,3.75374092,12506810
2023-10-13,sz.002266,3.73439174,3.74406633,3.70536797,3.72471715,11335934
2023-10-16,sz.002266,3.72471715,3.73439174,3.64732043,3.66666961,14138307
2023-10-17,sz.002266,3.65699502,3.69569338,3.63764584,3.66666961,11166908
