date,stock_code,open,high,low,close,volume
2023-07-03,sh.601921,7.9927422,8.01111632,7.64363392,7.77225276,19811334
2023-07-04,sh.601921,7.78143982,7.809001,7.6252598,7.6711951,16124123
2023-07-05,sh.601921,7.68038216,7.68956922,7.5333892,7.58851156,14978800
2023-07-06,sh.601921,7.5793245,7.77225276,7.57013744,7.63444686,14972800
2023-07-07,sh.601921,7.6252598,7.6711951,7.45989272,7.64363392,16298100
2023-07-10,sh.601921,7.65282098,8.12136104,7.65282098,8.11217398,38029159
2023-07-11,sh.601921,8.02949044,8.05705162,7.72631746,7.7630657,42259300
2023-07-12,sh.601921,7.72631746,7.84574924,7.50582802,7.54257626,25678001
2023-07-13,sh.601921,7.54257626,7.7171304,7.45070566,7.6711951,28089011
2023-07-14,sh.601921,7.63444686,8.02949044,7.6252598,7.8549363,38172799
2023-07-17,sh.601921,7.82737512,7.87331042,7.6252598,7.70794334,20043900
2023-07-18,sh.601921,7.70794334,7.73550452,7.52420214,7.54257626,16069000
2023-07-19,sh.601921,7.52420214,7.69875628,7.52420214,7.66200804,13104038
2023-07-20,sh.601921,7.6252598,7.65282098,7.49664096,7.50582802,12780838
2023-07-21,sh.601921,7.50582802,7.6252598,7.4415186,7.55176332,15558600
2023-07-24,sh.601921,7.51501508,7.68956922,7.45989272,7.60688568,11564000
2023-07-25,sh.601921,7.66200804,7.82737512,7.65282098,7.78143982,18726426
2023-07-26,sh.601921,7.7630657,7.78143982,7.56095038,7.59769862,13975000
2023-07-27,sh.601921,7.5793245,7.6252598,7.50582802,7.52420214,10775654
2023-07-28,sh.601921,7.52420214,7.57013744,7.45070566,7.56095038,10420154
2023-07-31,sh.601921,7.55176332,7.69875628,7.52420214,7.66200804,14022558
2023-08-01,sh.601921,7.68038216,7.70794334,7.58851156,7.64363392,9367500
2023-08-02,sh.601921,7.64363392,7.65282098,7.54257626,7.6252598,8033054
2023-08-03,sh.601921,7.58851156,7.6252598,7.55176332,7.57013744,6941990
2023-08-04,sh.601921,7.58851156,7.75387864,7.58851156,7.68038216,15825409
2023-08-07,sh.601921,7.69875628,7.97436808,7.69875628,7.87331042,22238774
2023-08-08,sh.601921,7.83656218,8.16729634,7.81818806,8.05705162,33605176
2023-08-09,sh.601921,7.9468069,8.00192926,7.72631746,7.74469158,21665437
2023-08-10,sh.601921,7.79981394,7.82737512,7.65282098,7.68956922,11575027
2023-08-11,sh.601921,7.6711951,7.73550452,7.47826684,7.4874539,14564218
2023-08-14,sh.601921,7.45070566,7.6252598,7.349648,7.60688568,13835178
2023-08-15,sh.601921,7.60688568,7.61607274,7.41395742,7.45989272,8852142
2023-08-16,sh.601921,7.42314448,7.47826684,7.24859034,7.3037127,11341800
2023-08-17,sh.601921,7.28533858,7.42314448,7.2118421,7.38639624,8024654
2023-08-18,sh.601921,7.349648,7.4874539,7.23940328,7.24859034,8313000
2023-08-21,sh.601921,7.26696446,7.41395742,7.2577774,7.28533858,7059260
2023-08-22,sh.601921,7.3037127,7.5793245,7.28533858,7.56095038,16388148
2023-08-23,sh.601921,7.5793245,7.72631746,7.49664096,7.59769862,15049100
2023-08-24,sh.601921,7.59769862,7.84574924,7.59769862,7.68956922,17826360
2023-08-25,sh.601921,7.64363392,7.69875628,7.43233154,7.45070566,13821800
2023-08-28,sh.601921,7.9008716,7.9008716,7.59769862,7.61607274,21464948
2023-08-29,sh.601921,7.60688568,7.8549363,7.58851156,7.81818806,20749700
2023-08-30,sh.601921,7.81818806,7.87331042,7.73550452,7.83656218,15454192
2023-08-31,sh.601921,7.809001,7.82737512,7.70794334,7.78143982,9381069
2023-09-01,sh.601921,7.78143982,7.8549363,7.68038216,7.72631746,7687700
2023-09-04,sh.601921,7.70794334,7.78143982,7.65282098,7.7171304,11470900
2023-09-05,sh.601921,7.69875628,7.7171304,7.50582802,7.52420214,13350800
2023-09-06,sh.601921,7.50582802,7.54257626,7.4415186,7.47826684,7613107
2023-09-07,sh.601921,7.45989272,7.5793245,7.35883506,7.35883506,8476973
2023-09-08,sh.601921,7.37720918,7.3955833,7.2577774,7.3037127,12132373
2023-09-11,sh.601921,7.349648,7.42314448,7.17509386,7.38639624,13145521
2023-09-12,sh.601921,7.32208682,7.37720918,7.26696446,7.27615152,7962800
2023-09-13,sh.601921,7.26696446,7.28533858,7.18428092,7.22102916,9478106
2023-09-14,sh.601921,7.19346798,7.23021622,7.14753268,7.19346798,6868100
2023-09-15,sh.601921,7.19346798,7.31289976,7.17509386,7.22102916,9518200
2023-09-18,sh.601921,7.19346798,7.31289976,7.13834562,7.29452564,9538732
2023-09-19,sh.601921,7.28533858,7.349648,7.18428092,7.23021622,5942897
2023-09-20,sh.601921,7.20265504,7.28533858,7.19346798,7.23940328,4471300
2023-09-21,sh.601921,7.22102916,7.23940328,7.14753268,7.15671974,7022673
2023-09-22,sh.601921,7.13834562,7.37720918,7.1199715,7.36802212,15132100
2023-09-25,sh.601921,7.349648,7.41395742,7.23940328,7.29452564,9723300
2023-09-26,sh.601921,7.33127388,7.40477036,7.28533858,7.349648,6815100
2023-09-27,sh.601921,7.28533858,7.38639624,7.28533858,7.35883506,6183067
2023-09-28,sh.601921,7.35883506,7.35883506,7.22102916,7.24859034,9407673
2023-10-09,sh.601921,7.22102916,7.24859034,7.12915856,7.22102916,8344400
2023-10-10,sh.601921,7.23940328,7.29452564,7.20265504,7.22102916,7425124
2023-10-11,sh.601921,7.2118421,7.47826684,7.2118421,7.34046094,13069333
2023-10-12,sh.601921,7.36802212,7.41395742,7.3037127,7.32208682,6658733
2023-10-13,sh.601921,7.32208682,7.40477036,7.27615152,7.32208682,7667900
2023-10-16,sh.601921,7.33127388,7.33127388,7.12915856,7.14753268,10730100
2023-10-17,sh.601921,7.12915856,7.14753268,6.96379148,7.08322326,8529419
2023-10-18,sh.601921,7.04647502,7.06484914,6.96379148,7.00053972,4836467
2023-10-19,sh.601921,6.9821656,7.0740362,6.9821656,6.9821656,5094396
2023-10-20,sh.601921,6.96379148,7.00053972,6.91785618,6.91785618,4960680
2023-10-23,sh.601921,6.97297854,6.97297854,6.7065538,6.7524891,7305485
2023-10-24,sh.601921,6.78005028,6.9362303,6.76167616,6.90866912,7848761
2023-10-25,sh.601921,6.95460442,6.97297854,6.87192088,6.9362303,6341676
2023-10-26,sh.601921,6.890295,7.00972678,6.87192088,6.99135266,5426020
2023-10-27,sh.601921,6.96379148,7.12915856,6.9362303,7.09241032,8456094
2023-10-30,sh.601921,7.00972678,7.06484914,6.89948206,6.97297854,13679833
2023-10-31,sh.601921,6.95460442,7.01891384,6.86273382,6.89948206,7173928
2023-11-01,sh.601921,6.88110794,6.99135266,6.87192088,6.91785618,9189798
2023-11-02,sh.601921,6.91785618,7.14753268,6.890295,7.01891384,13246684
2023-11-03,sh.601921,7.06484914,7.09241032,6.91785618,6.99135266,10325270
2023-11-06,sh.601921,7.01891384,7.23940328,7.01891384,7.23021622,16552243
2023-11-07,sh.601921,7.23021622,7.3037127,7.19346798,7.27615152,10078828
2023-11-08,sh.601921,7.2577774,7.4415186,7.23940328,7.3955833,15298600
2023-11-09,sh.601921,7.40477036,7.45070566,7.28533858,7.31289976,11168748
2023-11-10,sh.601921,7.28533858,7.33127388,7.17509386,7.19346798,7875200
2023-11-13,sh.601921,7.24859034,7.33127388,7.20265504,7.27615152,9178409
2023-11-14,sh.601921,7.26696446,7.29452564,7.23021622,7.2577774,6434300
2023-11-15,sh.601921,7.3037127,7.32208682,7.20265504,7.2118421,6038374
2023-11-16,sh.601921,7.2118421,7.42314448,7.17509386,7.349648,12037300
2023-11-17,sh.601921,7.31289976,7.42314448,7.28533858,7.35883506,6829500
2023-11-20,sh.601921,7.36802212,7.42314448,7.3037127,7.41395742,8036500
2023-11-21,sh.601921,7.41395742,7.57013744,7.40477036,7.46907978,12028286
2023-11-22,sh.601921,7.4415186,7.55176332,7.4415186,7.50582802,11534300
2023-11-23,sh.601921,7.5333892,7.5333892,7.37720918,7.46907978,8906700
2023-11-24,sh.601921,7.4874539,7.55176332,7.42314448,7.45070566,7362500
2023-11-27,sh.601921,7.41395742,7.4415186,7.31289976,7.37720918,7461600
2023-11-28,sh.601921,7.35883506,7.3955833,7.2577774,7.32208682,7832386
2023-11-29,sh.601921,7.3037127,7.33127388,7.22102916,7.24859034,5009240
2023-11-30,sh.601921,7.22102916,7.31289976,7.18428092,7.23940328,7823486
2023-12-01,sh.601921,7.20265504,7.52420214,7.20265504,7.52420214,16706700
2023-12-04,sh.601921,7.49664096,7.55176332,7.45989272,7.50582802,8932400
2023-12-05,sh.601921,7.61607274,7.69875628,7.45070566,7.57013744,21720585
2023-12-06,sh.601921,7.5793245,7.74469158,7.32208682,7.64363392,37185871
2023-12-07,sh.601921,7.5333892,7.88249748,7.5333892,7.809001,51516275
2023-12-08,sh.601921,7.69875628,8.1764834,7.61607274,7.8549363,77375119
2023-12-11,sh.601921,7.7630657,8.15810928,7.75387864,8.0846128,56978710
2023-12-12,sh.601921,8.12136104,8.15810928,7.91924572,8.0846128,48636198
2023-12-13,sh.601921,8.00192926,8.07542574,7.83656218,7.88249748,32171338
2023-12-14,sh.601921,7.91005866,8.16729634,7.87331042,7.9927422,46312550
2023-12-15,sh.601921,8.02949044,8.2224187,7.87331042,8.07542574,43780348
2023-12-18,sh.601921,8.1305481,8.1764834,7.8549363,7.92843278,31539751
2023-12-19,sh.601921,7.9927422,8.0846128,7.86412336,7.95599396,26312251
2023-12-20,sh.601921,7.97436808,7.98355514,7.65282098,7.70794334,26272212
2023-12-21,sh.601921,7.70794334,7.70794334,7.49664096,7.60688568,28916973
2023-12-22,sh.601921,7.5793245,7.5793245,7.00053972,7.06484914,44059297
2023-12-25,sh.601921,7.00972678,7.1199715,6.8443597,6.9821656,22496397
2023-12-26,sh.601921,7.03728796,7.03728796,6.86273382,6.9362303,13740900
2023-12-27,sh.601921,6.9821656,6.9821656,6.7984244,6.80761146,14070700
2023-12-28,sh.601921,6.7984244,6.86273382,6.71574086,6.7984244,17160206
2023-12-29,sh.601921,6.81679852,7.14753268,6.80761146,7.01891384,22073400
2024-01-02,sh.601921,7.05566208,7.19346798,7.03728796,7.08322326,16027200
2024-01-03,sh.601921,7.03728796,7.22102916,7.00053972,7.1659068,14940536
2024-01-04,sh.601921,7.14753268,7.27615152,7.05566208,7.23940328,14171533
2024-01-05,sh.601921,7.23021622,7.23940328,7.03728796,7.09241032,13523600
2024-01-08,sh.601921,7.0740362,7.1199715,7.00053972,7.0281009,7806300
2024-01-09,sh.601921,7.01891384,7.09241032,6.96379148,7.00972678,8394700
2024-01-10,sh.601921,6.99135266,6.99135266,6.83517264,6.8443597,9739966
2024-01-11,sh.601921,6.82598558,6.9821656,6.81679852,6.9362303,8151992
2024-01-12,sh.601921,6.89948206,6.9362303,6.82598558,6.82598558,9919200
2024-01-15,sh.601921,6.81679852,6.90866912,6.78005028,6.83517264,7282500
2024-01-16,sh.601921,6.80761146,6.82598558,6.71574086,6.78005028,11260600
2024-01-17,sh.601921,6.76167616,6.80761146,6.67899262,6.67899262,9010560
2024-01-18,sh.601921,6.69736674,6.72492792,6.55037378,6.72492792,11512702
