date,stock_code,open,high,low,close,volume
2023-07-03,sh.600583,5.50383506,5.77620915,5.48505064,5.7292481,32046696
2023-07-04,sh.600583,5.7292481,5.95466114,5.71046368,5.88891567,33350712
2023-07-05,sh.600583,5.86073904,6.02979882,5.83256241,5.96405335,25348209
2023-07-06,sh.600583,5.9170923,6.06736766,5.9170923,6.04858324,27000164
2023-07-07,sh.600583,6.05797545,6.11432871,6.00162219,6.07675987,16819483
2023-07-10,sh.600583,6.06736766,6.11432871,5.95466114,6.04858324,18916834
2023-07-11,sh.600583,6.17068197,6.27399628,6.03919103,6.11432871,30625321
2023-07-12,sh.600583,6.23642744,6.26460407,6.12372092,6.15189755,21918662
2023-07-13,sh.600583,6.16128976,6.22703523,6.08615208,6.18946639,19179818
2023-07-14,sh.600583,6.18946639,6.24581965,6.11432871,6.1988586,12240541
2023-07-17,sh.600583,6.15189755,6.18946639,6.05797545,6.18946639,17928325
2023-07-18,sh.600583,6.12372092,6.18946639,6.08615208,6.13311313,15778484
2023-07-19,sh.600583,6.13311313,6.1988586,6.08615208,6.18007418,10532999
2023-07-20,sh.600583,6.15189755,6.21764302,6.03919103,6.07675987,12193877
2023-07-21,sh.600583,6.05797545,6.18946639,6.0110144,6.03919103,10874349
2023-07-24,sh.600583,6.02979882,6.06736766,5.94526893,6.0110144,10508920
2023-07-25,sh.600583,6.06736766,6.12372092,5.98283777,6.02979882,12801945
2023-07-26,sh.600583,6.00162219,6.05797545,5.90770009,5.94526893,13450272
2023-07-27,sh.600583,5.94526893,5.97344556,5.83256241,5.85134683,13251406
2023-07-28,sh.600583,5.86073904,5.93587672,5.81377799,5.9170923,14221152
2023-07-31,sh.600583,5.93587672,5.98283777,5.83256241,5.87952346,20855087
2023-08-01,sh.600583,5.9170923,5.96405335,5.86073904,5.9170923,22881423
2023-08-02,sh.600583,5.94526893,5.95466114,5.78560136,5.81377799,27080013
2023-08-03,sh.600583,5.8231702,5.87952346,5.80438578,5.84195462,19671985
2023-08-04,sh.600583,5.86073904,5.93587672,5.78560136,5.79499357,23122189
2023-08-07,sh.600583,5.78560136,5.85134683,5.75742473,5.77620915,16332379
2023-08-08,sh.600583,5.81377799,5.84195462,5.75742473,5.79499357,14876336
2023-08-09,sh.600583,5.83256241,5.84195462,5.67289484,5.70107147,20578295
2023-08-10,sh.600583,5.71985589,5.84195462,5.71985589,5.81377799,26070178
2023-08-11,sh.600583,5.8231702,5.83256241,5.61654158,5.635326,27245139
2023-08-14,sh.600583,5.59775716,5.71046368,5.53201169,5.69167926,17504413
2023-08-15,sh.600583,5.67289484,5.75742473,5.59775716,5.71046368,20203641
2023-08-16,sh.600583,5.635326,5.70107147,5.56958053,5.59775716,22416658
2023-08-17,sh.600583,5.56958053,5.635326,5.51322727,5.59775716,19852250
2023-08-18,sh.600583,5.59775716,5.74803252,5.58836495,5.68228705,21955385
2023-08-21,sh.600583,5.66350263,5.70107147,5.29720644,5.36295191,73892216
2023-08-22,sh.600583,5.40052075,5.49444285,5.34416749,5.47565843,34783131
2023-08-23,sh.600583,5.45687401,5.60714937,5.42869738,5.5414039,32940386
2023-08-24,sh.600583,5.56018832,5.60714937,5.37234412,5.38173633,23151294
2023-08-25,sh.600583,5.39112854,5.43808959,5.33477528,5.40052075,16341101
2023-08-28,sh.600583,5.635326,5.66350263,5.48505064,5.49444285,28874802
2023-08-29,sh.600583,5.56018832,5.56018832,5.4474818,5.47565843,22620707
2023-08-30,sh.600583,5.48505064,5.5414039,5.4474818,5.48505064,13840592
2023-08-31,sh.600583,5.49444285,5.52261948,5.42869738,5.46626622,15006358
2023-09-01,sh.600583,5.46626622,5.49444285,5.39112854,5.47565843,17737168
2023-09-04,sh.600583,5.56018832,5.8231702,5.5414039,5.79499357,49812183
2023-09-05,sh.600583,5.79499357,5.80438578,5.66350263,5.78560136,33470157
2023-09-06,sh.600583,5.87013125,5.87952346,5.71985589,5.8231702,30586333
2023-09-07,sh.600583,5.78560136,5.94526893,5.75742473,5.86073904,32923278
2023-09-08,sh.600583,5.79499357,6.08615208,5.79499357,6.04858324,34777858
2023-09-11,sh.600583,6.04858324,6.12372092,5.99222998,6.02979882,37938478
2023-09-12,sh.600583,6.02979882,6.09554429,5.94526893,5.98283777,26180089
2023-09-13,sh.600583,5.98283777,6.21764302,5.98283777,6.02040661,42768210
2023-09-14,sh.600583,6.03919103,6.11432871,6.02040661,6.07675987,29408351
2023-09-15,sh.600583,6.14250534,6.32095733,6.13311313,6.16128976,48860616
2023-09-18,sh.600583,6.12372092,6.20825081,6.0110144,6.07675987,27158120
2023-09-19,sh.600583,6.09554429,6.16128976,6.06736766,6.08615208,23058988
