date,stock_code,open,high,low,close,volume
2023-07-03,sh.600398,6.0984339,6.24868517,5.99237418,6.19565531,24773074
2023-07-04,sh.600398,6.19565531,6.26636179,6.08075728,6.21333193,15236138
2023-07-05,sh.600398,6.22217024,6.34590658,6.13378714,6.24868517,20933425
2023-07-06,sh.600398,6.24868517,6.3635832,6.186817,6.19565531,12229428
2023-07-07,sh.600398,6.20449362,6.35474489,6.16914038,6.31055334,14222870
2023-07-10,sh.600398,6.31939165,6.35474489,6.19565531,6.25752348,9978516
2023-07-11,sh.600398,6.25752348,6.48731954,6.19565531,6.46964292,21346646
2023-07-12,sh.600398,6.42545137,6.44312799,6.26636179,6.28403841,9268054
2023-07-13,sh.600398,6.2752001,6.37242151,6.23984686,6.32822996,12256270
2023-07-14,sh.600398,6.32822996,6.6287325,6.29287672,6.51383447,18234237
2023-07-17,sh.600398,6.51383447,6.65524743,6.44312799,6.6287325,15333702
2023-07-18,sh.600398,6.63757081,6.7171156,6.58454095,6.61989419,9615305
2023-07-19,sh.600398,6.61105588,6.68176236,6.57570264,6.66408574,9685165
2023-07-20,sh.600398,6.68176236,6.69943898,6.49615785,6.5403494,12573100
2023-07-21,sh.600398,6.52267278,6.61989419,6.51383447,6.5403494,12035000
2023-07-24,sh.600398,6.5403494,6.60221757,6.46080461,6.48731954,12438212
2023-07-25,sh.600398,6.48731954,6.5403494,6.33706827,6.39009813,16089856
2023-07-26,sh.600398,6.40777475,6.48731954,6.39009813,6.46964292,11102557
2023-07-27,sh.600398,6.4519663,6.5403494,6.39009813,6.46964292,10869846
2023-07-28,sh.600398,6.39893644,6.69943898,6.39009813,6.59337926,11654736
2023-07-31,sh.600398,6.61105588,6.75246884,6.44312799,6.60221757,19000889
2023-08-01,sh.600398,6.6287325,6.69060067,6.55802602,6.67292405,10791696
2023-08-02,sh.600398,6.68176236,6.74363053,6.56686433,6.59337926,10349403
2023-08-03,sh.600398,6.60221757,6.60221757,6.43428968,6.49615785,12171430
2023-08-04,sh.600398,6.52267278,6.5403494,6.29287672,6.41661306,16765800
2023-08-07,sh.600398,6.3635832,6.3635832,6.20449362,6.28403841,17244309
2023-08-08,sh.600398,6.28403841,6.35474489,6.23984686,6.28403841,8147202
2023-08-09,sh.600398,6.26636179,6.29287672,6.186817,6.24868517,8194700
2023-08-10,sh.600398,6.22217024,6.28403841,6.16030207,6.19565531,10321900
2023-08-11,sh.600398,6.16030207,6.29287672,6.05424235,6.10727221,12770300
2023-08-14,sh.600398,6.07191897,6.23984686,5.99237418,6.17797869,13314796
2023-08-15,sh.600398,6.16030207,6.28403841,6.13378714,6.2752001,14719648
2023-08-16,sh.600398,6.2752001,6.41661306,6.23100855,6.37242151,15169100
2023-08-17,sh.600398,6.38125982,6.47848123,6.30171503,6.46964292,9840625
2023-08-18,sh.600398,6.44312799,6.55802602,6.31055334,6.38125982,8710800
2023-08-21,sh.600398,6.35474489,6.35474489,6.17797869,6.23100855,13848991
2023-08-22,sh.600398,6.23984686,6.28403841,6.16030207,6.23100855,12180149
2023-08-23,sh.600398,6.24868517,6.34590658,6.19565531,6.29287672,13460259
2023-08-24,sh.600398,6.29287672,6.38125982,6.21333193,6.30171503,12097776
2023-08-25,sh.600398,6.34590658,6.34590658,6.17797869,6.21333193,8946329
2023-08-28,sh.600398,6.4519663,6.49615785,6.17797869,6.24868517,15814043
2023-08-29,sh.600398,6.22217024,6.41661306,6.21333193,6.35474489,12633300
2023-08-30,sh.600398,6.39009813,6.56686433,6.34590658,6.48731954,12233629
2023-08-31,sh.600398,6.7171156,6.91155842,6.61989419,6.66408574,31226270
2023-09-01,sh.600398,6.75246884,6.84969025,6.67292405,6.73479222,28879439
2023-09-04,sh.600398,6.79666039,6.8054987,6.28403841,6.31939165,47929621
2023-09-05,sh.600398,6.31055334,6.31055334,6.0984339,6.19565531,43473008
2023-09-06,sh.600398,6.17797869,6.42545137,6.13378714,6.39009813,26905848
2023-09-07,sh.600398,6.38125982,6.5403494,6.30171503,6.48731954,21564502
2023-09-08,sh.600398,6.48731954,6.48731954,6.31939165,6.33706827,17987100
2023-09-11,sh.600398,6.3635832,6.61105588,6.35474489,6.59337926,18769363
2023-09-12,sh.600398,6.56686433,6.59337926,6.49615785,6.57570264,8926377
2023-09-13,sh.600398,6.56686433,6.70827729,6.55802602,6.68176236,13448991
2023-09-14,sh.600398,6.68176236,6.7171156,6.6287325,6.69060067,13733884
2023-09-15,sh.600398,6.69943898,6.85852856,6.67292405,6.85852856,21341316
2023-09-18,sh.600398,6.7171156,6.82317532,6.59337926,6.77014546,20210391
2023-09-19,sh.600398,6.79666039,6.86736687,6.73479222,6.76130715,12808077
2023-09-20,sh.600398,6.77898377,6.87620518,6.73479222,6.78782208,14363705
2023-09-21,sh.600398,6.77014546,6.78782208,6.64640912,6.69943898,14891262
2023-09-22,sh.600398,6.70827729,6.81433701,6.67292405,6.81433701,18870557
2023-09-25,sh.600398,6.79666039,6.92039673,6.76130715,6.84085194,15786021
