date,stock_code,open,high,low,close,volume
2023-07-03,sz.300339,24.1,24.68,23.57,24.45,40803269
2023-07-04,sz.300339,24.15,24.88,24.15,24.69,41184467
2023-07-05,sz.300339,24.53,25.09,24.16,24.19,37559960
2023-07-06,sz.300339,24.18,25.64,24.11,25.05,59852420
2023-07-07,sz.300339,24.71,24.9,23.61,23.7,44478673
2023-07-10,sz.300339,23.7,24.05,23.59,23.59,21648761
2023-07-11,sz.300339,23.59,23.87,23.36,23.7,20374486
2023-07-12,sz.300339,23.59,23.62,22.5,22.56,40531744
2023-07-13,sz.300339,22.75,22.93,22.43,22.69,23772611
2023-07-14,sz.300339,22.8,23.36,22.75,22.97,31063691
2023-07-17,sz.300339,22.88,23.33,22.77,23.06,19310104
2023-07-18,sz.300339,23.05,23.05,22.56,22.61,21325307
2023-07-19,sz.300339,22.69,22.89,22.44,22.68,13082971
2023-07-20,sz.300339,22.81,22.81,22.15,22.19,17745315
2023-07-21,sz.300339,22.25,22.53,22.15,22.23,11193820
2023-07-24,sz.300339,22.22,22.62,22.06,22.28,13180348
2023-07-25,sz.300339,22.63,22.71,22.42,22.63,16670741
2023-07-26,sz.300339,22.84,23.13,22.6,22.73,21568243
2023-07-27,sz.300339,22.68,23.04,22.57,22.94,22631033
2023-07-28,sz.300339,22.75,23.11,22.75,23.06,21362254
2023-07-31,sz.300339,23.21,23.65,23.12,23.27,27944420
2023-08-01,sz.300339,23.5,23.98,23.26,23.94,40833376
2023-08-02,sz.300339,23.7,24.5,23.66,24.11,38388970
2023-08-03,sz.300339,23.89,24.0,23.51,23.73,24811755
2023-08-04,sz.300339,23.62,24.25,23.6,23.7,36176772
2023-08-07,sz.300339,23.6,23.98,23.15,23.7,34538317
2023-08-08,sz.300339,23.54,23.94,23.46,23.58,23038621
2023-08-09,sz.300339,23.6,24.42,23.45,23.74,35569151
2023-08-10,sz.300339,23.7,23.7,22.9,22.92,28717093
2023-08-11,sz.300339,22.95,23.03,22.3,22.3,20918637
2023-08-14,sz.300339,22.11,22.74,22.02,22.65,18136500
2023-08-15,sz.300339,22.53,22.69,21.74,22.1,18362189
2023-08-16,sz.300339,22.0,22.0,20.59,20.6,36415120
2023-08-17,sz.300339,20.5,20.84,20.2,20.66,18489486
2023-08-18,sz.300339,20.67,20.87,20.0,20.0,17393597
2023-08-21,sz.300339,20.01,20.53,20.01,20.07,15865002
